--------------------
BDMEP - INMET
--------------------
Estação           : ARAGUAINA - TO (OMM: 82659)
Latitude  (graus) : -7.2
Longitude (graus) : -48.2
Altitude  (metros): 228.52
Estação Operante
Inicio de operação: 21/08/1984
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82659;31/01/2000;0000;372.4;30.770968;21.529032;87.193548;
82659;29/02/2000;0000;354.1;30.627586;21.17931;88.62069;
82659;31/03/2000;0000;189;31.187097;21.964516;87.459677;
82659;30/04/2000;0000;288.8;31.42;21.456667;88.283333;
82659;31/05/2000;0000;65.9;32.383871;20.006452;81.387097;
82659;30/06/2000;0000;2.4;33.256667;18.113333;73.308333;
82659;31/07/2000;0000;26.7;32.83871;18.151613;70.629032;
82659;31/08/2000;0000;8.6;34.696774;17.751613;62.064516;
82659;30/09/2000;0000;115.8;32.433333;19.936667;77.183333;
82659;31/10/2000;0000;79.6;31.954839;20.603226;81.282258;
82659;30/11/2000;0000;202;30.946667;21.07;84.775;
82659;31/12/2000;0000;317.9;30.080645;21.493548;86.080645;
82659;31/01/2001;0000;121;30.816129;21.154839;84.935484;
82659;28/02/2001;0000;249.6;30.760714;21.196429;86.5625;
82659;31/03/2001;0000;227.1;30.748387;21.454839;86.41129;
82659;30/04/2001;0000;234.7;31.176667;20.79;84.608333;
82659;31/05/2001;0000;210.7;32.364516;21.258065;83.83871;
82659;30/06/2001;0000;14.1;32.43;18.803333;76.283333;
82659;31/07/2001;0000;2.6;33.564516;17.254839;69.193548;
82659;31/08/2001;0000;0.6;34.883871;16.351613;55.516129;
82659;30/09/2001;0000;29.7;34.606667;19.916667;69.35;
82659;31/10/2001;0000;99.1;32.112903;21.035484;79.104839;
82659;30/11/2001;0000;263.4;31.583333;21.933333;82.991667;
82659;31/12/2001;0000;254.1;30.709677;22.035484;87;
82659;31/01/2002;0000;318.2;30.229032;21.925806;86.58871;
82659;28/02/2002;0000;209.1;31.410714;21.828571;83.464286;
82659;31/03/2002;0000;104.7;31.116129;21.890323;84.629032;
82659;30/04/2002;0000;105.4;31.706667;21.436667;85.025;
82659;31/05/2002;0000;90.2;32.335484;21.280645;81.282258;
82659;30/06/2002;0000;0.1;32.97;18.01;71.133333;
82659;31/07/2002;0000;17.2;34.348387;18.609677;67.193548;
82659;31/08/2002;0000;0;35.522581;17.122581;55.540323;
82659;30/09/2002;0000;176.3;34.426667;20.22;68.791667;
82659;31/10/2002;0000;119.9;32.154839;20.683871;79.403226;
82659;30/11/2002;0000;235.1;31.65;20.976667;84;
82659;31/12/2002;0000;254.1;30.493548;21.790323;86.943548;
82659;31/01/2003;0000;226.4;31.367742;21.987097;84.95;
82659;28/02/2003;0000;260.9;30.982143;21.853571;86.205357;
82659;31/03/2003;0000;314;30.632258;21.864516;87.33871;
82659;30/04/2003;0000;153.5;31.746667;21.633333;84.7;
