--------------------
BDMEP - INMET
--------------------
Estação           : ARCOVERDE - PE (OMM: 82890)
Latitude  (graus) : -8.41
Longitude (graus) : -37.08
Altitude  (metros): 680.70
Estação Operante
Inicio de operação: 01/02/1973
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82890;31/01/2000;0000;43.3;30.309677;19.483871;78.806452;
82890;29/02/2000;0000;83.5;30.796552;19.410345;80.181034;
82890;31/03/2000;0000;70.2;30.541935;19.390323;82.258065;
82890;30/04/2000;0000;135.9;29.196667;19.223333;83.844828;
82890;31/05/2000;0000;27.6;28.374194;18.009677;87.032258;
82890;30/06/2000;0000;110.8;26.266667;18.136667;;
82890;31/07/2000;0000;75.3;25.093548;17.567742;;
82890;31/08/2000;0000;86.8;25.858065;17.058065;;
82890;30/09/2000;0000;32.3;27.7;18.273333;86.71875;
82890;31/10/2000;0000;17.2;30.874194;17.57931;;
82890;30/11/2000;0000;30.6;31.98;18.06;;
82890;31/12/2000;0000;136.7;30.85;18.36129;86.467742;
82890;31/01/2001;0000;10.3;30.9;;;
82890;28/02/2001;0000;16.3;32.35;18.825;79.080357;
82890;31/03/2001;0000;130.1;31.183871;18.406452;;
82890;30/04/2001;0000;64.4;29.22;17.646667;;
82890;31/05/2001;0000;0.8;31.512903;18.06129;;
82890;30/06/2001;0000;169;25.273333;16.643333;;
82890;31/07/2001;0000;109.9;24.929032;16.132258;93.314516;
82890;31/08/2001;0000;62.5;25.141935;14.980645;89.943548;
82890;30/09/2001;0000;1.4;29.53;16.993103;83.85;
82890;31/10/2001;0000;78.1;30.206452;17.774194;83.185484;
82890;30/11/2001;0000;6.7;32.45;17.853333;80.416667;
82890;31/12/2001;0000;2.6;32.374194;19.23871;69.516129;
82890;31/01/2002;0000;154.1;28.26;18.733333;84.266667;
82890;28/02/2002;0000;18;29.47037;17.996429;78.648148;
82890;31/03/2002;0000;71.5;30.1;18.490323;79.072581;
82890;30/04/2002;0000;34.6;29.52069;18.353333;78.898148;
82890;31/05/2002;0000;22.5;28.635484;18.003226;80.806452;
82890;30/06/2002;0000;88.8;25.65;15.633333;88.058333;
82890;31/07/2002;0000;39.2;26.848387;15.329032;81.879032;
82890;31/08/2002;0000;35.7;27.386667;15.953333;80.3;
82890;30/09/2002;0000;4.3;30.15;17.393103;67.358333;
82890;31/10/2002;0000;6.9;31.335484;18.396774;64.524194;
82890;30/11/2002;0000;0.7;32.7;19.006667;60.3;
82890;31/12/2002;0000;49.7;32.845161;20.003333;65.532258;
82890;31/01/2003;0000;28.2;33.129032;20.241935;64.564516;
82890;28/02/2003;0000;28.2;31.214286;19.885714;70.741071;
82890;31/03/2003;0000;36.3;31.183871;20.012903;72.016129;
82890;30/04/2003;0000;89.9;31.256667;19.553333;69.591667;
82890;31/05/2003;0000;67.4;29.33871;19.174194;77.25;
82890;30/06/2003;0000;34.6;27.156667;17.24;79.766667;
82890;31/07/2003;0000;50.1;26.129032;16.783871;78.25;
82890;31/08/2003;0000;54.9;29.143333;17.003571;71.525862;
82890;30/09/2003;0000;61.7;28.71;17.42;71.633333;
82890;31/10/2003;0000;10.8;31.022581;18.548387;66.37069;
82890;30/11/2003;0000;33;32.33;19.216667;65.9;
82890;31/12/2003;0000;8.4;32.841935;19.880645;63.580645;
82890;31/01/2004;0000;346.6;29.66129;20.119355;74.193548;
82890;29/02/2004;0000;207.8;28.775862;19.131034;79.344828;
82890;31/03/2004;0000;47.4;29.832258;19.070968;72.483871;
82890;30/04/2004;0000;19.2;30.35;19.42;73.6;
82890;31/05/2004;0000;43.9;28.619355;18.751613;76.064516;
82890;30/06/2004;0000;151.8;24.536667;17.59;87.4;
82890;31/07/2004;0000;72.9;24.709677;16.664516;86.387097;
82890;31/08/2004;0000;64.9;25.664516;16.154839;83.193548;
82890;30/09/2004;0000;20.1;28.236667;16.726667;76.3;
82890;31/10/2004;0000;0;31.735484;17.883871;69;
82890;30/11/2004;0000;2.3;32.416667;19.082759;66.733333;
82890;31/12/2004;0000;3.9;32.787097;18.983871;66.322581;
82890;28/02/2005;0000;76.6;32.203571;20.282143;68.214286;
82890;31/03/2005;0000;205.2;32.151613;19.851613;73.483871;
82890;30/04/2005;0000;19.8;29.36;18.373333;80.413793;
82890;31/05/2005;0000;88.3;26.65;18.856667;86.841667;
82890;30/06/2005;0000;150.6;24.926667;17.86;88.633333;
82890;31/07/2005;0000;49.5;24.71;16.4;85.366667;
82890;31/08/2005;0000;85.5;25.33871;15.916129;84.612903;
82890;30/09/2005;0000;7.9;28.913333;16.42;74.7;
82890;31/10/2005;0000;0;31.858065;18.841935;70.419355;
82890;30/11/2005;0000;1.2;32.793333;18.78;67.333333;
82890;31/12/2005;0000;115.8;30.829032;18.33871;73.266667;
82890;28/02/2006;0000;27.8;32.803704;19.592593;71.518519;
82890;31/03/2006;0000;72.7;31.612903;19.687097;75.064516;
82890;30/04/2006;0000;90.9;29.52;19.413333;81.433333;
82890;31/05/2006;0000;86.9;26.790323;18.419355;85.709677;
82890;30/06/2006;0000;118.6;24.82;17.323333;87.433333;
82890;31/07/2006;0000;54;24.86129;16.332258;86.677419;
82890;31/08/2006;0000;37.7;26.754839;15.545161;79.935484;
82890;30/09/2006;0000;21.2;29.840741;16.992593;73.074074;
82890;31/10/2006;0000;2.3;32.089655;18.613793;68.206897;
82890;30/11/2006;0000;15.6;32.686667;19.18;67.5;
82890;31/12/2006;0000;0;33.34;19.573333;64.966667;
82890;28/02/2007;0000;134.8;31.478571;20.442857;77.75;
82890;31/03/2007;0000;238.6;28.107143;19.15;84.037037;
82890;30/04/2007;0000;64.3;29;19.326667;81.666667;
82890;31/05/2007;0000;70.9;26.922581;18.541935;87.290323;
82890;30/06/2007;0000;158;25.533333;17.51;85.833333;
82890;31/07/2007;0000;58.4;25.489655;16.637931;85.851852;
82890;31/08/2007;0000;97.1;25.432258;16.66129;83.645161;
82890;30/09/2007;0000;35.1;27.153333;16.263333;78.933333;
82890;31/10/2007;0000;3.7;31.270968;17.903226;68.483871;
82890;30/11/2007;0000;9.4;32.74;18.716667;64.533333;
82890;31/12/2007;0000;18.8;32.193333;18.748276;64.103448;
82890;29/02/2008;0000;88.4;32;19.296552;66.275862;
82890;31/03/2008;0000;179.6;29.864286;19.740741;76.888889;
82890;30/04/2008;0000;85.3;27.993333;19.17;81.62069;
82890;31/05/2008;0000;154.3;25.864516;18.429032;86.387097;
82890;30/06/2008;0000;54.5;24.773333;17.09;87.066667;
82890;31/07/2008;0000;107.2;23.922581;16.377419;84.83871;
82890;31/08/2008;0000;45.6;25.972414;16.606897;83.586207;
82890;30/09/2008;0000;12.4;28.56;16.56;74.6;
82890;31/10/2008;0000;5.7;31.141935;17.641935;68.741935;
82890;30/11/2008;0000;0;33.213793;18.403448;61.428571;
82890;31/12/2008;0000;21.2;32.931034;19.193103;64.310345;
82890;28/02/2009;0000;89.3;30.118519;19.374074;73.814815;
82890;31/05/2009;0000;256.9;26.571429;19.535714;87.555556;
82890;30/06/2009;0000;78.7;25.14;18.21;89.233333;
82890;31/07/2009;0000;80.5;25.625806;17.322581;86.419355;
82890;31/08/2009;0000;97.7;25.916129;17.048387;85.766667;
82890;30/09/2009;0000;2.3;29.793333;17.49;74.733333;
82890;31/10/2009;0000;6.1;31.979167;18.4875;67.916667;
82890;30/11/2009;0000;4.8;32.466667;18.84;67.533333;
82890;31/12/2009;0000;36.1;31.851613;19.454839;70.903226;
82890;31/01/2010;0000;143.3;29.696774;19.116129;78.806452;
82890;28/02/2010;0000;90.1;31.507143;19.778571;75.928571;
82890;31/03/2010;0000;67.6;32.264516;19.783871;73.366667;
82890;31/05/2010;0000;34.7;29.619355;18.716129;82.258065;
82890;30/06/2010;0000;210.6;25.466667;17.863333;89.733333;
82890;31/07/2010;0000;73.5;25.116129;17.351613;87.225806;
82890;31/08/2010;0000;31.9;25.606452;16.480645;82.483871;
82890;30/09/2010;0000;37.3;27.846667;16.866667;75.896552;
82890;31/10/2010;0000;62.1;31.077419;18.796774;71.032258;
82890;30/11/2010;0000;0;32.286667;18.92;64.793103;
82890;31/12/2010;0000;31.2;31.587097;19.783871;67.833333;
82890;31/01/2011;0000;36.2;31.451613;19.570968;70.064516;
82890;28/02/2011;0000;58;31.335714;19.964286;72.785714;
82890;31/03/2011;0000;36.1;31.825806;19.622581;71.16129;
82890;30/04/2011;0000;89;29.633333;19.833333;80.533333;
82890;31/05/2011;0000;229.8;26.096774;19.583871;87.903226;
82890;31/07/2011;0000;78;24.832258;17.080645;88.206897;
82890;31/08/2011;0000;39.2;27.451613;16.196774;77;
82890;30/09/2011;0000;22.4;27.88;17.16;78.258333;
82890;31/10/2011;0000;18.2;30.935484;18.558065;74.258065;
82890;30/11/2011;0000;21.8;31.14;19.226667;73.325;
82890;31/12/2011;0000;0;32.967742;19.103226;65.830645;
82890;31/01/2012;0000;91.2;31.335484;19.590323;70.395161;
82890;29/02/2012;0000;7.7;31.124138;19.417241;71.474138;
82890;31/03/2012;0000;10;32.283871;19.396774;68.266129;
82890;30/04/2012;0000;38.7;31.493333;19;69.708333;
82890;31/05/2012;0000;43.7;30.425806;18.745161;75.145161;
82890;30/06/2012;0000;27.3;28.233333;18.396667;75;
82890;31/07/2012;0000;59.3;26.251613;16.964516;86.169355;
82890;31/08/2012;0000;37.9;26.983871;16.758065;82.217742;
82890;30/09/2012;0000;5.9;29.84;17.083333;75.491667;
82890;31/10/2012;0000;7.7;31.16129;18.551613;73.459677;
82890;30/11/2012;0000;10.9;33.46;19.506667;67.775;
82890;31/12/2012;0000;0.9;33.154839;20.006452;68.580645;
82890;31/01/2013;0000;3.2;33.045161;20.577419;66;
82890;28/02/2013;0000;1.4;33.335714;20.528571;69.3125;
82890;31/03/2013;0000;17.4;33.23871;21.177419;69.41129;
82890;30/04/2013;0000;98;31.46;20.72;75.35;
82890;31/05/2013;0000;56.4;28.270968;19.254839;82.862903;
82890;30/06/2013;0000;60.4;26.933333;18.593333;82.8;
82890;31/07/2013;0000;117.1;25.151613;17.387097;88.693548;
82890;31/08/2013;0000;31.4;26.619355;17.116129;84.629032;
82890;30/09/2013;0000;11.9;29.84;17.56;76.25;
82890;31/10/2013;0000;20;31.625806;18.712903;72.846774;
82890;30/11/2013;0000;9.8;31.455172;19.18;74.408333;
82890;31/12/2013;0000;90.7;31.729032;19.867742;72.08871;
82890;31/01/2014;0000;3;31.974194;19.648387;71.548387;
82890;28/02/2014;0000;65.8;31.257143;19.85;74.857143;
82890;31/03/2014;0000;17.6;31.864516;20.209677;76.314516;
82890;30/04/2014;0000;86.3;30.49;19.86;79.866667;
82890;31/05/2014;0000;129.4;26.877419;18.906452;88.241935;
82890;30/06/2014;0000;59.6;26.986667;17.813333;83.566667;
82890;31/07/2014;0000;55.9;26.8;16.954839;86.096774;
82890;31/08/2014;0000;59.3;26.535484;16.454839;84.475806;
82890;30/09/2014;0000;44.4;29.226667;17.783333;80.558333;
82890;31/10/2014;0000;106.4;28.535484;18.474194;81.741935;
82890;30/11/2014;0000;7.9;31.48;18.92;77.108333;
82890;31/12/2014;0000;7.9;31.922581;19.409677;75.241935;
