--------------------
BDMEP - INMET
--------------------
Estação           : AVARE - SP (OMM: 83773)
Latitude  (graus) : -23.08
Longitude (graus) : -48.91
Altitude  (metros): 854.00
Estação Operante
Inicio de operação: 01/01/1905
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83773;31/01/2000;0000;238.9;29.604;17.836;;
83773;29/02/2000;0000;188;28.828;17.42;;
83773;31/03/2000;0000;123.4;28.062963;16.366667;;
83773;30/04/2000;0000;1.8;28.210345;15.217241;;
83773;31/05/2000;0000;16;24.887097;12.564516;;
83773;30/06/2000;0000;17.6;25.15;13.406667;63.225;
83773;31/07/2000;0000;36.3;21.741935;9.973333;63.137097;
83773;31/08/2000;0000;88.4;24.403226;12.912903;64.58871;
83773;30/09/2000;0000;126.8;24.78;14.073333;74.525;
83773;31/10/2000;0000;96.5;30.258065;17.674194;64.185484;
83773;30/11/2000;0000;146.3;28.38;16.973333;75.1;
83773;31/12/2000;0000;254.9;28.303226;18.380645;75.290323;
83773;31/01/2001;0000;86.2;29.529032;19.374194;;
83773;28/02/2001;0000;322.1;29.189286;19.796429;81.080357;
83773;31/03/2001;0000;128.7;29.296774;19.303448;74.169355;
83773;30/04/2001;0000;34.9;28.736667;18.173333;73.875;
83773;31/05/2001;0000;151.8;23.025806;13.27;81.330645;
83773;30/06/2001;0000;70.5;22.636667;12.673333;79.275;
83773;31/07/2001;0000;51.3;23.674194;13.025806;73.975806;
83773;31/08/2001;0000;76.9;25.974194;14.441935;69.766129;
83773;30/09/2001;0000;60.2;26.446667;14.456667;72.516667;
83773;31/10/2001;0000;134.9;28.541935;15.590323;67.693548;
83773;30/11/2001;0000;129.7;29.62;17.653333;72.241667;
83773;31/12/2001;0000;346.7;28.093548;17.770968;77.306452;
83773;31/01/2002;0000;309.9;28.596774;18.474194;;
83773;28/02/2002;0000;109;27.825;17.942857;;
83773;31/03/2002;0000;71.6;30.925806;19.593333;68.169355;
83773;30/04/2002;0000;38.8;30.503333;18.833333;67.791667;
83773;31/05/2002;0000;172.6;25;15.629032;76.572581;
83773;30/06/2002;0000;7.2;26.223333;15.482759;64.95;
83773;31/07/2002;0000;25.5;23.367742;11.987097;;
83773;31/08/2002;0000;147;27.503226;15.616129;63.516129;
83773;30/09/2002;0000;78.3;26.013333;13.446667;66.883333;
