--------------------
BDMEP - INMET
--------------------
Estação           : BACABAL - MA (OMM: 82460)
Latitude  (graus) : -4.21
Longitude (graus) : -44.76
Altitude  (metros): 25.07
Estação Operante
Inicio de operação: 15/08/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82460;31/01/2000;0000;308.3;;23.654839;85.370968;
82460;29/02/2000;0000;236.3;;23.655172;84.793103;
82460;31/03/2000;0000;493.9;;23.793548;85.41129;
82460;30/04/2000;0000;335.8;;23.91;83.075;
82460;31/05/2000;0000;235.7;;24.006452;80.572581;
82460;30/06/2000;0000;76.1;;23.543333;78.708333;
82460;31/07/2000;0000;90.8;;23.351613;76.91129;
82460;31/08/2000;0000;3.5;34.358065;23.03871;75.169355;
82460;30/09/2000;0000;11.2;35.736667;23.8;71.9;
82460;31/10/2000;0000;25.5;36.9;23.912903;69.596774;
82460;30/11/2000;0000;9.5;37.53;24.293333;67.191667;
82460;31/12/2000;0000;129.5;35.696774;24.429032;75.895161;
82460;31/01/2001;0000;239.1;32.977419;23.419355;85.241935;
82460;28/02/2001;0000;238.1;33.167857;23.310714;85.375;
82460;31/03/2001;0000;412;33.219355;23.56129;87.653226;
82460;30/04/2001;0000;451.2;33.356667;23.946667;88.483333;
82460;31/05/2001;0000;232.7;33.86129;24.63871;84.822581;
82460;30/06/2001;0000;131.1;32.53;23.406667;85.441667;
82460;31/07/2001;0000;7.2;33.464516;23.145161;81.459677;
82460;31/08/2001;0000;0;34.932258;21.980645;71.790323;
82460;30/09/2001;0000;6.2;36.603333;23.836667;66.733333;
82460;31/10/2001;0000;18;37.019355;24.341935;65.225806;
82460;30/11/2001;0000;53.8;34.713333;25.28;70.708333;
82460;31/12/2001;0000;81.4;34.832258;25.132258;72.975806;
82460;31/01/2002;0000;483.9;31.670968;;87.112903;
82460;28/02/2002;0000;161.2;32.964286;24.475;82.803571;
82460;31/03/2002;0000;341.5;32.154839;24.067742;87.266129;
82460;30/04/2002;0000;433.4;32.424138;24.213333;84.475;
82460;31/05/2002;0000;181.2;32.566667;24.986667;82.354839;
82460;30/06/2002;0000;108.3;31.686667;23.75;82.566667;
82460;31/07/2002;0000;27.8;32.906452;23.925806;75.653226;
82460;31/08/2002;0000;10.7;34.003226;23.780645;69.903226;
82460;30/09/2002;0000;18.1;34.663333;23.966667;67.45;
82460;31/10/2002;0000;16.8;35.777419;24.593548;65.104839;
82460;30/11/2002;0000;13.9;35.613333;25.13;66.683333;
82460;31/12/2002;0000;137.6;34.170968;24.870968;73.040323;
82460;31/01/2003;0000;142.4;33.048387;24.677419;80.193548;
82460;28/02/2003;0000;384.2;31.789286;23.921429;84.116071;
82460;31/03/2003;0000;357;31.935484;24.241935;84.298387;
82460;30/04/2003;0000;428.6;32.48;24.744828;83.041667;
82460;31/05/2003;0000;199.8;32.46129;24.648387;79.935484;
82460;30/06/2003;0000;160.5;32.03;23.803333;79.641667;
82460;31/07/2003;0000;2.4;32.509677;23.409677;71.919355;
82460;31/08/2003;0000;21.3;33.612903;23.896774;71.741935;
82460;30/09/2003;0000;7.9;35.08;24.416667;66.991667;
82460;31/10/2003;0000;5.8;36.145161;25.087097;65.435484;
82460;30/11/2003;0000;24.7;34.883333;25.02;69.8;
82460;31/12/2003;0000;111.8;34.36129;24.783871;72.145161;
82460;31/01/2004;0000;339.5;32.225806;24.490323;80.548387;
82460;29/02/2004;0000;392.7;31.696552;24.27931;84.37069;
82460;31/03/2004;0000;487.9;32.264516;24.825806;82.564516;
82460;30/04/2004;0000;271.7;32.026667;24.623333;83.658333;
82460;31/05/2004;0000;109.8;33.016129;25.167742;77.193548;
82460;30/06/2004;0000;56.1;32.02;24.156667;78.625;
82460;31/07/2004;0000;12.8;32.435484;23.732258;74.072581;
82460;31/08/2004;0000;35.5;33.983871;24.003226;68.943548;
82460;30/09/2004;0000;21.9;35.18;24.38;65.65;
82460;31/10/2004;0000;16;36.209677;24.758065;64.991935;
82460;30/11/2004;0000;18;35.823333;24.84;66.591667;
82460;31/12/2004;0000;50.2;34.996774;25.196774;68.943548;
82460;31/01/2005;0000;237.2;33.767742;24.922581;75.080645;
82460;28/02/2005;0000;283.4;32.921429;24.932143;81.446429;
82460;31/03/2005;0000;252.3;32.477419;24.758065;83.677419;
82460;30/04/2005;0000;273.1;32.48;25.006667;84.941667;
82460;31/05/2005;0000;168.8;32.574194;25.045161;81.25;
82460;30/06/2005;0000;39.2;32.993333;24.59;74.925;
82460;31/07/2005;0000;0;33.432258;23.46129;70.653226;
82460;31/08/2005;0000;1;35.16129;24.170968;67.129032;
82460;30/09/2005;0000;0;36.72;24.71;62.291667;
82460;31/10/2005;0000;17;36.729032;24.941935;63.814516;
82460;30/11/2005;0000;141.9;36.863333;25.423333;66.091667;
82460;31/12/2005;0000;238.2;32.912903;24.683871;77.725806;
82460;31/01/2006;0000;134.6;32.312903;24.519355;83.008065;
82460;28/02/2006;0000;157.7;32.346429;24.460714;84.080357;
82460;31/03/2006;0000;489.2;32.603226;24.670968;83.330645;
82460;30/04/2006;0000;578.5;31.072414;24.506667;89.041667;
82460;31/05/2006;0000;309.1;31.770968;24.529032;84.096774;
82460;30/06/2006;0000;12.3;32.186667;23.866667;74.591667;
82460;31/07/2006;0000;3.4;32.954839;22.954839;69.903226;
82460;31/08/2006;0000;12.5;34.432258;22.916667;71.145161;
82460;30/09/2006;0000;12.8;35.586667;23.833333;67.283333;
82460;31/10/2006;0000;21.9;36.619355;23.906452;64.169355;
82460;30/11/2006;0000;101.5;35.413333;23.676667;70.233333;
82460;31/12/2006;0000;88.4;34.396774;23.464516;74.056452;
82460;31/01/2007;0000;113.4;33.770968;23.406452;77.766129;
82460;28/02/2007;0000;265.7;31.389286;;87.008929;
82460;31/03/2007;0000;326.8;32.329032;;85.112903;
82460;30/04/2007;0000;569;32.093333;23.513333;86.75;
82460;31/05/2007;0000;76.4;32.829032;24.348387;81.314516;
82460;30/06/2007;0000;26.7;32.86;22.583333;74.291667;
82460;31/07/2007;0000;4.2;33.477419;22.012903;73.153226;
82460;31/08/2007;0000;0;35.264516;22.106452;63.306452;
82460;30/09/2007;0000;0;36.936667;23;59.633333;
82460;31/10/2007;0000;0.2;37.487097;23.635484;61.620968;
82460;30/11/2007;0000;5.4;37.283333;23.876667;62.975;
82460;31/12/2007;0000;175.8;34.009677;23.380645;75.548387;
82460;31/01/2008;0000;425.2;31.870968;22.258065;83.983871;
82460;29/02/2008;0000;401.2;31.955172;22.72069;85.741379;
82460;31/03/2008;0000;555.7;31.319355;22.732258;88.096774;
82460;30/04/2008;0000;454;31.716667;23.5;87.5;
82460;31/05/2008;0000;373.2;31.774194;;82.185484;
82460;30/06/2008;0000;34.9;32.086667;23.383333;77.983333;
82460;31/07/2008;0000;37.2;32.987097;22.974194;74.943548;
82460;31/08/2008;0000;13.4;36.003226;22.770968;65.080645;
82460;30/09/2008;0000;3.5;37.283333;22.936667;62.558333;
82460;31/10/2008;0000;31.5;38.419355;22.980645;61.983871;
82460;30/11/2008;0000;32.1;37.7;23.07;65.108333;
82460;31/12/2008;0000;141.5;35.993548;22.6;70.677419;
82460;31/01/2009;0000;216.2;34.012903;21.667742;82.887097;
82460;28/02/2009;0000;322.5;34.3;21.317857;83.008929;
82460;31/03/2009;0000;408.4;34.432258;21.625806;83.008065;
82460;30/04/2009;0000;471.2;33.366667;21.043333;85.166667;
82460;31/05/2009;0000;545.9;33.73871;22.6;83.435484;
82460;30/06/2009;0000;81.7;34.35;23.743333;75.008333;
82460;31/07/2009;0000;33.1;34.229032;23.293548;74.774194;
82460;31/08/2009;0000;10.9;35.077419;23.13871;69.895161;
82460;30/09/2009;0000;2.1;37.686667;23.783333;65.658333;
82460;31/10/2009;0000;26;37.664516;24.203226;65.733871;
82460;30/11/2009;0000;8;37.783333;24.576667;64.091667;
82460;31/12/2009;0000;109.6;36.13871;24.648387;70.629032;
82460;31/01/2010;0000;265.4;34.603226;23.864516;75.387097;
82460;28/02/2010;0000;256.9;34.382143;24.592857;75.223214;
82460;31/03/2010;0000;182.3;35.354839;24.474194;73.709677;
82460;30/04/2010;0000;337.8;34.846667;24.753333;78.95;
82460;31/05/2010;0000;103.6;35.477419;25.393548;73.548387;
82460;30/06/2010;0000;43.7;34.58;23.806667;68.858333;
82460;31/07/2010;0000;26.4;34.65;22.696;63.846154;
82460;31/08/2010;0000;0;37.2;23.129032;58.4;
82460;30/09/2010;0000;2;38.98;23.883333;54;
82460;31/10/2010;0000;64.3;38.541935;24.754839;60.274194;
82460;30/11/2010;0000;78.2;37.046667;24.75;66.075;
82460;31/12/2010;0000;112;35.187097;24.473333;72.967742;
82460;31/01/2011;0000;244.2;33.919355;24.2;78.935484;
82460;28/02/2011;0000;586.3;33.367857;22.97037;83.044643;
82460;31/03/2011;0000;311.2;34.4;24.36129;82.419355;
82460;30/04/2011;0000;431.3;34.256667;23.803333;82.5;
82460;31/05/2011;0000;296.9;34.1;24.867742;79.66129;
82460;30/06/2011;0000;25.2;34.163333;24.243333;73.833333;
82460;31/07/2011;0000;104.1;33.941935;23.054839;72.620968;
82460;31/08/2011;0000;11.9;35.648387;23.831818;69.830645;
82460;30/09/2011;0000;0;37.943333;23.726667;62.75;
82460;31/10/2011;0000;65.3;36.864516;24.5;67.758065;
82460;30/11/2011;0000;24.1;36.676667;24.756667;69.241667;
82460;31/12/2011;0000;61.5;37.119355;24.825806;68.532258;
82460;31/01/2012;0000;195.2;33.545161;23.13871;76.790323;
82460;29/02/2012;0000;214;33.513793;23.066667;81.342593;
82460;31/03/2012;0000;318.7;33.886667;23.265217;83.217742;
82460;30/04/2012;0000;116;34.826667;24.683333;82.066667;
82460;31/05/2012;0000;92.5;35.158065;24.619355;77.733871;
82460;30/06/2012;0000;62.7;35.153333;24.173333;77.008333;
82460;31/07/2012;0000;3.5;35.355172;23.896667;67.568966;
82460;31/08/2012;0000;33.7;37.183871;22.709677;59.572581;
82460;30/09/2012;0000;25.4;38.764;23.655556;58.298077;
82460;31/10/2012;0000;1;39.112903;24.558065;63.791667;
82460;30/11/2012;0000;26.2;37.953571;25.133333;64.853448;
82460;31/12/2012;0000;166.3;35.619355;24.574194;72.444444;
82460;31/01/2013;0000;54.7;34.193548;;77.483871;
82460;28/02/2013;0000;310.8;34.535714;23.967857;77.607143;
82460;31/03/2013;0000;255;34.13871;24.464516;80.572581;
82460;30/04/2013;0000;295.5;34.726667;24.366667;80.625;
82460;31/05/2013;0000;171.9;34.116129;23.935484;79.935484;
82460;30/06/2013;0000;97.3;34.446667;23.523333;76.516667;
82460;31/07/2013;0000;27;34.348387;22.551613;76.056452;
82460;31/08/2013;0000;8.7;36.567742;22.767742;70.540323;
82460;30/09/2013;0000;11.4;38.416667;22.686667;63.508333;
82460;31/10/2013;0000;14.7;37.9;22.590323;64.072581;
82460;30/11/2013;0000;288.5;35.65;22.033333;71.816667;
82460;31/12/2013;0000;59.3;35.745161;23.585714;72.387097;
82460;31/01/2014;0000;275.7;32.677419;;79.854839;
82460;28/02/2014;0000;377.6;33.103571;;85.9375;
82460;31/03/2014;0000;273.7;33.677419;23.848276;83.193548;
82460;30/04/2014;0000;440.6;33.803333;23.753333;84.866667;
82460;31/05/2014;0000;284.9;33.887097;23.577419;83.129032;
82460;30/06/2014;0000;46;33.836667;23.376667;77.183333;
82460;31/07/2014;0000;2.2;34.48;22.883333;74.33871;
82460;31/08/2014;0000;18.7;36.558065;22.427778;65.862903;
82460;30/09/2014;0000;51.8;36.786667;;68.125;
82460;31/10/2014;0000;27.7;38.125806;;65.532258;
82460;30/11/2014;0000;24.7;36.636667;;66.55;
82460;31/12/2014;0000;98.9;35.316129;23.53;70.096774;
82460;31/01/2015;0000;66.7;34.803226;23.103226;73.483871;
82460;28/02/2015;0000;505;33.171429;;82.758929;
82460;31/03/2015;0000;426.4;33.422581;;82.951613;
82460;30/04/2015;0000;319.5;33.783333;;83.166667;
82460;31/05/2015;0000;158.6;34.122581;;82.185484;
82460;30/06/2015;0000;65.8;34.275862;23.566667;79.408333;
82460;31/07/2015;0000;6.5;33.796774;23.33871;75.274194;
82460;31/08/2015;0000;0;36.951613;22.580645;68.854839;
82460;30/09/2015;0000;3.6;38.24;23.006667;67.5;
82460;31/10/2015;0000;0.2;38.854839;23.129032;63.316667;
82460;30/11/2015;0000;24.5;38.910345;23.2;63.858333;
82460;31/12/2015;0000;17.8;38.082143;24.429032;63.825;
