--------------------
BDMEP - INMET
--------------------
Estação           : BARBACENA - MG (OMM: 83689)
Latitude  (graus) : -21.25
Longitude (graus) : -43.76
Altitude  (metros): 1126.00
Estação Operante
Inicio de operação: 09/06/1914
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83689;31/01/2000;0000;270.7;26.958065;17.296774;83;
83689;29/02/2000;0000;137.3;27.07931;17.055172;84.724138;
83689;31/03/2000;0000;130.9;25.774194;16.767742;85.467742;
83689;30/04/2000;0000;54.4;25.203333;14.216667;82.308333;
83689;31/05/2000;0000;2;23.658065;11.7;77.822581;
83689;30/06/2000;0000;0.2;23.606667;9.646667;75.891667;
83689;31/07/2000;0000;11.5;22.512903;9.874194;77.814516;
83689;31/08/2000;0000;38.3;24.558065;11.074194;71.266129;
83689;30/09/2000;0000;142.3;22.75;13.146667;81;
83689;31/10/2000;0000;80;27.925806;15.403226;70.717742;
83689;30/11/2000;0000;242.5;24.866667;15.763333;84.558333;
83689;31/12/2000;0000;179.1;27.170968;16.835484;81.887097;
83689;31/01/2001;0000;159.3;27.970968;16.96129;78.782258;
83689;28/02/2001;0000;102.8;29.489286;17.15;76.285714;
83689;31/03/2001;0000;195.4;28.187097;16.280645;78.806452;
83689;30/04/2001;0000;22.8;27.323333;15.44;75.783333;
83689;31/05/2001;0000;62.2;24.180645;12.545161;78.596774;
83689;30/06/2001;0000;0.2;23.583333;11.323333;79.1;
83689;31/07/2001;0000;3.9;24.103226;10.429032;73.709677;
83689;31/08/2001;0000;16.5;23.825806;11.264516;70.08871;
83689;30/09/2001;0000;69.4;23.553333;12.76;76.275;
83689;31/10/2001;0000;92.5;24.709677;13.990323;75.153226;
83689;30/11/2001;0000;313.1;26.75;16.436667;82.2;
83689;31/12/2001;0000;287.8;26.03871;16.470968;82.032258;
83689;31/01/2002;0000;226.3;27.703333;16.958065;83.403226;
83689;28/02/2002;0000;274;25.653571;16.603571;85.803571;
83689;31/03/2002;0000;49.7;27.8;16.574194;79.016129;
83689;30/04/2002;0000;34.4;27.162069;14.93;76.258333;
83689;31/05/2002;0000;59.7;24.433333;13.52;84.325;
83689;30/06/2002;0000;0;24.39;11.65;79.108333;
83689;31/07/2002;0000;11.6;23.266667;11.258065;80.782258;
83689;31/08/2002;0000;33.9;25.62;12.796774;70.675;
83689;30/09/2002;0000;86.2;23.883333;12.816129;76.975;
83689;31/10/2002;0000;158.7;28.393333;15.367742;66.366667;
83689;30/11/2002;0000;336.1;26.733333;16.243333;80.375;
83689;31/12/2002;0000;262.4;27.151613;17.480645;85.241935;
83689;31/01/2003;0000;465.8;27.341935;17.732258;87.580645;
83689;28/02/2003;0000;32.6;29.7;17.121429;72.348214;
83689;31/03/2003;0000;193.4;27.003226;16.483871;83.056452;
83689;30/04/2003;0000;37.2;25.676923;14.63;82.158333;
83689;31/05/2003;0000;39.7;22.577419;11.403226;83.080645;
83689;30/06/2003;0000;0;25.433333;10.663333;77.266667;
83689;31/07/2003;0000;17.4;22.664516;9.777419;73.637097;
83689;31/08/2003;0000;44.8;22.412903;10.683871;78.040323;
83689;30/09/2003;0000;52.1;23.93;12.87;77.691667;
83689;31/10/2003;0000;87.1;25.045161;14.158065;75.983871;
83689;30/11/2003;0000;159.9;25.1;15.676667;84.616667;
83689;31/12/2003;0000;214.5;26.309677;17.051613;87.201613;
83689;31/01/2004;0000;225;25.177419;16.383871;84.451613;
83689;29/02/2004;0000;408.2;25.075862;16.57931;88.637931;
83689;31/03/2004;0000;145.4;25.764516;15.429032;84.758065;
83689;30/04/2004;0000;220.9;24.88;15.36;87.408333;
83689;31/05/2004;0000;42.8;22.912903;12.632258;85.991935;
83689;30/06/2004;0000;49.1;21.403448;10.706667;85.866667;
83689;31/07/2004;0000;32;19.903226;9.980645;86;
83689;31/08/2004;0000;0.7;23.780645;10.509677;73.048387;
83689;30/09/2004;0000;2.4;27.133333;13.726667;66.25;
83689;31/10/2004;0000;79.7;24.264516;14.33871;82.403226;
83689;30/11/2004;0000;327;24.72;15.75;82.3;
83689;31/12/2004;0000;464;25.041935;16.483333;89.048387;
83689;31/01/2005;0000;407.8;25.887097;17.367742;88.701613;
83689;28/02/2005;0000;153.3;26.553571;16.05;83.428571;
83689;31/03/2005;0000;161.9;26.33871;17.170968;86.879032;
83689;30/04/2005;0000;65;26.573333;16.016667;83.458333;
83689;31/05/2005;0000;53.4;22.929032;13.216129;83.75;
83689;30/06/2005;0000;22.9;22.1;11.766667;83.408333;
83689;31/07/2005;0000;17.6;21.429032;10.7;78.991935;
83689;31/08/2005;0000;26.4;24.283871;12.058065;73.645161;
83689;30/09/2005;0000;97.5;23.303333;13.913333;82.025;
83689;31/10/2005;0000;84.5;27.316129;15.806452;73.056452;
83689;30/11/2005;0000;329.5;23.58;15.42;87.375;
83689;31/12/2005;0000;408;24.522581;15.325806;83.774194;
83689;31/01/2006;0000;173.2;27.187097;16.925806;77.314516;
83689;28/02/2006;0000;232.3;28.003571;17.553571;80.517857;
83689;31/03/2006;0000;141.4;27.388889;17.032258;83.983871;
83689;30/04/2006;0000;13.7;;15.14;82.708333;
83689;31/05/2006;0000;34.2;;11.464516;79.91129;
83689;30/06/2006;0000;6.8;21.641667;10.423333;81.983333;
83689;31/07/2006;0000;2;23.767742;9.112903;71.5;
83689;31/08/2006;0000;9.4;25.425806;11.696774;70.717742;
83689;30/09/2006;0000;72;23.38;12.126667;77.4;
83689;31/10/2006;0000;152.1;24.029032;15.116129;84.5;
83689;30/11/2006;0000;224.3;24.78;15.393333;85.583333;
83689;31/12/2006;0000;242.5;25.674194;16.532258;86.548387;
83689;31/01/2007;0000;558.9;25.925806;16.806452;89.177419;
83689;28/02/2007;0000;85.6;27.017857;16.185714;80.375;
83689;31/03/2007;0000;186.7;28.796774;15.445161;74.387097;
83689;30/04/2007;0000;24.2;25.756667;14.68;83.35;
83689;31/05/2007;0000;25.1;23.087097;10.16129;81.185484;
83689;30/06/2007;0000;3.8;24.433333;9.07;76.225;
83689;31/07/2007;0000;9.4;23.512903;9.1;74.25;
83689;31/08/2007;0000;3.4;24.374194;8.916129;68.943548;
83689;30/09/2007;0000;24.4;25.673333;10.96;68.8;
83689;31/10/2007;0000;190.6;27.3;13.458065;71.564516;
83689;30/11/2007;0000;128.2;25.09;13.75;83.983333;
83689;31/12/2007;0000;213.8;27.322581;14.980645;78.427419;
83689;31/01/2008;0000;242.4;25.325806;14.125806;84.967742;
