--------------------
BDMEP - INMET
--------------------
Estação           : BELTERRA - PA (OMM: 82246)
Latitude  (graus) : -2.63
Longitude (graus) : -54.95
Altitude  (metros): 175.74
Estação Operante
Inicio de operação: 01/08/1971
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82246;31/01/2000;0000;343.9;29.541935;21.993548;91.193548;
82246;29/02/2000;0000;365.7;29.389655;21.941379;91.646552;
82246;31/03/2000;0000;396.3;29.493548;22.196774;91.669355;
82246;30/04/2000;0000;366.1;29.45;22.276667;92.766667;
82246;31/05/2000;0000;149.7;29.945161;22.648387;91.612903;
82246;30/06/2000;0000;135.9;29.896667;21.926667;90.9;
82246;31/07/2000;0000;167;29.954839;21.73871;90.209677;
82246;31/08/2000;0000;43.2;30.770968;21.841935;87.854839;
82246;30/09/2000;0000;69.9;31.44;22.06;86.041667;
82246;31/10/2000;0000;31.6;31.351613;22.383871;83.572581;
82246;30/11/2000;0000;78.2;31.176667;22.353333;83.658333;
82246;31/12/2000;0000;92.1;30.8;22.712903;83.548387;
82246;31/01/2001;0000;455.7;29.012903;21.812903;91.556452;
82246;28/02/2001;0000;360.3;29.678571;21.8;90.660714;
82246;31/03/2001;0000;169.1;29.635484;22.212903;91.056452;
82246;30/04/2001;0000;286.1;29.62;22.353333;91.983333;
82246;31/05/2001;0000;122.9;30.196774;22.341935;90.354839;
82246;30/06/2001;0000;203.3;29.543333;21.95;91.283333;
82246;31/07/2001;0000;66.9;30.393548;21.477419;90.395161;
82246;31/08/2001;0000;5.4;31.822581;21.951613;87.604839;
82246;30/09/2001;0000;21.5;31.896667;22.236667;87.316667;
82246;31/10/2001;0000;31.4;33.070968;23;81.572581;
82246;30/11/2001;0000;23.3;32.806667;23.476667;77.308333;
82246;31/12/2001;0000;3.5;33.006452;23.619355;76.725806;
82246;31/01/2002;0000;349.1;30.374194;22.674194;86.895161;
82246;28/02/2002;0000;194.6;30.4;23.003571;86.955357;
82246;31/03/2002;0000;174.9;29.777419;22.916129;89.717742;
82246;30/04/2002;0000;484.7;29.875;22.625;90.275;
82246;31/05/2002;0000;158.3;29.727586;22.882759;90.591667;
82246;30/06/2002;0000;141.2;29.866667;22.113333;89.35;
82246;31/07/2002;0000;58.2;30.690323;21.819355;87.822581;
82246;31/08/2002;0000;17;31.63871;22.23871;85.185484;
82246;30/09/2002;0000;28.4;32.8;22.663333;79.475;
82246;31/10/2002;0000;11.9;32.993548;23.306452;76.830645;
82246;30/11/2002;0000;54.7;32.353333;22.886667;78.625;
82246;31/12/2002;0000;79.6;31.596774;23.325806;79.548387;
82246;31/01/2003;0000;19.9;32.2;23.435484;77.685484;
82246;28/02/2003;0000;290.3;29.314286;22.682143;88.053571;
82246;31/03/2003;0000;255.5;29.7;22.629032;87.645161;
82246;30/04/2003;0000;289.2;30.31;22.8;89.708333;
82246;31/05/2003;0000;186.7;30.458065;22.541935;92.83871;
82246;30/06/2003;0000;216.6;30.05;22.143333;93.225;
82246;31/07/2003;0000;150;30.609677;21.532258;91.943548;
82246;31/08/2003;0000;57.2;31.274194;22.164516;89.919355;
82246;30/09/2003;0000;49.6;31.536667;22.53;88.725;
82246;31/10/2003;0000;36;32.058065;22.990323;86.096774;
82246;30/11/2003;0000;63.3;31.756667;22.583333;85.666667;
82246;31/12/2003;0000;35;32.241935;22.63871;80.080645;
82246;31/01/2004;0000;271.4;31.254839;22.332258;86.225806;
82246;29/02/2004;0000;383.1;29.558621;22.272414;91.482759;
82246;31/03/2004;0000;344.7;30.212903;22.041935;90.604839;
82246;30/04/2004;0000;258.9;30.45;22.3;91.633333;
82246;31/05/2004;0000;174;30.541935;22.396774;91.540323;
82246;30/06/2004;0000;106;30.673333;21.813333;90.941667;
82246;31/07/2004;0000;143.6;30.658065;21.564516;90.217742;
82246;31/08/2004;0000;55.3;31.393548;21.993548;87.169355;
82246;30/09/2004;0000;61.9;32.003333;22.643333;84.741667;
82246;31/10/2004;0000;11.5;32.554839;23.041935;81.403226;
82246;30/11/2004;0000;0;33.35;23.096667;77.666667;
82246;31/12/2004;0000;56.5;33.403226;22.922581;75.298387;
82246;31/01/2005;0000;194.8;32.283871;22.63871;81.177419;
82246;28/02/2005;0000;299.7;30.428571;22.178571;87.928571;
82246;31/03/2005;0000;322.1;30.541935;22.512903;88.193548;
82246;30/04/2005;0000;235.7;30.343333;22.626667;89.416667;
82246;31/05/2005;0000;404.2;30.203226;22.325806;89.862903;
82246;30/06/2005;0000;44.3;30.82;22.24;88.075;
82246;31/07/2005;0000;139.1;31.283871;21.554839;87;
82246;31/08/2005;0000;47.9;32.329032;22.287097;84.483871;
82246;30/09/2005;0000;20.7;32.663333;23.03;80.241667;
82246;31/10/2005;0000;31.2;33.270968;23.229032;77.83871;
82246;30/11/2005;0000;16.1;33.196667;23.203333;78.366667;
82246;31/12/2005;0000;278.8;30.5;22.122581;87.741935;
82246;31/01/2006;0000;219.4;30.190323;22.193548;89.169355;
82246;28/02/2006;0000;213.7;30.246429;22.439286;89.169643;
82246;31/03/2006;0000;457.6;30.058065;22.135484;89.701613;
82246;30/04/2006;0000;430.6;29.786667;22.346667;91.033333;
