--------------------
BDMEP - INMET
--------------------
Estação           : BENJAMIN CONSTANT - AM (OMM: 82410)
Latitude  (graus) : -4.38
Longitude (graus) : -70.03
Altitude  (metros): 65.00
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82410;31/01/2000;0000;201;30.6;22.032258;90.814516;
82410;29/02/2000;0000;206.4;30.827586;21.741379;90.646552;
82410;31/03/2000;0000;236.8;30.906452;21.754839;90.209677;
82410;30/04/2000;0000;295.2;30.55;21.873333;90.55;
82410;31/05/2000;0000;392.2;30.470968;22.109677;91.91129;
82410;30/06/2000;0000;118.8;31.79;21.556667;86.283333;
82410;31/07/2000;0000;132.4;31.196774;20.716129;86.33871;
82410;31/08/2000;0000;57.4;33.622581;21.819355;85.024194;
82410;30/09/2000;0000;215.4;33.643333;21.95;84.175;
82410;31/10/2000;0000;204.2;33.177419;22.612903;86.41129;
82410;30/11/2000;0000;191.6;34.31;23.476667;87.225;
82410;31/12/2000;0000;195;32.683871;22.819355;89.58871;
82410;31/01/2001;0000;575.6;31.803226;22.290323;90.25;
82410;28/02/2001;0000;360.2;31.692857;22.189286;90.696429;
82410;31/03/2001;0000;379;32.458065;22.412903;89.975806;
82410;30/04/2001;0000;346.4;33.063333;22.836667;89.175;
82410;31/05/2001;0000;323.2;32.26129;22.796774;90.145161;
82410;30/06/2001;0000;137.4;30.923333;20.793333;89.841667;
82410;31/07/2001;0000;128.8;31.912903;21.541935;90.008065;
82410;31/08/2001;0000;52.8;33.596774;22.145161;88.5;
82410;30/09/2001;0000;115.3;33.563333;22.44;86.558333;
82410;31/10/2001;0000;200.1;34.43871;23.035484;84.387097;
82410;30/11/2001;0000;149.9;34.06;23.573333;83.591667;
82410;31/12/2001;0000;281.9;32.719355;23.090323;86.024194;
82410;31/01/2002;0000;339.4;;22.883871;85.398148;
82410;28/02/2002;0000;266.2;32.222222;23.342857;;
82410;31/03/2002;0000;281.8;32.241935;23.03871;86.483871;
82410;30/04/2002;0000;311.6;32.226667;23.2;86.825;
82410;31/05/2002;0000;270.4;32.84;23.267742;86.225806;
82410;30/06/2002;0000;66.6;31.596667;22.123333;84.575;
82410;31/07/2002;0000;323;31.02;22;85.169355;
82410;31/08/2002;0000;114.8;33.432258;22.4;81.441667;
82410;30/09/2002;0000;129.2;34.17931;22.79;79.725;
82410;31/10/2002;0000;212.8;33.516129;22.796774;82.282258;
82410;30/11/2002;0000;219.4;33.256667;23.006667;82.544643;
82410;31/12/2002;0000;423.8;31.564516;23.148387;87.193548;
82410;31/01/2003;0000;173.4;32.390323;23.545161;84.75;
82410;28/02/2003;0000;442.2;32.096429;23.132143;84.526786;
82410;31/03/2003;0000;344.4;32.548387;23.190323;86.370968;
82410;30/04/2003;0000;308.9;32.016667;23.22;86.525;
82410;31/05/2003;0000;133;31.980645;23.212903;86.048387;
82410;30/06/2003;0000;197.8;32.113333;22.66;85.925;
82410;31/07/2003;0000;72.6;31.722581;22.116129;86.080645;
82410;31/08/2003;0000;206.7;32.183871;21.929032;84.612903;
82410;30/09/2003;0000;146.4;33.736667;22.866667;83.577586;
82410;31/10/2003;0000;308.6;33.244828;23.655172;84.801724;
82410;30/11/2003;0000;332.2;33.286667;23.403333;86.283333;
82410;31/12/2003;0000;231.2;32.973333;23.748276;86.816667;
82410;31/01/2004;0000;0.8;;;;
82410;29/02/2004;0000;262.6;32.113793;23.472414;89.336207;
82410;31/03/2004;0000;517.6;32.335484;23.490323;89.064516;
82410;30/04/2004;0000;170.8;33.04;23.65;89.137931;
82410;31/05/2004;0000;115.6;31.051613;22.64375;90.556452;
82410;30/06/2004;0000;182;30.843333;;90.091667;
82410;31/07/2004;0000;199.4;31.635484;;89.096774;
82410;31/08/2004;0000;173.6;32.906452;22.12381;85.862903;
82410;30/09/2004;0000;151.4;33.073333;22.176667;85.4;
82410;31/10/2004;0000;173;34.077419;23.358065;85.758065;
82410;30/11/2004;0000;258.4;32.856667;23.816667;87.216667;
82410;31/01/2005;0000;353.6;33.241935;23.922581;89.53125;
82410;28/02/2005;0000;276.4;32.246429;23.692857;90.473684;
82410;31/03/2005;0000;407;32.170968;23.767742;88.659091;
82410;30/04/2005;0000;305.8;32.676667;23.506667;87.345238;
82410;31/05/2005;0000;191.8;33.432258;23.3;89.113636;
82410;30/06/2005;0000;43.8;32.942105;22.995;86.666667;
82410;31/07/2005;0000;15.6;33.216129;21.541935;80.601852;
82410;31/08/2005;0000;53.4;34.632258;21.990323;78.032258;
82410;30/09/2005;0000;44.6;35.273333;22.373333;76.225;
82410;31/10/2005;0000;378;34.416129;23.206452;83.370968;
82410;30/11/2005;0000;259.4;33.623333;23.823333;84.783333;
82410;31/12/2005;0000;267;32;23.16129;87.306452;
82410;31/01/2006;0000;505.2;31.948387;23.270968;88.056452;
82410;28/02/2006;0000;320;31.95;23.528571;87.857143;
82410;31/03/2006;0000;401;32.380645;23.709677;86.903226;
82410;30/04/2006;0000;318.8;32.1125;23.386667;88.391667;
82410;31/05/2006;0000;230.6;;22.23871;87.241935;
82410;30/06/2006;0000;60.2;;23.03;85.456897;
82410;31/07/2006;0000;110.8;;22.716129;83.572581;
82410;31/08/2006;0000;109;;22.512903;84.072581;
82410;30/09/2006;0000;63;;23.09;80.866667;
82410;31/10/2006;0000;50.2;;24.013333;80.666667;
82410;30/11/2006;0000;168.3;;23.866667;86.525;
82410;31/12/2006;0000;523.2;;23.732258;86.798387;
82410;31/01/2007;0000;480.2;32.064516;23.719355;87.572581;
82410;28/02/2007;0000;159;33.8;24.107143;85.223214;
82410;31/03/2007;0000;288.8;32.135484;23.554839;87.185484;
82410;30/04/2007;0000;333.3;31.976667;23.286667;87.591667;
82410;31/05/2007;0000;196.3;30.916129;22.325806;88.185484;
82410;30/06/2007;0000;208.2;31.663333;21.906667;86.766667;
82410;31/07/2007;0000;58.8;32.443333;21.963333;84.258621;
82410;31/08/2007;0000;24.4;33.264516;22.393548;82.8;
82410;30/09/2007;0000;160.2;33.816667;22.386667;82.483333;
82410;31/10/2007;0000;439.8;32.854839;22.783871;84.604839;
82410;30/11/2007;0000;419.8;32.613333;22.99;87.591667;
82410;31/12/2007;0000;384.2;32.348387;23.019355;86.879032;
82410;31/01/2008;0000;408.4;31.387097;22.945161;88.419355;
82410;29/02/2008;0000;300.4;30.968966;22.665517;88.103448;
82410;31/03/2008;0000;309.2;31.535484;22.325806;87.25;
82410;30/04/2008;0000;191;31.836667;22.723333;86.625;
82410;31/05/2008;0000;220.2;30.835484;22.332258;87.733871;
82410;30/06/2008;0000;118.6;30.463333;21.14;87.116667;
82410;31/07/2008;0000;109.2;32.825806;21.867742;83.782258;
82410;31/08/2008;0000;147.6;33.645161;22.354839;84.129032;
82410;30/09/2008;0000;237.8;32.826667;22.04;84.758333;
82410;31/10/2008;0000;256;32.845161;22.648387;85.314516;
82410;30/11/2008;0000;364;32.64;23.166667;85.8;
82410;31/12/2008;0000;278.2;32.229032;22.983871;87.032258;
82410;31/01/2009;0000;611.4;30.822581;22.667742;88.919355;
82410;28/02/2009;0000;409.4;31.589286;22.614286;88.625;
82410;31/03/2009;0000;570.6;31.877419;22.990323;;
82410;30/04/2009;0000;227.6;32.096667;23.323333;;
82410;31/05/2009;0000;224.6;32.058065;23.145161;;
82410;30/06/2009;0000;229.3;31.416667;22.536667;;
82410;31/08/2009;0000;117.6;33.258065;22.674194;;
82410;30/09/2009;0000;108.8;34.306667;22.86;81.48913;
82410;31/10/2009;0000;210;33.612903;23.286667;83.866071;
82410;30/11/2009;0000;258.2;33.443333;23.5;84.75;
82410;31/12/2009;0000;250.4;31.489286;23.239286;88.305556;
82410;31/01/2010;0000;458.4;31.848387;23.074194;88.822581;
82410;28/02/2010;0000;304.6;32.785714;23.835714;86.482143;
82410;31/03/2010;0000;322.6;33.380645;23.709677;85.669355;
82410;30/04/2010;0000;232;32.833333;23.943333;86.3;
82410;31/05/2010;0000;110.6;32.473333;23.493548;85.677419;
82410;30/06/2010;0000;302.6;32.016667;22.62;87.691667;
82410;31/07/2010;0000;98;31.616129;20.487097;84.790323;
82410;31/08/2010;0000;94.2;33.793548;20.941935;82.201613;
82410;30/09/2010;0000;109.8;34.456667;22.12;81.716667;
82410;31/10/2010;0000;129.8;33.593548;22.393548;81.75;
82410;30/11/2010;0000;411.6;32.79;22.51;85.208333;
82410;31/12/2010;0000;243.8;32.309677;22.4;86.016129;
82410;31/01/2011;0000;281.8;31.532258;21.974194;87.725806;
82410;28/02/2011;0000;278.6;31.289286;21.678571;87.160714;
82410;31/03/2011;0000;305.6;31.703226;21.854839;87.241935;
82410;30/04/2011;0000;328.6;32.176667;22.173333;86.716667;
82410;31/05/2011;0000;263.4;31.658065;22.222581;88.701613;
82410;30/06/2011;0000;197.8;31.746667;21.89;87.791667;
82410;31/07/2011;0000;160.2;32.051613;21.293548;85.879032;
82410;31/08/2011;0000;74.8;33.906452;20.990323;81.669355;
