--------------------
BDMEP - INMET
--------------------
Estação           : BOM DESPACHO - MG (OMM: 83533)
Latitude  (graus) : -19.68
Longitude (graus) : -45.36
Altitude  (metros): 695.00
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83533;31/01/2000;0000;303.6;31.345161;18.977419;85.854839;
83533;29/02/2000;0000;262.7;31.368966;18.082759;90.87931;
83533;31/03/2000;0000;165.3;30.525806;17.464516;88.491935;
83533;30/04/2000;0000;53.4;30.353333;13.826667;86.75;
83533;31/05/2000;0000;9.8;28.822581;9.703226;83.58871;
83533;30/06/2000;0000;0;28.466667;6.55;;
83533;31/07/2000;0000;9.5;27.345161;7.012903;76.483871;
83533;31/08/2000;0000;17.4;29.770968;8.232258;65.741935;
83533;30/09/2000;0000;45.1;28.693333;13.266667;70.1;
83533;31/10/2000;0000;29.4;34.516129;15.458065;58.991935;
83533;30/11/2000;0000;237;28.956667;17.353333;77.108333;
83533;31/12/2000;0000;179.7;31.63871;18.903226;76.532258;
83533;31/01/2001;0000;161.2;32.177419;18.174194;73.927419;
83533;28/02/2001;0000;108.3;34.092857;17.507143;78.785714;
83533;31/03/2001;0000;165.4;31.841935;17.258065;86.403226;
83533;30/04/2001;0000;17.9;32.483333;14.373333;84.691667;
83533;31/05/2001;0000;46.8;29.445161;11.535484;76.5;
83533;30/06/2001;0000;0;28.796667;8.513333;73.175;
83533;31/07/2001;0000;0.4;29.693548;8.193548;70.741935;
83533;31/08/2001;0000;46.8;29.345161;8.48;67.620968;
83533;30/09/2001;0000;29.3;30.073333;12.373333;67.925;
83533;31/10/2001;0000;121.1;30.354839;14.058065;70.935484;
83533;30/11/2001;0000;370.2;30.826667;18.28;76.258333;
83533;31/12/2001;0000;427.9;29.53871;18.103226;78.870968;
83533;31/01/2002;0000;182.9;;19.251613;77.508065;
83533;28/02/2002;0000;328.5;;18.928571;81.803571;
83533;31/03/2002;0000;86.1;;17.174194;75.629032;
83533;30/04/2002;0000;6.1;;14.366667;72.725;
83533;31/05/2002;0000;20.9;29.822581;12.180645;74.318966;
83533;30/06/2002;0000;0;29.306667;8.793333;71.266667;
83533;31/07/2002;0000;9.4;28.558065;9.012903;71.064516;
83533;31/08/2002;0000;1.2;31.6;10.090323;64.387097;
83533;30/09/2002;0000;68.3;30.223333;12.951724;70.25;
83533;31/10/2002;0000;51.5;34.674194;14.741935;75.362903;
83533;30/11/2002;0000;157.7;30.946667;17.62;85.301724;
83533;31/12/2002;0000;254.3;31.977419;19.393548;85.096774;
83533;31/01/2003;0000;331.3;30.7;20.122581;82.064516;
83533;28/02/2003;0000;113;32.714286;17.192857;73.276786;
83533;31/03/2003;0000;221.9;30.951613;18.232258;78.846774;
83533;30/04/2003;0000;13.8;31.093333;17.16;75.116667;
83533;31/05/2003;0000;30.7;28.164516;;76.564516;
83533;30/06/2003;0000;0;29.56;7.65;74.908333;
83533;31/07/2003;0000;16.9;28.487097;6.745161;71.975806;
83533;31/08/2003;0000;26.7;29.874194;9.483871;70.193548;
83533;30/09/2003;0000;37.6;31.266667;12.433333;68.783333;
83533;31/10/2003;0000;54.3;31.864516;13.864516;66.040323;
83533;30/11/2003;0000;110;31.486667;16.513333;73.491379;
83533;31/12/2003;0000;191.7;31.648387;18.603226;77.056452;
83533;31/01/2004;0000;210.8;30.132258;18.612903;81.951613;
83533;29/02/2004;0000;317.9;29.127586;18.382759;84.303571;
83533;31/03/2004;0000;208.3;30.312903;16.664516;78.814516;
83533;30/04/2004;0000;59.7;29.133333;15.73;78.908333;
83533;31/05/2004;0000;10;27.887097;11.983871;76.693548;
83533;30/06/2004;0000;3.1;26.466667;9.14;76.775;
83533;31/07/2004;0000;20.2;26.116129;7.848387;75.604839;
83533;31/08/2004;0000;0;29.451613;7.380645;67.346774;
83533;30/09/2004;0000;6.2;33.13;10.216667;59.758333;
83533;31/10/2004;0000;106.6;31.241935;15.983871;71.443548;
83533;30/11/2004;0000;110.7;31.72;15.953333;72.366667;
83533;31/12/2004;0000;460;;;81.041667;
83533;31/01/2005;0000;386.1;30.958065;21.222581;77.137097;
83533;28/02/2005;0000;112.7;31.764286;18.371429;75.5;
83533;31/03/2005;0000;246.2;30.183871;19.693548;80.758065;
83533;30/04/2005;0000;30;30.93;16.713333;75.508333;
83533;31/05/2005;0000;49.3;27.867742;12.36129;76.427419;
83533;30/06/2005;0000;18;26.84;12.053333;75.982143;
83533;31/07/2005;0000;0.2;27.080645;9.06129;73.790323;
83533;31/08/2005;0000;12.8;30.109677;10.058065;65.604839;
83533;30/09/2005;0000;73.7;30.523333;15.906667;68.541667;
83533;31/10/2005;0000;110.8;33.651613;16.396774;60.233871;
83533;30/11/2005;0000;249.2;28.08;18.43;83.125;
83533;31/12/2005;0000;239.4;28.280645;18.132258;81.822581;
83533;31/01/2006;0000;104.7;31.425806;17.4;73.427419;
83533;28/02/2006;0000;136.8;31.903571;18.410714;78.151786;
83533;31/03/2006;0000;188.2;30.141935;18.825806;81.306452;
83533;30/04/2006;0000;41;29.68;15.983333;78.633333;
83533;31/05/2006;0000;38.5;27.63871;11.390323;74.935484;
83533;30/06/2006;0000;3.6;26.646667;9.3;74.241667;
83533;31/07/2006;0000;0;27.916129;5.625806;72.032258;
83533;31/08/2006;0000;15.6;30.270968;8.032258;67.112903;
83533;30/09/2006;0000;137.7;30.006667;12.246667;67.516667;
83533;31/10/2006;0000;115.8;28.929032;16.609677;78.120968;
83533;30/11/2006;0000;192;29.206667;17.02;81.516667;
83533;31/12/2006;0000;519;30.210526;19.278947;82.427419;
83533;31/01/2007;0000;503.1;29.974194;19.93871;84.298387;
83533;28/02/2007;0000;159.8;30.471429;17.742857;78.651786;
83533;31/03/2007;0000;40;32.116129;15.951613;73.379032;
83533;30/04/2007;0000;43.8;30.9;15.94;74.816667;
83533;31/05/2007;0000;15.8;28.567742;10.174194;73.967742;
83533;30/06/2007;0000;6.6;28.806667;6.276667;74.716667;
83533;31/07/2007;0000;28;27.864516;7.23871;69.532258;
83533;31/08/2007;0000;0;29.754839;6.447826;65.120968;
83533;30/09/2007;0000;0;32.446667;10.913333;58;
83533;31/10/2007;0000;35;33.819355;14.980645;59.75;
83533;30/11/2007;0000;133;30.74;18.61;75.05;
83533;31/12/2007;0000;242.4;31.212903;17.764516;74.516129;
83533;31/01/2008;0000;350.8;29.658065;18.567742;79.225806;
83533;29/02/2008;0000;230.2;30.42069;18.348276;78.396552;
83533;31/03/2008;0000;303.7;30.225806;17.477419;;
83533;30/04/2008;0000;91.1;29.86;16.486667;80.166667;
83533;31/05/2008;0000;0.4;27.56129;10.687097;;
83533;30/06/2008;0000;0;28;10.127273;;
83533;31/07/2008;0000;0;27.690323;5.554839;;
83533;31/08/2008;0000;9;30.412903;9.306452;;
83533;30/09/2008;0000;53.1;30.733333;11.38;;
83533;31/10/2008;0000;34;32.103226;16.032258;;
83533;30/11/2008;0000;222.6;30.386667;18.32;;
83533;31/12/2008;0000;417.3;28.909677;18.696774;;
83533;31/01/2009;0000;339.2;30.432258;19.109677;78.91129;
83533;28/02/2009;0000;169.2;31.664286;18.635714;76.276786;
83533;31/03/2009;0000;126.8;31.264516;18.554839;77.83871;
83533;30/04/2009;0000;86.7;29.393333;15.233333;78.216667;
83533;31/05/2009;0000;32.8;27.845161;11.774194;77.645161;
83533;30/06/2009;0000;3.2;26.78;9;74.583333;
83533;31/07/2009;0000;2;29.148387;9.316129;72.733871;
83533;31/08/2009;0000;22.4;29.245161;10.393548;68.975806;
83533;30/09/2009;0000;66.6;31.773333;15.646667;69.3;
83533;31/10/2009;0000;195.8;30.758065;17.825806;;
83533;30/11/2009;0000;140.8;32.208;18.913333;70.683333;
83533;31/12/2009;0000;386.6;29.509677;19.309677;;
83533;31/01/2010;0000;100.6;32.173913;18.793548;74.870968;
83533;28/02/2010;0000;38.4;;18.171429;71.294643;
83533;31/03/2010;0000;180;;18.380645;78.564516;
83533;30/04/2010;0000;21.4;;15.146667;73.425;
83533;31/05/2010;0000;54.2;;11.077419;76.741935;
83533;30/06/2010;0000;4;;6.573333;73.5;
83533;31/07/2010;0000;0.4;;9.374194;70.08871;
83533;31/08/2010;0000;0;30.290323;6.412903;59.370968;
83533;30/09/2010;0000;75.8;31.73;11.053333;59.791667;
83533;31/10/2010;0000;132.4;30.883871;16.283871;71.427419;
83533;30/11/2010;0000;280.5;29.77;18.156667;77.816667;
83533;31/12/2010;0000;327.4;31.664516;19.067742;76.645161;
83533;31/01/2011;0000;128.2;31.309677;18.864516;74.604839;
83533;28/02/2011;0000;124.5;34.039286;17.875;67.125;
83533;31/03/2011;0000;399.7;29.43871;18.787097;81.975806;
83533;30/04/2011;0000;122.6;30.27;15.113333;76.5;
83533;31/05/2011;0000;0;28.551613;11.587097;75.572581;
83533;30/06/2011;0000;16.6;27.42;8.863333;74.341667;
83533;31/07/2011;0000;0;28.541935;7.93871;71.677419;
83533;31/08/2011;0000;0;31.941935;9.609677;61.524194;
83533;30/09/2011;0000;0.8;32.53;10.565517;53.558333;
83533;31/10/2011;0000;182;29.993548;16.587097;71.193548;
83533;30/11/2011;0000;100.6;29.493333;16.096667;73.341667;
83533;31/12/2011;0000;448.6;29.567742;19.135484;81.290323;
83533;31/01/2012;0000;151.2;30.025806;18.56129;77.524194;
83533;29/02/2012;0000;58.6;31.806897;17.358621;70.181034;
83533;31/03/2012;0000;117;31.229032;17.587097;73.193548;
83533;30/04/2012;0000;43.2;30.493333;16.44;74.433333;
83533;31/05/2012;0000;39.9;27.283871;12.025806;76.822581;
83533;30/06/2012;0000;100.5;28.226667;12.18;77.051724;
83533;31/07/2012;0000;1.6;28.629032;8.045161;70.185484;
83533;31/08/2012;0000;0;28.458065;8.803226;62.483871;
83533;30/09/2012;0000;17;31.923333;11.78;58.641667;
83533;31/10/2012;0000;56.8;33.632258;14.06129;58.056452;
83533;30/11/2012;0000;236.1;30.31;18.27;74.833333;
83533;31/12/2012;0000;71;33.383871;19.232258;70.451613;
83533;31/01/2013;0000;259;30.277419;19.503226;74.814516;
83533;28/02/2013;0000;3.8;;;;
83533;31/03/2013;0000;141.2;30.719355;19.26129;76.862903;
83533;30/04/2013;0000;67.8;28.723333;15.44;77.225;
83533;31/05/2013;0000;82.8;28.758065;11.941935;74.58871;
83533;30/06/2013;0000;34;28.286667;11.573333;76.616667;
83533;31/07/2013;0000;0;28.448387;9.206452;70.41129;
83533;31/08/2013;0000;1.4;29.919355;9.290323;63.370968;
83533;30/09/2013;0000;35.2;30.876667;12.19;65.258333;
83533;31/10/2013;0000;132.3;29.864516;15.206452;71.903226;
83533;30/11/2013;0000;237.2;30.27;17.253333;73.666667;
83533;31/12/2013;0000;221.7;30.9;19.635484;79.258065;
83533;31/01/2014;0000;76.7;33.222581;16.219355;68.177419;
83533;28/02/2014;0000;4.2;33.210714;16.3;63.366071;
83533;31/03/2014;0000;118.7;30.932258;17.283333;75.08871;
83533;30/04/2014;0000;93.1;30.306667;16.496667;77.008333;
83533;31/05/2014;0000;8.8;29.158065;10.554839;72.104839;
83533;30/06/2014;0000;1;28.77;10.33;71.958333;
83533;31/07/2014;0000;58.8;27.790323;9.158065;70.306452;
83533;31/08/2014;0000;0;30.122581;8.941935;61.903226;
83533;30/09/2014;0000;9.4;32.37;12.413333;54.45;
83533;31/10/2014;0000;66.3;32.929032;14.864516;54.540323;
83533;30/11/2014;0000;253.9;30.583333;18.36;70.566667;
83533;31/12/2014;0000;147.8;30.441935;19.022581;74.540323;
83533;31/01/2015;0000;69.4;34.283871;18.606452;64.66129;
83533;28/02/2015;0000;175;30.632143;18.957143;75.241071;
83533;31/03/2015;0000;233.6;29.945161;19.241935;80.193548;
83533;30/04/2015;0000;37;30.11;16.973333;77.133333;
83533;31/05/2015;0000;49.3;27.232258;13.725806;78.403226;
83533;30/06/2015;0000;9.7;27.483333;10.933333;74.8;
83533;31/07/2015;0000;0;28.780645;11.319355;70.451613;
83533;31/08/2015;0000;0;30.519355;9.777419;61.387097;
83533;30/09/2015;0000;95.4;32.37;14.736667;65.716667;
83533;31/10/2015;0000;47.6;34.825806;17.012903;56.637097;
83533;30/11/2015;0000;164;33.13;20.266667;68.891667;
83533;31/12/2015;0000;203.7;32.125806;19.829032;75.056452;
