--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DO PIAUI - PI (OMM: 82975)
Latitude  (graus) : -9.1
Longitude (graus) : -44.11
Altitude  (metros): 331.74
Estação Operante
Inicio de operação: 19/04/1971
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82975;31/01/2000;0000;159.1;31.245161;17.46129;81.903226;
82975;29/02/2000;0000;165.1;31.827586;16.503448;82.241379;
82975;31/03/2000;0000;140.3;31.16129;16.648387;79.83871;
82975;30/04/2000;0000;170.1;31.1;18.433333;81.225;
82975;31/05/2000;0000;31;32.341935;18.387097;69.185484;
82975;30/06/2000;0000;0;32.476667;18.06;63.016667;
82975;31/07/2000;0000;0;32.66129;18.429032;55.145161;
82975;31/08/2000;0000;0;34.077419;18.796774;51.887097;
82975;30/09/2000;0000;0;34.65;19.936667;53.808333;
82975;31/10/2000;0000;10.1;35.180645;20.487097;52.508065;
82975;30/11/2000;0000;102.5;32.05;18.753333;68.516667;
82975;31/12/2000;0000;205.9;31.480645;17.941935;67.362903;
82975;31/01/2001;0000;80.6;33.174194;18.303226;57.966667;
82975;28/02/2001;0000;34.6;32.982143;19.121429;65.714286;
82975;31/03/2001;0000;220;33.825806;19.616129;66.266129;
82975;30/04/2001;0000;53;34.77;18.73;59.291667;
82975;31/05/2001;0000;85.4;36.07931;19.354839;54.112903;
82975;30/06/2001;0000;0;35.633333;18.833333;47.95;
82975;31/07/2001;0000;0;36.922581;20.222581;;
82975;31/08/2001;0000;0;35.983871;19.83871;40.032258;
82975;30/09/2001;0000;29.4;37.44;20.886667;43.566667;
82975;31/10/2001;0000;58.5;35.409677;20.190323;50.927419;
82975;30/11/2001;0000;125.8;33.433333;20.69;59.725;
82975;31/12/2001;0000;137.3;33.73871;19.706452;63.153226;
82975;31/01/2002;0000;360.1;33.048387;19.467742;68.709677;
82975;28/02/2002;0000;101.4;36.075;20.403571;52.9375;
82975;31/03/2002;0000;57.8;33.419355;19.522581;59.459677;
82975;30/04/2002;0000;98.5;34.266667;20.246667;57.25;
82975;31/05/2002;0000;14.6;33.225806;19.916129;51.66129;
82975;30/06/2002;0000;0;38.28;20.843333;46.766667;
82975;31/07/2002;0000;0;37.509677;20.177419;44.298387;
82975;31/08/2002;0000;0;36.758065;20.806452;41.790323;
82975;30/09/2002;0000;165.5;36.437931;20.706667;46.766667;
82975;31/10/2002;0000;58;38.174194;21.36129;42.451613;
82975;30/11/2002;0000;25.5;35.353333;21.916667;53.75;
82975;31/12/2002;0000;135.3;32.474194;20;70.112903;
82975;31/01/2003;0000;169;32.467742;20.590323;74.129032;
82975;28/02/2003;0000;121.6;33.475;19.782143;70.464286;
82975;31/03/2003;0000;243.9;32.835484;19.783871;76.040323;
82975;30/04/2003;0000;15.6;34.773333;21.426667;67.258621;
82975;31/05/2003;0000;29.5;34.880645;20.958065;58.66129;
82975;30/06/2003;0000;0;36.153333;20.846667;55.216667;
