--------------------
BDMEP - INMET
--------------------
Estação           : C  DO MATO DENTRO - MG (OMM: 83589)
Latitude  (graus) : -19.02
Longitude (graus) : -43.43
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 30/06/1925
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83589;31/01/2000;0000;180.8;30.003226;19.867742;79.532258;
83589;29/02/2000;0000;260.3;29.958621;19.393103;77.051724;
83589;31/03/2000;0000;240.1;28.529032;19.512903;80.75;
83589;31/05/2000;0000;2.3;27.258065;13.525806;75.540323;
83589;30/06/2000;0000;1;26.22;10.31;76.841667;
83589;31/07/2000;0000;11.7;25.054839;11.290323;76.524194;
83589;31/08/2000;0000;17.4;27.035484;11.235484;71.282258;
83589;30/09/2000;0000;32.6;26.14;15.396667;75.666667;
83589;31/10/2000;0000;22.8;31.6;15.909677;64.653226;
83589;30/11/2000;0000;309.4;27.53;18.416667;81.7;
83589;31/12/2000;0000;202.3;30.329032;19.583871;76.193548;
83589;31/01/2001;0000;228.3;30.832258;18.883871;73.633333;
83589;28/02/2001;0000;27;33.389286;18.771429;68.017857;
83589;31/03/2001;0000;139;30.722581;18.451613;77.991935;
83589;30/04/2001;0000;48.9;30.146667;16.146667;75.175;
83589;31/05/2001;0000;23.3;27.554839;14.070968;79.08871;
83589;30/06/2001;0000;1.8;25.703333;12.343333;78.741667;
83589;31/07/2001;0000;0.3;25.883871;10.5;75.120968;
83589;31/08/2001;0000;47.4;26.129032;11.941935;67.758065;
83589;30/09/2001;0000;21.5;26.986667;15.176667;68.291667;
83589;31/10/2001;0000;95.3;27.93871;16.664516;71.645161;
83589;30/11/2001;0000;183.5;29.333333;19.54;76.341667;
83589;31/12/2001;0000;354.4;28.867742;19.332258;77.766129;
83589;31/01/2002;0000;304.7;29.929032;19.822581;78.709677;
83589;28/02/2002;0000;247.4;28.696429;19.821429;81.294643;
83589;31/03/2002;0000;37.3;30.148387;18.758065;77.943548;
83589;30/04/2002;0000;56.3;29.533333;16.886667;77.825;
83589;31/05/2002;0000;15;27.443333;14.525806;80.572581;
83589;30/06/2002;0000;0.3;26.256667;11.95;79.391667;
