--------------------
BDMEP - INMET
--------------------
Estação           : CABROBO - PE (OMM: 82886)
Latitude  (graus) : -8.51
Longitude (graus) : -39.33
Altitude  (metros): 341.46
Estação Operante
Inicio de operação: 17/10/1927
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82886;31/01/2000;0000;117.7;32.041935;22.903226;67.306452;
82886;29/02/2000;0000;150.7;31.755172;22.213793;70.103448;
82886;31/03/2000;0000;127.3;30.977419;22.154839;71.379032;
82886;30/04/2000;0000;55.7;32.04;22.446667;67.308333;
82886;31/05/2000;0000;2.6;32.093548;21.83871;;
82886;31/07/2000;0000;8;30.183871;19.993548;;
82886;31/08/2000;0000;5;31.190323;20.4;;
82886;30/09/2000;0000;7.1;32.193333;21.353333;55.125;
82886;31/10/2000;0000;0;33.983871;22.529032;;
82886;30/11/2000;0000;17.1;34.026667;23.353333;55.486111;
82886;31/12/2000;0000;114.3;33.376667;23.174194;58.907407;
82886;31/01/2001;0000;1.8;33.73871;22.593548;50.475;
82886;28/02/2001;0000;70.2;33.085714;23.164286;58.669643;
82886;31/03/2001;0000;259.3;31.996774;22.187097;65.854839;
82886;30/04/2001;0000;8.8;32.773333;22.12;57.125;
82886;31/05/2001;0000;0.3;33.509677;22.413333;;
82886;31/07/2001;0000;5.4;29.725806;20.529032;;
82886;31/08/2001;0000;5.3;29.325806;19.535484;62.685484;
82886;30/09/2001;0000;0;32.993333;21.406667;52.566667;
82886;31/10/2001;0000;31.8;34.306452;22.612903;50.532258;
82886;30/11/2001;0000;0;35.246667;23.76;44.391667;
82886;31/12/2001;0000;128.3;34.577419;23.851613;51.580645;
82886;31/01/2002;0000;214.6;29.84;22.180645;76.854839;
82886;28/02/2002;0000;0.3;;22.685714;59.223214;
82886;31/03/2002;0000;105.1;;22.812903;58.669355;
82886;30/04/2002;0000;25.8;32.026667;22.573333;57.913793;
82886;31/05/2002;0000;10.1;31.625806;22.270968;59.298387;
82886;30/06/2002;0000;0;;;;
82886;31/07/2002;0000;8.2;30.529032;20.167742;59.201613;
82886;31/08/2002;0000;0.9;30.629032;20.051613;53;
82886;30/09/2002;0000;0;33.276667;22.066667;46.108333;
82886;31/10/2002;0000;0;34.151613;22.36129;44.725806;
82886;30/11/2002;0000;0;34.903333;23.673333;42.1;
82886;31/12/2002;0000;99.3;34.116129;23.748387;51.330645;
82886;31/01/2003;0000;48.2;34.296774;24.309677;52.693548;
82886;28/02/2003;0000;23.5;32.5;22.95;59.267857;
82886;31/03/2003;0000;142.8;32.6;23.167742;60.541667;
82886;30/04/2003;0000;99.7;32.136667;22.74;61.458333;
82886;31/05/2003;0000;26.9;31.73871;22.283871;61.451613;
82886;31/07/2003;0000;9.9;29.575862;19.6;61.925926;
82886;31/08/2003;0000;6.3;31.422581;20.883871;58;
82886;30/09/2003;0000;0.2;32.513333;21.046667;50.933333;
82886;31/10/2003;0000;0;33.422581;22.348387;52.096774;
82886;30/11/2003;0000;2.3;34.353333;23.44;50.8;
82886;31/12/2003;0000;2.6;35.312903;24.23871;43.344828;
82886;31/01/2004;0000;502.8;31.532258;23.051613;73;
82886;29/02/2004;0000;148.1;30.982759;22.572414;74.517241;
82886;31/03/2004;0000;62.2;31.990323;22.516129;69.83871;
82886;30/04/2004;0000;0.4;33.233333;23.34;60.233333;
82886;31/05/2004;0000;18.6;31.235484;21.967742;66.387097;
82886;31/07/2004;0000;2.9;29.541935;20.270968;65.666667;
82886;31/08/2004;0000;1.9;30.719355;20.187097;61.516129;
82886;30/09/2004;0000;0.9;31.886667;20.893333;55.1;
82886;31/10/2004;0000;0.4;34.33871;22.974194;47.580645;
82886;30/11/2004;0000;24.6;34.733333;23.4;46.866667;
82886;31/12/2004;0000;34.4;34.829032;23.954839;48.354839;
82886;31/01/2005;0000;59.6;33.822581;23.509677;58.833333;
82886;28/02/2005;0000;138.4;33.071429;23.557143;66.846154;
82886;31/03/2005;0000;162.8;32.544828;23.655172;68.25;
82886;31/05/2005;0000;76.7;30.109677;22.03871;78.193548;
82886;30/06/2005;0000;34.9;29.82;20.88;72.413793;
82886;31/07/2005;0000;9.9;29.03871;19.612903;70.354839;
82886;31/08/2005;0000;7.7;30.295652;20.06087;66;
82886;30/09/2005;0000;0.7;32.606667;21.34;51.966667;
82886;31/10/2005;0000;0;34.690323;22.580645;45.806452;
82886;30/11/2005;0000;153.7;35.026667;23.166667;45.866667;
82886;31/12/2005;0000;13.6;33.219355;23.090323;56.516129;
82886;31/01/2006;0000;0;34.606452;23.090323;48.806452;
82886;28/02/2006;0000;74.6;34.185714;23.928571;61.857143;
82886;31/03/2006;0000;248.3;32.245161;23.025806;73.548387;
82886;30/04/2006;0000;89.7;30.58;22.516667;80.5;
82886;31/05/2006;0000;12.3;30.787097;21.696774;72.548387;
82886;31/07/2006;0000;36.1;28.677419;19.23871;73.451613;
82886;31/08/2006;0000;2.7;30.593548;19.148387;61.709677;
82886;30/09/2006;0000;4.5;32.786667;20.506667;56.133333;
82886;31/10/2006;0000;25;34.574194;22.270968;50.032258;
82886;30/11/2006;0000;38.4;34.9;22.906667;51.733333;
82886;31/12/2006;0000;2.7;35.993548;24.329032;45.322581;
82886;31/01/2007;0000;40.2;35.858065;24.16129;50.903226;
82886;28/02/2007;0000;208.8;31.592857;22.614286;76.464286;
82886;31/03/2007;0000;109.8;30.864516;22.103226;75.516129;
82886;30/04/2007;0000;5.8;33.573333;22.533333;63.466667;
82886;31/05/2007;0000;110.1;31.451613;21.6;69.774194;
82886;30/06/2007;0000;20.3;29.206667;20.346667;69.766667;
82886;31/07/2007;0000;1.2;;;;
82886;31/08/2007;0000;10;29.825806;19.380645;63.806452;
82886;30/09/2007;0000;2;31.46;20.373333;58;
82886;31/10/2007;0000;0;34.051613;21.735484;49.677419;
82886;30/11/2007;0000;6;35.226667;23.406667;47.866667;
82886;31/12/2007;0000;27;34.935484;23.632258;48.633333;
82886;31/01/2008;0000;49.9;34.693333;23.432258;49.064516;
82886;29/02/2008;0000;173.2;31.703448;22.282759;66.862069;
82886;31/03/2008;0000;212.4;31.012903;22.283871;77.333333;
82886;30/04/2008;0000;225.9;30.04;22.48;77.2;
82886;31/05/2008;0000;13.1;29.948387;22.154839;65.774194;
82886;30/06/2008;0000;3.2;29.488;21.144;58.666667;
82886;31/07/2008;0000;0;;;;
82886;31/08/2008;0000;5.1;30.703226;20.567742;62.266667;
82886;30/09/2008;0000;0.6;32.533333;21.166667;52.366667;
82886;31/10/2008;0000;0.7;34.193548;22.264516;49.741935;
82886;30/11/2008;0000;0;36.34;23.966667;39.133333;
82886;31/12/2008;0000;23.6;34.722581;23.870968;51.096774;
82886;31/01/2009;0000;205.9;34.748387;23.787097;54.451613;
82886;28/02/2009;0000;87.9;32.357143;23.071429;70.464286;
82886;31/03/2009;0000;108.7;33.187097;23.235484;70.451613;
82886;30/04/2009;0000;269.5;30.86;22.873333;81.833333;
82886;31/05/2009;0000;70;28.877419;22.083871;82.548387;
82886;30/06/2009;0000;0;;;;
82886;31/07/2009;0000;4.1;30.56129;20.477419;68.7;
82886;31/08/2009;0000;10;31.051613;20.496774;66.8;
82886;30/09/2009;0000;13.6;33.986667;21.68;51.607143;
82886;31/10/2009;0000;30.4;34.619355;23.232258;50.83871;
82886;30/11/2009;0000;8;35.626667;23.606667;44.785714;
82886;31/12/2009;0000;33;34.825806;23.929032;54.258065;
82886;31/01/2010;0000;34.3;33.8;22.870968;63.903226;
82886;28/02/2010;0000;64.4;34.921429;23.764286;59.814815;
82886;31/03/2010;0000;50.6;34.825806;24.003226;62.903226;
82886;30/04/2010;0000;97.5;;;;
82886;30/09/2010;0000;3.8;31.7;20.48;59.517241;
82886;31/10/2010;0000;106.8;34.406452;22.787097;53.354839;
82886;31/12/2010;0000;86.1;33.322581;22.883871;61.166667;
82886;31/01/2011;0000;71.4;33.122581;22.567742;63.580645;
82886;28/02/2011;0000;157.5;33.578571;23.185714;64.428571;
82886;31/03/2011;0000;92.9;32.735484;22.748387;73.096774;
82886;30/04/2011;0000;26.5;33.413333;22.673333;67.575;
82886;31/05/2011;0000;111.7;29.96129;21.522581;69.774194;
82886;30/06/2011;0000;7.5;30.553333;20.466667;60.316667;
82886;31/07/2011;0000;24.9;29.574194;19.83871;64.783333;
82886;31/08/2011;0000;5.4;31.535484;19.677419;52.177419;
82886;30/09/2011;0000;4.8;31.5;20.433333;52;
82886;31/10/2011;0000;8.2;33.929032;22.541935;51.959677;
82886;30/11/2011;0000;25.2;34.046667;23.24;47.075;
82886;31/12/2011;0000;50;34.935484;23.651613;42.991935;
82886;31/01/2012;0000;11.5;34.490323;23.754839;44.895161;
82886;29/02/2012;0000;117.7;33.110345;22.786207;53.146552;
82886;31/03/2012;0000;16.8;34.309677;23.006452;53.774194;
82886;30/04/2012;0000;0;34.243333;22.913333;47.816667;
82886;31/05/2012;0000;11.8;32.570968;22.174194;51.903226;
82886;30/06/2012;0000;3.4;31.36;21.286667;58.8;
82886;31/07/2012;0000;15.5;29.716129;20.064516;62.193548;
82886;31/08/2012;0000;8.7;30.264516;19.63871;56.774194;
82886;30/09/2012;0000;1;32.226667;20.553333;49.233333;
82886;31/10/2012;0000;0;33.458065;22;46.83871;
82886;30/11/2012;0000;7.9;35.826667;24.36;40.35;
82886;31/12/2012;0000;0.8;35.225806;24.167742;41.919355;
82886;31/01/2013;0000;49.3;34.348387;24.148387;50.451613;
82886;28/02/2013;0000;0;35.107143;24.164286;43.044643;
82886;31/03/2013;0000;0.8;35.535484;24.812903;45.951613;
82886;30/04/2013;0000;57.9;33.876667;24;55.325;
82886;31/05/2013;0000;5;32.135484;22.683871;58.66129;
82886;30/06/2013;0000;0.8;31.56;22;60.525;
82886;31/07/2013;0000;14.1;30.2;20.658065;60.733871;
82886;31/08/2013;0000;1.8;30.812903;20.825806;56.548387;
82886;30/09/2013;0000;0;32.866667;21.446667;50.958333;
82886;31/10/2013;0000;5.2;34.180645;22.793548;45.056452;
82886;30/11/2013;0000;1.3;33.926667;23.533333;45.208333;
82886;31/12/2013;0000;200;33.980645;23.729032;52.419355;
82886;31/01/2014;0000;6.8;33.967742;23.606452;46.854839;
82886;28/02/2014;0000;28.4;33.264286;23.35;53.785714;
82886;31/03/2014;0000;12.6;33.916129;23.96129;53.403226;
82886;30/04/2014;0000;48.7;32.493333;23.173333;63.441667;
82886;31/05/2014;0000;19.9;31.196774;22.058065;62.75;
82886;30/06/2014;0000;9;30.693333;21.3;64.155172;
82886;31/07/2014;0000;8.9;30.316129;20.387097;58.701613;
82886;31/08/2014;0000;14.9;30.283871;19.883871;56.798387;
82886;30/09/2014;0000;5.4;32.966667;21.5;51.366667;
82886;31/10/2014;0000;3;33.503226;22.412903;48.024194;
82886;30/11/2014;0000;31.2;34.12;23.666667;48.775;
82886;31/12/2014;0000;46.4;33.412903;23.393548;52.883333;
82886;31/01/2015;0000;4;34.774194;23.845161;42.508065;
82886;28/02/2015;0000;68;34.028571;23.564286;53.366071;
82886;31/03/2015;0000;119.3;33.741935;23.670968;53.903226;
82886;30/04/2015;0000;16.3;34.376667;23.993333;51.691667;
82886;31/05/2015;0000;7.2;33.212903;23.303226;55.580645;
82886;30/06/2015;0000;12.6;30.746667;21.5;66.866667;
82886;31/07/2015;0000;22.4;30.548387;20.948387;60.967742;
82886;31/08/2015;0000;1.2;31.690323;20.503226;49.725806;
82886;30/09/2015;0000;0.4;34.016667;21.666667;42.566667;
82886;31/10/2015;0000;0;34.993548;23.012903;41.540323;
