--------------------
BDMEP - INMET
--------------------
Estação           : CACERES - MT (OMM: 83405)
Latitude  (graus) : -16.05
Longitude (graus) : -57.68
Altitude  (metros): 118.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83405;31/01/2000;0000;176.7;33.26129;22.896774;78.540323;
83405;29/02/2000;0000;266.2;31.768966;22.42069;84.146552;
83405;31/03/2000;0000;198.4;31.451613;22.312903;84.008065;
83405;30/04/2000;0000;157.1;31.373333;20.916667;78.191667;
83405;31/05/2000;0000;7;31.380645;18.816129;76.645161;
83405;30/06/2000;0000;0;31.296667;17.83;73.533333;
83405;31/07/2000;0000;21.6;28.841935;13.306452;69.290323;
83405;31/08/2000;0000;8.6;34.06129;18.635484;63.782258;
83405;30/09/2000;0000;36.2;32.1375;19.856667;67.541667;
83405;31/10/2000;0000;35;34.089474;22.354839;67.629032;
83405;30/11/2000;0000;109.9;32.826667;21.576667;74.008333;
83405;31/12/2000;0000;114.2;33.029032;21.858065;74.959677;
83405;31/01/2001;0000;289.2;31.674194;21.987097;79.158333;
83405;28/02/2001;0000;216.6;32.885714;22.421429;79.419643;
83405;31/03/2001;0000;105.5;32.370968;22.383871;80.266129;
83405;30/04/2001;0000;1.8;;;76.041667;
83405;30/06/2001;0000;19.8;;;73.741667;
83405;31/07/2001;0000;21.2;;;73.4;
83405;31/08/2001;0000;23.6;;;58.217742;
83405;30/09/2001;0000;94.4;;;65.575;
83405;31/10/2001;0000;97.6;33.904348;21.822222;72.558333;
83405;30/11/2001;0000;138;33.948276;22.606897;77.025;
83405;31/12/2001;0000;284;32.875862;22.453846;80.612903;
83405;31/01/2002;0000;111;33.224138;22.6;82.29;
83405;28/02/2002;0000;283.8;32.173077;23.007143;81.673077;
83405;31/03/2002;0000;107;33.545161;22.774194;80.794643;
83405;30/04/2002;0000;94;33.353571;21.832143;83.682692;
83405;31/05/2002;0000;16;32.476667;20.860714;81.482759;
83405;30/06/2002;0000;0;29.993333;16.531034;80.208333;
83405;31/07/2002;0000;26;31.046154;16.683333;76.519231;
83405;31/08/2002;0000;51.5;33.892857;19.245161;69.633929;
83405;30/09/2002;0000;42.6;32.535714;18.693103;69.12931;
83405;31/10/2002;0000;36.9;36.277419;22.923333;67.556452;
83405;30/11/2002;0000;43.8;34.840741;22.85;71.092593;
83405;31/12/2002;0000;161.3;33.543333;22.458621;75.258333;
83405;31/01/2003;0000;190.2;32.906452;22.536667;79.814516;
83405;28/02/2003;0000;169.4;32.717857;21.164286;79.044643;
83405;31/03/2003;0000;173.7;32.316129;21.341935;79.833333;
83405;30/04/2003;0000;77.7;31.786667;20.863333;78.8;
83405;31/05/2003;0000;12;31.445161;18.593548;73.822581;
83405;30/06/2003;0000;9.2;31.926667;17.663333;73.391667;
83405;31/07/2003;0000;0;31.896774;15.983871;64.451613;
83405;31/08/2003;0000;1;31.1;16.548387;62.862903;
83405;30/09/2003;0000;46.6;34.139286;19.223333;67.534483;
83405;31/10/2003;0000;44.8;34.129032;22.703226;68.056452;
83405;30/11/2003;0000;147.5;32.786667;22.043333;75.075;
83405;31/12/2003;0000;222.3;33.645161;23.951613;78.701613;
83405;31/01/2004;0000;117.7;32.980645;23.754839;81.314516;
83405;29/02/2004;0000;302.5;32.186207;23.206897;81.293103;
83405;31/03/2004;0000;114.5;33.825806;23.029032;79.403226;
83405;30/04/2004;0000;113;33.083333;22.89;80.983333;
83405;31/05/2004;0000;29.5;27.129032;18.106452;84.314516;
83405;30/06/2004;0000;10.4;30.826667;17.256667;73.341667;
83405;31/07/2004;0000;48.4;30.116129;16.758065;73.475806;
83405;31/08/2004;0000;1;33.883871;16.277419;58.282258;
83405;30/09/2004;0000;19.4;35.94;20.156667;54.327586;
83405;31/10/2004;0000;112.2;34.909677;22.76129;68.408333;
83405;30/11/2004;0000;122.9;33.386667;21.81;72.575;
83405;31/12/2004;0000;144.1;33.925806;23.516129;73.637097;
83405;31/01/2005;0000;258.4;31.767742;24.032258;83.233333;
83405;28/02/2005;0000;172.5;33.077778;23.067857;78.407407;
83405;31/03/2005;0000;239.7;32.86129;23.277419;81.58871;
83405;30/04/2005;0000;18.6;32.466667;21.153333;76.466667;
83405;31/05/2005;0000;51.5;32.354839;20.583871;74.241935;
83405;30/06/2005;0000;5.9;32.563333;19.506667;71.258621;
83405;31/07/2005;0000;1.8;30.729032;15.687097;60.685484;
83405;31/08/2005;0000;0;34.929032;17.9;50.034483;
83405;30/09/2005;0000;33.2;32.156667;18.663333;59.716667;
83405;31/10/2005;0000;44.1;34.225806;23.045161;70.685484;
83405;30/11/2005;0000;223.8;34.216667;23.633333;74.983333;
83405;31/12/2005;0000;149.6;32.835484;23.5;80.395161;
83405;31/01/2006;0000;267;32.364516;23.545161;80.540323;
83405;28/02/2006;0000;150.3;32.35;23.428571;81.571429;
83405;31/03/2006;0000;169.8;32.751613;23.932258;81.362903;
83405;30/04/2006;0000;110.4;32.206667;22.517241;80.266667;
83405;31/05/2006;0000;5.4;29.658065;16.822581;69.241935;
83405;30/06/2006;0000;0;32.88;18.583333;67.441667;
83405;31/07/2006;0000;10;33.348387;17.3;62.467742;
83405;31/08/2006;0000;4;34.683871;18.329032;57.741667;
83405;30/09/2006;0000;99.1;33.096667;20.937931;69.232759;
83405;31/10/2006;0000;153.9;33.219355;23.280645;77.362903;
83405;30/11/2006;0000;32.9;34.793333;23.28;71.491667;
83405;31/12/2006;0000;401.4;32.035484;24.103226;79.975806;
83405;31/01/2007;0000;458.1;32.490323;23.932258;82.298387;
83405;28/02/2007;0000;92.3;32.471429;23.535714;81.392857;
83405;31/03/2007;0000;171.5;33.703226;23.619355;78.048387;
83405;30/04/2007;0000;18;34.38;22.47;76.816667;
83405;31/05/2007;0000;33.2;30.867742;18.019355;72.556452;
83405;30/06/2007;0000;0;32.186667;16.917241;67.183333;
83405;31/07/2007;0000;61.7;31.2;16.443333;66.435484;
83405;31/08/2007;0000;0;32.790323;15.670968;58.112903;
83405;30/09/2007;0000;9.5;35.96;21.893333;62.5;
83405;31/10/2007;0000;141.8;35.219355;22.893548;72.290323;
83405;30/11/2007;0000;150.4;33.046667;21.336667;81.208333;
83405;31/12/2007;0000;146.7;33.493548;21.858065;78.137097;
83405;31/01/2008;0000;365.4;32;21.470968;81.65;
83405;29/02/2008;0000;295.9;32.765517;21.227586;80.172414;
83405;31/03/2008;0000;252.3;32.33871;20.836667;83.966667;
83405;30/04/2008;0000;86.5;31.75;19.016667;79.958333;
83405;31/05/2008;0000;5;30.23;16.48;74.575;
83405;30/06/2008;0000;0;30.076667;14.673333;71.591667;
83405;31/07/2008;0000;0;34.083871;14.516667;58.66129;
