--------------------
BDMEP - INMET
--------------------
Estação           : CAMPINA GRANDE - PB (OMM: 82795)
Latitude  (graus) : -7.22
Longitude (graus) : -35.88
Altitude  (metros): 547.56
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82795;31/01/2000;0000;78.4;29.793548;21.167742;74.830645;
82795;29/02/2000;0000;153.9;30.237931;21.448276;73.724138;
82795;31/03/2000;0000;63.4;29.935484;21.632258;74.677419;
82795;30/04/2000;0000;148.7;28.746667;20.862963;80.141667;
82795;31/05/2000;0000;98.6;27.558065;20.090323;80.548387;
82795;30/06/2000;0000;232.2;25.623333;19.373333;;
82795;31/07/2000;0000;171.5;24.683871;18.974194;;
82795;31/08/2000;0000;200.7;25.6;18.851613;;
82795;30/09/2000;0000;149.4;26.176667;19.363333;;
82795;31/03/2001;0000;207.1;29.96129;21.283871;;
82795;30/04/2001;0000;105;28.336667;20.976667;;
82795;30/09/2001;0000;5;;;;
82795;31/10/2001;0000;29.6;29.554839;20.283871;72.040323;
82795;30/11/2001;0000;0;30.723333;20.77;71.577586;
82795;31/12/2001;0000;14.4;30.434483;21.489286;75.296296;
82795;31/01/2002;0000;82.3;29;21.363333;80.178571;
82795;28/02/2002;0000;74.6;30.574074;21.282143;74.836538;
82795;31/03/2002;0000;137.3;29.380645;21.203333;79.783333;
82795;30/04/2002;0000;24.1;29.753571;21.326667;76.285714;
82795;31/05/2002;0000;106.5;27.632258;20.836667;81.91129;
82795;30/06/2002;0000;123.1;25.556667;19.503448;86.766667;
82795;31/07/2002;0000;55.1;26.109677;19.241935;83.177419;
82795;31/08/2002;0000;51.6;27.016667;18.680645;79.791667;
82795;30/09/2002;0000;2.3;29.213333;19.343333;71.316667;
82795;31/10/2002;0000;22.6;29.706452;19.970968;71.362903;
82795;30/11/2002;0000;41.6;30.463333;20.553333;71.683333;
82795;31/12/2002;0000;2.7;31.580645;21.312903;69.66129;
82795;31/01/2003;0000;24.3;31.741935;21.53871;70.072581;
82795;28/02/2003;0000;64.8;29.765385;21.367857;75.388889;
82795;31/03/2003;0000;130;28.819355;21.222581;79.951613;
82795;30/04/2003;0000;35.2;29.496667;21.06;78.783333;
82795;31/05/2003;0000;53.9;28.464516;20.677419;79.282258;
82795;30/06/2003;0000;122;26.373333;18.966667;82.533333;
82795;31/07/2003;0000;87.6;25.719355;18.093548;81.701613;
82795;31/08/2003;0000;44.7;27.619355;18.441935;75.379032;
