--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83714;29/02/2000;0000;184;21.834483;;;
83714;31/03/2000;0000;126.3;21.36129;;;
83714;30/04/2000;0000;41.2;20.866667;;;
83714;31/05/2000;0000;28.8;18.303226;;;
83714;30/06/2000;0000;4.6;19.04;;;
83714;31/07/2000;0000;58.2;17.351613;;;
83714;31/08/2000;0000;69.8;18.964516;;;
83714;30/09/2000;0000;64.6;19.143333;;;
83714;31/10/2000;0000;50.4;23.348387;;;
83714;30/11/2000;0000;168.4;21.42;;;
83714;31/12/2000;0000;217;21.953333;;;
83714;28/02/2001;0000;166.6;23.933333;;;
83714;31/03/2001;0000;73.4;22.684211;;;
83714;30/04/2001;0000;16.2;22.288;;;
83714;31/05/2001;0000;73.8;18.490323;;;
83714;30/06/2001;0000;11.2;18.44;;;
83714;31/07/2001;0000;18.6;19.254839;;;
83714;31/08/2001;0000;92.8;19.870968;;;
83714;30/09/2001;0000;69.2;18.83;;;
83714;31/10/2001;0000;164.4;20.909677;;;
83714;30/11/2001;0000;221.2;21.785185;;;
83714;31/12/2001;0000;238.4;21.419355;;;
83714;31/01/2002;0000;186;22.167742;13.603226;;
83714;28/02/2002;0000;221.2;20.75;13.414286;;
83714;31/03/2002;0000;156.8;23.372414;12.9;;
83714;30/04/2002;0000;2.8;22.886667;11.04;;
83714;31/05/2002;0000;52;19.716129;8.919355;;
83714;30/06/2002;0000;3.4;19.489655;7.134483;;
83714;31/07/2002;0000;0;;;;
83714;31/08/2002;0000;24.6;21.8;7.15;;
83714;30/09/2002;0000;82.2;19.72069;;;
83714;31/10/2002;0000;168.1;24.670968;;;
83714;30/11/2002;0000;271.8;21.943333;;;
83714;31/12/2002;0000;353.2;23.412903;;;
83714;31/01/2003;0000;0;;;;
83714;28/02/2003;0000;149.4;24.955556;;;
83714;31/03/2003;0000;304.2;22.019355;;;
83714;30/04/2003;0000;61.3;22.013793;;;
83714;31/05/2003;0000;75.2;18.380645;;;
83714;30/06/2003;0000;3.4;20.2;;;
83714;31/07/2003;0000;12.8;18.967742;;;
83714;31/08/2003;0000;21.6;18.535484;;;
83714;30/09/2003;0000;37;21.39;;;
83714;31/10/2003;0000;188.1;21.974194;;;
83714;30/11/2003;0000;202.2;21.62;;;
83714;31/12/2003;0000;244;22.68;;;
83714;31/01/2004;0000;181.8;21.767742;;;
83714;29/02/2004;0000;402.5;21.524138;;;
83714;31/03/2004;0000;188.3;21.348387;;;
83714;30/04/2004;0000;110.5;21.08;;;
83714;31/05/2004;0000;110.8;17.590323;;;
83714;30/06/2004;0000;79.4;17.35;;;
83714;31/07/2004;0000;95.2;16.035484;;;
83714;31/08/2004;0000;7.6;19.96129;;;
83714;30/09/2004;0000;15;24.71;;;
83714;31/10/2004;0000;194.1;20.341935;;;
83714;30/11/2004;0000;148.2;22.146667;;;
83714;31/12/2004;0000;164.8;22.045161;;;
83714;31/01/2005;0000;407.2;22.122581;;;
83714;28/02/2005;0000;143.2;22.921429;;;
83714;31/03/2005;0000;197.9;22.445161;;;
83714;30/04/2005;0000;114.8;22.173333;;;
83714;31/05/2005;0000;150.5;19.548387;;;
83714;30/06/2005;0000;33.7;18.563333;;;
83714;31/07/2005;0000;37.8;16.729032;;;
83714;31/08/2005;0000;22.5;21.4;;;
83714;30/09/2005;0000;154.8;19.606667;;;
83714;31/10/2005;0000;240.2;23.23871;;;
83714;30/11/2005;0000;109.6;21.126667;;;
83714;31/12/2005;0000;287;21.496774;;;
83714;31/01/2006;0000;275.4;23.051613;;;
83714;28/02/2006;0000;243.5;23.571429;;;
83714;31/03/2006;0000;268.4;23.16129;;;
83714;30/04/2006;0000;43.6;20.92;;;
83714;31/05/2006;0000;30.9;17.787097;;;
83714;30/06/2006;0000;14.9;17.646667;;;
83714;31/07/2006;0000;57;19.067742;;;
83714;31/08/2006;0000;28.9;20.683871;;;
83714;30/09/2006;0000;93.2;20.57;;;
83714;31/10/2006;0000;117.9;21.387097;;;
83714;30/11/2006;0000;257;21.256667;;;
83714;31/12/2006;0000;286.7;22.787097;;;
83714;31/01/2007;0000;370.6;22.03871;;;
83714;28/02/2007;0000;94.3;23.442857;;;
83714;31/03/2007;0000;144.6;24.129032;;;
83714;30/04/2007;0000;125.5;21.806667;;;
83714;31/05/2007;0000;71.8;17.758065;;;
83714;30/06/2007;0000;25.2;18.753333;;;
83714;31/07/2007;0000;173.6;17.567742;;;
83714;31/08/2007;0000;0;21.083871;;;
83714;30/09/2007;0000;69.9;22.58;;;
83714;31/10/2007;0000;114.7;23.980645;;;
