--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS NOVOS - SC (OMM: 83887)
Latitude  (graus) : -27.38
Longitude (graus) : -51.2
Altitude  (metros): 946.67
Estação Operante
Inicio de operação: 01/07/1923
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83887;31/01/2000;0000;211.5;27.232258;16.148387;72.475806;
83887;29/02/2000;0000;152.4;26.072414;15.889655;74.775862;
83887;31/03/2000;0000;151.9;24.806452;14.864516;79.08871;
83887;30/04/2000;0000;136.2;23.916667;12.366667;71.616667;
83887;31/05/2000;0000;119.7;18.732258;8.529032;76.959677;
83887;30/06/2000;0000;168.3;19.765517;10.456667;77.075;
83887;31/07/2000;0000;184.3;15.887097;3.677419;69.451613;
83887;30/09/2000;0000;327.5;19.41;10.126667;80.05;
83887;31/10/2000;0000;367.2;23.854839;13.829032;73.725806;
83887;30/11/2000;0000;129.6;24.866667;14.713333;70.541667;
83887;31/12/2000;0000;236.5;26.435484;15.145161;70.298387;
83887;30/09/2001;0000;35;;;;
83887;31/10/2001;0000;164;23.42963;12.9;72.76;
83887;30/11/2001;0000;79.6;26.475862;15.313333;71.448276;
83887;31/12/2001;0000;98;25.942857;14.892593;72.653846;
83887;31/01/2002;0000;234;26.125806;15.725806;73.383333;
83887;28/02/2002;0000;125.4;25.346429;15.121429;76.287037;
83887;31/03/2002;0000;81.3;28.612903;17.867742;79.416667;
83887;30/04/2002;0000;147.3;25.266667;15.49;82.586207;
83887;31/05/2002;0000;146.7;21.093548;11.896774;83.056452;
83887;30/06/2002;0000;150.1;19.223333;10.406667;83.941667;
83887;31/07/2002;0000;167.2;17.667742;7.993548;81.169355;
83887;31/08/2002;0000;190.7;20.523333;11.35;79.306452;
83887;30/09/2002;0000;177.3;19.19;8.266667;75.775;
83887;31/10/2002;0000;388.1;23.4;14.532258;82.33871;
83887;30/11/2002;0000;293;25.2;14.413333;76.458333;
83887;31/12/2002;0000;163.7;25.858065;16.174194;77.241935;
83887;31/01/2003;0000;188.8;26.570968;16.690323;75.814516;
83887;28/02/2003;0000;153.6;27.021429;17.357143;77.642857;
83887;31/03/2003;0000;153.6;25.354839;15.235484;79.733871;
83887;30/04/2003;0000;129.4;23.266667;12.303333;74.341667;
83887;31/05/2003;0000;137.5;19.622581;9.33871;71.758065;
83887;30/06/2003;0000;103.2;19.856667;12.21;81.35;
83887;31/07/2003;0000;104.5;19.696774;9.858065;72.137097;
83887;31/08/2003;0000;56;18.748387;5.706667;63.967742;
83887;30/09/2003;0000;67;22.37;9.633333;69.708333;
83887;31/10/2003;0000;179;24.196774;12.541935;71.637097;
83887;30/11/2003;0000;166.5;24.813333;13.216667;66.641667;
83887;31/12/2003;0000;405.4;24.43871;14.825806;74.967742;
83887;31/01/2004;0000;117.6;26.080645;15.519355;73.709677;
83887;29/02/2004;0000;54.5;26.217241;14.710345;68.724138;
83887;31/03/2004;0000;99.6;26.532258;14.496774;67.524194;
83887;30/04/2004;0000;181.9;24.52;14.853333;77.541667;
83887;31/05/2004;0000;148;16.874194;8.909677;85.274194;
83887;30/06/2004;0000;29.4;19.22;8.733333;77.5;
83887;31/07/2004;0000;185.5;16.735484;8.087097;80.854839;
83887;31/08/2004;0000;58.8;20.858065;8.203226;68.814516;
83887;30/09/2004;0000;193.9;22.91;12.523333;74.75;
83887;31/10/2004;0000;266.2;22.68;10.934483;70.233871;
83887;30/11/2004;0000;174.9;23.79;13.296667;71.616667;
83887;31/12/2004;0000;140.1;25.522581;14.751613;69.169355;
83887;31/01/2005;0000;232.6;26.493548;16.643333;74.725806;
83887;28/02/2005;0000;32.1;27.475;15.775;66.571429;
83887;31/03/2005;0000;119.3;27.045161;15.464516;68.629032;
83887;30/04/2005;0000;381.4;23.283333;13.613333;79.45;
83887;31/05/2005;0000;311.2;20.953333;11.08;78.693548;
