--------------------
BDMEP - INMET
--------------------
Estação           : CANARANA - MT (OMM: 83270)
Latitude  (graus) : -13.47
Longitude (graus) : -52.27
Altitude  (metros): 430.00
Estação Operante
Inicio de operação: 04/08/1987
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83270;31/01/2000;0000;358;29.932258;20.825806;85.008065;
83270;29/02/2000;0000;291.1;30.110345;20.831034;86.025862;
83270;31/03/2000;0000;176.7;30.767742;21.045161;83.25;
83270;30/04/2000;0000;150.3;31.13;20.246667;81.2;
83270;31/05/2000;0000;0;32.374194;18.477419;66.306452;
83270;30/06/2000;0000;0;32.62;17.02;57.396552;
83270;31/07/2000;0000;64;31.247619;16.332258;52.375;
83270;31/08/2000;0000;2.1;34.751852;18.829032;57.612903;
83270;30/09/2000;0000;94;33.066667;20.383333;74.383333;
83270;31/10/2000;0000;142.8;34.212903;21.177419;75.55;
83270;30/11/2000;0000;333.5;30.613793;21.24;88.95;
83270;31/12/2000;0000;310;29.677419;21.144828;88.866667;
83270;31/01/2001;0000;112.6;30.806452;20.767742;85.068966;
83270;28/02/2001;0000;71.4;31.928571;20.75;83.339286;
83270;31/03/2001;0000;278.2;30.876667;20.680645;88.991935;
83270;30/04/2001;0000;39.7;33.073333;20.310345;76.637931;
83270;31/05/2001;0000;12.7;32.766667;19.303226;70.193548;
83270;30/06/2001;0000;0;32.04;17.322222;61.391667;
83270;31/07/2001;0000;0;33.829032;17.712903;50.677419;
83270;31/08/2001;0000;0.2;34.270968;18.529032;44.822581;
83270;30/09/2001;0000;20.7;35.276667;20.503333;52.6;
83270;31/10/2001;0000;245.2;32.323333;20.836667;72.822581;
83270;30/11/2001;0000;309.8;30.326667;21.45;85.175;
83270;31/12/2001;0000;406.3;29.819355;21.319355;88.637097;
83270;31/01/2002;0000;265.5;30.543333;21.124138;86.51087;
83270;28/02/2002;0000;420.6;31.126923;21.232143;85;
83270;31/03/2002;0000;299.2;31.890323;20.845161;84.125;
83270;30/04/2002;0000;30;32.592593;20.671429;81.65;
83270;31/05/2002;0000;17;33.303333;19.51;78;
83270;30/06/2002;0000;0.6;33.071429;17.239286;63.758621;
83270;31/07/2002;0000;6;34.203571;18.134483;57.473214;
83270;31/08/2002;0000;0;35.589286;19.148387;45.508929;
83270;30/09/2002;0000;41.1;35.059259;20.303448;53.465517;
83270;31/10/2002;0000;156.5;34.462069;21.206897;67.689655;
83270;30/11/2002;0000;191.9;32.707407;21.703448;75.916667;
83270;31/12/2002;0000;220.8;31.743333;21.916667;82.366667;
83270;31/01/2003;0000;305.6;30.432258;21.94;87.322581;
83270;28/02/2003;0000;325.9;30.585714;21.2;88;
83270;31/03/2003;0000;391.4;30.554839;20.983871;89.887097;
83270;30/04/2003;0000;76.9;32.09;21.013793;82.172414;
83270;31/05/2003;0000;2.9;32.158065;19.309677;71.572581;
83270;30/06/2003;0000;0;32.77;17.223333;58.4;
83270;31/07/2003;0000;0;32.813333;15.843333;49.25;
83270;31/08/2003;0000;0;34.709677;18.683871;47.935484;
83270;30/09/2003;0000;22.6;35.1;21.086667;55.666667;
83270;31/10/2003;0000;71.9;33.348387;21.422581;74.322581;
83270;30/11/2003;0000;261.5;32.536667;21.573333;81.491667;
83270;31/12/2003;0000;178.2;32.917857;22.058065;79.594828;
83270;31/01/2004;0000;726.2;29.341935;21.253333;91.798387;
83270;29/02/2004;0000;596.9;30.334483;21.303448;90.25;
83270;31/03/2004;0000;189;32.470968;21.448387;85.895161;
83270;30/04/2004;0000;144;32.583333;21.31;81.816667;
83270;31/05/2004;0000;0;32.390323;19.448387;72.846774;
83270;30/06/2004;0000;3.2;32.72;16.68;58.958333;
83270;31/07/2004;0000;0.3;33.251613;16.696774;53.798387;
83270;31/08/2004;0000;0;35.787097;17.9;42.25;
83270;30/09/2004;0000;0;37.27;20.12;40.933333;
83270;31/10/2004;0000;335;33.729032;21.277419;76.459677;
83270;30/11/2004;0000;122.1;33.23;21.723333;78.758333;
83270;31/12/2004;0000;269.2;32.119355;21.370968;84.048387;
83270;31/01/2005;0000;262.6;31.219355;21.625806;88.75;
83270;28/02/2005;0000;307.4;32.314286;21.95;84.833333;
83270;31/03/2005;0000;267;31.480645;21.596774;90.274194;
83270;30/04/2005;0000;87.7;33.043333;20.896667;79.75;
83270;31/05/2005;0000;5.7;33.174194;19.096774;70.725806;
83270;30/06/2005;0000;0;33.416667;18.166667;62.775862;
83270;31/07/2005;0000;0;33.922581;16.906452;50.322581;
83270;31/08/2005;0000;0;35.96129;18.186667;42.691667;
83270;30/09/2005;0000;34.4;35.736667;21.22;56.783333;
83270;31/10/2005;0000;78.2;36.019355;21.925806;66.629032;
83270;30/11/2005;0000;230.5;32.596667;21.503333;81.594828;
83270;31/12/2005;0000;428.8;29.946667;20.841935;89.403226;
83270;31/01/2006;0000;156.2;32.558065;20.893103;81.346774;
83270;28/02/2006;0000;197.5;32.114286;21.228571;87.455357;
83270;31/03/2006;0000;330.5;31.793548;21.364516;88.25;
83270;30/04/2006;0000;142.6;31.763333;20.79;85.301724;
83270;31/05/2006;0000;0;32.509677;17.767742;67.120968;
83270;30/06/2006;0000;0;33.163333;16.55;54.741667;
83270;31/07/2006;0000;0;33.835484;16.732258;51.216667;
83270;31/08/2006;0000;0;36.303226;19.583871;44.325;
83270;30/09/2006;0000;79.7;35.743333;20.803333;56.608333;
83270;31/10/2006;0000;237.3;32.980645;21.325806;83.008065;
83270;30/11/2006;0000;199;32.733333;21.183333;79.058333;
83270;31/12/2006;0000;357;31.854839;21.248387;87.387097;
83270;31/01/2007;0000;373.8;32.354839;21.570968;85.653226;
83270;28/02/2007;0000;595.8;31.007143;21.267857;89.776786;
83270;31/03/2007;0000;58.4;33.425806;20.722581;77.233871;
83270;30/04/2007;0000;87.8;33.788;20.793103;78.908333;
83270;31/05/2007;0000;5.1;33.903333;18.474194;65.35;
83270;30/06/2007;0000;0;34.039286;17.286207;53.291667;
83270;31/07/2007;0000;2.2;34.648387;17.193548;51.391667;
83270;31/08/2007;0000;0;35.919355;17.232258;38.16129;
83270;30/09/2007;0000;0;37.816667;20.3;38.37931;
83270;31/10/2007;0000;89.7;36.248387;21.432258;59.758065;
83270;30/11/2007;0000;184;34.19;21.536667;73.283333;
83270;31/12/2007;0000;248.4;32.425806;21.173333;82.629032;
83270;31/01/2008;0000;269.1;32;20.967742;85.064516;
83270;29/02/2008;0000;612.8;30.941379;20.767857;87.275862;
83270;31/03/2008;0000;240.5;31.290323;20.609677;87.169355;
83270;30/04/2008;0000;208.2;32.073333;21.003333;86.766667;
83270;31/05/2008;0000;0;32.845161;18.348387;71.483333;
83270;30/06/2008;0000;0;33.693333;17.033333;56.775;
83270;31/07/2008;0000;0;34.106452;15.609677;44.459677;
83270;31/08/2008;0000;0;36.687097;18.267742;36.903226;
83270;30/09/2008;0000;40.8;37.333333;20.303333;46.325;
83270;31/10/2008;0000;71.1;36.358065;21.835484;60.225806;
83270;30/11/2008;0000;255.9;32.966667;21.333333;82.558333;
83270;31/12/2008;0000;331;31.370968;21.487097;88.217742;
83270;31/01/2009;0000;271.8;32.787097;21.180645;84.024194;
83270;28/02/2009;0000;432.3;32.417857;20.982143;88.035714;
83270;31/03/2009;0000;276.2;33.006667;21.213333;85.483333;
83270;30/04/2009;0000;379.2;32;20.573333;86.05;
83270;31/05/2009;0000;15.4;32.532258;19.648387;78.758065;
83270;30/06/2009;0000;43.7;32.903333;17.28;68.016667;
83270;31/07/2009;0000;0;35.216129;17.409677;51.620968;
83270;31/08/2009;0000;13.6;35.448387;18.43871;51.701613;
83270;30/09/2009;0000;129.1;35.89;21.17;68.958333;
83270;31/10/2009;0000;172.6;34.041935;21.403333;80.725;
83270;30/11/2009;0000;233.6;33.436667;21.59;82.441667;
83270;31/12/2009;0000;301.5;31.674194;21.296774;86.725806;
83270;31/01/2010;0000;275.9;32.43;21.148387;86.241667;
83270;28/02/2010;0000;336.6;33.075;21.414286;87.410714;
83270;31/03/2010;0000;238.8;33.051613;21.674194;86.475806;
83270;30/04/2010;0000;113.1;33.866667;20.49;74.791667;
83270;31/05/2010;0000;3.4;34.363333;18.82;63.383333;
83270;30/06/2010;0000;3.4;34.54;17.19;53.591667;
83270;31/07/2010;0000;0;34.63871;17.9;48.241935;
83270;31/08/2010;0000;0;36.487097;17.13871;38.33871;
83270;30/09/2010;0000;2.2;39.943333;21.003333;37.4;
83270;31/10/2010;0000;103.3;36.474194;22.567742;70.653226;
83270;30/11/2010;0000;288.3;33.386667;21.52;84.133333;
83270;31/12/2010;0000;408.4;;21.535484;86.862903;
83270;31/01/2011;0000;496.2;;20.951613;89.491935;
83270;28/02/2011;0000;274.2;;20.975;84.857143;
83270;31/03/2011;0000;302.4;30.796552;21.345161;87.145161;
83270;30/04/2011;0000;117.2;31.873333;20.613333;81.041667;
83270;31/05/2011;0000;0.3;32.193548;19.022581;74.758065;
83270;30/06/2011;0000;7.7;;16.875862;72.391667;
83270;31/07/2011;0000;0;;17.174194;56.137097;
83270;31/08/2011;0000;0;;18.503226;40.008065;
83270;30/09/2011;0000;39.2;;20.596667;38.641667;
83270;31/10/2011;0000;128.6;;21.436667;78.532258;
83270;30/11/2011;0000;196.5;;20.93;85.85;
83270;31/12/2011;0000;255.7;;21.3;86.346774;
83270;31/01/2012;0000;347.8;;20.632258;88.435484;
83270;29/02/2012;0000;286.5;31.034483;20.213793;85.801724;
83270;31/03/2012;0000;253.6;32.332258;20.693548;87.048387;
83270;30/04/2012;0000;55.4;33.346667;21.123333;82.325;
83270;31/05/2012;0000;89.7;32.06129;19.070968;76.903226;
83270;30/06/2012;0000;7.6;32.873333;18.796667;71.225;
83270;31/07/2012;0000;0;33.364516;16.380645;51.358333;
83270;31/08/2012;0000;0;34.422581;17.909677;41.395161;
83270;30/09/2012;0000;13.8;36.47;20.943333;49.975;
83270;31/10/2012;0000;160.7;35.68;21.780645;67.16129;
83270;30/11/2012;0000;182.6;31.433333;21.91;86.616667;
83270;31/12/2012;0000;258.5;32.232258;21.4;82.693548;
83270;31/01/2013;0000;397.9;30.045161;21.532258;89.008065;
83270;28/02/2013;0000;305.9;31.578571;21.089286;85.616071;
83270;31/03/2013;0000;417.3;31.325806;21.670968;87.104839;
83270;30/04/2013;0000;73;31.213333;21.043333;80.916667;
83270;31/05/2013;0000;7.8;32.832258;19.367742;69.951613;
83270;30/06/2013;0000;32.3;32.59;19.266667;69.225;
83270;31/07/2013;0000;0;33.145161;17.06129;55.274194;
83270;31/08/2013;0000;0;34.548387;17.9;45.991935;
83270;30/09/2013;0000;62.3;35.343333;20.943333;56.725;
83270;31/10/2013;0000;280.9;33.777419;21.2;79.05;
83270;30/11/2013;0000;287.8;32.126667;21.15;85.525;
83270;31/12/2013;0000;304.2;30.867742;21.277419;87.983871;
83270;31/01/2014;0000;200.7;31.412903;20.506452;85.258065;
83270;28/02/2014;0000;411;30.764286;20.933333;86.125;
83270;31/03/2014;0000;258.7;31.496774;21.21;87.016129;
83270;30/04/2014;0000;152.8;32.213333;21.163333;85.333333;
83270;31/05/2014;0000;0.8;33.073333;19.212903;70.441667;
83270;30/06/2014;0000;0;32.983333;18.093333;62.3;
83270;31/07/2014;0000;9.6;33.496774;17.422581;53.241935;
83270;31/08/2014;0000;0;35.796774;18.245161;41.887097;
83270;30/09/2014;0000;92.4;36.446667;21.3;55.35;
83270;31/10/2014;0000;26.3;35.358065;21.716667;62.66129;
83270;30/11/2014;0000;347.2;33.18;21.783333;80.591667;
83270;31/12/2014;0000;456.5;31.103333;21.553333;85.741667;
83270;31/01/2015;0000;198.3;32.822581;20.909677;84.629032;
83270;28/02/2015;0000;250.5;31.575;20.882143;85.205357;
83270;31/03/2015;0000;392.9;32.01;21.116129;87.658333;
83270;30/04/2015;0000;158;30.79;21.37;87.9;
83270;31/05/2015;0000;94;;20.116667;81.693548;
83270;30/06/2015;0000;0;;18.393333;67.45;
83270;31/07/2015;0000;2.2;;17.858065;58.879032;
83270;31/08/2015;0000;2.1;;18.713333;48.862903;
83270;30/09/2015;0000;64.6;;21.486667;54.75;
83270;31/10/2015;0000;149.4;;22.235484;68.943548;
83270;30/11/2015;0000;183.4;;21.96;77.425;
83270;31/12/2015;0000;129.6;;21.767742;78.433333;
