--------------------
BDMEP - INMET
--------------------
Estação           : CARAVELAS - BA (OMM: 83498)
Latitude  (graus) : -17.73
Longitude (graus) : -39.25
Altitude  (metros): 2.88
Estação Operante
Inicio de operação: 01/05/1930
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83498;31/01/2000;0000;132.9;29.793548;23.177419;83.080645;
83498;29/02/2000;0000;110.7;30.875862;23.247059;84.727273;
83498;31/03/2000;0000;143.5;29.96129;23.283871;86.814516;
83498;30/04/2000;0000;257.3;28.726667;22.463333;84.8;
83498;31/05/2000;0000;100.1;27.806452;20.93871;86.201613;
83498;30/06/2000;0000;49.3;26.796667;19.02;85.383333;
83498;31/07/2000;0000;176.3;26.029032;18.425806;85.516129;
83498;31/08/2000;0000;57.6;26.164516;18.632258;83.322581;
83498;30/09/2000;0000;311.4;26.76;19.983333;80.275;
83498;31/10/2000;0000;174.9;28.658065;21.306452;78.532258;
83498;30/11/2000;0000;174.1;28.886667;22.006667;83.916667;
83498;31/12/2000;0000;146.8;29.851613;22.554839;84.475806;
83498;31/01/2001;0000;13.4;30.551613;22.151613;77.241935;
83498;28/02/2001;0000;48.3;31.403571;22.914815;77.455357;
83498;31/03/2001;0000;75.4;30.448387;22.916129;81.266129;
83498;30/04/2001;0000;92.1;29.316667;22.07;81.675;
83498;31/05/2001;0000;250.3;27.96129;21.596774;84.169355;
83498;30/06/2001;0000;100;26.733333;19.75;84.875;
83498;31/07/2001;0000;235.8;26.058065;18.66129;84.862903;
83498;31/08/2001;0000;51.4;25.758065;18.254839;82.33871;
83498;30/09/2001;0000;153.4;26.41;18.493333;80.95;
83498;31/10/2001;0000;181.3;26.390323;20.458065;82.532258;
83498;30/11/2001;0000;150.9;28.7;22.396667;81.991667;
83498;31/12/2001;0000;211.7;28.946667;22.906452;81.048387;
83498;31/01/2002;0000;272.8;29.422581;22.425806;81.677419;
83498;28/02/2002;0000;48.7;29.821429;23.185714;79.37037;
83498;31/03/2002;0000;65.3;30.558065;23.480645;78.943548;
83498;30/04/2002;0000;130.8;29.666667;22.78;81.808333;
83498;31/05/2002;0000;84.1;28.719355;;82.048387;
83498;30/06/2002;0000;111.8;27.209524;;85.416667;
83498;31/07/2002;0000;105.7;26.92;;82.346774;
83498;31/08/2002;0000;65.2;27.66;20.427778;77.741935;
83498;30/09/2002;0000;184.7;26.87;21.36;80.158333;
83498;31/10/2002;0000;53.5;28.753333;21.506667;75.41129;
83498;30/11/2002;0000;120;29;22.493333;76.708333;
83498;31/12/2002;0000;129.1;30.841935;23.451613;76.733871;
83498;31/01/2003;0000;91.7;30.993548;24.293548;78.193548;
83498;28/02/2003;0000;60.1;31.237037;23.923077;76.035714;
83498;31/03/2003;0000;56;31.190323;23.677419;77.645161;
83498;30/04/2003;0000;160;30.1;23.25;79.3;
83498;31/05/2003;0000;116.4;28.322581;21.46129;79.508065;
83498;30/06/2003;0000;3.6;28.096667;18.63;80.191667;
83498;31/07/2003;0000;131.6;26.945161;18.941935;79.41129;
83498;31/08/2003;0000;78.8;26.635484;19.419355;80.217742;
83498;30/09/2003;0000;72.6;27.343333;20.333333;77.641667;
83498;31/10/2003;0000;54;28.16129;21.464516;73.685484;
83498;30/11/2003;0000;122.2;29.54;23.29;75.541667;
83498;31/12/2003;0000;91.3;30.73871;23.887097;74.806452;
83498;31/01/2004;0000;159.7;29.712903;24.058065;81.016129;
83498;29/02/2004;0000;156.7;30.407407;23.567857;79.034483;
83498;31/03/2004;0000;359.5;29.254839;23.235484;83.080645;
83498;30/04/2004;0000;137.5;29.096667;22.8;81.208333;
83498;31/05/2004;0000;93.4;27.970968;22.122581;79.927419;
83498;30/06/2004;0000;163.1;26.436667;20.003333;82.425;
83498;31/07/2004;0000;162.6;25.354839;18.970968;80.612903;
83498;31/08/2004;0000;61.2;26.167742;18.564516;79.903226;
83498;30/09/2004;0000;5.6;27.66;19.28;71;
83498;31/10/2004;0000;122.2;28.241935;21.483871;78.064516;
83498;30/11/2004;0000;201.9;28.396667;22.776667;79.625;
83498;31/12/2004;0000;151.9;29.358065;23.212903;78.370968;
83498;31/01/2005;0000;173.3;30.354839;23.793548;80.58871;
83498;28/02/2005;0000;242.6;30.05;23.4;84.589286;
83498;31/03/2005;0000;199.5;30.329032;24.112903;86.903226;
83498;30/04/2005;0000;58.9;29.813333;23.093333;87.3;
83498;31/05/2005;0000;136.9;28.012903;22.267742;89.33871;
83498;30/06/2005;0000;120.8;26.866667;20.5;90.225;
83498;31/07/2005;0000;58.2;26.143333;18.541935;87.91129;
83498;31/08/2005;0000;89.2;26.545161;19.612903;85.096774;
83498;30/09/2005;0000;113.9;27.073333;20.44;83.841667;
83498;31/10/2005;0000;35.5;28.756667;20.933333;79.798387;
83498;30/11/2005;0000;383.7;27.603333;21.626667;86.35;
83498;31/12/2005;0000;215.4;29.003226;22.1;80.362903;
83498;31/01/2006;0000;25.6;30.419355;22.690323;77.943548;
83498;28/02/2006;0000;20.8;31.857692;22.962963;75.669643;
83498;31/03/2006;0000;143.2;30.577419;23.235484;80.693548;
83498;30/04/2006;0000;144.9;29.14;22.865517;83.083333;
83498;31/05/2006;0000;57.2;27.32069;20.289655;80.330645;
83498;30/06/2006;0000;86.7;26.166667;19.166667;79.391667;
83498;31/07/2006;0000;26.7;26.045161;17.458065;80.282258;
83498;31/08/2006;0000;63.9;26.932258;19.474194;80.6;
83498;30/09/2006;0000;203.7;26.836667;19.856667;79.95;
83498;31/10/2006;0000;109.3;27.558065;21.587097;83.064516;
83498;30/11/2006;0000;253.9;28.533333;22.123333;82.836207;
83498;31/12/2006;0000;403.7;29.541935;23.135484;83.467742;
83498;31/01/2007;0000;31.5;30.9;23.683871;81.830645;
83498;28/02/2007;0000;160.5;29.917857;22.914286;82.214286;
83498;31/03/2007;0000;53.3;30.776667;22.9;78.830645;
83498;30/04/2007;0000;257.7;29.953333;22.073333;81.766667;
83498;31/05/2007;0000;101;28.013793;20.287097;81.951613;
83498;30/06/2007;0000;30.7;27.113333;18.296667;80.908333;
83498;31/07/2007;0000;43.5;26.929032;18.319355;81.870968;
83498;31/08/2007;0000;40.4;26.577419;18.664516;78.258065;
83498;30/09/2007;0000;46;26.723333;18.483333;77.983333;
83498;31/10/2007;0000;113.3;28.074194;19.687097;77.370968;
83498;30/11/2007;0000;233.7;29.134483;21.993103;77.975;
83498;31/12/2007;0000;158.8;29.296667;21.906667;77.798387;
83498;31/01/2008;0000;117.9;29.322581;21.703226;80.346774;
83498;29/02/2008;0000;85;30.925;21.833333;79.206897;
83498;31/03/2008;0000;213.2;30.967742;22.619355;79.895161;
83498;30/04/2008;0000;8.6;31.32069;21.971429;78.908333;
83498;31/05/2008;0000;64.8;28.129032;19.290323;80.58871;
83498;30/06/2008;0000;241.7;26.98;18.523333;80.958333;
83498;31/07/2008;0000;75.2;26.003226;16.470968;79.104839;
83498;31/08/2008;0000;27.3;27.051613;17.051613;79.064516;
83498;30/09/2008;0000;46.8;26.913333;18.748276;77.108333;
83498;31/10/2008;0000;35.7;28.877419;20.212903;76.112903;
83498;30/11/2008;0000;321.4;28.3;21.17;80.916667;
83498;31/12/2008;0000;193.5;28.745161;21.470968;78.080645;
83498;31/01/2009;0000;199;30.03871;22.235484;80.266129;
83498;28/02/2009;0000;13.1;30.982143;22.342857;77.607143;
83498;31/03/2009;0000;148.7;31.306897;22.282759;78.620968;
83498;30/04/2009;0000;162.6;29.49;23.11;81.783333;
83498;31/05/2009;0000;51.7;27.853333;20.916667;79.854839;
83498;30/06/2009;0000;56.7;26.789655;19.682759;84.441667;
83498;31/07/2009;0000;55.7;27.209677;19.119355;83.177419;
83498;31/08/2009;0000;153.7;27.158065;19.845161;79.991935;
83498;30/09/2009;0000;92.7;28.206897;21.4;78.05;
83498;31/10/2009;0000;242.4;28.277419;22.129032;80.983871;
83498;30/11/2009;0000;45.9;29.773333;22.46;78.241667;
83498;31/12/2009;0000;11.9;31.668966;22.658621;78.91129;
83498;31/01/2010;0000;19.6;32.2;23.489655;75.16129;
83498;28/02/2010;0000;34.6;32.189286;24.157143;76.223214;
