--------------------
BDMEP - INMET
--------------------
Estação           : CAROLINA - MA (OMM: 82765)
Latitude  (graus) : -7.33
Longitude (graus) : -47.46
Altitude  (metros): 192.83
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82765;31/01/2000;0000;334.9;31.148387;21.583871;81.677419;
82765;29/02/2000;0000;294.1;30.234483;21.927586;83.215517;
82765;31/03/2000;0000;354.2;31.070968;22.177419;82.08871;
82765;30/04/2000;0000;139.6;31.053333;22.143333;80.391667;
82765;31/05/2000;0000;69.1;32.532258;21.529032;72.508065;
82765;30/06/2000;0000;0;33.546667;21.093333;60.866667;
82765;31/07/2000;0000;97.5;33.277419;20.406452;56.91129;
82765;31/08/2000;0000;31.5;34.993548;21.364516;51.354839;
82765;30/09/2000;0000;59.6;33.443333;22.223333;64.233333;
82765;31/10/2000;0000;41.7;33.764516;22.148387;67.379032;
82765;30/11/2000;0000;251;31.58;22.69;79.708333;
82765;31/12/2000;0000;312.4;30.751613;22.935484;83.903226;
82765;31/01/2001;0000;130.2;31.709677;22.758065;79.629032;
82765;28/02/2001;0000;300.7;31.367857;22.507143;82.446429;
82765;31/03/2001;0000;414.5;31.235484;22.593548;85.903226;
82765;30/04/2001;0000;196.9;31.95;22.71;82.383333;
82765;31/05/2001;0000;79.4;33.480645;23.464516;78.25;
82765;30/06/2001;0000;3.3;34.056667;21.683333;69.316667;
82765;31/07/2001;0000;10.3;35.177419;21.2;60.637097;
82765;31/08/2001;0000;0;36.112903;21.312903;45.274194;
82765;30/09/2001;0000;33.5;35.853333;24.02;58.316667;
82765;31/10/2001;0000;146;;23.804;75;
82765;30/11/2001;0000;113.1;32.722222;23.763333;78.34;
82765;31/12/2001;0000;188.2;31.66129;23.367742;84.564516;
82765;31/01/2002;0000;503.3;30.916129;23.112903;83.75;
82765;28/02/2002;0000;340.5;32.671429;23.55;80.803571;
82765;31/03/2002;0000;204.7;32.358065;23.548387;83.467742;
