--------------------
BDMEP - INMET
--------------------
Estação           : CASTRO - PR (OMM: 83813)
Latitude  (graus) : -24.78
Longitude (graus) : -50
Altitude  (metros): 1008.80
Estação Operante
Inicio de operação: 01/11/1922
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83813;31/01/2000;0000;137.9;26.993548;15.887097;81.282258;
83813;29/02/2000;0000;304.2;26.465517;15.97931;85.241379;
83813;31/03/2000;0000;102.7;25.56129;15.477419;84.693548;
83813;30/04/2000;0000;12.6;25.693333;11.61;80.925;
83813;31/05/2000;0000;29.1;21.667742;8.483871;82.145161;
83813;30/06/2000;0000;148.6;22.453333;9.226667;82.45;
83813;31/07/2000;0000;64.9;18.658065;3.851613;79.677419;
83813;31/08/2000;0000;119.1;21.445161;7.525806;83.145161;
83813;30/09/2000;0000;176;20.823333;11.236667;86.725;
83813;31/10/2000;0000;159;26.574194;14.212903;80.596774;
83813;30/11/2000;0000;111.7;26.076667;14.783333;86.566667;
83813;31/12/2000;0000;147;27;15.483871;86.943548;
83813;30/09/2001;0000;29.8;;;;
83813;31/10/2001;0000;227;24.762963;12.806667;83.769231;
83813;30/11/2001;0000;107.4;25.886207;14.973333;85.267241;
83813;31/12/2001;0000;143;25.9;14.625;83.305556;
83813;31/01/2002;0000;147;26.577419;16.067742;84.419355;
83813;28/02/2002;0000;67;26.485714;15.403571;85.092593;
83813;31/03/2002;0000;73;29.112903;16.76129;86.524194;
83813;30/04/2002;0000;38.7;27.516667;15.236667;86.224138;
83813;31/05/2002;0000;141.2;22.590323;12.248387;88.846774;
83813;30/06/2002;0000;9.1;23.056667;9.4;84.15;
83813;31/07/2002;0000;54;20.429032;7.087097;82.370968;
83813;31/08/2002;0000;97.9;24.373333;10.3;79.951613;
83813;30/09/2002;0000;178.5;22.996667;9.713333;75.525;
83813;31/10/2002;0000;139.5;26.874194;14.825806;77.298387;
83813;30/11/2002;0000;214.3;25.72;15.04;79.25;
83813;31/12/2002;0000;120.4;27.064516;16.548387;80.322581;
83813;31/01/2003;0000;203.4;26.583871;17.287097;84.112903;
83813;28/02/2003;0000;156;28.992857;17.460714;81.303571;
83813;31/03/2003;0000;103.4;26.877419;15.758065;80.112903;
83813;30/04/2003;0000;120.8;25.45;13.216667;78.1;
83813;31/05/2003;0000;30.2;21.948387;7.548387;77.830645;
