--------------------
BDMEP - INMET
--------------------
Estação           : COLINAS - MA (OMM: 82676)
Latitude  (graus) : -6.03
Longitude (graus) : -44.25
Altitude  (metros): 179.75
Estação Operante
Inicio de operação: 19/05/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82676;31/01/2000;0000;240.1;31.474194;22.074194;83.443548;
82676;29/02/2000;0000;176.8;30.448276;21.696552;86.801724;
82676;31/03/2000;0000;277.5;31.045161;22.122581;85.91129;
82676;30/04/2000;0000;259.9;31.043333;22.253333;85.316667;
82676;31/05/2000;0000;67.8;31.954839;21.296774;79.959677;
82676;30/06/2000;0000;3.6;31.99;20.733333;76.758333;
82676;31/07/2000;0000;39.2;32.567742;19.887097;71.669355;
82676;31/08/2000;0000;25.5;33.922581;19.490323;67.830645;
82676;30/09/2000;0000;108.7;34.346667;21.056667;70.308333;
82676;31/10/2000;0000;36.4;35.058065;21.967742;67.008065;
82676;30/11/2000;0000;27.9;34.73;22.63;67.225;
82676;31/12/2000;0000;257;32.564516;22.406452;75.491935;
82676;31/01/2001;0000;211.8;31.045161;21.525806;83.258065;
82676;28/02/2001;0000;158.5;30.717857;21.521429;85.455357;
82676;31/03/2001;0000;170.2;31.154839;22.009677;84.427419;
82676;30/04/2001;0000;106.1;31.906667;21.903333;82.658333;
82676;31/05/2001;0000;30.5;32.341935;21.829032;81.733871;
82676;30/06/2001;0000;22.8;32.666667;20.39;73.441667;
82676;31/07/2001;0000;20.9;33.8;19.545161;66.467742;
82676;31/08/2001;0000;0.3;35.354839;18.651613;51.715517;
82676;30/09/2001;0000;25.5;35.963333;21.946667;57.158333;
82676;31/10/2001;0000;58.2;36.048387;23.190323;61.233871;
82676;30/11/2001;0000;138.9;33.5;22.883333;73.616667;
82676;31/12/2001;0000;306.1;32.719355;22.535484;77.629032;
82676;31/01/2002;0000;322.5;30.726087;22.232258;86.217742;
82676;28/02/2002;0000;142.3;32.285714;21.957143;81.714286;
82676;31/03/2002;0000;214.2;31.567742;22.183871;85.346774;
82676;30/04/2002;0000;109.4;31.965517;21.953333;85.1;
82676;31/05/2002;0000;201.7;31.916667;21.835484;85.096774;
82676;30/06/2002;0000;18.5;32.283333;19.91;75.483333;
82676;31/07/2002;0000;4.7;33.606452;19.509677;73.040323;
82676;31/08/2002;0000;0;35.16129;18.983871;61.854839;
82676;30/09/2002;0000;103.4;34.893333;21.063333;66.666667;
82676;31/10/2002;0000;19.3;35.567742;22.232258;65.483871;
82676;30/11/2002;0000;62.7;34.7;23.02;69.641667;
82676;31/12/2002;0000;122.3;32.745161;22.641935;79.024194;
82676;31/01/2003;0000;145.8;32.158065;22.596774;81.064516;
82676;28/02/2003;0000;166.1;31.210714;22.275;85.348214;
82676;31/03/2003;0000;371.3;31.248387;22.090323;85.991935;
82676;30/04/2003;0000;93.5;32.223333;22.196667;84.225;
82676;31/05/2003;0000;129.2;32.487097;21.606452;80.177419;
82676;30/06/2003;0000;26.7;32.766667;19.773333;74.133333;
82676;31/07/2003;0000;0;34.070968;18.474194;60.991935;
82676;31/08/2003;0000;47.6;35.393548;19.458065;60.225806;
82676;30/09/2003;0000;0;36.323333;21.936667;56.816667;
82676;31/10/2003;0000;15.7;36.593548;23.887097;56.25;
82676;30/11/2003;0000;182.2;33.656667;23.463333;72.433333;
82676;31/12/2003;0000;73.3;33.23871;23.006452;76.975806;
82676;31/01/2004;0000;399.2;31.641935;22.977419;81.870968;
82676;29/02/2004;0000;278.3;31.303448;22.703448;84.810345;
82676;31/03/2004;0000;300.6;31.606452;22.641935;84.701613;
82676;30/04/2004;0000;246.4;31.803333;22.213333;85.975;
82676;31/05/2004;0000;10;32.716129;21.66129;78.693548;
