--------------------
BDMEP - INMET
--------------------
Estação           : CORRENTINA - BA (OMM: 83286)
Latitude  (graus) : -13.33
Longitude (graus) : -44.61
Altitude  (metros): 549.47
Estação Operante
Inicio de operação: 11/08/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83286;31/01/2000;0000;175.5;30.264516;19.483871;79.532258;
83286;31/03/2000;0000;59.5;29.970968;19.722581;77.532258;
83286;30/04/2000;0000;16.7;30.88;19.046667;69.583333;
83286;31/05/2000;0000;0;31.164516;15.116129;62.379032;
83286;30/06/2000;0000;0;30.423333;13.323333;57.475;
83286;31/07/2000;0000;0.5;30.454839;14.645161;53.709677;
83286;31/08/2000;0000;0;32.193548;14.645161;46.604839;
83286;30/09/2000;0000;19.8;32.05;18.413333;49.891667;
83286;31/10/2000;0000;28.2;34.229032;19.1;48.427419;
83286;30/11/2000;0000;146.4;30.363333;20.576667;72.95;
83286;31/12/2000;0000;406.1;29.383871;21.209677;80.854839;
83286;31/01/2001;0000;100.5;31.196774;19.43871;68.5;
83286;28/02/2001;0000;88.1;33.321429;20.217857;63.428571;
83286;31/03/2001;0000;179.8;30.709677;20.277419;73.540323;
83286;30/04/2001;0000;7.5;32.026667;19.523333;60.275;
83286;31/05/2001;0000;28;32.277419;19.125806;60.475806;
83286;30/06/2001;0000;0.2;30.54;17.21;51.741379;
83286;31/07/2001;0000;0;30.8;16.009677;48.741667;
83286;31/08/2001;0000;0;;;;
83286;30/09/2001;0000;0.9;33.87;20.363333;40.016667;
83286;31/10/2001;0000;46.3;32.73871;22.409677;54.806452;
83286;30/11/2001;0000;173.8;31.39;21.786667;71.083333;
83286;31/12/2001;0000;175.5;31.158065;21.345161;71.274194;
83286;31/01/2002;0000;95.9;30.332258;21.725806;74.314516;
83286;28/02/2002;0000;90;32.264286;19.753571;64.12037;
83286;31/03/2002;0000;111.7;32.529032;21.823333;60.435484;
83286;30/04/2002;0000;39.1;32.15;19.31;59.675;
83286;31/05/2002;0000;8.2;32;17.235484;53.008065;
83286;30/06/2002;0000;0;;;;
83286;31/07/2002;0000;0;31.625806;15.632258;70.693548;
83286;31/08/2002;0000;0;31.825806;15.725806;69.741935;
83286;30/09/2002;0000;1.5;33.153333;18.69;70.025;
83286;31/10/2002;0000;4.3;35.616129;20.029032;67.766129;
83286;30/11/2002;0000;134.2;33.65;19.546667;76.983333;
83286;31/12/2002;0000;298;31.983871;19.725806;84.669355;
83286;31/01/2003;0000;259.6;30.603226;19.929032;88.572581;
83286;28/02/2003;0000;53;31.4;19.021429;85.008929;
83286;31/03/2003;0000;0;;;;
83286;30/04/2003;0000;84.2;31.566667;18.786667;88.333333;
83286;31/05/2003;0000;14.7;31.151613;17.332258;83.516129;
83286;30/06/2003;0000;0;30.906667;13.613333;85.033333;
83286;31/07/2003;0000;0;29.86129;13.070968;63.516129;
83286;31/08/2003;0000;6.9;31.454839;16.512903;55.193548;
83286;30/09/2003;0000;10.6;33.543333;18.933333;46.466667;
83286;31/10/2003;0000;80.3;33.870968;20.277419;52.870968;
83286;30/11/2003;0000;119.9;32.473333;20.93;67.4;
83286;31/12/2003;0000;126.2;33.277419;21.46129;67.612903;
83286;31/01/2004;0000;377.7;29.967742;21.148387;82.16129;
83286;29/02/2004;0000;126.1;29.862069;20.644828;82.413793;
83286;31/03/2004;0000;297.5;29.467742;20.43871;84.16129;
83286;30/04/2004;0000;49.3;30.22;19.433333;79.1;
83286;31/05/2004;0000;0;30.477419;19.164516;71.83871;
83286;30/06/2004;0000;0;29.106667;16.713333;68.266667;
83286;31/07/2004;0000;0;;;;
83286;31/08/2004;0000;0;31.62;14.68;53.566667;
83286;30/09/2004;0000;0;33.412;15.064;48.26087;
83286;31/10/2004;0000;86.3;34.306452;19.319355;;
83286;30/11/2004;0000;74.4;32.813333;19.28;;
83286;31/12/2004;0000;68.6;32.23871;18.764516;;
83286;31/01/2005;0000;178.5;31.435484;19.8;;
83286;28/02/2005;0000;204;30.310714;19.614286;;
83286;31/03/2005;0000;128.8;30.222581;19.919355;;
83286;30/04/2005;0000;65;31.223333;18.113333;;
83286;31/05/2005;0000;21.1;29.725806;15.848387;;
83286;30/06/2005;0000;0;29.88;14.083333;;
83286;31/08/2005;0000;10;31.983871;13.654839;;
83286;30/09/2005;0000;7.2;33.793333;17.476667;;
83286;31/10/2005;0000;19.9;35.277419;17.922581;;
83286;30/11/2005;0000;192.9;31.973333;20.24;;
83286;31/12/2005;0000;361.9;29.658065;19.206452;;
83286;31/01/2006;0000;47.1;31.887097;18.232258;;
83286;28/02/2006;0000;136.9;32.132143;20.325;;
83286;31/03/2006;0000;169.7;30.670968;19.86129;;
83286;30/04/2006;0000;62.1;30.15;19.206667;;
83286;31/05/2006;0000;4.8;30.025806;16.116129;;
83286;30/06/2006;0000;4.3;29.213333;12.8;;
83286;31/07/2006;0000;0;30.193333;12.787097;;
83286;31/08/2006;0000;0;;;;
83286;30/09/2006;0000;15.4;33.936667;17.636667;;
83286;31/10/2006;0000;145;33.116129;20.86129;;
83286;30/11/2006;0000;175.9;30.396667;19.99;;
83286;31/12/2006;0000;104.1;31.635484;19.386667;;
83286;31/01/2007;0000;119.1;32.725806;19.948387;;
83286;28/02/2007;0000;213.9;29.625;19.835714;;
83286;31/03/2007;0000;10.6;32.003226;17.809677;;
83286;30/04/2007;0000;69.1;32.423333;17.976667;;
83286;31/05/2007;0000;0;33.032258;15.919355;;
