--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ DAS ALMAS - BA (OMM: 83222)
Latitude  (graus) : -12.66
Longitude (graus) : -39.08
Altitude  (metros): 225.87
Estação Operante
Inicio de operação: 01/01/1958
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83222;31/01/2000;0000;77.2;30.516129;21.580645;85.741935;
83222;29/02/2000;0000;64.8;31.42069;21.706897;84.068966;
83222;31/03/2000;0000;75;30.13871;21.6;86.395161;
83222;30/04/2000;0000;181.6;28.42;21.6;90.958333;
83222;31/05/2000;0000;159.9;27.509677;20.564516;90.967742;
83222;30/06/2000;0000;160.7;26.273333;19.266667;92.475;
83222;31/07/2000;0000;123.8;25.683871;18.316129;94.443548;
83222;31/08/2000;0000;84.7;26.019355;18.716129;87.362903;
83222;30/09/2000;0000;93.9;26.91;19.543333;83.275;
83222;31/10/2000;0000;22.9;29.793548;20.225806;76.419355;
83222;30/11/2000;0000;121.9;30.393333;21.28;78.741667;
83222;31/12/2000;0000;131.9;30.493548;21.919355;75.862903;
83222;31/01/2001;0000;72.1;30.135484;21.474194;78.177419;
83222;28/02/2001;0000;14.7;32.185714;22.382143;72.383929;
83222;31/03/2001;0000;163.2;30.687097;22.245161;79.725806;
83222;30/04/2001;0000;53.8;29.51;21.363333;82.025;
83222;31/05/2001;0000;136.5;29.383871;21.603226;83.959677;
83222;30/06/2001;0000;202.5;26.266667;19.686667;87.641667;
83222;31/07/2001;0000;170.3;26.151613;18.858065;86.104839;
83222;31/08/2001;0000;141.8;25.367742;18.493548;85.808333;
83222;30/09/2001;0000;140.3;26.963333;19.234483;83.316667;
83222;31/10/2001;0000;95.9;28.751613;20.809677;80.830645;
83222;30/11/2001;0000;3.9;31.056667;21.533333;74.783333;
83222;31/12/2001;0000;65.4;31.374194;22.293548;76.033871;
83222;31/01/2002;0000;241.3;29.722581;22.270968;82.024194;
83222;28/02/2002;0000;88.1;30.871429;22.042857;75.567308;
83222;31/03/2002;0000;84.4;30.664516;22.306452;79.387097;
83222;30/04/2002;0000;57.6;29.45;21.983333;81.466667;
83222;31/05/2002;0000;124.4;27.890323;20.629032;81.290323;
83222;30/06/2002;0000;167.4;26.296667;19.966667;86.783333;
83222;31/07/2002;0000;133.7;26.028571;19.628571;87.040323;
83222;31/08/2002;0000;117.4;26.387097;18.590323;83.427419;
83222;30/09/2002;0000;94.8;27.983333;20.166667;81.458333;
83222;31/10/2002;0000;13;29.980645;20.03871;73.806452;
83222;30/11/2002;0000;14.4;31.041379;21.865517;71.991667;
83222;31/12/2002;0000;34.5;32.451613;22.325806;70.903226;
83222;31/01/2003;0000;57.5;33.496774;23.432258;67.91129;
83222;28/02/2003;0000;18.4;31.732143;22.632143;72.675926;
83222;31/03/2003;0000;85;31.027586;22.996552;79.483871;
83222;30/04/2003;0000;59.6;30.162069;22.455172;84.408333;
83222;31/05/2003;0000;135.6;27.853333;21.412903;90.927419;
83222;30/06/2003;0000;163.2;26.031034;19.87931;91.475;
83222;31/07/2003;0000;178.9;25.632258;18.574194;88.354839;
83222;31/08/2003;0000;113.2;26.096774;19.348387;87.830645;
83222;30/09/2003;0000;138.3;27.355172;19.455172;85.125;
83222;31/10/2003;0000;31.2;29.02;20.106452;78.072581;
83222;30/11/2003;0000;108.7;29.373333;21.343333;81.15;
83222;31/12/2003;0000;22.3;31.703333;21.989655;74.475806;
83222;31/01/2004;0000;349.8;;;;
83222;29/02/2004;0000;244.6;;;;
83222;31/03/2004;0000;31.7;;;;
83222;30/04/2004;0000;112.2;;;;
83222;31/05/2004;0000;118.9;;;;
83222;30/06/2004;0000;131.9;;;;
83222;31/07/2004;0000;59.8;;;;
83222;31/08/2004;0000;54.3;;;;
83222;30/09/2004;0000;11.2;;;;
83222;31/10/2004;0000;89.3;;;;
83222;30/11/2004;0000;110.3;;;;
83222;31/12/2004;0000;0;;;;
83222;31/01/2005;0000;75.4;;;;
83222;28/02/2005;0000;148.6;;;;
83222;31/03/2005;0000;87.3;;;;
83222;30/04/2005;0000;124.8;;;;
83222;31/05/2005;0000;92;;;;
83222;30/06/2005;0000;227.6;;;;
83222;31/07/2005;0000;132;;;;
83222;31/08/2005;0000;123.4;;;;
83222;30/09/2005;0000;57.5;;;;
83222;31/10/2005;0000;14.2;;;;
83222;30/11/2005;0000;147.4;;;;
83222;31/12/2005;0000;51.3;;;;
83222;31/01/2006;0000;63;;;;
83222;28/02/2006;0000;0.5;;;;
83222;31/03/2006;0000;41.4;;;;
83222;30/04/2006;0000;167.6;;;;
83222;31/05/2006;0000;105.5;;;;
83222;30/06/2006;0000;205.3;;;;
83222;31/07/2006;0000;70.8;;;;
83222;31/08/2006;0000;77.9;;;;
83222;30/09/2006;0000;125.5;;;;
83222;31/10/2006;0000;90.5;;;;
83222;30/11/2006;0000;89.1;;;;
83222;31/12/2006;0000;19.2;;;;
83222;31/01/2007;0000;8.1;;;;
83222;28/02/2007;0000;146.9;;;;
83222;31/03/2007;0000;136.6;;;;
83222;30/04/2007;0000;59.6;;;;
83222;31/05/2007;0000;96.8;;;;
83222;30/06/2007;0000;168.7;;;;
83222;31/07/2007;0000;68.5;;;;
83222;31/08/2007;0000;134.4;;;;
83222;30/09/2007;0000;95.8;;;;
83222;31/10/2007;0000;39.5;;;;
83222;30/11/2007;0000;14.9;;;;
83222;31/12/2007;0000;19.7;;;;
83222;31/01/2008;0000;8.4;;;;
83222;29/02/2008;0000;156.4;;;;
83222;31/03/2008;0000;127.6;;;;
83222;30/04/2008;0000;72.8;;;;
83222;31/05/2008;0000;59.1;;;;
83222;30/06/2008;0000;171.6;;;;
83222;31/07/2008;0000;116.4;;;;
83222;31/08/2008;0000;55.9;;;;
83222;30/09/2008;0000;72.6;;;;
83222;31/10/2008;0000;57.4;;;;
83222;30/11/2008;0000;50.1;;;;
83222;31/12/2008;0000;86.4;;;;
83222;31/01/2009;0000;29.8;;;;
83222;28/02/2009;0000;44.5;;;;
83222;31/03/2009;0000;8.1;;;;
83222;30/04/2009;0000;101.8;;;;
83222;31/05/2009;0000;280.1;;;;
83222;30/06/2009;0000;94.1;;;;
83222;31/07/2009;0000;107.3;;;;
83222;31/08/2009;0000;66.5;;;;
83222;30/09/2009;0000;50.3;;;;
83222;31/10/2009;0000;80.2;;;;
83222;30/11/2009;0000;9.9;;;;
83222;31/12/2009;0000;13.8;;;;
83222;31/01/2010;0000;26.9;;;;
83222;28/02/2010;0000;34.8;;;;
83222;31/03/2010;0000;111.9;;;;
83222;30/04/2010;0000;246.7;;;;
83222;31/05/2010;0000;57.7;;;;
83222;30/06/2010;0000;94.7;;;;
83222;31/07/2010;0000;264.5;;;;
83222;31/08/2010;0000;81.2;;;;
83222;30/09/2010;0000;72;;;;
83222;31/10/2010;0000;34.7;;;;
83222;30/11/2010;0000;4.9;;;;
83222;31/12/2010;0000;107.1;;;;
83222;31/01/2011;0000;74.7;;;;
83222;28/02/2011;0000;52.3;;;;
83222;31/03/2011;0000;82.5;;;;
83222;30/04/2011;0000;297.7;;;;
83222;31/05/2011;0000;135;;;;
83222;30/06/2011;0000;159;;;;
83222;31/07/2011;0000;64.3;;;;
83222;31/08/2011;0000;92.7;;;;
83222;30/09/2011;0000;90;;;;
83222;31/10/2011;0000;121.8;;;;
83222;30/11/2011;0000;70.3;;;;
83222;31/12/2011;0000;41.8;;;;
83222;31/01/2012;0000;33.4;;;;
83222;29/02/2012;0000;53.4;;;;
83222;31/03/2012;0000;15.9;;;;
83222;30/04/2012;0000;53.6;;;;
83222;31/05/2012;0000;73.8;;;;
83222;30/06/2012;0000;115.1;;;;
83222;31/07/2012;0000;99.3;;;;
83222;31/08/2012;0000;135.3;;;;
83222;30/09/2012;0000;48.4;;;;
83222;31/10/2012;0000;32.5;;;;
83222;30/11/2012;0000;51;;;;
83222;31/12/2012;0000;11;;;;
83222;31/01/2013;0000;86.5;;;;
83222;28/02/2013;0000;76.3;;;;
83222;31/03/2013;0000;19;;;;
83222;30/04/2013;0000;142;;;;
83222;31/05/2013;0000;130.5;;;;
83222;30/06/2013;0000;181.3;;20.75;;
83222;31/07/2013;0000;137.3;;19.506452;;
