--------------------
BDMEP - INMET
--------------------
Estação           : DIAMANTINA - MG (OMM: 83538)
Latitude  (graus) : -18.23
Longitude (graus) : -43.64
Altitude  (metros): 1296.12
Estação Operante
Inicio de operação: 13/04/1918
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83538;31/01/2000;0000;411.8;25.074194;16.977419;82.193548;
83538;29/02/2000;0000;102.4;25.775862;16.889655;77.724138;
83538;31/03/2000;0000;203.5;24.496774;16.509677;84.129032;
83538;30/04/2000;0000;24.7;23.843333;14.796667;79;
83538;31/05/2000;0000;1;23.274194;13.235484;71.104839;
83538;30/06/2000;0000;2.5;22.313333;11.73;70.275;
83538;31/07/2000;0000;7.5;21.258065;10.903226;73.467742;
83538;31/08/2000;0000;34.3;23.219355;12.112903;67.008065;
83538;30/09/2000;0000;33;;;75.612069;
83538;31/10/2000;0000;85.3;26.354839;15.577419;62.862903;
83538;30/11/2000;0000;401.8;23.193333;15.88;84.116667;
83538;31/12/2000;0000;333.7;24.858065;16.929032;82.758065;
83538;31/01/2001;0000;136.8;26.019355;16.596774;72.25;
83538;28/02/2001;0000;13.4;28.107143;17.671429;62.758929;
83538;31/03/2001;0000;95.4;26.029032;16.790323;77;
83538;30/04/2001;0000;25.3;25.67;15.59;67.933333;
83538;31/05/2001;0000;44.9;23.764516;14.263333;71.66129;
83538;30/06/2001;0000;8.6;21.62;12.2;73.683333;
83538;31/07/2001;0000;0.6;22.141935;11.56129;69.572581;
83538;31/08/2001;0000;55.1;21.958065;11.519355;66.709677;
83538;30/09/2001;0000;26.4;23.13;13.163333;71.232759;
83538;31/10/2001;0000;109.1;23.812903;14.887097;72.959677;
83538;30/11/2001;0000;230.6;24.623333;16.25;81.458333;
83538;31/12/2001;0000;319.7;24.470968;16.26129;79.790323;
83538;31/01/2002;0000;295.1;25.38;16.816129;80.709677;
83538;28/02/2002;0000;293.2;25.232143;16.875;82.053571;
83538;31/03/2002;0000;64.6;25.6;16.674194;78.201613;
83538;30/04/2002;0000;38.5;25.382759;15.716667;75.583333;
83538;31/05/2002;0000;25.4;23.506667;13.993548;77.725806;
83538;30/06/2002;0000;0.6;22.246667;12.366667;74.883333;
83538;31/07/2002;0000;9.5;22.003226;12.306452;78.120968;
83538;31/08/2002;0000;2.3;23.94;12.8;66.841667;
83538;30/09/2002;0000;119.3;23.086667;13.93871;72.666667;
83538;31/10/2002;0000;70.8;26.629032;15.396774;64.548387;
83538;30/11/2002;0000;189.2;24.865517;16.213333;77.336207;
83538;31/12/2002;0000;325.4;25.590323;17.287097;80.895161;
83538;31/01/2003;0000;326.6;25.732258;17.432258;83.741935;
83538;28/02/2003;0000;36.8;26.475;16.471429;71.946429;
83538;31/03/2003;0000;108.7;25.716129;16.725806;80.548387;
83538;30/04/2003;0000;18.2;25.06;16.146667;78.675;
83538;31/05/2003;0000;15;23.26129;13.135484;72.298387;
83538;30/06/2003;0000;0.1;23.676667;12.013333;64.733333;
83538;31/07/2003;0000;0;;;;
83538;31/08/2003;0000;27;23.296774;12.380645;69.096774;
83538;30/09/2003;0000;19;24.44;14.07;66.891667;
83538;31/10/2003;0000;122.8;25.580645;14.577419;61.451613;
83538;30/11/2003;0000;88.6;25.343333;16.316667;73.625;
83538;31/12/2003;0000;275.6;26.154839;16.841935;75.266129;
83538;31/01/2004;0000;287.6;24.067742;16.774194;84.725806;
83538;29/02/2004;0000;357;24.251724;16.603448;84.482759;
83538;31/03/2004;0000;133.8;24.545161;16.012903;82.524194;
83538;30/04/2004;0000;110.7;23.434483;15.493103;82.7;
83538;31/05/2004;0000;1.4;23.546667;14.541935;78.8;
83538;30/06/2004;0000;4.1;21.083333;11.883333;75.8;
83538;31/07/2004;0000;24.2;19.429032;11.022581;75.75;
83538;31/08/2004;0000;1.3;22.651613;11.574194;64.354839;
83538;30/09/2004;0000;0;25.836667;12.896667;54.116667;
83538;31/10/2004;0000;79.9;26.180645;15.441935;67.483871;
83538;30/11/2004;0000;176.8;25.793333;16.266667;70.575;
83538;31/12/2004;0000;434.9;25.219355;16.83871;82.201613;
83538;31/01/2005;0000;262.6;25.406452;17.529032;83.798387;
83538;28/02/2005;0000;213.7;25.946429;16.492857;77.625;
83538;31/03/2005;0000;282.7;25.132258;17.235484;84.790323;
83538;30/04/2005;0000;73.6;25.34;15.57;75.9;
83538;31/05/2005;0000;14.9;22.448387;13.893548;78.693548;
83538;30/06/2005;0000;3;21.323333;12.57;78.083333;
83538;31/07/2005;0000;12.4;21.354839;11.193548;71.983871;
83538;31/08/2005;0000;15.6;23.251613;12.574194;69.080645;
83538;30/09/2005;0000;47.2;24.35;14.36;73.108333;
83538;31/10/2005;0000;44.7;28.022581;16.035484;57.427419;
83538;30/11/2005;0000;390.2;22.503333;15.806667;86.725;
83538;31/12/2005;0000;251.7;23.745161;15.703226;82.104839;
83538;31/01/2006;0000;85.6;26.632258;16.3;68.056452;
83538;28/02/2006;0000;169.4;28.010714;17.275;69.080357;
83538;31/03/2006;0000;280.5;25.003226;17.245161;85.5;
83538;30/04/2006;0000;83.6;24.03;15.53;81.816667;
83538;31/05/2006;0000;2.9;23.564516;12.577419;72.564516;
83538;30/06/2006;0000;10.6;20.516667;11.31;75.933333;
83538;31/07/2006;0000;1.9;22.032258;11;66.290323;
83538;31/08/2006;0000;11.6;23.822581;13.035484;67.475;
83538;30/09/2006;0000;98.2;24.61;13.153333;69.558333;
83538;31/10/2006;0000;361.7;23.019355;15.480645;83.395161;
83538;30/11/2006;0000;417.3;23.56;15.803333;86.158333;
83538;31/12/2006;0000;457.7;25.251613;16.858065;82.137097;
83538;31/01/2007;0000;146.9;25.9;17.303226;80.766129;
83538;28/02/2007;0000;176.5;25.271429;16.396429;81.767857;
83538;31/03/2007;0000;70.2;26.848387;15.980645;70.33871;
83538;30/04/2007;0000;53.6;24.913333;15.58;77.083333;
83538;31/05/2007;0000;2.8;23.526667;13.016667;72.45;
83538;30/06/2007;0000;2.5;23.623333;11.656667;68.85;
83538;31/07/2007;0000;1.9;22.467742;11.477419;68.314516;
83538;31/08/2007;0000;0;22.945161;10.825806;57.637097;
83538;30/09/2007;0000;3;25.134483;12.593103;59.017241;
83538;31/10/2007;0000;12.8;27.732258;15.645161;54.298387;
83538;30/11/2007;0000;90.3;26.79;16.88;64.5;
83538;31/12/2007;0000;167.7;26.480645;16.709677;71.675;
83538;31/01/2008;0000;185.2;25.154839;16.090323;76.677419;
83538;29/02/2008;0000;189.9;26.213793;16.651724;75.836207;
83538;31/03/2008;0000;198;25.041935;16.412903;79.709677;
83538;30/04/2008;0000;67.7;25.726667;16.086667;76.175;
83538;31/05/2008;0000;79.3;23.012903;12.86129;73.822581;
83538;30/06/2008;0000;1.6;21.996667;12.156667;72.091667;
83538;31/07/2008;0000;4;21.490323;10.23871;64.391667;
83538;31/08/2008;0000;0.4;24.18;12.393333;58.8;
83538;30/09/2008;0000;58.1;25.29;13.283333;62.62931;
83538;31/10/2008;0000;49.1;27.316129;15.95;61.706897;
83538;30/11/2008;0000;284.3;24.71;16.173333;82.641667;
83538;31/12/2008;0000;421.4;24.026667;15.983333;86.841667;
83538;31/01/2009;0000;236;25.945161;16.793548;81.927419;
83538;28/02/2009;0000;172.6;26.439286;16.896429;79.944444;
83538;31/03/2009;0000;157.2;27.174194;17.248387;75.125;
83538;30/04/2009;0000;69.7;24.153333;15.55;82.191667;
83538;31/05/2009;0000;1.8;22.99;13.193333;77.866667;
83538;30/06/2009;0000;25.6;21.666667;12.623333;78.825;
83538;31/07/2009;0000;0.2;23.616129;12.606452;70.41129;
83538;31/08/2009;0000;17.3;23.032258;13.329032;68.629032;
83538;30/09/2009;0000;52.3;25.866667;17.036667;68.928571;
83538;31/10/2009;0000;405.2;24.751613;17.054839;80.408333;
83538;30/11/2009;0000;92.7;26.703448;17.713793;72.887931;
83538;31/12/2009;0000;276.2;25.048387;16.529032;82.508065;
83538;31/01/2010;0000;75.8;27.387097;17.387097;72.032258;
83538;28/02/2010;0000;36.8;28.137037;17.188889;68.62963;
83538;31/03/2010;0000;152.9;26.5;17.453333;80.075;
83538;30/04/2010;0000;39.3;24.466667;15.476667;77.558333;
83538;31/05/2010;0000;63.7;23.936667;14.296667;80.1;
83538;30/06/2010;0000;11.9;21.563333;11.146667;74.108333;
83538;31/07/2010;0000;1.8;21.783871;11.706452;73.641667;
83538;31/08/2010;0000;0;23.429032;10.929032;61.153226;
83538;30/09/2010;0000;4.3;25.286207;13.12069;60.603448;
83538;31/10/2010;0000;98.4;26.193548;15.935484;75.459677;
83538;30/11/2010;0000;209.2;24.234483;16.065517;84.844828;
83538;31/12/2010;0000;294.8;26.696774;17.093548;78.08871;
83538;31/01/2011;0000;148.6;25.951613;16.777419;76.806452;
83538;28/02/2011;0000;87.6;27.553571;16.882143;70.348214;
83538;31/03/2011;0000;277.9;25.366667;16.823333;83.75;
83538;30/04/2011;0000;54.4;24.436667;15.65;80.891667;
