--------------------
BDMEP - INMET
--------------------
Estação           : DIVINOPOLIS - MG (OMM: 83635)
Latitude  (graus) : -20.17
Longitude (graus) : -44.87
Altitude  (metros): 788.35
Estação Operante
Inicio de operação: 11/10/1995
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83635;29/02/2000;0000;117.7;29.548276;18.675862;72.517241;
83635;31/03/2000;0000;244.9;28.832258;18.258065;74.104839;
83635;30/04/2000;0000;30.9;28.493333;15.316667;67.9;
83635;31/05/2000;0000;6.9;27.154839;11.506452;63.927419;
83635;30/06/2000;0000;0;26.876667;9.293333;60.741667;
83635;31/07/2000;0000;31.9;25.741935;10.209677;60.935484;
83635;31/08/2000;0000;8.5;28.312903;11.829032;53.637097;
83635;30/09/2000;0000;63.1;27.376667;15.5;63.691667;
83635;31/10/2000;0000;73.1;32.209677;17.658065;53.120968;
83635;30/11/2000;0000;208.2;27.41;17.896667;74.12931;
83635;31/12/2000;0000;269.3;30.109677;19.170968;70.870968;
83635;31/01/2001;0000;181.1;30.306452;18.412903;68.798387;
83635;28/02/2001;0000;105.5;32.460714;18.617857;61.678571;
83635;31/03/2001;0000;149.8;30.33871;17.96129;67.483871;
83635;30/04/2001;0000;23.4;30.633333;16.116667;61.3;
83635;31/05/2001;0000;50;27.164516;13.158065;64.91129;
83635;30/06/2001;0000;0;26.783333;11.416667;62.058333;
83635;31/07/2001;0000;2.8;27.712903;11.129032;57.266129;
83635;31/08/2001;0000;32.7;27.232258;11.951613;52.379032;
83635;30/09/2001;0000;46.6;28.006667;14.743333;57.891667;
83635;31/10/2001;0000;66.6;29.190323;16.441935;58.58871;
83635;30/11/2001;0000;184.2;29.61;19.026667;70.033333;
83635;31/12/2001;0000;331.1;28.367742;18.658065;72.532258;
83635;31/01/2002;0000;269.8;30.070968;19.348387;71;
83635;28/02/2002;0000;269.1;28.517857;19.028571;76.625;
83635;31/03/2002;0000;127.5;30.887097;18.351613;68.153226;
83635;30/04/2002;0000;1.3;31.036667;15.86;61.533333;
83635;31/05/2002;0000;25.2;28.48;14.2;69.725806;
83635;30/06/2002;0000;0;27.92;11.456667;64.291667;
83635;31/07/2002;0000;7.9;27.393548;11.24;65.290323;
83635;31/08/2002;0000;8.8;30.143333;13.370968;53.041667;
83635;30/09/2002;0000;116.4;28.536667;15.55;58.725;
83635;31/10/2002;0000;56.7;32.790323;17.406452;49.564516;
83635;30/11/2002;0000;162.1;29.773333;18.74;67.091667;
83635;31/12/2002;0000;391.9;30.303226;19.658065;74.112903;
83635;31/01/2003;0000;459.9;29.106452;19.825806;78.758065;
83635;28/02/2003;0000;85;31.8;18.889286;61.633929;
83635;31/03/2003;0000;148.5;29.322581;18.370968;73.580645;
83635;30/04/2003;0000;42.9;29.663333;16.406667;68.9;
83635;31/05/2003;0000;27.4;26.63871;11.809677;65.572581;
83635;30/06/2003;0000;0;28.173333;10.866667;62.383333;
83635;31/07/2003;0000;5;27.016129;9.745161;58.677419;
83635;31/08/2003;0000;19.1;28.287097;12.454839;57.435484;
83635;30/09/2003;0000;25.8;30.363333;14.963333;53.975;
83635;31/10/2003;0000;55.1;30.616129;16.651613;52.532258;
83635;30/11/2003;0000;262.2;30.136667;18.28;66.85;
83635;31/12/2003;0000;305.5;30.074194;19.23871;73.467742;
83635;31/01/2004;0000;311.5;29.13871;19.045161;73.951613;
83635;29/02/2004;0000;342.3;28.082759;18.610345;78.87069;
83635;31/03/2004;0000;58.9;29.16129;17.545161;71.612903;
83635;30/04/2004;0000;111.9;28.313333;16.996667;74.366667;
83635;31/05/2004;0000;34.1;26.641935;13.86129;73.032258;
83635;30/06/2004;0000;31.8;25.2;10.613333;71.925;
83635;31/07/2004;0000;35.4;24.26129;10.116129;66.298387;
83635;31/08/2004;0000;0.5;28.012903;10.6;52.290323;
