--------------------
BDMEP - INMET
--------------------
Estação           : ENCRUZILHADA DO SUL - RS (OMM: 83964)
Latitude  (graus) : -30.53
Longitude (graus) : -52.51
Altitude  (metros): 427.75
Estação Operante
Inicio de operação: 01/05/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83964;31/01/2000;0000;80.4;29.270968;18.232258;71.637097;
83964;29/02/2000;0000;91.1;28.272414;17.682759;71.405172;
83964;31/03/2000;0000;242.3;25.332258;16.077419;78.467742;
83964;30/04/2000;0000;64.2;24.086667;15.69;79.266667;
83964;31/05/2000;0000;197.1;18.754839;11.022581;81.040323;
83964;30/06/2000;0000;203.9;19.508;10.86;81.466667;
83964;31/07/2000;0000;132.1;15.229032;5.777419;74.322581;
83964;31/08/2000;0000;81;19.383871;8.73871;68.217742;
83964;30/09/2000;0000;304.8;20.186667;10.08;75.7;
83964;31/10/2000;0000;158.5;22.319355;13.512903;79.919355;
83964;30/11/2000;0000;94.8;24.976667;13.783333;71.316667;
83964;31/12/2000;0000;99.2;28.3;16.925806;70.879032;
83964;30/09/2001;0000;95;;;;
83964;31/10/2001;0000;188.7;24.085185;15.23;77.913462;
83964;30/11/2001;0000;131.8;25.893103;15.376667;73.939655;
83964;31/12/2001;0000;46.6;27.032143;16.3;75.416667;
83964;31/01/2002;0000;120.7;28.5;18.109677;73.891667;
83964;28/02/2002;0000;128;27.492857;17.157143;76.472222;
83964;31/03/2002;0000;230.1;28.409677;19.574194;83.95;
83964;30/04/2002;0000;227.1;22.66;14.77;85.026786;
83964;31/05/2002;0000;174.5;21.180645;13.987097;85.120968;
83964;30/06/2002;0000;257.6;16.613333;9.226667;83.608333;
83964;31/07/2002;0000;274.8;16.832258;8.867742;81.024194;
83964;31/08/2002;0000;188.2;19.077419;10.919355;78.322581;
83964;30/09/2002;0000;225.8;19.436667;9.563333;73.383333;
83964;31/10/2002;0000;282;23.583871;14.896774;81.435484;
83964;30/11/2002;0000;193.5;25.536667;15.946667;74.2;
83964;31/12/2002;0000;320.6;26.925806;17.487097;75.862903;
83964;31/01/2003;0000;110.5;29.732258;18.174194;69.040323;
83964;28/02/2003;0000;156;28.485185;19.325926;75.625;
83964;31/03/2003;0000;139.6;26.822581;17.603226;79.491935;
83964;30/04/2003;0000;120.8;22.989655;14.253333;77.75;
83964;31/05/2003;0000;156.6;20.23871;11.819355;77.596774;
83964;30/06/2003;0000;189.6;18.013333;11.33;88.625;
83964;31/07/2003;0000;207.5;17.119355;8.809677;80.637097;
83964;31/08/2003;0000;63.9;18.229032;7.948387;73.008065;
83964;30/09/2003;0000;50.1;20.4;9.55;72.333333;
83964;31/10/2003;0000;192.3;24.096774;13.096774;70.274194;
83964;30/11/2003;0000;173.4;25.44;14.28;71.125;
83964;31/12/2003;0000;185.8;25.845161;15.203226;68.854839;
83964;31/01/2004;0000;128.4;29.296774;17.964516;72.604839;
83964;29/02/2004;0000;72.6;27.944828;17.082759;68.956897;
83964;31/03/2004;0000;18.2;28.03871;16.554839;72.830645;
83964;30/04/2004;0000;121.8;26.266667;16;72.358333;
83964;31/05/2004;0000;135.5;18.277419;10.970968;83.564516;
83964;30/06/2004;0000;94.3;18.856667;11.223333;82.333333;
83964;31/07/2004;0000;210.6;16.867742;8.412903;76.741935;
83964;31/08/2004;0000;107.2;19.316129;9.506452;73.766129;
83964;30/09/2004;0000;190.4;21.58;12.14;78.2;
83964;31/10/2004;0000;134.3;23.151613;11.590323;68.024194;
83964;30/11/2004;0000;57.5;24.716667;14.003333;73.516667;
83964;31/12/2004;0000;29.6;27.822581;15.983871;67.741935;
83964;31/01/2005;0000;177.4;30.922581;17.845161;64.33871;
83964;28/02/2005;0000;88.9;28.403571;17.657143;74.223214;
83964;31/03/2005;0000;134.8;27.858065;17.090323;70.427419;
83964;30/04/2005;0000;141.9;22.946667;14.133333;80.225;
83964;31/05/2005;0000;160.1;20.335484;12.725806;81.040323;
83964;30/06/2005;0000;68.5;20.243333;13.356667;85.991667;
83964;31/07/2005;0000;79.2;17.490323;9.145161;78.282258;
83964;31/08/2005;0000;90.3;19.7;10.851613;77.33871;
83964;30/09/2005;0000;214;17.473333;9.476667;80.475;
83964;31/10/2005;0000;219.9;21.704167;12.270968;76.701613;
83964;30/11/2005;0000;44.7;29.226667;14.903333;64.2;
83964;31/12/2005;0000;55.2;27.867742;15.367742;65.314516;
83964;31/01/2006;0000;105.6;30.106452;19.016129;72.346774;
83964;28/02/2006;0000;49.9;29.089286;17.710714;71.821429;
83964;31/03/2006;0000;46.8;28.412903;17.370968;70.241935;
83964;30/04/2006;0000;84.6;23.896667;14.576667;72.458333;
83964;31/05/2006;0000;139.1;18.067742;9.858065;80.475806;
83964;30/06/2006;0000;61.6;18.213333;10.21;82.75;
83964;31/07/2006;0000;111.1;19.703226;11.558065;81.508065;
83964;31/08/2006;0000;115.9;18.670968;8.903226;73.951613;
83964;30/09/2006;0000;158.4;19.65;9.42;72.808333;
83964;31/10/2006;0000;159.7;25.064516;13.512903;75.112903;
83964;30/11/2006;0000;171.1;24.683333;14.406667;71.45;
83964;31/12/2006;0000;193.6;30.309677;18.067742;72.024194;
83964;31/01/2007;0000;178.5;29.23871;18.629032;73.66129;
83964;28/02/2007;0000;165.2;29.210714;18.242857;74.160714;
83964;31/03/2007;0000;134.3;27.974194;18.912903;83.564516;
83964;30/04/2007;0000;96;25.133333;16.146667;79.116667;
83964;31/05/2007;0000;92.7;17.574194;8.945161;79.564516;
83964;30/06/2007;0000;232.8;16.726667;8.923333;80.166667;
83964;31/07/2007;0000;100.6;14.8;6.064516;77.491935;
83964;31/08/2007;0000;195.2;16.477419;7.648387;82.282258;
83964;30/09/2007;0000;184.1;22.79;13.55;77.833333;
83964;31/10/2007;0000;122;23.53871;14.587097;77.814516;
83964;30/11/2007;0000;137.3;24.723333;13.073333;68.291667;
83964;31/12/2007;0000;64.4;29.512903;16.387097;67.951613;
83964;31/01/2008;0000;111.9;29.1;17.548387;69.354839;
83964;29/02/2008;0000;101;28.024138;17.913793;74.905172;
83964;31/03/2008;0000;78.5;27.554839;17.270968;75.306452;
83964;30/04/2008;0000;116.5;23.706667;13.666667;70.766667;
83964;31/05/2008;0000;138;20.009677;11.567742;78.629032;
83964;30/06/2008;0000;136.7;15.636667;8.133333;82.025;
83964;31/07/2008;0000;239.2;18.790323;11.551613;82.717742;
83964;31/08/2008;0000;139.2;18.345161;8.63871;77.717742;
83964;30/09/2008;0000;162;18.906667;9.41;78.058333;
83964;31/10/2008;0000;145.1;22.164516;12.919355;79.435484;
83964;30/11/2008;0000;15.6;27.343333;15.51;70.941667;
83964;31/12/2008;0000;93.8;28.474194;15.977419;70.306452;
83964;31/01/2009;0000;219;27.596774;17.219355;75.314516;
83964;28/02/2009;0000;191.6;28.696429;18;74.294643;
83964;31/03/2009;0000;57.7;27.387097;17.6;78.814516;
83964;30/04/2009;0000;18.9;25.62;14.536667;71.425;
83964;31/05/2009;0000;147.4;21.948387;12.341935;76.112903;
83964;30/06/2009;0000;57.7;16.523333;7.886667;80.616667;
83964;31/07/2009;0000;63.5;15.429032;6.429032;74.766129;
83964;31/08/2009;0000;185.3;20.409677;10.754839;75.225806;
83964;30/09/2009;0000;272.7;19.503333;10.926667;83.875;
83964;31/10/2009;0000;141.8;23.283871;12.183871;73.41129;
83964;30/11/2009;0000;515.4;26.18;16.7;83.6;
83964;31/12/2009;0000;167.2;27.345161;17.309677;76.548387;
83964;31/01/2010;0000;209.5;28.935484;18.883871;75.725806;
83964;28/02/2010;0000;107.1;30.135714;19.846429;76.401786;
83964;31/03/2010;0000;54.8;27.816129;18.135484;76.314516;
83964;30/04/2010;0000;107.6;23.883333;14.226667;73.7;
83964;31/05/2010;0000;124.7;19.341935;12.080645;84.975806;
