--------------------
BDMEP - INMET
--------------------
Estação           : FLORANIA - RN (OMM: 82691)
Latitude  (graus) : -6.11
Longitude (graus) : -36.81
Altitude  (metros): 324.45
Estação Operante
Inicio de operação: 19/12/1962
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82691;31/01/2000;0000;80.2;32.477419;21.63871;67.830645;
82691;29/02/2000;0000;147.7;32.4;21.458621;72.715517;
82691;31/03/2000;0000;215.8;32.364516;21.487097;73.443548;
82691;30/04/2000;0000;255.3;30.583333;20.993333;78.833333;
82691;31/05/2000;0000;29.7;31.322581;20.529032;68.91129;
82691;30/06/2000;0000;42.3;30.516667;20.47;;
82691;31/07/2000;0000;32.5;29.83871;19.890323;;
82691;31/08/2000;0000;43.6;31.251613;20.470968;;
82691;30/09/2000;0000;5.9;32.723333;21.806667;;
82691;31/03/2001;0000;103.6;33.612903;22.548387;;
82691;30/09/2001;0000;0;;;;
82691;31/10/2001;0000;0.1;34.770968;22.090323;53;
82691;30/11/2001;0000;0;35.213333;22.63;59.833333;
82691;31/12/2001;0000;11;34.414286;23.246429;62.333333;
82691;31/01/2002;0000;205;31.526667;21.925806;78.474138;
82691;28/02/2002;0000;123.1;32.059259;21.339286;73.951923;
82691;31/03/2002;0000;177;31.59;22.054839;79.366667;
82691;30/04/2002;0000;76.5;31.682759;22.24;77.086207;
82691;31/05/2002;0000;70.5;31.567742;21.653333;74.91129;
82691;30/06/2002;0000;33.9;30.053333;20.486667;74.016667;
82691;31/07/2002;0000;7.6;31.909677;20.86129;60.991935;
82691;31/08/2002;0000;0;32.506667;20.632258;60.708333;
82691;30/09/2002;0000;0;34.375862;21.133333;52.482759;
82691;31/10/2002;0000;0;34.651724;21.946667;54.137931;
82691;30/11/2002;0000;0.4;35.08;22.12;53.008333;
82691;31/12/2002;0000;1;35;22.880645;57.651786;
82691;31/01/2003;0000;61.9;34.745161;21.922581;62.5;
82691;28/02/2003;0000;88.9;33.171429;22.646429;70.089286;
82691;31/03/2003;0000;153.1;32.483871;22.232258;73.903226;
82691;30/04/2003;0000;59.6;32.25;21.786667;74.325;
82691;31/05/2003;0000;86.1;32.332258;21.880645;70.991935;
82691;30/06/2003;0000;45.5;31.706667;21.29;67.266667;
82691;31/07/2003;0000;1.8;31.477419;20.754839;65.604839;
82691;31/08/2003;0000;10.4;33.2;21.119355;58.475806;
82691;30/09/2003;0000;0.2;33.973333;21.546667;53.975;
82691;31/10/2003;0000;0;35.051613;22.241935;50.822581;
82691;30/11/2003;0000;9.2;35.516667;22.44;51.491667;
82691;31/12/2003;0000;6.9;35.709677;22.883871;52.709677;
82691;29/02/2004;0000;259.1;31.017241;21.848276;79.214286;
82691;31/03/2004;0000;100.9;31.954839;21.890323;74.451613;
82691;30/04/2004;0000;34.7;32.93;22.313333;72.433333;
82691;31/05/2004;0000;49.3;31.712903;21.56129;76.482759;
82691;30/06/2004;0000;52.4;30.113333;21.12;76.025;
