--------------------
BDMEP - INMET
--------------------
Estação           : GLEBA CELESTE - MT (OMM: 83264)
Latitude  (graus) : -12.28
Longitude (graus) : -55.29
Altitude  (metros): 415.00
Estação Operante
Inicio de operação: 06/07/1972
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83264;31/01/2000;0000;246.6;32.064516;21.667742;90.153226;
83264;29/02/2000;0000;473.6;32.003448;21.424138;90.818966;
83264;31/03/2000;0000;336;32.203226;21.283871;89.919355;
83264;30/04/2000;0000;107.4;33.88;21.033333;86.333333;
83264;31/05/2000;0000;4.2;34.051613;18.7;81.653226;
83264;30/06/2000;0000;0;33.53;17.126667;79.608333;
83264;31/07/2000;0000;7.7;32.874194;15.919355;76.616667;
83264;31/08/2000;0000;3;35.6;18.167742;74.072581;
83264;30/09/2000;0000;80.2;34.873333;20.42;79.483333;
83264;31/10/2000;0000;133.8;34.719355;20.883871;80.048387;
83264;30/11/2000;0000;186.4;33.13;21.551724;86.541667;
83264;31/12/2000;0000;317.8;32.358065;21.370968;84.193548;
83264;31/01/2001;0000;294.2;;;82.717742;
83264;28/02/2001;0000;193;;;80.241071;
83264;31/03/2001;0000;280.4;;;80.685484;
83264;30/04/2001;0000;65.3;;;76.191667;
83264;31/05/2001;0000;6.5;;;73.866667;
83264;30/06/2001;0000;27.2;;;69.333333;
83264;31/07/2001;0000;0;;;62.443548;
83264;31/08/2001;0000;0.5;;;54.741935;
83264;30/09/2001;0000;51.2;;;64.858333;
83264;31/10/2001;0000;109.8;33.8;21.022222;74.870968;
83264;30/11/2001;0000;146.4;32.724138;22.146667;81.3;
83264;31/12/2001;0000;304.7;31.964286;22.277778;84.991935;
83264;31/01/2002;0000;258.1;32.183333;21.948148;85.032609;
83264;28/02/2002;0000;232.3;32.411111;22.033333;85.961538;
83264;31/03/2002;0000;190.6;34.041935;21.533333;81.991379;
83264;30/04/2002;0000;52;34.244828;21.168966;77.592593;
83264;31/05/2002;0000;6.4;34.265517;19.545161;74.883333;
83264;30/06/2002;0000;0;33.544828;16.796552;68.801724;
83264;31/07/2002;0000;2.2;34.343333;18.378571;67.941667;
83264;31/08/2002;0000;0;36.031034;18.09;59.698276;
