--------------------
BDMEP - INMET
--------------------
Estação           : GOIANIA - GO (OMM: 83423)
Latitude  (graus) : -16.66
Longitude (graus) : -49.25
Altitude  (metros): 741.48
Estação Operante
Inicio de operação: 11/07/1937
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83423;31/01/2000;0000;385.7;29.870968;20.090323;77.733871;
83423;29/02/2000;0000;319.8;30.324138;19.975862;75.922414;
83423;31/03/2000;0000;207.4;30.329032;20.193548;75.5;
83423;30/04/2000;0000;44.6;31.29;18.793333;64.974138;
83423;31/05/2000;0000;9.4;30.770968;16.387097;57.258065;
83423;30/06/2000;0000;0;30.933333;14.143333;54.925;
83423;31/07/2000;0000;0.6;29.748387;13.619355;51.967742;
83423;31/08/2000;0000;31.5;33.283871;17.467742;44.403226;
83423;30/09/2000;0000;106;31.503333;18.873333;61;
83423;31/10/2000;0000;84.3;33.722581;20.122581;53.83871;
83423;30/11/2000;0000;327.8;29.61;19.793333;76.316667;
83423;31/12/2000;0000;316.4;29.745161;20.048387;77.903226;
83423;31/01/2001;0000;209;31.312903;19.658065;68.016129;
83423;28/02/2001;0000;226.9;32.114286;19.667857;67.633929;
83423;31/03/2001;0000;181.6;30.929032;19.622581;70.241935;
83423;30/04/2001;0000;172;31.646667;18.52;61.683333;
83423;31/05/2001;0000;72.1;29.974194;16.596774;61.733871;
83423;30/06/2001;0000;2;29.433333;14.91;57.166667;
83423;31/07/2001;0000;0;30.945161;14.412903;50.435484;
83423;31/08/2001;0000;51.5;31.151613;15.5;44.120968;
83423;30/09/2001;0000;124.5;32.463333;18.553333;50.633333;
83423;31/10/2001;0000;185;30.654839;18.674194;65.943548;
83423;30/11/2001;0000;314.7;29.956667;19.726667;75.858333;
83423;31/12/2001;0000;227.6;29.825806;20.432258;74.314516;
83423;31/01/2002;0000;253.7;30.425806;20.374194;74.217742;
83423;28/02/2002;0000;398;30.285714;19.967857;77.089286;
83423;31/03/2002;0000;300.3;31.519355;19.935484;68.217742;
83423;30/04/2002;0000;27.5;32.153333;19.36;58.358333;
83423;31/05/2002;0000;12;31.019355;17.248387;58.290323;
83423;30/06/2002;0000;0;30.71;15.1;50.541667;
83423;31/07/2002;0000;0.2;31.354839;15.773333;50.408333;
83423;31/08/2002;0000;6.3;33.319355;18.019355;42.846774;
83423;30/09/2002;0000;69.5;32.276667;18.643333;50.291667;
83423;31/10/2002;0000;34.4;35.241935;20.748387;47.580645;
83423;30/11/2002;0000;149.7;31.603333;20.91;67.916667;
83423;31/12/2002;0000;284.8;31.193548;21.141935;73.040323;
83423;31/01/2003;0000;314.9;30.054839;20.951613;79.669355;
83423;28/02/2003;0000;267.5;31.339286;20.464286;70.357143;
83423;31/03/2003;0000;202.3;30.21;20.603333;74.158333;
83423;30/04/2003;0000;107.9;31.15;20.463333;67.225;
83423;31/05/2003;0000;0.2;29.616129;16.996667;56.959677;
83423;30/06/2003;0000;0;30.833333;14.786667;50.266667;
83423;31/07/2003;0000;0;30.164516;14.777419;46.701613;
83423;31/08/2003;0000;12.9;32.148387;16.929032;43.596774;
83423;30/09/2003;0000;35.3;33.376667;19.983333;48.275;
83423;31/10/2003;0000;110.5;32.096774;20.016129;56.83871;
83423;30/11/2003;0000;265.2;31.123333;20.55;70.966667;
83423;31/12/2003;0000;224.3;32.270968;21.132258;64.290323;
83423;31/01/2004;0000;282.3;29.003226;21.05;80.209677;
83423;29/02/2004;0000;310.2;29.055172;20.344828;80.051724;
83423;31/03/2004;0000;264.2;30.835484;19.845161;70.927419;
83423;30/04/2004;0000;120.3;30.486667;19.686667;69.75;
83423;31/05/2004;0000;18;29.532258;17.774194;66.217742;
83423;30/06/2004;0000;1;29.11;14.82;57.016667;
83423;31/07/2004;0000;5.8;29.264516;14.9;53.362903;
83423;31/08/2004;0000;0;32.393548;15.748387;39.532258;
83423;30/09/2004;0000;6.2;35.556667;19.536667;33.266667;
83423;31/10/2004;0000;168.1;33.003333;20.832258;59.822581;
83423;30/11/2004;0000;128.6;31.603333;20.763333;64.316667;
83423;31/12/2004;0000;251.2;30.616129;20.406452;73.556452;
83423;31/01/2005;0000;237.5;30.212903;21.053333;76.556452;
83423;28/02/2005;0000;176.4;31.321429;20.925;68.678571;
83423;31/03/2005;0000;526;30.887097;20.619355;77.274194;
83423;30/04/2005;0000;50.4;31.93;20.51;60.725;
83423;31/05/2005;0000;34.2;29.870968;17.56129;58.129032;
83423;30/06/2005;0000;2.6;29.64;16.646667;58.341667;
83423;31/07/2005;0000;0;30.248387;15.245161;51.120968;
83423;31/08/2005;0000;3.2;32.629032;17.022581;45.040323;
83423;30/09/2005;0000;55.8;34.326667;20.916667;51.216667;
83423;31/10/2005;0000;90.9;34.719355;21.358065;56.209677;
83423;30/11/2005;0000;269.7;30.44;20.653333;74.908333;
83423;31/12/2005;0000;460.2;29.358065;19.977419;75.290323;
83423;31/01/2006;0000;137.9;31.603226;20.322581;63.137097;
83423;28/02/2006;0000;217.4;30.682143;19.792857;74.973214;
83423;31/03/2006;0000;319.1;30.641935;20.16129;77.596774;
83423;30/04/2006;0000;206.2;30.71;19.75;68.383333;
83423;31/05/2006;0000;20.1;29.667742;16.348387;55.846774;
83423;30/06/2006;0000;0;29.436667;16.256667;51.733333;
83423;31/07/2006;0000;0;30.541935;15.441935;48.895161;
83423;31/08/2006;0000;10.6;33.374194;18.377419;43.177419;
83423;30/09/2006;0000;84.1;33.376667;19.69;49.583333;
83423;31/10/2006;0000;283.4;30.829032;20.377419;72.008065;
83423;30/11/2006;0000;188.2;30.886667;20.473333;67.533333;
83423;31/12/2006;0000;238.1;30.719355;21.093548;73.290323;
83423;31/01/2007;0000;200.1;31.122581;21.143333;75.25;
83423;28/02/2007;0000;267.4;30.296429;20.560714;75.651786;
83423;31/03/2007;0000;87.3;32.4;20.245161;59.387097;
83423;30/04/2007;0000;59.6;32.346667;19.946667;62.383333;
83423;31/05/2007;0000;9.2;30.887097;16.687097;55.516129;
83423;30/06/2007;0000;5.1;31.226667;15.283333;50.15;
83423;31/07/2007;0000;6;31.554839;16.193548;47.91129;
83423;31/08/2007;0000;0;32.577419;17.119355;34.5;
83423;30/09/2007;0000;1.8;35.386667;20.323333;31.025;
83423;31/10/2007;0000;55.9;34.770968;21.66129;47.024194;
83423;30/11/2007;0000;223.1;32.15;20.996667;65.016667;
83423;31/12/2007;0000;179.7;30.845161;20.264516;71.225806;
83423;31/01/2008;0000;280.8;29.948387;20.235484;74.064516;
83423;29/02/2008;0000;294.4;30.517241;20.306897;74.586207;
83423;31/03/2008;0000;373.8;30.145161;20.009677;75.975806;
83423;30/04/2008;0000;202.2;30.84;19.79;70.883333;
83423;31/05/2008;0000;53.2;29.916129;16.906452;61.362903;
83423;30/06/2008;0000;0;30.413333;15.306667;54.158333;
83423;31/07/2008;0000;0;30.435484;14.093548;44.427419;
83423;31/08/2008;0000;0;33.451613;16.845161;36.346774;
83423;30/09/2008;0000;51.8;34.503333;18.68;41.25;
83423;31/10/2008;0000;109.4;33.732258;20.970968;51.25;
83423;30/11/2008;0000;197.5;31.666667;20.583333;69.791667;
83423;31/12/2008;0000;246.2;30.193548;20.312903;73.330645;
83423;31/01/2009;0000;178.6;31.248387;20.658065;69.975806;
83423;28/02/2009;0000;148.2;31.457143;20.564286;70.446429;
83423;31/03/2009;0000;185.6;31.829032;20.393548;70.717742;
83423;30/04/2009;0000;258;30.346667;19.103333;70.508333;
83423;31/05/2009;0000;41.2;30.306452;17.722581;63.056452;
83423;30/06/2009;0000;31.3;29.406667;15.546667;59.933333;
83423;31/07/2009;0000;2;31.896774;16.03871;48.774194;
83423;31/08/2009;0000;16.8;32.032258;17.790323;46.637097;
83423;30/09/2009;0000;71;33.17;20.263333;58.008333;
83423;31/10/2009;0000;196.4;32.367742;20.332258;68.895161;
83423;30/11/2009;0000;194.9;31.76;21.19;70.875;
83423;31/12/2009;0000;443.9;30.070968;20.270968;76.5;
83423;31/01/2010;0000;98.3;31.622581;20.867742;68.967742;
83423;28/02/2010;0000;208;32.992857;20.960714;65.669643;
83423;31/03/2010;0000;190.4;31.716129;20.748387;72.991935;
83423;30/04/2010;0000;188.4;31.85;18.91;57.908333;
83423;31/05/2010;0000;0;31.970968;17.129032;54;
83423;30/06/2010;0000;14.3;31.543333;15.343333;49.95;
83423;31/07/2010;0000;0;31.714286;16.954839;42.790323;
83423;31/08/2010;0000;0;33.435484;16.112903;34.258065;
83423;30/09/2010;0000;16.9;35.853333;20.243333;33.066667;
83423;31/10/2010;0000;107.9;33.732258;20.736667;59.633333;
83423;30/11/2010;0000;281.9;30.846667;20.02;71.908333;
83423;31/12/2010;0000;449.8;31.177419;20.396774;75.975806;
83423;31/01/2011;0000;287.8;30.696774;20.422581;73.532258;
83423;28/02/2011;0000;240.4;31.207143;20.382143;71.3125;
83423;31/03/2011;0000;367.1;30.077419;20.4;79.346774;
83423;30/04/2011;0000;62.3;31.69;19.863333;62.383333;
83423;31/05/2011;0000;0;30.790323;17.367742;54.879032;
83423;30/06/2011;0000;15.3;30.006667;15.533333;55.283333;
83423;31/07/2011;0000;0;31.545161;15.458065;45.451613;
83423;31/08/2011;0000;0;34.319355;17.225806;34.66129;
83423;30/09/2011;0000;1.2;35.403333;19.46;33.733333;
83423;31/10/2011;0000;300.3;30.76129;19.506452;70.104839;
83423;30/11/2011;0000;245.4;30.306667;19.763333;66.8;
83423;31/12/2011;0000;292.8;29.496774;20.190323;77.91129;
83423;31/01/2012;0000;467.4;29.029032;19.367742;76.58871;
83423;29/02/2012;0000;358;30.855172;19.57931;70.75;
83423;31/03/2012;0000;268;31.635484;20.035484;66.572581;
83423;30/04/2012;0000;176.2;31.98;20.146667;67.35;
83423;31/05/2012;0000;40;29.567742;17.864516;61.556452;
83423;30/06/2012;0000;18.3;30.613333;17.716667;59.541667;
83423;31/07/2012;0000;3;31.012903;15.651613;49.620968;
83423;31/08/2012;0000;0;31.445161;17.425806;38.709677;
83423;30/09/2012;0000;57.3;34.883333;19.46;40.916667;
83423;31/10/2012;0000;92.8;34.906452;21.087097;46.629032;
83423;30/11/2012;0000;224.5;30.773333;20.7;72.458333;
83423;31/12/2012;0000;188.6;32.283871;20.941935;65.516129;
83423;31/01/2013;0000;353.5;29.603226;20.56129;76.314516;
83423;28/02/2013;0000;125.1;31.669231;20.428571;68.330357;
83423;31/03/2013;0000;234.9;31.703226;21.135484;70.959677;
83423;30/04/2013;0000;44.3;30.713333;19.916667;64.683333;
83423;31/05/2013;0000;44.1;31.225806;17.7;55.774194;
83423;30/06/2013;0000;7.3;30.476667;17.753333;59.825;
83423;31/07/2013;0000;0;31.06129;15.458065;48.33871;
83423;31/08/2013;0000;0.7;32.677419;16.706452;38.314516;
83423;30/09/2013;0000;32.9;33.806667;19.933333;43.358333;
83423;31/10/2013;0000;135.2;32.354839;20.625806;57.959677;
83423;30/11/2013;0000;273.6;31.346667;20.3;68.725;
83423;31/12/2013;0000;530.5;30.719355;20.477419;75.58871;
83423;31/01/2014;0000;143.6;31.980645;20.23;61.766129;
83423;28/02/2014;0000;187.8;31.442857;20.596429;65.267857;
83423;31/03/2014;0000;361.1;30.641935;20.23871;75.508065;
83423;30/04/2014;0000;325.2;31.233333;20.19;70.375;
83423;31/05/2014;0000;19.7;30.929032;17.503226;58.346774;
83423;30/06/2014;0000;0;30.26;16.453333;55.016667;
83423;31/07/2014;0000;15.7;30.267742;15.996774;49.483871;
83423;31/08/2014;0000;0;33.225806;17.032258;37.129032;
83423;30/09/2014;0000;31.3;35.053333;20.816667;44.675;
83423;31/10/2014;0000;69.2;34.880645;21.216129;43.951613;
83423;30/11/2014;0000;170.5;31.89;20.833333;67.283333;
83423;31/12/2014;0000;337.9;30.151613;20.209677;72.403226;
83423;31/01/2015;0000;73.6;34.016129;20.970968;56.483871;
83423;28/02/2015;0000;225.2;30.932143;20.239286;70.205357;
