--------------------
BDMEP - INMET
--------------------
Estação           : GUARATINGA - BA (OMM: 83446)
Latitude  (graus) : -16.73
Longitude (graus) : -39.54
Altitude  (metros): 194.67
Estação Operante
Inicio de operação: 10/09/1973
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83446;31/01/2000;0000;167.7;30.719355;21.754839;77.895161;
83446;29/02/2000;0000;113;31.6;22.058621;76.672414;
83446;31/03/2000;0000;144.2;30.470968;21.374194;81.808333;
83446;30/04/2000;0000;142.5;29.103333;20.86;83.125;
83446;31/05/2000;0000;54.9;27.790323;19.529032;79.290323;
83446;30/06/2000;0000;28.9;27.176667;17.833333;78.558333;
83446;31/07/2000;0000;72;26.167742;17.335484;81.274194;
83446;31/08/2000;0000;53;26.409677;17.293548;77.758065;
83446;30/09/2000;0000;96.7;26.883333;18.49;80.808333;
83446;31/10/2000;0000;60.2;29.993548;19.619355;74.16129;
83446;30/11/2000;0000;224.8;30.156667;21.06;79.408333;
83446;31/12/2000;0000;176.7;30.141935;21.454839;79.467742;
83446;31/01/2001;0000;26.6;31.706452;21.129032;71.790323;
83446;28/02/2001;0000;71.8;33.703571;21.946429;70.116071;
83446;31/03/2001;0000;108.2;31.174194;;79.383333;
83446;30/04/2001;0000;110.8;30.026667;20.443333;80.6;
83446;31/05/2001;0000;106;28.641935;20.56129;82.153226;
83446;30/06/2001;0000;96.3;26.536667;18.63;83.725;
83446;31/07/2001;0000;86.9;26.429032;17.793548;81.516667;
83446;31/08/2001;0000;94.1;25.980645;17.33871;78.975806;
83446;30/09/2001;0000;62.8;27.133333;18.316667;77.7;
83446;31/10/2001;0000;204.7;27.383871;19.012903;81.83871;
83446;30/11/2001;0000;46;30.303333;21.576667;74.485;
83446;31/12/2001;0000;165;30.474194;22.003226;78.362903;
83446;31/01/2002;0000;300.1;30.36129;21.751613;79.524194;
83446;28/02/2002;0000;149.1;31.65;21.581481;75.125;
83446;31/03/2002;0000;127.5;31.06129;21.590323;78.451613;
83446;30/04/2002;0000;95.5;29.726667;20.610345;80.783333;
83446;31/05/2002;0000;85.4;28.517241;19.470968;77.927419;
83446;30/06/2002;0000;85.1;26.086667;18.38;86.166667;
83446;31/07/2002;0000;66.5;25.987097;18.26129;83.556452;
83446;31/08/2002;0000;76.5;26.63871;17.9;81.25;
83446;30/09/2002;0000;158.4;26.74;19.46;83.233333;
83446;31/10/2002;0000;35.1;30.093548;19.56129;73.330645;
83446;30/11/2002;0000;48.3;30.256667;21.031034;75.75;
83446;31/12/2002;0000;167.1;32.812903;21.865517;70.25;
83446;31/01/2003;0000;96.8;33.206452;22.56;73.201613;
83446;28/02/2003;0000;55;32.021429;21.864286;74.5625;
83446;31/03/2003;0000;79.1;32.912903;22.022581;75.217742;
83446;30/04/2003;0000;113.7;30.536667;21.586667;77.4;
83446;31/05/2003;0000;67.5;28.519355;19.987097;77.774194;
83446;30/06/2003;0000;1.1;28.29;17.427586;75.216667;
83446;31/07/2003;0000;53.4;26.251613;16.566667;78.879032;
83446;31/08/2003;0000;35.3;26.570968;18.039286;79.274194;
83446;30/09/2003;0000;51.7;27.47;18.437931;77.6;
83446;31/10/2003;0000;103.7;29.3;19.123333;73.443548;
83446;30/11/2003;0000;78.1;29.643333;20.733333;77.458333;
83446;31/12/2003;0000;56.7;32.564516;21.917241;70.967742;
83446;31/01/2004;0000;171.5;30.106452;21.935484;79.314516;
83446;29/02/2004;0000;189.4;30.924138;21.613793;79.612069;
83446;31/03/2004;0000;313.7;29.129032;21.332258;84.991935;
83446;30/04/2004;0000;104.7;29.39;21.01;84.408333;
83446;31/05/2004;0000;84.5;27.796774;20.183871;86.145161;
83446;30/06/2004;0000;65;26.19;18.29;85.366667;
83446;31/07/2004;0000;83.9;25.290323;17.441935;81.733871;
83446;31/08/2004;0000;20.5;27.190323;17.029032;76.782258;
83446;30/09/2004;0000;15.1;28.77;17.483333;71.633333;
83446;31/10/2004;0000;28.7;30.074194;19.264516;71.879032;
83446;30/11/2004;0000;92;30.05;20.689655;75.433333;
83446;31/12/2004;0000;44.8;31.545161;21.196774;72.516129;
83446;31/01/2005;0000;140.8;31.823077;21.942308;74.040323;
83446;28/02/2005;0000;198.6;31.457143;21.714815;78.767857;
83446;31/03/2005;0000;102.2;31.516129;22.387097;83.048387;
83446;30/04/2005;0000;76.6;29.863333;21.13;85.791667;
83446;31/05/2005;0000;119.1;28.3;20.093548;84.620968;
83446;30/06/2005;0000;114.7;26.33;19.02;86.666667;
83446;31/07/2005;0000;40.4;26.345161;17.222581;81.483871;
83446;31/08/2005;0000;103.9;26.441935;17.780645;83.879032;
83446;30/09/2005;0000;46.2;28.183333;19.566667;77.15;
83446;31/10/2005;0000;26.7;30.845161;19.764516;72.137097;
83446;30/11/2005;0000;279;28.39;20.706667;83.216667;
83446;31/12/2005;0000;234.1;30.325806;21.567742;76.677419;
83446;31/01/2006;0000;123;30.574194;20.941935;75.064516;
83446;28/02/2006;0000;20.1;33.528571;22.032143;71.473214;
83446;31/03/2006;0000;145.3;31.767742;22.490323;79.879032;
83446;30/04/2006;0000;105.5;29.45;21.310345;82.95;
83446;31/05/2006;0000;17.3;27.954839;19.041935;77.548387;
83446;30/06/2006;0000;90;25.69;17.84;82.475;
83446;31/07/2006;0000;39.2;25.948387;16.403226;79.846774;
83446;31/08/2006;0000;67.6;26.606452;18.258065;80.596774;
83446;30/09/2006;0000;54.6;27.366667;18.64;79.35;
83446;31/10/2006;0000;195.5;27.712903;20.276667;82.91129;
83446;30/11/2006;0000;186.4;29.363333;21.18;79.508333;
83446;31/12/2006;0000;331.8;30.258065;21.774194;78.983871;
83446;31/01/2007;0000;68.6;32.290323;22.66129;75.290323;
83446;28/02/2007;0000;199.4;30.628571;21.917857;81.758929;
83446;31/03/2007;0000;93.7;30.53871;21.345161;79.556452;
83446;30/04/2007;0000;131.5;29.973333;20.916667;81.175;
83446;31/05/2007;0000;24.7;27.848387;19.16129;79.943548;
83446;30/06/2007;0000;32.2;27.223333;17.606667;79.466667;
83446;31/07/2007;0000;55.2;26.403226;17.732258;82.129032;
83446;31/08/2007;0000;51.5;26.322581;17.273333;78.854839;
83446;30/09/2007;0000;42.2;27.09;17.9;78.991667;
83446;31/10/2007;0000;43.1;28.641935;19.464516;76.975806;
83446;30/11/2007;0000;177.1;30.396667;20.666667;74.75;
83446;31/12/2007;0000;170.3;30.093548;21.232258;78.193548;
83446;31/01/2008;0000;86.5;30.322581;21.141935;77.725806;
83446;29/02/2008;0000;126;32.262069;21.753571;74.362069;
83446;31/03/2008;0000;106;31.603226;22.187097;79.298387;
83446;30/04/2008;0000;3.4;32.533333;21.803333;74.825;
83446;31/05/2008;0000;3.2;30.183333;19.370968;74.346774;
83446;30/06/2008;0000;59.8;27.13;18.5;79.825;
83446;31/07/2008;0000;45.1;26.290323;16.432258;75.935484;
83446;31/08/2008;0000;38.7;27.583871;17.432258;77.612903;
83446;30/09/2008;0000;26.2;28.903333;18.866667;74.841667;
83446;31/10/2008;0000;21.7;31.422581;20.258065;72.733871;
83446;30/11/2008;0000;157.4;29.793333;21.353333;80.675;
83446;31/12/2008;0000;98.1;30.090323;21.558065;82.129032;
83446;31/01/2009;0000;156.2;31.064516;22.270968;82.580645;
83446;28/02/2009;0000;36.3;32.339286;22.128571;80.482143;
83446;31/03/2009;0000;201.9;32.687097;22.758065;80.548387;
83446;30/04/2009;0000;215;29.196667;22.010345;83.866667;
83446;31/05/2009;0000;85.9;27.622581;19.574194;82.08871;
83446;30/06/2009;0000;107;26.69;18.88;84.416667;
83446;31/07/2009;0000;27.8;27.454839;18.332258;81.209677;
83446;31/08/2009;0000;57.1;26.964516;18.377419;80.814516;
83446;30/09/2009;0000;50.5;29.68;19.51;76.333333;
83446;31/10/2009;0000;192.5;29.487097;21.116129;81.830645;
83446;30/11/2009;0000;26.5;31.566667;21.256667;74.083333;
83446;31/12/2009;0000;125.8;33.119355;22.296774;72.935484;
83446;31/01/2010;0000;53.9;33.63;22.345161;71.467742;
83446;28/02/2010;0000;58.6;32.55;22.453571;74.383929;
83446;31/03/2010;0000;221.3;31.990323;22.636667;81.233871;
83446;30/04/2010;0000;113.8;29.85;21.646667;80.491667;
83446;31/05/2010;0000;54.1;29.003226;20.496774;80.201613;
83446;30/06/2010;0000;13.9;26.9;18.063333;76.35;
83446;31/07/2010;0000;62.3;26.125806;18.548387;81.072581;
83446;31/08/2010;0000;23.1;26.222581;16.816129;78.669355;
83446;30/09/2010;0000;54.8;27.74;18.006667;76.741667;
83446;31/10/2010;0000;64.5;28.777419;20.545161;80.564516;
83446;30/11/2010;0000;237.7;29.85;21.373333;81.283333;
83446;31/12/2010;0000;137.3;31.335484;22.054839;76.185484;
83446;31/01/2011;0000;87;30.919355;21.822581;78.322581;
83446;28/02/2011;0000;54.3;31.653571;21.7;76.392857;
83446;31/03/2011;0000;262;31.6;22.216129;79.048387;
83446;30/04/2011;0000;276.4;29.05;21.453333;85.541667;
83446;31/05/2011;0000;55;27.503226;19.125806;81.685484;
83446;30/06/2011;0000;8.2;27.036667;18.35;78.783333;
83446;31/07/2011;0000;51.1;;17.083871;81.201613;
83446;31/08/2011;0000;6.8;;17.729032;75.951613;
83446;30/09/2011;0000;4;;17.466667;68.883333;
83446;31/10/2011;0000;240.9;;20.219355;81.282258;
83446;30/11/2011;0000;144.1;;19.923333;83.5;
83446;31/12/2011;0000;204.8;;21.341935;78.967742;
83446;31/01/2012;0000;77.1;;21.209677;78.443548;
83446;29/02/2012;0000;67;;20.848276;76.258621;
83446;31/03/2012;0000;54.6;;21.045161;76.258065;
83446;30/04/2012;0000;14.3;;20.846667;74.225;
83446;31/05/2012;0000;65.2;;19.76;82.725806;
83446;30/06/2012;0000;47.9;;19.033333;82.208333;
83446;31/07/2012;0000;47.2;;17.435484;82.322581;
83446;31/08/2012;0000;137.6;;17.574194;80.612903;
83446;30/09/2012;0000;64.6;;18.86;77.025;
83446;31/10/2012;0000;63.5;;19.535484;75.991935;
83446;30/11/2012;0000;207;28.83;21.473333;83.625;
83446;31/12/2012;0000;11.2;32.719355;21.653333;68.808333;
