--------------------
BDMEP - INMET
--------------------
Estação           : IAUARETE - AM (OMM: 82067)
Latitude  (graus) : 0.61
Longitude (graus) : -69.18
Altitude  (metros): 120.00
Estação Operante
Inicio de operação: 16/07/1943
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82067;31/01/2000;0000;136.5;32.819355;21.822581;87.258065;
82067;29/02/2000;0000;362.5;32.710345;21.255172;87.534483;
82067;31/03/2000;0000;428.1;32.654839;21.422581;88.774194;
82067;30/04/2000;0000;466.6;31.29;21.666667;88.475;
82067;31/05/2000;0000;534.5;31.26129;21.851613;88.233871;
82067;30/06/2000;0000;374.6;31.343333;21.613333;87.6;
82067;31/07/2000;0000;331.2;30.754839;20.932258;91.120968;
82067;31/08/2000;0000;328.8;32.706452;21.322581;89.153226;
82067;30/09/2000;0000;157.2;33.246667;21.28;88.758333;
82067;31/10/2000;0000;306.7;33.448387;21.354839;89.33871;
82067;30/11/2000;0000;193.3;34.45;21.986667;86.291667;
82067;31/12/2000;0000;403.3;33.377419;21.429032;87.266129;
82067;31/01/2001;0000;293.6;32.022581;21.187097;89.508065;
82067;28/02/2001;0000;208.1;32.332143;21.375;88.821429;
82067;31/03/2001;0000;253.4;33.406452;21.367742;87.782258;
82067;30/04/2001;0000;260.5;33.55;21.736667;87.041667;
82067;31/05/2001;0000;450.8;32.03871;21.745161;90.145161;
82067;30/06/2001;0000;509.4;31.383333;20.746667;91.541667;
82067;31/07/2001;0000;395.9;32.190323;20.551613;90.943548;
82067;31/08/2001;0000;263.4;32.377419;21.367742;87.991935;
82067;30/09/2001;0000;142.4;33.64;21.576667;84.925;
82067;31/10/2001;0000;171.3;34.067742;22.23871;84.120968;
82067;30/11/2001;0000;222;33.636667;22.27;85.275;
82067;31/12/2001;0000;230.7;33.180645;22.748387;87.798387;
82067;31/01/2002;0000;227.7;34.880645;22.551613;81.116667;
82067;28/02/2002;0000;243.7;33.235714;22.071429;87.125;
82067;31/03/2002;0000;331.8;32.609677;22.380645;86.983871;
82067;30/04/2002;0000;665.7;32.103333;21.993333;87.633333;
82067;31/05/2002;0000;461.7;31.696774;22.380645;88.768519;
82067;30/06/2002;0000;552.1;29.706897;22.03;89.441667;
82067;31/07/2002;0000;443.2;30.875;21.828571;88.209677;
82067;31/08/2002;0000;361;31.983871;21.896774;88.075;
82067;30/09/2002;0000;183.7;34.223333;22.25;82.958333;
82067;31/10/2002;0000;346.6;33.758065;22.21;82.715909;
82067;30/11/2002;0000;306.9;33.126667;22.143333;85.083333;
82067;31/12/2002;0000;426;32.335484;22.525806;87.185484;
82067;31/01/2003;0000;208.5;33.16129;22.470968;84.314516;
82067;28/02/2003;0000;391;32.103571;22.539286;86.907407;
82067;31/03/2003;0000;248.2;32.819355;22.293548;86.91129;
82067;30/04/2003;0000;380;32.523333;22.273333;87.316667;
82067;31/05/2003;0000;659.8;31.054839;22.009677;89.991935;
82067;30/06/2003;0000;425.1;31.766667;21.93;86.655172;
82067;31/07/2003;0000;359.4;30.6;21.654839;88.435484;
82067;31/08/2003;0000;161.4;32.358065;21.822581;85.919355;
82067;30/09/2003;0000;285.4;32.313333;21.576667;84.583333;
82067;31/10/2003;0000;352;34.164516;22.625806;84.008065;
82067;30/11/2003;0000;180.3;33.853333;22.336667;83.875;
82067;31/01/2004;0000;0;;;;
82067;29/02/2004;0000;174.4;33.093103;23.258621;82.87931;
82067;31/03/2004;0000;293.9;32.880645;22.951613;85.346774;
82067;30/04/2004;0000;250.5;33.083333;22.913333;83.075;
82067;31/05/2004;0000;470.6;31.935484;21.964516;86.322581;
82067;30/06/2004;0000;323.7;31.333333;22.1;86.083333;
82067;31/07/2004;0000;225.5;31.303226;21.719355;86.129032;
82067;31/08/2004;0000;311.8;32.087097;21.674194;84.491935;
82067;30/09/2004;0000;222.1;33.55;21.943333;81.783333;
82067;31/10/2004;0000;300.1;34.212903;22.222581;80.879032;
82067;30/11/2004;0000;217.8;33.506667;22.273333;82.791667;
82067;31/12/2004;0000;136.5;34.351613;22.587097;81.895161;
82067;31/01/2005;0000;175.2;34.303226;22.587097;82.145161;
82067;28/02/2005;0000;361.1;32.396429;23.021429;85.892857;
82067;31/03/2005;0000;493.4;32.996774;22.570968;85.459677;
