--------------------
BDMEP - INMET
--------------------
Estação           : ITAITUBA - PA (OMM: 82445)
Latitude  (graus) : -4.28
Longitude (graus) : -55.98
Altitude  (metros): 45.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82445;31/01/2000;0000;262.7;31.374194;22.519355;90.814516;
82445;29/02/2000;0000;405.6;30.913793;22.513793;91.793103;
82445;31/03/2000;0000;404.7;31.093548;22.770968;91.701613;
82445;30/04/2000;0000;256.3;31.63;22.863333;91.116667;
82445;31/05/2000;0000;235.9;32.612903;23.025806;91.524194;
82445;30/06/2000;0000;123.3;32.703333;22.323333;92.258333;
82445;31/07/2000;0000;131.6;32;21.935484;92.862903;
82445;31/08/2000;0000;91.6;33.706452;21.806452;91.645161;
82445;30/09/2000;0000;176.3;33.943333;23.18;88.6;
82445;31/10/2000;0000;177.7;34.045161;23.519355;88.701613;
82445;30/11/2000;0000;83.4;33.96;23.626667;90.925;
82445;31/12/2000;0000;37.4;33.83871;23.583871;91.096774;
82445;31/01/2001;0000;433.7;30.996774;22.987097;94.16129;
82445;28/02/2001;0000;287.5;30.921429;23.335714;92.357143;
82445;31/03/2001;0000;225.1;31.087097;23.706452;93.104839;
82445;30/04/2001;0000;221.6;31.963333;23.84;91.441667;
82445;31/05/2001;0000;70.8;32.487097;23.977419;91.741935;
82445;30/06/2001;0000;119.2;31.353333;23.233333;94.041667;
82445;31/07/2001;0000;77.2;33.270968;23.16129;87.145161;
82445;31/08/2001;0000;19.1;35.141935;23.016129;79.145161;
82445;30/09/2001;0000;72.7;34.253333;24.03;84.575;
82445;31/10/2001;0000;104.7;35.829032;24.767742;80.048387;
82445;30/11/2001;0000;95.3;34.99;24.983333;82.975;
82445;31/12/2001;0000;52.1;34.858065;25.63871;81.691667;
82445;31/01/2002;0000;180.2;31.66129;24.158065;87.056452;
82445;28/02/2002;0000;256.6;32.435714;24.471429;88.589286;
82445;31/03/2002;0000;271.6;32.087097;24.132258;88.451613;
82445;30/04/2002;0000;295.8;32.566667;24.52069;87.55;
82445;31/05/2002;0000;150;32.848387;24.864516;88.919355;
82445;30/06/2002;0000;100;32.84;23.96;90.575;
82445;31/07/2002;0000;28.2;34.212903;23.632258;84.491935;
82445;31/08/2002;0000;49.6;34.906452;23.680645;83.572581;
82445;30/09/2002;0000;47.2;36.576667;24.503333;78.366667;
82445;31/10/2002;0000;81;35.564516;24.919355;79.016129;
82445;30/11/2002;0000;92.7;34.436667;24.766667;84.758333;
82445;31/12/2002;0000;170.7;33.741935;24.906452;84.5;
82445;31/01/2003;0000;79.6;32.96129;24.970968;87.129032;
82445;28/02/2003;0000;276.6;31.382143;23.896429;89.491071;
82445;31/03/2003;0000;406.8;31.835484;24.190323;88.709677;
82445;30/04/2003;0000;300.4;32.46;24.44;89.316667;
82445;31/05/2003;0000;138.6;33.129032;24.506452;87;
82445;30/06/2003;0000;93;32.87;24.173333;87.116667;
82445;31/07/2003;0000;54.6;34.409677;23.164516;82.91129;
82445;31/08/2003;0000;127.2;33.945161;23.496774;84.459677;
82445;30/09/2003;0000;109.5;33.896667;23.606667;84.033333;
82445;31/10/2003;0000;86.4;34.03871;24.690323;83.540323;
82445;30/11/2003;0000;169;33.5;23.976667;85.683333;
82445;31/12/2003;0000;153.8;34.090323;24.454839;82.943548;
82445;31/01/2004;0000;278.2;31.716129;23.53871;90.040323;
82445;29/02/2004;0000;510.9;30.862069;23.606897;90.206897;
82445;31/03/2004;0000;494.9;31.425806;23.890323;90.419355;
82445;30/04/2004;0000;110.6;32.483333;24.61;88.708333;
82445;31/05/2004;0000;142.5;32.848387;24.583871;89.169355;
82445;30/06/2004;0000;91.6;32.793333;23.096667;87.658333;
82445;31/07/2004;0000;14.5;33.909677;23.058065;85.951613;
82445;31/08/2004;0000;63.3;34.822581;23.583871;83.362903;
82445;30/09/2004;0000;110;34.636667;24.05;81.225;
82445;31/10/2004;0000;133.5;34.53871;24.467742;80.435484;
82445;30/11/2004;0000;55.9;35.64;24.9;78.875;
82445;31/12/2004;0000;58.5;34.706452;25;83.33871;
82445;31/01/2005;0000;114;34.522581;24.912903;82.766129;
82445;28/02/2005;0000;267.6;32.839286;24.475;88.410714;
82445;31/03/2005;0000;370.9;32.470968;24.216129;88.532258;
82445;30/04/2005;0000;161.8;33.27;24.373333;88.058333;
82445;31/05/2005;0000;249.6;32.6;24.683871;89.717742;
82445;30/06/2005;0000;88.7;34.026667;24.183333;86.608333;
82445;31/07/2005;0000;63;34.403226;23.703226;83.266129;
