--------------------
BDMEP - INMET
--------------------
Estação           : ITAMARANDIBA - MG (OMM: 83488)
Latitude  (graus) : -17.85
Longitude (graus) : -42.85
Altitude  (metros): 914.00
Estação Operante
Inicio de operação: 27/03/1925
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83488;31/03/2000;0000;276.1;26.503226;17.583871;81.282258;
83488;30/04/2000;0000;29.3;25.596667;15.81;79.8;
83488;31/05/2000;0000;5;24.858065;13.374194;77.854839;
83488;30/06/2000;0000;0;23.816667;10.963333;76.475;
83488;31/07/2000;0000;6.8;22.945161;11.229032;77.975806;
83488;31/08/2000;0000;12.4;24.670968;11.864516;71.403226;
83488;30/09/2000;0000;34;24.146667;14.206667;74.716667;
83488;31/10/2000;0000;92.4;28.625806;16.648387;64.758065;
83488;30/11/2000;0000;285.1;25.94;18.37;81.158333;
83488;31/12/2000;0000;347.8;26.919355;18.667742;83.459677;
83488;31/01/2001;0000;46;28.332258;17.43871;74.258065;
83488;28/02/2001;0000;80.2;30.278571;17.989286;70.160714;
83488;31/03/2001;0000;71.4;28.403226;17.7;77.596774;
83488;30/04/2001;0000;1;28.023333;16.24;71.2;
83488;31/05/2001;0000;15.6;25.925806;14.409677;77.451613;
83488;30/06/2001;0000;19.6;23.766667;13;78.225;
83488;31/07/2001;0000;3.8;24.148387;12.303226;74.693548;
83488;31/08/2001;0000;26.7;23.932258;12.635484;72.903226;
83488;30/09/2001;0000;10;25.29;14.48;71.658333;
83488;31/10/2001;0000;89.9;25.66129;16.254839;75.895161;
83488;30/11/2001;0000;344.5;27.063333;18.02;81.383333;
83488;31/12/2001;0000;196.4;26.86129;18.241935;79.879032;
83488;31/01/2002;0000;259.8;27.770968;18.748387;82.008065;
83488;28/02/2002;0000;225.9;27.639286;18.367857;80.857143;
83488;31/03/2002;0000;29.6;27.548387;18.16129;80.379032;
83488;30/04/2002;0000;10.6;26.923333;17.046667;78.641667;
83488;31/05/2002;0000;10.2;25.376667;14.635484;79.774194;
83488;30/06/2002;0000;1;24.373333;13.443333;79.941667;
83488;31/07/2002;0000;8.6;23.774194;13.170968;81.516129;
83488;31/08/2002;0000;3.9;25.973333;12.874194;71.725;
83488;30/09/2002;0000;63.9;24.986667;15.093333;75.425;
83488;31/10/2002;0000;39.6;28.932258;15.412903;63.072581;
83488;30/11/2002;0000;159.3;27.366667;17.14;76.316667;
83488;31/12/2002;0000;339;27.883871;18.180645;80.967742;
83488;31/01/2003;0000;171.8;28.045161;18.983871;83.346774;
83488;28/02/2003;0000;53.9;28.417857;17.560714;75.214286;
83488;31/03/2003;0000;60.8;28.445161;17.680645;78.258065;
83488;30/04/2003;0000;21.5;27.023333;16.713333;79.125;
83488;31/05/2003;0000;8.8;24.96129;13.887097;77.677419;
83488;30/06/2003;0000;0;25.513333;10.66;73.883333;
83488;31/12/2003;0000;248.1;29.395238;18.3;70.370968;
83488;31/01/2004;0000;237.1;26.277419;18.409677;82.225806;
83488;29/02/2004;0000;254.8;26.872414;18.282759;81.698276;
83488;31/03/2004;0000;134.7;26.329032;17.683871;82.33871;
83488;30/04/2004;0000;238;25.506667;16.683333;82.633333;
83488;31/05/2004;0000;4.2;25.335484;15.535484;81.346774;
83488;30/06/2004;0000;21.9;22.936667;12.866667;80.891667;
83488;31/07/2004;0000;27.4;21.380645;11.606452;80.733871;
83488;31/08/2004;0000;1.1;24.677419;11.658065;69.209677;
83488;30/09/2004;0000;0;27.066667;12.05;59.616667;
83488;31/10/2004;0000;90.6;27.745161;15.941935;66.879032;
83488;30/11/2004;0000;148.1;27.34;16.696667;73.241667;
83488;31/12/2004;0000;285.7;27.980645;17.948387;79.508065;
