--------------------
BDMEP - INMET
--------------------
Estação           : ITAPERUNA - RJ (OMM: 83695)
Latitude  (graus) : -21.2
Longitude (graus) : -41.9
Altitude  (metros): 123.59
Estação Operante
Inicio de operação: 01/01/1922
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83695;31/01/2000;0000;157.6;31.593548;22.167742;75.637097;
83695;29/02/2000;0000;98.4;31.531034;22.358621;76.172414;
83695;31/03/2000;0000;135.9;30.387097;21.622581;76.451613;
83695;30/04/2000;0000;26.6;29.9;19.896667;74.783333;
83695;31/05/2000;0000;4.8;28.767742;16.967742;70.691667;
83695;30/06/2000;0000;1.1;28.46;15.423333;70.758333;
83695;31/07/2000;0000;12.8;26.690323;15.151613;71.016129;
83695;31/08/2000;0000;35.8;28.76129;15.919355;66.427419;
83695;30/09/2000;0000;46.5;28.053333;18.493333;73.641667;
83695;31/10/2000;0000;65.2;32.8;20.690323;66.35;
83695;30/11/2000;0000;199.3;29.38;21.093333;78.416667;
83695;31/12/2000;0000;247.6;31.651613;22.045161;76.112903;
83695;31/01/2001;0000;114.4;32.729032;22.051613;71.919355;
83695;28/02/2001;0000;61.8;34.864286;23.192857;67.544643;
83695;31/03/2001;0000;137.8;33.470968;22.206452;68.616667;
83695;30/04/2001;0000;34.9;32.673333;20.98;68.958333;
83695;31/05/2001;0000;46.8;29.06129;18.477419;72.870968;
83695;30/06/2001;0000;13;28.833333;17.526667;73.283333;
83695;31/07/2001;0000;0;;;;
83695;31/10/2001;0000;;29.157692;19.246667;71.706522;
83695;30/11/2001;0000;;30.4;21.653333;79.810345;
83695;31/12/2001;0000;;31.533333;21.932143;78.54;
83695;31/01/2002;0000;156.1;32.734483;22.526667;77.1875;
83695;28/02/2002;0000;177.6;31.272;22.335714;80.15625;
83695;31/03/2002;0000;40.7;33.51;22.251613;71.95;
83695;30/04/2002;0000;0.8;32.966667;20.646667;71.172414;
83695;31/05/2002;0000;93.5;30.235484;19.490323;71.91129;
83695;30/06/2002;0000;3.2;28.533333;17.54;75.691667;
83695;31/07/2002;0000;33.2;27.180645;17.129032;72.758065;
83695;31/08/2002;0000;3;30.835484;17.625806;65.217742;
83695;30/09/2002;0000;130.8;27.993333;17.946667;71.158333;
83695;31/10/2002;0000;87;33.36129;20.141935;64.467742;
83695;30/11/2002;0000;140;31.646667;21.486667;70.458333;
83695;31/12/2002;0000;258.9;31.748387;22.664516;74.822581;
83695;31/01/2003;0000;309.3;32.248387;22.741935;79.274194;
83695;28/02/2003;0000;14.5;34.503571;22.65;66.464286;
83695;31/03/2003;0000;131.9;32.832258;22.374194;70.975;
83695;30/04/2003;0000;63;30.47;20.253333;75.508333;
83695;31/05/2003;0000;45.1;28.170968;17.56;76.064516;
83695;30/06/2003;0000;0;29.8;16.386667;71.666667;
83695;31/07/2003;0000;6.5;28.467742;14.748387;69.637097;
83695;31/08/2003;0000;72.2;27.487097;16.4;70.096774;
83695;30/09/2003;0000;88.5;27.703333;17.978571;71.708333;
83695;31/10/2003;0000;75.7;29.509677;19.283871;69.903226;
83695;30/11/2003;0000;276;30.7;21.126667;73.25;
83695;31/12/2003;0000;293.3;31.512903;22.070968;78.217742;
83695;31/01/2004;0000;342.2;30.245161;21.851613;78.58871;
83695;29/02/2004;0000;148.1;30.734483;22.035714;77.964286;
83695;31/03/2004;0000;148.3;30.729032;21.232258;76.016129;
83695;30/04/2004;0000;78.1;30.08;21.093333;78.841667;
83695;31/05/2004;0000;21.1;28.025806;18.045161;76.379032;
83695;30/06/2004;0000;32.5;26.443333;16.02;80.058333;
83695;31/07/2004;0000;23.9;25.351613;15.158065;78.548387;
83695;31/08/2004;0000;13.6;27.987097;16.151613;71.556452;
83695;30/09/2004;0000;5.8;31.713333;18.110345;64.033333;
83695;31/10/2004;0000;109.2;29.416129;20.090323;70.5;
83695;30/11/2004;0000;82.6;30.836667;20.93;69.55;
83695;31/12/2004;0000;340;30.570968;21.8;79.7;
83695;31/01/2005;0000;104.2;32.135484;22.8;76.120968;
83695;28/02/2005;0000;159.2;31.692857;21.585714;75.696429;
83695;31/03/2005;0000;260.3;31.441935;22.522581;78.169355;
83695;30/04/2005;0000;61.4;31.406897;21.586207;75.939655;
83695;31/05/2005;0000;77.5;28.206452;19.077419;80.790323;
83695;30/06/2005;0000;87.4;26.833333;17.343333;82.941667;
83695;31/07/2005;0000;48.5;25.870968;15.83871;79.991935;
83695;31/08/2005;0000;4.1;29.354839;17.380645;72.346774;
83695;30/09/2005;0000;104.2;28.226667;18.96;73.841667;
83695;31/10/2005;0000;11.7;32.319355;20.741935;67.346774;
83695;30/11/2005;0000;165.2;28.546667;20.473333;77.225;
83695;31/12/2005;0000;254.6;29.954839;20.683871;75.091667;
83695;31/01/2006;0000;132.5;34.087097;22.096774;66.830645;
83695;28/02/2006;0000;168;34.421429;22.885714;69.740741;
83695;31/03/2006;0000;103.1;32.33871;22.76129;77.16129;
83695;30/04/2006;0000;58.5;29.803333;20.706667;78.425;
83695;31/05/2006;0000;52.2;27.73871;16.974194;75.604839;
83695;30/06/2006;0000;4.5;27.25;15.753333;72.566667;
83695;31/07/2006;0000;7.1;28.806452;14.16129;69.169355;
83695;31/08/2006;0000;5.5;29.893548;16.980645;66.58871;
83695;30/09/2006;0000;47.8;28.973333;17.346667;68.2;
83695;31/10/2006;0000;125;29.651613;20.122581;74.266129;
83695;30/11/2006;0000;261.4;29.826667;21.213333;78.025;
