--------------------
BDMEP - INMET
--------------------
Estação           : ITIRUCU  JAGUAQUARA  - BA (OMM: 83295)
Latitude  (graus) : -13.35
Longitude (graus) : -40.11
Altitude  (metros): 755.61
Estação Operante
Inicio de operação: 01/08/1941
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83295;31/01/2000;0000;77.8;27.967742;17.919355;81.806452;
83295;29/02/2000;0000;94.7;28.075862;18.37931;82.844828;
83295;31/03/2000;0000;94.7;26.625806;18.170968;86.677419;
83295;30/04/2000;0000;43.7;26.36;18.156667;87.033333;
83295;31/05/2000;0000;42.9;25.032258;16.893548;87.185484;
83295;30/06/2000;0000;43.9;23.28;15.646667;88.758333;
83295;31/07/2000;0000;76.6;22.951613;14.945161;87.217742;
83295;31/08/2000;0000;29.4;23.858065;15.003226;84.290323;
83295;30/09/2000;0000;37.7;24.616667;15.613333;82.758333;
83295;31/10/2000;0000;12.1;28.145161;16.73871;74.451613;
83295;30/11/2000;0000;226.1;27.913333;17.933333;79.75;
83295;31/12/2000;0000;177.4;26.832258;18.309677;83.822581;
83295;31/01/2001;0000;39.6;27.080645;17.406452;80.741935;
83295;28/02/2001;0000;47.9;30.35;18.060714;73.814815;
83295;31/03/2001;0000;79.7;27.903226;18.403226;82.225806;
83295;30/04/2001;0000;24;26.896667;17.67;81.9;
83295;31/05/2001;0000;77.6;26.903226;18.080645;83.419355;
83295;30/06/2001;0000;82.9;22.976667;15.676667;88.491667;
83295;31/07/2001;0000;33.1;23.5;15.296774;87.05;
83295;31/08/2001;0000;66.6;22.419355;14.696774;87.306452;
83295;30/09/2001;0000;24.2;25.24;15.673333;80.025862;
83295;31/10/2001;0000;57.9;26.732258;16.945161;79.370968;
83295;30/11/2001;0000;10.9;29.3;17.586667;73.675;
83295;31/12/2001;0000;152.3;28.383871;18.358065;77.516129;
83295;31/01/2002;0000;179.3;27.041935;18.63871;83.177419;
83295;28/02/2002;0000;114.4;28.121429;17.757143;77.125;
83295;31/03/2002;0000;37.8;27.43871;18.209677;82.524194;
83295;30/04/2002;0000;37.7;27.086667;18.176667;82.625;
83295;31/05/2002;0000;50.9;25.045161;16.629032;81.596774;
83295;30/06/2002;0000;59.9;23.356667;16.216667;88.008333;
83295;31/07/2002;0000;44.2;23.945161;15.693548;85.629032;
83295;31/08/2002;0000;80.5;23.851613;15.380645;84.41129;
83295;30/09/2002;0000;67.9;25.21;16.586667;82.65;
83295;31/10/2002;0000;5.6;27.580645;16.245161;75.395161;
83295;30/11/2002;0000;16.2;28.716667;17.896667;74.683333;
83295;31/12/2002;0000;120.5;29.716129;18.416129;75.822581;
83295;31/01/2003;0000;14.6;30.419355;18.845161;73.943548;
83295;28/02/2003;0000;19.9;29.107143;18.660714;77.098214;
83295;31/03/2003;0000;27.7;29.76129;19.235484;77.741935;
83295;30/04/2003;0000;55.2;27.96;18.834483;82.896552;
