--------------------
BDMEP - INMET
--------------------
Estação           : AIMORES - MG (OMM: 83595)
Latitude  (graus) : -19.49
Longitude (graus) : -41.07
Altitude  (metros): 82.74
Estação Operante
Inicio de operação: 01/06/1972
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83595;31/01/2000;0000;215.8;33.164516;19.6;78.782258;
83595;29/02/2000;0000;41.3;34.462069;20;83.051724;
83595;31/03/2000;0000;71.5;32.993548;20.4;83.612903;
83595;30/04/2000;0000;22.6;32.876667;16;72.658333;
83595;31/05/2000;0000;3.8;30.477419;13.6;72.443548;
83595;30/06/2000;0000;2.6;30.193333;10.4;72.016667;
83595;31/07/2000;0000;1.7;28.748387;13.1;78.645161;
83595;31/08/2000;0000;11.9;30.648387;11.5;74.048387;
83595;30/09/2000;0000;36;29.69;14.9;75.641667;
83595;31/10/2000;0000;11;34.725806;19.2;64.83871;
83595;30/11/2000;0000;204.4;31.213333;19.8;77.716667;
83595;31/12/2000;0000;218;32.854839;18.6;78.516129;
83595;31/01/2001;0000;70.1;34.074194;22.696774;72.637097;
83595;28/02/2001;0000;6;36.7;23.760714;65.901786;
83595;31/03/2001;0000;75.7;35.419355;22.964516;69.395161;
83595;30/04/2001;0000;34.2;34.406667;21.836667;71.208333;
83595;31/05/2001;0000;39.3;31.258065;19.33871;75.903226;
83595;30/06/2001;0000;10.2;30.276667;17.94;74.65;
83595;31/07/2001;0000;2;30.829032;16.674194;69.774194;
83595;31/08/2001;0000;11.7;30.016129;17.8;72.951613;
83595;30/09/2001;0000;41.8;30.096667;19.016667;72.725;
83595;31/10/2001;0000;81.3;30.758065;19.883871;73.475806;
83595;30/11/2001;0000;323.5;31.65;22.173333;80.041667;
83595;31/12/2001;0000;212.8;31.835484;22.103226;79.032258;
83595;31/01/2002;0000;112.8;33.236667;22.416129;76.620968;
83595;28/02/2002;0000;143.4;33.092857;22.685714;77.125;
83595;31/03/2002;0000;65.3;33.948387;22.519355;76.685484;
83595;30/04/2002;0000;22.4;33.617241;20.836667;75.391667;
83595;31/05/2002;0000;78.2;31.626667;18.970968;79.370968;
83595;30/06/2002;0000;3.4;30.637931;18.02;77.191667;
83595;31/07/2002;0000;6.7;30.670968;17.258065;74.846774;
83595;31/08/2002;0000;33.3;31.348276;18.270968;74.034483;
83595;30/09/2002;0000;137.8;29.146667;19.116129;74.216667;
83595;31/10/2002;0000;17.6;33.493548;20.8;66.024194;
83595;30/11/2002;0000;273.3;32.376667;22.31;72.758333;
83595;31/12/2002;0000;237.7;33.380645;22.925806;77.217742;
83595;31/01/2003;0000;193.2;33.370968;23.154839;81.387097;
83595;28/02/2003;0000;79.2;35.542857;22.528571;69.035714;
83595;31/03/2003;0000;140.6;35.025806;22.622581;69.209677;
83595;30/04/2003;0000;28.5;33.173333;21.36;71.041667;
83595;31/05/2003;0000;4.5;31.516129;18.019355;71.403226;
83595;30/06/2003;0000;0;31.903333;16.06;71.016667;
83595;31/07/2003;0000;2.5;30.416129;15.6;68.790323;
83595;31/08/2003;0000;38.9;30.254839;17.8;68.556452;
83595;30/09/2003;0000;20.2;31.606667;19.14;66.008333;
83595;31/10/2003;0000;18.5;32.648387;20.029032;61.524194;
83595;30/11/2003;0000;76.3;33.656667;22.746667;65.891667;
83595;31/12/2003;0000;278.9;33.270968;22.558065;72.282258;
83595;31/01/2004;0000;355.9;31.222581;22.503226;78.080645;
83595;29/02/2004;0000;171.3;31.837931;21.862069;76.646552;
83595;31/03/2004;0000;184.9;32.312903;21.796774;76.637097;
83595;30/04/2004;0000;67.3;31.25;20.963333;78.641667;
83595;31/05/2004;0000;5.8;29.66129;19.077419;79.387097;
83595;30/06/2004;0000;20.2;28.9;16.583333;79.033333;
83595;31/07/2004;0000;25.2;27.703226;16.170968;76.790323;
83595;31/08/2004;0000;4;30.383871;15.780645;66.774194;
83595;30/09/2004;0000;7.6;32.22;17.79;62.333333;
83595;31/10/2004;0000;91.9;32.270968;21;65.104839;
83595;30/11/2004;0000;102.4;32.82;21.516667;68.008333;
83595;31/12/2004;0000;219.1;32.693548;22.23871;75.419355;
83595;31/01/2005;0000;247.4;33.664516;22.845161;75.556452;
83595;28/02/2005;0000;241.6;33.360714;21.896429;76.472222;
83595;31/03/2005;0000;59.6;33.477419;22.970968;75.056452;
83595;30/04/2005;0000;41.1;33.163333;21.67;74.658333;
83595;31/05/2005;0000;126.4;30.396774;18.703226;78.145161;
83595;30/06/2005;0000;52.7;28.6;17.426667;81.216667;
83595;31/07/2005;0000;18.9;28.722581;15.951613;76.91129;
83595;31/08/2005;0000;12.4;30.093548;17.664516;74.233871;
83595;30/09/2005;0000;26.4;29.92;19.703333;72.516667;
