--------------------
BDMEP - INMET
--------------------
Estação           : ALAGOINHAS - BA (OMM: 83249)
Latitude  (graus) : -12.14
Longitude (graus) : -38.42
Altitude  (metros): 130.92
Estação Operante
Inicio de operação: 01/01/1931
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83249;31/01/2000;0000;70.2;31.416129;20.964516;78.58871;
83249;29/02/2000;0000;94.2;31.772414;21.106897;78.758621;
83249;31/03/2000;0000;53.2;31.567742;20.677419;79.467742;
83249;30/04/2000;0000;267;30.066667;20.876667;85.258333;
83249;31/05/2000;0000;138.4;29.103226;19.867742;84.975806;
83249;30/06/2000;0000;183.5;27.85;18.806667;86.441667;
83249;31/07/2000;0000;81.9;27.280645;17.277419;85.322581;
83249;31/08/2000;0000;142.8;26.912903;18.445161;88.040323;
83249;30/09/2000;0000;117.4;27.856667;18.663333;84.041667;
83249;31/10/2000;0000;17.7;30.329032;18.33871;79.024194;
83249;30/11/2000;0000;203.2;30.843333;20.406667;78.591667;
83249;31/12/2000;0000;61.1;31;20.583871;77.048387;
83249;31/01/2001;0000;45;31.445161;19.080645;76.451613;
83249;28/02/2001;0000;22.3;33.382143;20.117857;72.8125;
83249;31/03/2001;0000;73.6;32.13871;20.622581;78.016129;
83249;30/04/2001;0000;111.6;29.96;19.69;82.966667;
83249;31/05/2001;0000;80.6;30.483871;19.683871;81.927419;
83249;30/06/2001;0000;136.9;27.806667;18.486667;84.683333;
83249;31/07/2001;0000;86.3;27.448387;17.896774;84.403226;
83249;31/08/2001;0000;165.4;26.264516;18.293548;85.806452;
83249;30/09/2001;0000;201;27.863333;19.11;82.905172;
83249;31/10/2001;0000;163.7;29.812903;20.648387;79.435484;
83249;30/11/2001;0000;11.1;31.6;20.256667;74.05;
83249;31/12/2001;0000;33.3;32.106452;22.235484;75.274194;
83249;31/01/2002;0000;172.9;30.735484;22.003226;79.879032;
83249;28/02/2002;0000;72.9;31.460714;21.25;74.758929;
83249;31/03/2002;0000;53.7;32.229032;21.154839;74.108333;
83249;30/04/2002;0000;62.7;30.556667;20.73;81.241667;
83249;31/05/2002;0000;162.5;28.970968;19.629032;84.080645;
83249;30/06/2002;0000;127.1;27.42;19.38;86.433333;
83249;31/07/2002;0000;92.3;27.416129;19.435484;85.887097;
83249;31/08/2002;0000;92.5;27.609677;17.851613;83.274194;
83249;30/09/2002;0000;46.8;28.72;19.073333;80.525;
83249;31/10/2002;0000;2.3;30.812903;18.748387;73.951613;
83249;30/11/2002;0000;47.5;31.58;20.065517;73.725;
83249;31/12/2002;0000;39.5;33.53871;21.222581;70.741935;
83249;31/01/2003;0000;29.9;35.167742;22.316129;67.782258;
83249;28/02/2003;0000;37.9;33.128571;21.242857;71.955357;
83249;31/03/2003;0000;80.6;32.277419;21.493548;78.241935;
83249;30/04/2003;0000;80.1;32.06;21.25;76.925;
83249;31/05/2003;0000;273.2;29.545161;20.945161;83.895161;
83249;30/06/2003;0000;149.8;27.306667;18.65;87.425;
83249;31/07/2003;0000;165.2;26.954839;18.067742;84.645161;
83249;31/08/2003;0000;128;27.454839;18.674194;85.758065;
83249;30/09/2003;0000;81.8;28.673333;18.362069;79.725;
83249;31/10/2003;0000;46.1;29.832258;19.132258;76.33871;
83249;30/11/2003;0000;84.6;30.463333;20.733333;78.166667;
83249;31/12/2003;0000;25.7;32.7;20.670968;71.556452;
83249;31/01/2004;0000;312.8;31.446667;22.096774;80.580645;
83249;29/02/2004;0000;41.8;31.868966;21.734483;75.724138;
83249;31/03/2004;0000;55.2;32.025806;21.583871;78.435484;
83249;30/04/2004;0000;146.5;30.966667;21.31;80.391667;
83249;31/05/2004;0000;94.3;29.122581;20.196774;84.822581;
83249;30/06/2004;0000;99.3;27.873333;19.01;85.983333;
83249;31/07/2004;0000;59.9;26.496774;18.206452;86.225806;
83249;31/08/2004;0000;62.7;26.803226;17.867742;85.806452;
83249;30/09/2004;0000;39.9;28.096667;17.643333;79.691667;
83249;31/10/2004;0000;18.6;30.890323;19.609677;76.927419;
83249;30/11/2004;0000;41.2;32.28;21.22;72.983333;
83249;31/12/2004;0000;2.8;33.609677;20.916129;68.766129;
83249;31/01/2005;0000;108.4;33.812903;22.419355;72.733871;
83249;28/02/2005;0000;158.6;31.921429;22.678571;79.973214;
83249;31/03/2005;0000;40.5;32.845161;22.177419;76.975806;
83249;30/04/2005;0000;108.3;29.783333;21.736667;85.508333;
83249;31/05/2005;0000;166;28.925806;20.593548;86.83871;
83249;30/06/2005;0000;218.4;27.366667;18.29;88.783333;
83249;31/07/2005;0000;178.6;26.76129;17.270968;86.354839;
83249;31/08/2005;0000;98.7;27.554839;18.125806;83.314516;
83249;30/09/2005;0000;25.5;29.633333;18.676667;78.6;
83249;31/10/2005;0000;21.6;31.441935;19.748387;73.814516;
83249;30/11/2005;0000;25.6;32.246667;21;71.8;
83249;31/12/2005;0000;125.9;32.016129;21.293548;72.66129;
83249;31/01/2006;0000;11.9;32.851613;20.841935;69.701613;
83249;28/02/2006;0000;1.5;34.909091;22.954545;65.641304;
83249;31/03/2006;0000;37.7;33.970968;22.964516;71.048387;
83249;30/04/2006;0000;175;30.966667;22.207143;81.425;
83249;31/05/2006;0000;202.9;27.980645;20.848387;85.604839;
83249;30/06/2006;0000;277.7;26.276667;19.606667;87.216667;
83249;31/07/2006;0000;108.3;26.409677;18.629032;84.919355;
83249;31/08/2006;0000;77.7;27.596774;18.303226;81.822581;
83249;30/09/2006;0000;147.6;28.646667;19.576667;79.275;
83249;31/10/2006;0000;61.6;29.425806;21.029032;80.040323;
83249;30/11/2006;0000;97.5;31.136667;21.253333;78.333333;
83249;31/12/2006;0000;4.3;32.745161;21.467742;71.064516;
83249;31/01/2007;0000;3.5;34.122581;22.235484;68.943548;
83249;28/02/2007;0000;181.7;32.088889;22.585714;76.75;
83249;31/03/2007;0000;94;30.706452;21.229032;79.919355;
83249;30/04/2007;0000;64;30.69;20.737931;80.175;
83249;31/05/2007;0000;164.8;28.545161;20.5;85.604839;
