--------------------
BDMEP - INMET
--------------------
Estação           : ARAXA - MG (OMM: 83579)
Latitude  (graus) : -19.6
Longitude (graus) : -46.94
Altitude  (metros): 1023.61
Estação Operante
Inicio de operação: 07/09/1916
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83579;31/01/2000;0000;367.5;28.058065;19.032258;91.080645;
83579;29/02/2000;0000;367.9;27.77931;18.675862;89.353448;
83579;31/03/2000;0000;326.2;27.635484;18.509677;90.379032;
83579;30/04/2000;0000;102.3;27.683333;16.943333;84.483333;
83579;31/05/2000;0000;0.3;26.509677;14.332258;82.637097;
83579;30/06/2000;0000;0;26.213333;14.213333;81.291667;
83579;31/07/2000;0000;4;25.058065;13.380645;80.604839;
83579;31/08/2000;0000;3.8;28.732258;16.741935;76.298387;
83579;31/10/2000;0000;47.8;31.093548;18.764516;68.733871;
83579;30/11/2000;0000;237.6;27.36;17.533333;78.191667;
83579;31/12/2000;0000;216.2;29.158065;18.593548;75.741935;
83579;31/01/2001;0000;241;29.574194;18.245161;72.677419;
83579;28/02/2001;0000;61.4;31.414286;19.142857;63.75;
83579;31/03/2001;0000;252.5;29.274194;18.045161;73.927419;
83579;30/04/2001;0000;23.6;29.566667;17.693333;64.708333;
83579;31/05/2001;0000;52.6;26.377419;14.419355;66.790323;
83579;30/06/2001;0000;0;26.42;13.816667;65.308333;
83579;31/07/2001;0000;10.8;27.129032;14.212903;59.862903;
83579;31/08/2001;0000;24.4;26.596774;13.545161;55.548387;
83579;30/09/2001;0000;52.8;28.263333;16.313333;65.5;
83579;31/10/2001;0000;93.1;28.912903;16.56129;70.225806;
83579;30/11/2001;0000;182.6;28.823333;18.410345;74.741071;
83579;31/12/2001;0000;352.2;28.26;18.253333;;
83579;31/01/2002;0000;191.2;29.754839;19.012903;76.467742;
83579;28/02/2002;0000;365.3;26.2375;18.492857;82.910714;
83579;31/03/2002;0000;157.4;27.245161;18.887097;73.564516;
83579;30/04/2002;0000;28.2;28.516667;18.106667;63.033333;
83579;31/05/2002;0000;68;26.006667;15.754839;70.491935;
83579;30/06/2002;0000;0;25.373333;14.746667;61.675;
83579;31/07/2002;0000;2.5;25.506452;13.535484;63.032258;
83579;31/08/2002;0000;0;27.973333;16.2;54.191667;
83579;30/09/2002;0000;59.7;27.46;16.075862;59.316667;
83579;31/10/2002;0000;61.4;32.212903;19.193548;51.427419;
83579;30/11/2002;0000;123;28.19;18.643333;70.483333;
83579;31/12/2002;0000;346.3;29.516129;19.341935;74.814516;
83579;31/01/2003;0000;543.4;27.216129;19.174194;84.669355;
