--------------------
BDMEP - INMET
--------------------
Estação           : AVELAR  P DO ALFERES  - RJ (OMM: 83049)
Latitude  (graus) : -22.35
Longitude (graus) : -43.41
Altitude  (metros): 507.00
Estação Operante
Inicio de operação: 01/04/1971
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83049;31/01/2000;0000;168.6;29.76129;18.667742;77.483871;
83049;29/02/2000;0000;69;29.596552;18.737931;75.896552;
83049;31/03/2000;0000;179.8;28.693548;18.196774;77.709677;
83049;30/04/2000;0000;56.7;27.836667;15.173333;77.7;
83049;31/05/2000;0000;11.7;25.474194;11.277419;77.217742;
83049;30/06/2000;0000;1;25.833333;9.486667;76.416667;
83049;31/07/2000;0000;29.1;23.219355;10.451613;76.040323;
83049;31/08/2000;0000;48.3;25.125806;10.8;73.459677;
83049;30/09/2000;0000;64.5;25.09;14.823333;77.141667;
83049;31/10/2000;0000;36.1;30.151613;17.025806;72.177419;
83049;30/11/2000;0000;92.1;28.303333;17.726667;76.491667;
83049;31/12/2000;0000;265.7;29.683871;18.787097;80.629032;
83049;31/01/2001;0000;139.8;31.332258;18.754839;77.508065;
83049;28/02/2001;0000;94.8;32.225;19.507143;77.008929;
83049;31/03/2001;0000;340.2;30.803226;17.996774;80.887097;
83049;30/04/2001;0000;36.7;29.443333;16.223333;79.783333;
83049;31/05/2001;0000;48;25.664516;13.683871;82.75;
83049;30/06/2001;0000;0;25.393333;11.77;82.558333;
83049;31/07/2001;0000;0;;;;
83049;31/05/2002;0000;63.1;27.280645;14.548387;84.524194;
83049;30/06/2002;0000;0;27.183333;12.03;81.958333;
83049;31/07/2002;0000;25.7;24.851613;11.790323;81.596774;
83049;31/08/2002;0000;33.8;27.9;13.222581;77.475806;
83049;30/09/2002;0000;96.5;24.646667;14.2;79.45;
83049;31/10/2002;0000;78.7;31.119355;16.083871;70.258065;
83049;30/11/2002;0000;143;29.55;17.86;78.141667;
83049;31/12/2002;0000;278.1;29.909677;20.123333;;
83049;31/01/2003;0000;403.3;30.103226;20.045161;83.58871;
83049;28/02/2003;0000;44.8;32.653571;18.689286;76.517857;
83049;31/03/2003;0000;129.3;30.119355;18.777419;82.620968;
83049;30/04/2003;0000;36.6;28.496667;16.143333;82.058333;
83049;31/05/2003;0000;18.1;26.041935;12.312903;82.137097;
83049;30/06/2003;0000;0.2;27.343333;11.336667;82.233333;
83049;31/07/2003;0000;8.7;25.267742;9.729032;80.806452;
83049;31/08/2003;0000;42;24.032258;11.077419;79.548387;
83049;30/09/2003;0000;28.5;25.88;14.456667;78.041667;
83049;31/10/2003;0000;159.3;27.2;15.154839;76.975806;
83049;30/11/2003;0000;204.8;27.886667;17.84;81.425;
83049;31/12/2003;0000;101.5;29.296774;19.312903;81.177419;
83049;31/01/2004;0000;119.3;28.264516;18.716129;81.548387;
83049;29/02/2004;0000;278.2;28.696552;18.986207;83.422414;
83049;31/03/2004;0000;86.7;28.154839;17.093548;82.056452;
83049;30/04/2004;0000;93.8;28.003333;17.673333;84.808333;
83049;31/05/2004;0000;38.4;24.767742;13.8;86.379032;
83049;30/06/2004;0000;28.6;23.956667;11.253333;84.916667;
83049;31/07/2004;0000;35.8;22.912903;11.303226;84.58871;
83049;31/08/2004;0000;4.7;25.829032;10.032258;79.693548;
83049;30/09/2004;0000;11.6;29.146667;14.013333;73.6;
83049;31/10/2004;0000;79;26.441935;16.496774;79.266129;
83049;30/11/2004;0000;176.7;27.893333;17.293333;78.25;
83049;31/12/2004;0000;252.7;28.351613;18.816667;83.637097;
83049;31/01/2005;0000;254.2;28.990323;19.967742;83.483871;
83049;28/02/2005;0000;124.7;29.560714;18.085714;80.919643;
83049;31/03/2005;0000;143.4;29.56129;19.229032;84.403226;
83049;30/04/2005;0000;58.8;28.973333;17.83;83.425;
83049;31/05/2005;0000;38.2;26.141935;13.654839;84.193548;
83049;30/06/2005;0000;27.2;25.066667;11.786667;85.8;
83049;31/07/2005;0000;30.7;23.409677;11.480645;85.306452;
83049;31/08/2005;0000;0.3;27.245161;12.409677;78.491935;
83049;30/09/2005;0000;28;25.153333;15.83;81.508333;
83049;31/10/2005;0000;26.1;29.545161;17.83871;72.08871;
83049;30/11/2005;0000;101.6;27.3;17.983333;76.358333;
83049;31/12/2005;0000;186.6;27.951613;17.790323;79.120968;
83049;31/01/2006;0000;145.9;30.680645;18.893548;77.274194;
83049;28/02/2006;0000;140.1;31.057143;19.660714;81.482143;
83049;31/03/2006;0000;75.3;30.016129;18.941935;78.677419;
83049;30/04/2006;0000;27;28.36;16.3;76.85;
83049;31/05/2006;0000;15.5;25.070968;12.377419;77.362903;
