--------------------
BDMEP - INMET
--------------------
Estação           : BARCELOS - AM (OMM: 82113)
Latitude  (graus) : -0.96
Longitude (graus) : -62.91
Altitude  (metros): 40.00
Estação Operante
Inicio de operação: 01/08/1924
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82113;31/01/2000;0000;275.1;31.232258;22.9;92.403226;
82113;29/02/2000;0000;121.3;32.168966;23.141379;91.112069;
82113;31/03/2000;0000;236.5;30.687097;22.970968;88.596774;
82113;30/04/2000;0000;392.6;30.71;22.63;91.766667;
82113;31/05/2000;0000;383.5;30.741935;22.903226;91.33871;
82113;30/06/2000;0000;179.6;31.493333;23.093333;88.258333;
82113;31/07/2000;0000;304.7;30.541935;22.222581;88.943548;
82113;31/08/2000;0000;69.5;32.787097;22.76129;85.193548;
82113;30/09/2000;0000;130.9;32.373333;22.693333;85.091667;
82113;31/10/2000;0000;149.8;32.151613;22.677419;89.459677;
82113;30/11/2000;0000;108.8;33.516667;23.47;85.431034;
82113;31/12/2000;0000;56.6;33.690323;23.367742;79.645161;
82113;31/01/2001;0000;174.5;32.319355;22.806452;85.540323;
82113;28/02/2001;0000;78.2;33.478571;23.014286;80.928571;
82113;31/03/2001;0000;364.2;33.083871;22.754839;87.145161;
82113;30/04/2001;0000;338.1;32.526667;23.033333;89.358333;
82113;31/05/2001;0000;237.7;32.035484;22.922581;90.879032;
82113;30/06/2001;0000;301.5;31.243333;21.683333;90.233333;
82113;31/07/2001;0000;158.7;32.445161;22.283871;87.693548;
82113;31/08/2001;0000;100.4;34.032258;22.648387;84.032258;
82113;30/09/2001;0000;151.3;34.293333;22.486667;84.6;
82113;31/10/2001;0000;42.9;34.848387;23.174194;80.766129;
82113;30/11/2001;0000;67.1;35.323333;23.293333;81.191667;
82113;31/12/2001;0000;138.8;33.874194;23.648387;86.669355;
82113;31/01/2002;0000;90.2;34.006452;23.174194;82.724138;
82113;28/02/2002;0000;78.7;33.735714;23.814286;80.714286;
82113;31/03/2002;0000;297.5;31.983871;23.148387;87.846774;
82113;30/04/2002;0000;317.8;31.87;23.03;87.108333;
82113;31/05/2002;0000;459.3;31.077419;23.419355;90.653226;
82113;30/06/2002;0000;428.4;31.496667;22.623333;88.391667;
82113;31/07/2002;0000;136.4;32.886667;23.063333;85.725806;
82113;31/08/2002;0000;104.9;33.487097;22.977419;83.402778;
82113;30/09/2002;0000;136.1;34.466667;22.783333;84.433333;
82113;31/10/2002;0000;155.7;34.077419;22.912903;83.733871;
82113;30/11/2002;0000;121.1;33.69;22.926667;84.933333;
82113;31/12/2002;0000;100.5;33.49;24.16129;79.675;
82113;31/01/2003;0000;57.5;33.977419;24.825806;72.96875;
82113;28/02/2003;0000;101.8;33.489286;24.703571;75.111111;
82113;31/03/2003;0000;202.7;32.3;24.074194;79.379032;
82113;30/04/2003;0000;397.5;31.163333;23.716667;86.391667;
82113;31/05/2003;0000;334.1;30.548387;23.651613;87.846774;
82113;30/06/2003;0000;263.3;30.773333;23.323333;87.533333;
82113;31/07/2003;0000;253.2;31.158065;23.090323;85.548387;
82113;31/08/2003;0000;291;31.877419;23.109677;83.540323;
82113;30/09/2003;0000;105.6;32.363333;23.266667;82.933333;
82113;31/10/2003;0000;97.1;32.732258;23.932258;83.379032;
82113;30/11/2003;0000;135.9;32.826667;23.533333;83.383333;
82113;31/12/2003;0000;55;33.612903;24.280645;76.451613;
82113;31/01/2004;0000;94.8;33.335484;24.4;82.895161;
82113;29/02/2004;0000;61.7;33.403448;24.362069;84.508621;
82113;31/03/2004;0000;339.8;32.093548;24.36129;85.5;
82113;30/04/2004;0000;387.9;31.043333;23.74;85.958333;
82113;31/05/2004;0000;277.9;30.774194;23.535484;87.596774;
82113;30/06/2004;0000;236.3;30.923333;23.093333;85.658333;
82113;31/07/2004;0000;302.4;31.022581;23.032258;85.558333;
82113;31/08/2004;0000;174.4;31.835484;23.158065;84.927419;
82113;30/09/2004;0000;62.3;32.18;23.13;84.666667;
82113;31/10/2004;0000;69.7;32.94;23.658065;81.0125;
82113;30/11/2004;0000;76.8;33.3;24.003333;82.52381;
82113;31/12/2004;0000;90.6;33.145161;23.822581;85.409091;
82113;31/01/2005;0000;194.3;32.851613;23.764516;83.727273;
82113;28/02/2005;0000;304.2;31.042857;24.053571;86.039474;
82113;31/03/2005;0000;296.5;31.16129;23.787097;87.318182;
82113;30/04/2005;0000;415;30.756667;23.986667;87.9875;
82113;31/05/2005;0000;464.7;31.503226;24.003226;83.806818;
82113;30/06/2005;0000;330.8;31.45;23.476667;82.806818;
82113;31/07/2005;0000;169.6;31.3;23.141935;82.759259;
82113;31/08/2005;0000;91.2;32.487097;23.545161;80.419355;
82113;30/09/2005;0000;144;32.563333;23.216667;80.675;
82113;31/10/2005;0000;123.3;32.609677;23.580645;83.040323;
82113;30/11/2005;0000;158.3;31.996667;23.753333;85.683333;
82113;31/12/2005;0000;343.7;31.241935;23.503226;86.733333;
82113;31/01/2006;0000;280;30.745161;23.435484;87.854839;
82113;28/02/2006;0000;230.6;31.135714;23.892857;84.633929;
82113;31/03/2006;0000;265.2;31.864516;23.690323;84.193548;
82113;30/04/2006;0000;181.7;31.47;23.67;83.65;
82113;31/05/2006;0000;341.4;29.958065;23.345161;88.919355;
82113;30/06/2006;0000;318;31.026667;23.336667;84.783333;
82113;31/07/2006;0000;196.8;30.974194;22.664516;86.185484;
82113;31/08/2006;0000;48.5;32.480645;22.9;83.217742;
82113;30/09/2006;0000;109.4;33.046667;23.023333;83.291667;
82113;31/10/2006;0000;89.7;33.435484;23.745161;82.475806;
82113;30/11/2006;0000;99.3;32;23.576667;84.608333;
82113;31/12/2006;0000;92.5;32.441935;24.141935;82.41129;
82113;31/01/2007;0000;87.3;32.654839;24.370968;80.983871;
82113;28/02/2007;0000;63.1;34.610714;24.996429;70.991071;
82113;31/03/2007;0000;321.7;31.329032;23.812903;85.927419;
82113;30/04/2007;0000;276.6;30.97;23.91;88.316667;
82113;31/05/2007;0000;310.7;30.741935;23.716129;88.532258;
82113;30/06/2007;0000;232.9;30.966667;23.5;86.7;
82113;31/07/2007;0000;178.7;31.716129;23.1;84.75;
82113;31/08/2007;0000;118.1;31.580645;23.1;84.58871;
82113;30/09/2007;0000;112.1;32.05;22.746667;85.225;
82113;31/10/2007;0000;62.4;32.283871;23.196774;83.475806;
82113;30/11/2007;0000;174.9;32.976667;23.43;82.45;
82113;31/12/2007;0000;376.3;31.154839;22.925806;85.419355;
82113;31/01/2008;0000;207;32.277419;23.745161;80.677419;
82113;29/02/2008;0000;199.8;31.110345;23.606897;85.939655;
82113;31/03/2008;0000;198.3;31.774194;23.606452;82.774194;
82113;30/04/2008;0000;398.7;32.03;24.216667;84.075;
82113;31/05/2008;0000;441;29.864516;23.019355;88.903226;
82113;30/06/2008;0000;216.3;30.393333;23.363333;88.483333;
82113;31/07/2008;0000;236.8;31.496774;22.993548;84.83871;
82113;31/08/2008;0000;60.3;32.667742;23.580645;83.5;
82113;30/09/2008;0000;99.1;32.74;23.66;88.491667;
82113;31/10/2008;0000;145.9;32.368;23.4;84.330645;
82113;30/11/2008;0000;119.1;32.346667;23.25;84.291667;
82113;31/12/2008;0000;387.8;31.148387;23.445161;87.120968;
82113;31/01/2009;0000;177.6;30.977419;23.274194;88.612903;
82113;28/02/2009;0000;228.9;32.185714;23.053571;83.821429;
82113;31/03/2009;0000;354.3;31.522581;21.754839;88.862903;
82113;30/04/2009;0000;376.8;31.746667;22.341379;86.366667;
82113;31/05/2009;0000;199;31.5;22.322581;86.959677;
82113;31/07/2009;0000;219.5;32.129032;21.867742;85.185484;
82113;31/08/2009;0000;200.3;32.832258;22.6;83.266129;
82113;30/09/2009;0000;72.5;34.023333;23.556667;77.958333;
82113;31/10/2009;0000;105.6;33.516667;23.083871;83.575;
82113;30/11/2009;0000;218.2;34.213333;23.066667;79.325;
82113;31/12/2009;0000;84.8;33.803226;23.193548;77.357143;
82113;31/01/2010;0000;61.8;34.180645;23.709677;76.798387;
82113;28/02/2010;0000;148.2;32.732143;24.157143;83.160714;
82113;31/03/2010;0000;155.4;33.53871;24.2;84.532258;
82113;30/04/2010;0000;513;31.436667;23.803333;89.558333;
82113;31/05/2010;0000;232.7;31.445161;24.067742;89.701613;
82113;30/06/2010;0000;150.4;32.386667;23.766667;87.141667;
82113;31/07/2010;0000;155;31.354839;23.196774;86.532258;
