--------------------
BDMEP - INMET
--------------------
Estação           : BENTO GONCALVES - RS (OMM: 83941)
Latitude  (graus) : -29.15
Longitude (graus) : -51.51
Altitude  (metros): 640.00
Estação Operante
Inicio de operação: 01/02/1918
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83941;31/01/2000;0000;195.7;26.735484;17.83871;76.935484;
83941;29/02/2000;0000;66.4;26.2;17.510345;74.568966;
83941;31/03/2000;0000;182.5;24.877419;15.983871;78.072581;
83941;30/04/2000;0000;156.6;23.28;14.666667;76.358333;
83941;31/05/2000;0000;55.3;18.703226;10.293548;77.209677;
83941;30/06/2000;0000;178.7;19.186667;11.376667;78.566667;
83941;31/07/2000;0000;132.1;15.819355;5.577419;68.193548;
83941;31/08/2000;0000;131.9;19.809677;8.812903;65.975806;
83941;30/09/2000;0000;211;20.516667;10.526667;72.116667;
83941;31/10/2000;0000;203.8;23.36129;14.522581;78.032258;
83941;30/11/2000;0000;128;24.706667;14.406667;71.066667;
83941;31/12/2000;0000;207.3;26.303226;16.609677;75.516129;
83941;30/09/2001;0000;0;;;;
83941;31/10/2001;0000;0;;;;
83941;30/11/2001;0000;0;;;;
83941;31/12/2001;0000;0;;;;
83941;31/01/2002;0000;135.8;26.922581;17.519355;;
83941;28/02/2002;0000;78.7;26.471429;16.375;;
83941;31/03/2002;0000;181.3;28.312903;19.045161;;
83941;30/04/2002;0000;202.5;24.003333;15.256667;;
83941;31/05/2002;0000;0;;;;
83941;30/06/2002;0000;0;;;;
83941;31/07/2002;0000;205.8;17;8.496774;79.991935;
83941;31/08/2002;0000;182.6;20.287097;11.183871;74.241935;
83941;30/09/2002;0000;171.6;19.746667;9.34;70.887931;
83941;31/10/2002;0000;417.8;23.523333;15.012903;80.008333;
83941;30/11/2002;0000;185.1;24.986667;15.42;73.441667;
83941;31/12/2002;0000;209.9;26.077419;16.929032;77.870968;
83941;31/01/2003;0000;166.1;27.5;17.609677;75.354839;
83941;28/02/2003;0000;305.8;27.742857;18.632143;79.839286;
83941;31/03/2003;0000;184.7;25.945161;16.874194;80.846774;
83941;30/04/2003;0000;130.8;22.42;13.54;76.931034;
83941;31/05/2003;0000;92.2;19.719355;10.674194;76.517241;
83941;30/06/2003;0000;152.5;19.293333;11.706667;84.641667;
83941;31/07/2003;0000;210.3;18.177419;8.864516;79.862903;
83941;31/08/2003;0000;55;18.2;7.358065;70.362903;
83941;30/09/2003;0000;77.3;21.006667;9.776667;76.125;
83941;31/10/2003;0000;168.5;23.787097;12.912903;75.056452;
83941;30/11/2003;0000;147.7;24.996667;13.966667;70.883333;
83941;31/12/2003;0000;339;24.680645;14.735484;74.975806;
83941;31/01/2004;0000;97.2;27.63;17.322581;74.419355;
83941;29/02/2004;0000;133.6;26.034483;16.186207;73.818966;
83941;31/03/2004;0000;53.2;26.28;15.590323;73.540323;
83941;30/04/2004;0000;105.9;25.446667;15.34;73.958333;
83941;31/05/2004;0000;171.7;17.129032;9.816129;85.798387;
83941;30/06/2004;0000;76;19.17;10.4;79.825;
83941;31/07/2004;0000;189.9;16.751613;7.703226;76.120968;
83941;31/08/2004;0000;41.9;19.929032;9.429032;72.104839;
83941;30/09/2004;0000;167.7;22.583333;13.023333;76.933333;
83941;31/10/2004;0000;164.7;22.612903;11.596774;70.708333;
83941;30/11/2004;0000;144.4;23.746667;13.793333;75.3;
83941;31/12/2004;0000;53.6;26.232258;15.680645;70.483871;
83941;31/01/2005;0000;51.9;29.487097;17.816129;66.016129;
83941;28/02/2005;0000;54.5;28.664286;17.364286;68.589286;
83941;31/03/2005;0000;125.3;27.319355;16.977419;70.725806;
83941;30/04/2005;0000;181;22.173333;13.933333;83.8;
83941;31/05/2005;0000;215.9;21.003226;12.583871;78.362903;
83941;30/06/2005;0000;129;19.43;12.826667;84.683333;
83941;31/07/2005;0000;120.4;17.680645;8.596774;75.346774;
83941;31/08/2005;0000;207.6;20.393548;10.651613;75.959677;
83941;30/09/2005;0000;171.1;17.076667;9.063333;80.216667;
83941;31/10/2005;0000;319.2;21.806452;12.809677;82.016129;
83941;30/11/2005;0000;88.2;25.626667;14.56;67.766667;
83941;31/12/2005;0000;68.8;26.190323;15.035484;72.016129;
83941;31/01/2006;0000;112.6;28.822581;18.509677;77.177419;
83941;28/02/2006;0000;72.1;27.117857;17.257143;77.660714;
83941;31/03/2006;0000;148;26.8;16.806452;75.153226;
83941;30/04/2006;0000;57.6;22.636667;13.036667;77.525;
83941;31/05/2006;0000;88.5;17.532258;8.864516;82.064516;
83941;30/06/2006;0000;199.1;18.676667;10.29;81.391667;
83941;31/07/2006;0000;205.4;19.767742;11.190323;80.048387;
83941;31/08/2006;0000;90.7;19.919355;9.441935;69.096774;
83941;30/09/2006;0000;106.2;20.326667;9.483333;71.85;
83941;31/10/2006;0000;56;24.832258;13.5;74.83871;
83941;30/11/2006;0000;154.7;23.756667;14.126667;73.825;
83941;31/12/2006;0000;62.7;29.109677;17.967742;72.112903;
83941;31/01/2007;0000;135.7;27.593548;18.177419;76.830645;
83941;28/02/2007;0000;153.6;27.225;17.560714;74.0625;
83941;31/03/2007;0000;208.3;27.319355;18.232258;81.193548;
83941;30/04/2007;0000;56.6;24.516667;15.39;78.333333;
83941;31/05/2007;0000;178.5;17.229032;8.809677;82.483871;
83941;30/06/2007;0000;60.7;17.793333;9.716667;77.041667;
83941;31/07/2007;0000;280.5;15.635484;6.393548;76.016129;
83941;31/08/2007;0000;123.4;18.66129;8.145161;75.822581;
83941;30/09/2007;0000;270;22.913333;13.44;73.766667;
83941;31/10/2007;0000;119.2;23.193548;14.535484;78.483871;
