--------------------
BDMEP - INMET
--------------------
Estação           : BREVES - PA (OMM: 82188)
Latitude  (graus) : -1.68
Longitude (graus) : -50.48
Altitude  (metros): 14.74
Estação Operante
Inicio de operação: 01/09/1970
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82188;31/01/2000;0000;242.5;31.690323;22.841935;89.491935;
82188;29/02/2000;0000;404.6;31.103448;22.606897;90.603448;
82188;31/03/2000;0000;467.4;30.903226;22.987097;91.177419;
82188;30/04/2000;0000;437.4;31.273333;23.033333;89.758333;
82188;31/05/2000;0000;340.4;31.56129;23.270968;88.362903;
82188;30/06/2000;0000;221.1;32.313333;22.983333;83.533333;
82188;31/07/2000;0000;171.3;32.03871;22.541935;84.798387;
82188;31/08/2000;0000;36.7;32.751613;22.53871;81.548387;
82188;30/09/2000;0000;156.2;32.48;22.54;84.05;
82188;31/10/2000;0000;101.8;32.587097;22.506452;81.774194;
82188;30/11/2000;0000;42.6;32.893333;22.536667;81.833333;
82188;31/12/2000;0000;267.8;31.8;22.590323;85.685484;
82188;31/01/2001;0000;249.7;30.496774;22.319355;90.33871;
82188;28/02/2001;0000;299.1;30.335714;22.2;90.973214;
82188;31/03/2001;0000;303.8;30.496774;22.851613;90.137097;
82188;30/04/2001;0000;432.2;30.493333;23.046667;90.916667;
82188;31/05/2001;0000;238.4;32.090323;23.270968;87.524194;
82188;30/06/2001;0000;344.7;31.546667;22.526667;87.15;
82188;31/07/2001;0000;76.3;32.283871;22.580645;84.298387;
82188;31/08/2001;0000;15.9;33.051613;22.487097;83.629032;
82188;30/09/2001;0000;75.3;32.96;22.46;81.9;
82188;31/10/2001;0000;118;33.419355;22.109677;84.403226;
82188;30/11/2001;0000;76.4;33.353333;22.786667;83.45;
82188;31/12/2001;0000;202.4;32.632258;22.980645;86.008065;
82188;31/01/2002;0000;258.4;31.032258;22.441935;88.395161;
82188;28/02/2002;0000;296.8;31.207143;22.710714;89.133929;
82188;31/03/2002;0000;315.5;31.451613;22.716129;91.540323;
82188;30/04/2002;0000;385;31.057143;23.048276;90.941667;
82188;31/05/2002;0000;247;32.106667;23.256667;88.758065;
82188;30/06/2002;0000;187.1;32.3;22.786667;86.341667;
82188;31/07/2002;0000;88.5;32.309677;22.658065;88.483871;
82188;31/08/2002;0000;54.5;32.877419;22.551613;83.564516;
82188;30/09/2002;0000;13;33.406667;22.183333;80.85;
82188;31/10/2002;0000;160.7;32.935484;22.003226;84.096774;
82188;30/11/2002;0000;83.9;33.5;22.44;82.241667;
82188;31/12/2002;0000;206.7;32.225806;22.790323;89.41129;
82188;31/01/2003;0000;162.3;31.793548;22.919355;87.612903;
82188;28/02/2003;0000;419.3;30.864286;22.585714;92.089286;
82188;31/03/2003;0000;363.7;31.129032;22.709677;90.346774;
82188;30/04/2003;0000;302.3;31.486667;23.073333;90.975;
82188;31/05/2003;0000;181.2;32.367742;23.36129;87.346774;
82188;30/06/2003;0000;230.7;32.426667;22.92;85.1;
82188;31/07/2003;0000;93.5;32.744828;22.482759;82.75;
82188;31/08/2003;0000;56;33.219355;22.580645;83.016129;
82188;30/09/2003;0000;56.7;33.566667;22.713333;82.35;
82188;31/10/2003;0000;36.3;33.187097;22.793548;83.137097;
82188;30/11/2003;0000;82.7;33.32;22.756667;83.116667;
82188;31/12/2003;0000;141;32.974194;22.670968;86.685484;
82188;31/01/2004;0000;236.8;32.025806;22.896774;87.572581;
82188;29/02/2004;0000;379.2;30.524138;22.562069;91.87931;
82188;31/03/2004;0000;428.9;30.916129;22.819355;90.806452;
82188;30/04/2004;0000;354.1;31.926667;23.106667;89.091667;
82188;31/05/2004;0000;245.6;32.619355;23.254839;84.919355;
82188;30/06/2004;0000;143.7;32.406667;22.483333;84.225;
82188;31/07/2004;0000;126.9;32.445161;22.854839;85.741935;
82188;31/08/2004;0000;76.5;32.896774;22.6;83.903226;
82188;30/09/2004;0000;109.6;33.266667;22.893333;82.441667;
82188;31/10/2004;0000;77.8;33.303226;22.951613;81.282258;
82188;30/11/2004;0000;23.6;33.406667;22.86;80.775;
82188;31/12/2004;0000;138.8;32.845161;23.009677;86.766129;
82188;31/01/2005;0000;173.9;32.774194;23.451613;87.129032;
82188;28/02/2005;0000;347;31.978571;23.464286;88.464286;
82188;31/03/2005;0000;588.8;31.819355;23.545161;88.41129;
82188;30/04/2005;0000;341.3;32.126667;23.636667;86.216667;
82188;31/05/2005;0000;348.3;31.941935;23.674194;85.943548;
82188;30/06/2005;0000;182.1;32.753333;23.513333;83.041667;
82188;31/07/2005;0000;61.8;32.941935;23.132258;81.870968;
82188;31/08/2005;0000;32.3;34.012903;23.025806;81.419355;
82188;30/09/2005;0000;54;34.023333;22.616667;81.125;
82188;31/10/2005;0000;83.2;33.825806;22.916129;81.330645;
82188;30/11/2005;0000;38.6;34.333333;23.406667;80.358333;
82188;31/12/2005;0000;298;32.36129;23.054839;86.774194;
82188;31/01/2006;0000;246.5;32.135484;23.332258;87.225806;
82188;28/02/2006;0000;381.6;31.55;23.167857;89.330357;
82188;31/03/2006;0000;511.8;31.148387;23.435484;90.943548;
82188;30/04/2006;0000;418.5;31.313333;23.21;89.641667;
82188;31/05/2006;0000;276;31.916129;23.467742;86.451613;
82188;30/06/2006;0000;115.9;32.58;23.216667;83.041667;
82188;31/07/2006;0000;170.8;33;22.832258;82.072581;
82188;31/08/2006;0000;37.6;34.096774;23.112903;79.564516;
82188;30/09/2006;0000;25.3;34.26;23.133333;79.375;
82188;31/10/2006;0000;80.2;33.8;23.03871;81.185484;
82188;30/11/2006;0000;192.7;32.656667;23.11;84.116667;
82188;31/12/2006;0000;180.5;32.651613;23.390323;84.959677;
82188;31/01/2007;0000;230.6;32.967742;23.570968;86.169355;
