--------------------
BDMEP - INMET
--------------------
Estação           : CATANDUVA - SP (OMM: 83676)
Latitude  (graus) : -21.11
Longitude (graus) : -48.93
Altitude  (metros): 570.00
Estação Operante
Inicio de operação: 01/08/1936
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83676;31/01/2000;0000;342.9;30.512903;21.22;75.572581;
83676;29/02/2000;0000;289.7;30.127586;21.268966;80.293103;
83676;31/03/2000;0000;184.8;29.964516;20.696774;80.016129;
83676;30/04/2000;0000;0.3;30.573333;18.416667;62.691667;
83676;31/05/2000;0000;11.4;28.432258;15.853333;64.104839;
83676;30/06/2000;0000;0;28.98;15.7;61.05;
83676;31/07/2000;0000;34.5;26.722581;12.106452;60.387097;
83676;31/08/2000;0000;42.1;29.509677;16.567742;59.185484;
83676;30/09/2000;0000;99.5;28.906667;17.906897;68.925;
83676;31/10/2000;0000;59.8;34.748387;21.243333;54.169355;
83676;30/11/2000;0000;193.4;31.14;20.486207;69.166667;
83676;31/12/2000;0000;242.5;30.53871;21.080645;74.379032;
83676;31/01/2001;0000;139;31.696774;21.264516;72.129032;
83676;28/02/2001;0000;32.7;31.8;22.007143;73.098214;
83676;31/03/2001;0000;83.2;31.990323;21.454839;73.016129;
83676;30/04/2001;0000;19.5;32.293333;19.962069;64.15;
83676;31/05/2001;0000;83.1;26.996774;15.635484;70.935484;
83676;30/06/2001;0000;6.3;26.67;14.736667;70.341667;
83676;31/07/2001;0000;3.9;28.725806;15.087097;63.08871;
83676;31/08/2001;0000;18;29.841935;16.587097;54.572581;
83676;30/09/2001;0000;30.6;30.593333;18.276667;59.483333;
83676;31/10/2001;0000;131.5;30.409677;19.058065;64.25;
83676;30/11/2001;0000;168.3;31.006667;21.226667;71.808333;
83676;31/12/2001;0000;252.9;29.577419;20.448387;77.379032;
83676;31/01/2002;0000;232.1;30.345161;20.8;76.435484;
83676;28/02/2002;0000;306.1;29.032143;20.664286;79.544643;
83676;31/03/2002;0000;142.2;32.125806;21.66129;72.41129;
83676;30/04/2002;0000;0;33.47;20.293333;60.516667;
83676;31/05/2002;0000;22.6;29.219355;17.312903;69.120968;
