--------------------
BDMEP - INMET
--------------------
Estação           : CEARA MIRIM - RN (OMM: 82596)
Latitude  (graus) : -5.65
Longitude (graus) : -35.65
Altitude  (metros): 61.35
Estação Operante
Inicio de operação: 01/06/1967
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82596;31/01/2000;0000;51.1;31.458065;22.854839;76.120968;
82596;29/02/2000;0000;96.2;31.893103;22.986207;75.181034;
82596;31/03/2000;0000;113.5;31.46129;22.735484;75.741935;
82596;30/04/2000;0000;195.4;30.72;22.906667;82.058333;
82596;31/05/2000;0000;192.8;29.906667;22.03871;81.927419;
82596;30/06/2000;0000;370.5;28.656667;21.286667;84.05;
82596;31/07/2000;0000;337.1;27.825806;20.729032;85.887097;
82596;31/08/2000;0000;149;28.812903;20.616129;80.564516;
82596;30/09/2000;0000;119.4;29.393333;20.983333;82.633333;
82596;31/10/2000;0000;4;30.245161;21.029032;74.33871;
82596;30/11/2000;0000;3.3;30.99;21.210345;72.827586;
82596;31/12/2000;0000;17.9;31.025806;21.416667;76.072581;
82596;31/01/2001;0000;46.5;31.183871;21.445161;73.612903;
82596;28/02/2001;0000;12.6;32.310714;21.857143;70.75;
82596;31/03/2001;0000;98;31.651613;22.083871;75.467742;
82596;30/04/2001;0000;381.1;29.84;21.76;82.633333;
82596;31/05/2001;0000;20.2;30.822581;21.303226;77.354839;
82596;30/06/2001;0000;273.6;28.836667;20.566667;81.95;
82596;31/07/2001;0000;77.6;28.809677;20.158065;81.854839;
82596;31/08/2001;0000;43.4;29.058065;19.535484;75.541667;
82596;30/09/2001;0000;14.1;30.293333;20.786667;72.053571;
82596;31/10/2001;0000;1.9;31.248387;22.193548;68.475806;
82596;30/11/2001;0000;40.6;31.38;22.776667;71.466667;
82596;31/12/2001;0000;40.3;31.270968;23.703226;74.774194;
82596;31/01/2002;0000;270.3;30.367742;23.287097;81.443548;
82596;28/02/2002;0000;47.5;31.25;22.95;79.776786;
82596;31/03/2002;0000;363.7;30.687097;22.945161;85.991935;
82596;30/04/2002;0000;102.6;30.34;22.986667;87;
82596;31/05/2002;0000;121.1;30.267742;22.819355;88.233871;
82596;30/06/2002;0000;244.6;29.006667;21.793333;86.666667;
82596;31/07/2002;0000;166.2;28.9;21.33871;82.75;
82596;31/08/2002;0000;201.5;28.683871;20.741935;82.862903;
82596;30/09/2002;0000;0.2;30.08;20.72;77.908333;
82596;31/10/2002;0000;23.9;30.574194;22.258065;73.370968;
82596;30/11/2002;0000;44.7;30.906667;22.893333;73.291667;
82596;31/12/2002;0000;8;31.5;23.529032;75.346774;
82596;31/01/2003;0000;135.2;31.525806;23.448387;76.16129;
82596;28/02/2003;0000;245.4;31.092857;23.710714;79.910714;
82596;31/03/2003;0000;313.7;30.554839;23.551613;82.580645;
82596;30/04/2003;0000;174.3;30.813333;23.716667;80.275;
82596;31/05/2003;0000;114.8;30.451613;23.177419;83.201613;
82596;30/06/2003;0000;150.2;29.173333;22.589655;84.633333;
82596;31/07/2003;0000;116.8;29.270968;21.516129;81.669355;
82596;31/08/2003;0000;24.3;29.483871;21.254839;80.370968;
82596;30/09/2003;0000;25.2;30.526667;21.876667;78.05;
82596;31/10/2003;0000;7;31.174194;22.567742;77.532258;
82596;30/11/2003;0000;15.9;31.493333;22.99;76.966667;
82596;31/12/2003;0000;26.7;31.645161;23.158065;78.183333;
82596;31/01/2004;0000;462;30.970968;23.458065;83.443548;
82596;29/02/2004;0000;193.6;30.655172;23.324138;84.965517;
82596;31/03/2004;0000;221;30.719355;23.332258;82.830645;
82596;30/04/2004;0000;126.9;30.773333;23.216667;82.675;
82596;31/05/2004;0000;109;30.216129;22.464516;84.217742;
82596;30/06/2004;0000;467.9;28.896667;21.876667;87.958333;
82596;31/07/2004;0000;356.3;28.819355;21.216129;85.314516;
82596;31/08/2004;0000;36.6;29.46129;20.725806;84.540323;
82596;30/09/2004;0000;39.3;29.98;20.976667;78.183333;
82596;31/10/2004;0000;12.1;30.464516;21.887097;74.532258;
82596;30/11/2004;0000;9.4;31.013333;22.083333;72.558333;
82596;31/12/2004;0000;7.4;31.396774;22.6;71.669355;
82596;31/01/2005;0000;2.9;31.519355;23.316129;77.6;
82596;28/02/2005;0000;17.8;31.946429;23.782143;77.5;
82596;31/03/2005;0000;167.3;32.203226;23.893548;76.330645;
82596;30/04/2005;0000;89;31.046667;23.35;81.466667;
82596;31/05/2005;0000;448.1;30.273333;22.558065;85.653226;
82596;30/06/2005;0000;469.9;29.106667;21.72;87.358333;
82596;31/07/2005;0000;70.8;29.522581;21.235484;82.048387;
82596;31/08/2005;0000;71.4;29.303226;21.219355;82.548387;
82596;30/09/2005;0000;15.5;30.083333;21.013333;76.683333;
82596;31/10/2005;0000;13.4;30.93871;21.3;71.653226;
82596;30/11/2005;0000;6.6;31.62;22.22;70.008333;
82596;31/12/2005;0000;11.9;32.048387;23.025806;70.362903;
82596;31/01/2006;0000;7.6;32.025806;22.122581;75.596774;
82596;28/02/2006;0000;5.8;32.385714;22.728571;78.714286;
82596;31/03/2006;0000;143.2;32.364516;23.764516;75.83871;
