--------------------
BDMEP - INMET
--------------------
Estação           : CHAPADINHA - MA (OMM: 82382)
Latitude  (graus) : -3.73
Longitude (graus) : -43.35
Altitude  (metros): 103.50
Estação Operante
Inicio de operação: 28/08/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82382;31/01/2000;0000;183.2;31.806452;22.722581;80.83871;
82382;29/02/2000;0000;397.9;31.237931;22.665517;84.758621;
82382;31/03/2000;0000;432;31.093548;22.7;86.846774;
82382;30/04/2000;0000;334.4;30.973333;22.67;87.216667;
82382;31/05/2000;0000;241;31.564516;23.041935;81.104839;
82382;30/06/2000;0000;177;30.94;22.476667;79.166667;
82382;31/07/2000;0000;129.9;30.819355;22.393548;81.290323;
82382;31/08/2000;0000;2;32.432258;22.383871;75.540323;
82382;30/09/2000;0000;9.5;34.106667;23.186667;72.025;
82382;31/10/2000;0000;9.2;35.083871;23.145161;68.790323;
82382;30/11/2000;0000;0.4;35.82;23.273333;66.908333;
82382;31/12/2000;0000;34.6;34.583871;23.441935;71.903226;
82382;31/01/2001;0000;136.8;32.035484;22.706452;81.741935;
82382;28/02/2001;0000;309.7;31.132143;22.096429;87.848214;
82382;31/03/2001;0000;315.8;31.290323;22.606452;87.612903;
82382;30/04/2001;0000;561.6;30.983333;22.7;90.533333;
82382;31/05/2001;0000;91.9;31.741935;23.196774;84.491935;
82382;30/06/2001;0000;128.1;30.86;22.366667;84.7;
82382;31/07/2001;0000;12.4;31.63871;22.267742;79.540323;
82382;31/08/2001;0000;33.7;33.203226;21.945161;66.862903;
82382;30/09/2001;0000;3.2;34.996667;23.186667;68.958333;
82382;31/10/2001;0000;0;36;23.403226;66.185484;
82382;30/11/2001;0000;0;35.943333;24.066667;68.65;
82382;31/12/2001;0000;155.7;34.829032;24.16129;73.991935;
82382;31/01/2002;0000;345;31.619355;23.103226;84.540323;
82382;28/02/2002;0000;128.8;32.5;23.232143;78.25;
82382;31/03/2002;0000;415.3;31.570968;22.729032;85.75;
82382;30/04/2002;0000;301.4;31.55;23.08;86.116667;
82382;31/05/2002;0000;155.2;31.506452;23.406452;82.717742;
82382;30/06/2002;0000;65.3;30.99;22.773333;81.3;
82382;31/07/2002;0000;28.5;32.187097;22.583871;76.532258;
82382;31/08/2002;0000;2.4;33.813333;22.190323;67.870968;
82382;30/09/2002;0000;0;35.5;22.27;64.666667;
82382;31/10/2002;0000;0;36.145161;23.06129;62.169355;
82382;30/11/2002;0000;0;36.223333;23.6;65.308333;
82382;31/12/2002;0000;53.2;35.164516;23.896774;74.096774;
82382;31/01/2003;0000;45.2;34.33871;23.916129;73.403226;
82382;28/02/2003;0000;406.8;31.860714;22.832143;84.625;
82382;31/03/2003;0000;516.4;31.354839;23.022581;86.887097;
82382;30/04/2003;0000;310.1;31.746667;23.196667;86.083333;
