--------------------
BDMEP - INMET
--------------------
Estação           : CIPO - BA (OMM: 83192)
Latitude  (graus) : -11.08
Longitude (graus) : -38.51
Altitude  (metros): 145.31
Estação Operante
Inicio de operação: 01/01/1935
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83192;31/01/2000;0000;45.5;33.593548;22.4;62.895161;
83192;29/02/2000;0000;73;32.97931;22.513793;70.402174;
83192;31/03/2000;0000;32.7;33.132258;22.316129;64.862903;
83192;30/04/2000;0000;75.9;31.703333;22.583333;75.766667;
83192;31/05/2000;0000;41;30.790323;20.806452;76.943548;
83192;30/06/2000;0000;73.7;28.653333;20.256667;82.333333;
83192;31/07/2000;0000;38.6;28.532258;18.529032;77.870968;
83192;31/08/2000;0000;37.3;28.932258;19.716129;79.862903;
83192;30/09/2000;0000;59.1;29.823333;20.093333;77.908333;
83192;31/10/2000;0000;6.7;32.625806;20.709677;67.153226;
83192;30/11/2000;0000;218.8;32.616667;22.183333;71.758333;
83192;31/12/2000;0000;97.3;32.490323;21.925806;72.040323;
83192;31/01/2001;0000;20.8;33.593548;20.667742;66.241935;
83192;28/02/2001;0000;3;35.385714;21.825;59.642857;
83192;31/03/2001;0000;122.8;33.919355;22.532258;67.741935;
83192;30/04/2001;0000;48.7;32.366667;21.13;69.9;
83192;31/05/2001;0000;27.5;32.896774;21.222581;70.903226;
83192;30/06/2001;0000;78.7;29.066667;19.873333;80.108333;
83192;31/07/2001;0000;50.3;28.577419;19.129032;81.5;
83192;31/08/2001;0000;48.8;27.967742;18.13871;82.927419;
83192;30/09/2001;0000;41.8;30.313333;19.54;76.65;
83192;31/10/2001;0000;51;32.251613;20.706452;69.612903;
83192;30/11/2001;0000;0.4;34.663333;21.52;62.775;
83192;31/12/2001;0000;38.6;34.380645;23.129032;65.669355;
83192;31/01/2002;0000;122.6;31.290323;22.183871;77.024194;
83192;28/02/2002;0000;71.5;32.864286;21.514286;71.907407;
83192;31/03/2002;0000;19.1;33.512903;21.690323;66.475806;
83192;30/04/2002;0000;15;32.933333;21.206667;69.191667;
83192;31/05/2002;0000;49.6;30.732258;20.558065;76.782258;
83192;30/06/2002;0000;27.5;28.796667;19.603333;80.875;
83192;31/07/2002;0000;30.5;28.790323;18.974194;81.548387;
83192;31/08/2002;0000;29.7;29.725806;18.46129;77.032258;
83192;30/09/2002;0000;26;31.676667;19.906667;70.5;
83192;31/10/2002;0000;4.7;33.467742;20.741935;64.080645;
83192;30/11/2002;0000;13.4;34.346667;22.46;63.708333;
83192;31/12/2002;0000;111.5;35.006452;23.164516;63.943548;
83192;31/01/2003;0000;37.1;35.9;23.332258;62.032258;
83192;28/02/2003;0000;26.5;33.892857;23.021429;66.330357;
83192;31/03/2003;0000;48.4;34.132258;23.7;67.104839;
83192;30/04/2003;0000;3.4;34.783333;22.636667;63.216667;
83192;31/05/2003;0000;54.4;31.13871;22.135484;77.379032;
83192;30/06/2003;0000;48.6;28.96;20.693103;81.458333;
83192;31/07/2003;0000;69.5;28.016129;18.925806;81.193548;
83192;31/08/2003;0000;30.2;28.729032;19.458065;81.467742;
83192;30/09/2003;0000;36.6;30.813333;19.533333;74.666667;
83192;31/10/2003;0000;7.4;32.206452;20.758065;68.959677;
83192;30/11/2003;0000;156.2;32.12;21.683333;71.508333;
83192;31/12/2003;0000;16.8;34.493548;21.967742;61.645161;
83192;31/01/2004;0000;168.2;32.403226;22.758065;73.516129;
83192;29/02/2004;0000;140.4;32.517241;22.165517;70.801724;
83192;31/03/2004;0000;14;32.951613;22.035484;67.983871;
83192;30/04/2004;0000;25.8;32.99;21.846667;70.683333;
83192;31/05/2004;0000;46.3;30.412903;20.693548;78.491935;
83192;30/06/2004;0000;31.1;29.61;18.87;80.2;
83192;31/07/2004;0000;37;28.216129;18.619355;78.879032;
83192;31/08/2004;0000;13.8;28.929032;18.5;77.943548;
83192;30/09/2004;0000;8.5;30.706667;18.213333;71.416667;
83192;31/10/2004;0000;0.7;33.729032;20.793548;63.870968;
83192;30/11/2004;0000;57.4;34.193333;21.836667;65.033333;
83192;31/12/2004;0000;0;35.419355;22.067742;59.483871;
83192;31/01/2005;0000;11.8;35.732258;23.019355;60.217742;
83192;28/02/2005;0000;59.6;33.625;23.453571;68.660714;
83192;31/03/2005;0000;66.6;34.587097;23.574194;67.741935;
83192;30/04/2005;0000;79;31.463333;22.466667;79.175;
83192;31/05/2005;0000;103;30.145161;21.470968;81.774194;
83192;30/06/2005;0000;64.2;28.85;19.316667;84.825;
83192;31/07/2005;0000;53.9;27.732258;18.870968;82.024194;
83192;31/08/2005;0000;29.7;29.206452;18.232258;79.387097;
83192;30/09/2005;0000;2;31.893333;19.626667;69.375;
83192;31/10/2005;0000;0.3;34.33871;20.545161;63.032258;
83192;30/11/2005;0000;6.6;34.996667;22.183333;60;
83192;31/12/2005;0000;43.1;34.277419;22.086667;61.290323;
83192;31/01/2006;0000;2.5;34.748387;21.635484;58.830645;
83192;28/02/2006;0000;1.5;36.957143;23.042857;56.3125;
83192;31/03/2006;0000;56.5;35.454839;23.670968;60.814516;
83192;30/04/2006;0000;98.7;32.896667;23.09;71.141667;
83192;31/05/2006;0000;56.1;30.132258;20.93871;77.693548;
83192;30/06/2006;0000;119.7;27.743333;19.51;84.233333;
83192;31/07/2006;0000;44.7;26.980645;18.570968;83.822581;
83192;31/08/2006;0000;37.8;28.63871;17.851613;79.925;
83192;30/09/2006;0000;74;30.6;18.746667;70.808333;
83192;31/10/2006;0000;53.8;31.754839;21.119355;69.362903;
83192;30/11/2006;0000;54.2;33.093333;21.233333;66.033333;
83192;31/12/2006;0000;1.4;35.519355;21.729032;57.330645;
83192;31/01/2007;0000;8.4;35.677419;22.654839;59.330645;
83192;28/02/2007;0000;113.9;34.332143;22.639286;67.875;
83192;31/03/2007;0000;59.6;31.664516;21.558065;74.524194;
83192;30/04/2007;0000;38.2;32.753333;20.976667;70.008333;
83192;31/05/2007;0000;70.3;29.916667;20.567742;77.048387;
83192;30/06/2007;0000;69.4;28.683333;19.026667;75.175;
83192;31/07/2007;0000;67.4;28.596774;18.253333;79.177419;
83192;31/08/2007;0000;31.1;28.545161;17.609677;74.790323;
83192;30/09/2007;0000;22.7;29.863333;17.76;74.091667;
83192;31/10/2007;0000;8;32.529032;19.387097;66.282258;
83192;30/11/2007;0000;19.3;34.423333;21.013333;61.975;
83192;31/12/2007;0000;10.7;34.76129;21.409677;60.395161;
83192;31/01/2008;0000;18.5;35.2;21.290323;60.419355;
83192;29/02/2008;0000;87.5;34.813793;21.931034;64.775862;
83192;31/03/2008;0000;99.6;33.764516;21.993548;70.209677;
83192;30/04/2008;0000;108.2;32.46;21.773333;73.533333;
83192;31/05/2008;0000;51.3;29.751613;20.283871;81.056452;
83192;30/06/2008;0000;40.3;28.88;18.11;79.683333;
83192;31/07/2008;0000;42.6;27.916129;17.06129;79.919355;
83192;31/08/2008;0000;37.6;29.083871;17.848387;76.467742;
83192;30/09/2008;0000;34.5;30.67;18.726667;71.258333;
83192;31/10/2008;0000;11.6;32.912903;19.796774;66.66129;
83192;30/11/2008;0000;0;35.726667;20.642857;58.441667;
83192;31/12/2008;0000;48.9;34.648387;21.716129;61.717742;
83192;31/01/2009;0000;36.8;35.187097;21.619355;59.975806;
83192;28/02/2009;0000;38.9;34.453571;21.739286;63.919643;
83192;31/03/2009;0000;20.1;36.345161;22.374194;58.862903;
83192;30/04/2009;0000;36.3;34.046667;23.65;65.766667;
83192;31/05/2009;0000;107.2;29.590323;22.396774;80.870968;
83192;30/06/2009;0000;29.6;29.666667;20.993333;78.575;
83192;31/07/2009;0000;35.4;28.870968;20.051613;80.572581;
83192;31/08/2009;0000;39.4;29.025806;19.383333;78.887097;
83192;30/09/2009;0000;16.4;32.463333;19.95;67.408333;
83192;31/10/2009;0000;49.8;33.67;22.246667;67.387097;
83192;30/11/2009;0000;0.1;35.256667;21.756667;57.232759;
83192;31/12/2009;0000;83;35.613333;23.216667;58.308333;
83192;31/01/2010;0000;35;35.06129;22.664516;58.572581;
83192;28/02/2010;0000;20.5;35.328571;23.021429;62.767857;
83192;31/03/2010;0000;134.2;34.516129;23.116129;65.669355;
83192;30/04/2010;0000;152.3;31.84;22.39;77.133333;
83192;31/05/2010;0000;59.1;31.790323;21.412903;70.080645;
83192;30/06/2010;0000;80.6;28.556667;20.283333;76.491667;
83192;31/07/2010;0000;140.5;28.077419;19.33871;80.532258;
83192;31/08/2010;0000;40.2;28.180645;17.687097;75.516129;
83192;30/09/2010;0000;34.7;29.753333;18.426667;77.975;
83192;31/10/2010;0000;59.4;33.73871;20.932258;64.991935;
83192;30/11/2010;0000;4.1;34.723333;21.143333;55.35;
83192;31/12/2010;0000;31.3;35.283871;21.641935;57.814516;
83192;31/01/2011;0000;38.7;34.609677;21.551613;60.733871;
83192;28/02/2011;0000;14.8;34.378571;21.996429;62.357143;
83192;31/03/2011;0000;26.9;35.506452;22.916129;62.524194;
83192;30/04/2011;0000;127.2;32.53;21.506667;69.566667;
83192;31/05/2011;0000;35;30.090323;20.412903;74.427419;
83192;30/06/2011;0000;42;29.37;18.59;76.291667;
83192;31/07/2011;0000;47.8;28.919355;17.241935;74.491935;
83192;31/08/2011;0000;20.2;30.46129;17.596774;66.556452;
83192;30/09/2011;0000;6.5;30.863333;17.36;63.091667;
83192;31/10/2011;0000;65.1;32.693548;20.6;65.717742;
83192;30/11/2011;0000;86.6;31.56;20.58;66.45;
83192;31/12/2011;0000;1.6;34.46129;20.822581;55.403226;
83192;31/01/2012;0000;8.3;34.674194;21.351613;55.475806;
83192;29/02/2012;0000;63.9;33.513793;20.851724;63.293103;
83192;31/03/2012;0000;13.7;34.693548;20.325806;59.209677;
83192;30/04/2012;0000;1.5;34.396667;20.326667;57.65;
83192;31/05/2012;0000;22;31.880645;20.393548;66.935484;
83192;30/06/2012;0000;18.6;30.433333;19.2;69.325;
83192;31/07/2012;0000;45.7;28.8;18.225806;74.774194;
83192;31/08/2012;0000;56.1;29.012903;17.496774;71.354839;
83192;30/09/2012;0000;33.1;31.006667;18.516667;65.441667;
83192;31/10/2012;0000;13.3;32.387097;19.664516;63.169355;
83192;30/11/2012;0000;27.9;34.57;21.8;62.791667;
83192;31/12/2012;0000;1.2;35.354839;21.570968;59.225;
83192;31/01/2013;0000;21.3;35.309677;22.429032;56.620968;
83192;28/02/2013;0000;3.1;35.85;21.882143;53.214286;
83192;31/03/2013;0000;14.7;36.116129;22.351613;55.403226;
83192;30/04/2013;0000;63;33.931034;22.416667;64.4;
83192;31/05/2013;0000;65.7;30.280645;21.16129;77.193548;
83192;30/06/2013;0000;45.7;29.61;19.466667;78.858333;
83192;31/07/2013;0000;91.4;28.325806;17.76129;81.330645;
83192;31/08/2013;0000;67.3;28.487097;17.803333;77.322581;
83192;30/09/2013;0000;40.1;30.483333;17.95;70.441667;
83192;31/10/2013;0000;49.3;31.925806;18.809677;67.395161;
83192;30/11/2013;0000;19.1;33.036667;19.983333;64.341667;
83192;31/12/2013;0000;138.7;33.996774;21.132258;64.725806;
83192;31/01/2014;0000;6.3;34.567742;19.735484;60.177419;
83192;28/02/2014;0000;31.6;33.414286;20.425;67.535714;
83192;31/03/2014;0000;49.1;33.8;20.56129;66.766129;
83192;30/04/2014;0000;64.1;33.723333;20.98;67.208333;
83192;31/05/2014;0000;82.6;30.706452;19.432258;71.66129;
83192;30/06/2014;0000;65.9;29.25;18.036667;78.166667;
83192;31/07/2014;0000;95.9;28.387097;17.9;80.41129;
83192;31/08/2014;0000;49.8;29.53871;16.477419;73.032258;
83192;30/09/2014;0000;28.5;31.676667;18.416667;63.941667;
83192;31/10/2014;0000;38.1;32.167742;18.958065;64.032258;
83192;30/11/2014;0000;112.4;32.96;20.623333;66.108333;
83192;31/12/2014;0000;50.4;33.006452;20.570968;64.104839;
83192;31/01/2015;0000;17.7;35.2;20.606452;58.233871;
83192;28/02/2015;0000;95.1;34.475;21.760714;63.767857;
83192;31/03/2015;0000;7.5;35.174194;21.380645;58.766129;
83192;30/04/2015;0000;32.9;34.513793;21.833333;64.683333;
83192;31/05/2015;0000;112.1;31.329032;21.048387;72.532258;
83192;30/06/2015;0000;88.5;28.45;19.276667;78.8;
83192;31/07/2015;0000;72;28.887097;18.077419;74.701613;
83192;31/08/2015;0000;71.4;28.953333;16.716667;76.366667;
83192;30/09/2015;0000;12.4;32.87;18.41;66.375;
83192;31/10/2015;0000;27.7;33.3;19.845161;64.854839;
83192;30/11/2015;0000;3.6;36.993333;20.86;59.425;
83192;31/12/2015;0000;19;35.590323;21.096774;60.983871;
