--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83842;31/01/2000;0000;125.2;26.76129;17.180645;82.653226;
83842;29/02/2000;0000;197.6;26.272414;17.293103;85.008621;
83842;31/03/2000;0000;136.4;24.748387;15.822581;85.782258;
83842;30/04/2000;0000;10.8;25.456667;13.813333;80.891667;
83842;31/05/2000;0000;19;20.887097;10.364516;82.701613;
83842;30/06/2000;0000;121.2;21.866667;11.476667;83.275;
83842;31/07/2000;0000;74.3;18.319355;6.151613;79.959677;
83842;31/08/2000;0000;92.4;21.26129;8.948387;82.846774;
83842;30/09/2000;0000;249.1;19.863333;11.473333;88.708333;
83842;31/10/2000;0000;164.1;25.616129;15.287097;81.895161;
83842;30/11/2000;0000;143.8;24.53;14.976667;83.15;
83842;31/12/2000;0000;171.8;27.032258;16.635484;80.556452;
83842;30/09/2001;0000;26;;;;
83842;31/10/2001;0000;190;24.296296;13.493333;81.182692;
83842;30/11/2001;0000;140.4;25.855172;15.79;81.922414;
83842;31/12/2001;0000;127.2;26.114286;15.703571;81.351852;
83842;31/01/2002;0000;223;27.116129;17.422581;79.783333;
83842;28/02/2002;0000;141.8;27.003571;16.364286;80.185185;
83842;31/03/2002;0000;93.5;29.264516;18.222581;81.525;
83842;30/04/2002;0000;141.7;26.326667;16.893333;83.87069;
83842;31/05/2002;0000;117.1;22.367742;13.93871;87.395161;
83842;30/06/2002;0000;44;22.66;12.206667;84.491667;
83842;31/07/2002;0000;44.5;19.73871;9.303226;84.153226;
83842;31/08/2002;0000;105.4;23.535484;12.109677;79.653226;
83842;30/09/2002;0000;190.4;22.013333;10.5;79.191667;
83842;31/10/2002;0000;140.9;26.529032;15.519355;78.443548;
83842;30/11/2002;0000;173.1;25.98;15.85;79.516667;
83842;31/12/2002;0000;159.1;27.132258;17.077419;81.451613;
83842;31/01/2003;0000;223.6;27.567742;17.854839;82.572581;
83842;28/02/2003;0000;133.2;29.696429;18.925;77.196429;
