--------------------
BDMEP - INMET
--------------------
Estação           : FLORESTAL - MG (OMM: 83581)
Latitude  (graus) : -19.88
Longitude (graus) : -44.41
Altitude  (metros): 760.00
Estação Operante
Inicio de operação: 09/04/1960
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83581;31/01/2000;0000;330;30.03871;18.341935;78.83871;
83581;29/02/2000;0000;80;30.17931;17.882759;76.267241;
83581;31/03/2000;0000;186;29.258065;17.496774;77.080645;
83581;30/04/2000;0000;17;29.02;14.44;73.9;
83581;31/05/2000;0000;5;27.774194;10.654839;71.225806;
83581;30/06/2000;0000;0;27.573333;7.793333;69.358333;
83581;31/07/2000;0000;5;26.683871;8.577419;69.701613;
83581;31/08/2000;0000;14.4;28.993548;10.419355;66.903226;
83581;30/09/2000;0000;55.8;27.433333;13.99;71.9;
83581;31/10/2000;0000;104.3;32.345161;16.032258;68.072581;
83581;30/11/2000;0000;298.7;27.686667;17.04;77.95;
83581;31/12/2000;0000;249;30.732258;18.793548;75.701613;
83581;31/01/2001;0000;235.5;30.867742;17.890323;73.290323;
83581;28/02/2001;0000;45.6;33.603571;17.95;70.785714;
83581;31/03/2001;0000;88.4;31.245161;17.232258;73.637097;
83581;30/04/2001;0000;9.6;31.57;14.933333;69.783333;
83581;31/05/2001;0000;35.5;28.86129;12.13871;70.524194;
83581;30/06/2001;0000;0;27.89;9.966667;69.716667;
83581;31/07/2001;0000;1.2;28.512903;9.303226;68.137097;
83581;31/08/2001;0000;6.2;27.729032;9.851613;67.887097;
83581;30/09/2001;0000;37.3;29.096667;13.633333;69;
83581;31/10/2001;0000;109;29.33871;15.122581;71.806452;
83581;30/11/2001;0000;165.9;30.406667;18.416667;75.316667;
83581;31/12/2001;0000;304.6;29.454839;18.035484;76.903226;
83581;31/01/2002;0000;230.6;31.277419;19.051613;75.645161;
83581;28/02/2002;0000;190.4;29.614286;18.678571;77.660714;
83581;31/03/2002;0000;30.7;31.546429;17.632143;73.535714;
83581;30/04/2002;0000;21.6;31.643333;15.036667;70.516667;
83581;31/05/2002;0000;0;;;;
83581;30/06/2002;0000;0;;;;
83581;31/07/2002;0000;0;;;;
83581;31/08/2002;0000;0;;;;
83581;30/09/2002;0000;0;;;;
83581;31/10/2002;0000;30;33.616129;;;
83581;30/11/2002;0000;117.2;30.786667;;;
83581;31/12/2002;0000;246.1;31.03;;;
83581;31/01/2003;0000;425.9;29.767742;;;
83581;28/02/2003;0000;77.2;32.603846;;;
