--------------------
BDMEP - INMET
--------------------
Estação           : GUARULHOS - SP (OMM: 83075)
Latitude  (graus) : -23.43
Longitude (graus) : -46.46
Altitude  (metros): 735.00
Estação Operante
Inicio de operação: 03/09/1983
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83075;31/01/2000;0000;331.9;28.735484;18.687097;76.129032;
83075;29/02/2000;0000;326.1;28.048276;18.751724;79.034483;
83075;31/03/2000;0000;170.6;27.203226;17.948387;78.016129;
83075;30/04/2000;0000;3.8;27.383333;16.03;71.108333;
83075;31/05/2000;0000;9.9;24.151613;13.306452;71.58871;
83075;30/06/2000;0000;10.8;24.776667;12.916667;72;
83075;31/07/2000;0000;58.4;22.106452;10.277419;72.096774;
83075;31/08/2000;0000;70.6;23.877419;11.774194;68.556452;
83075;30/09/2000;0000;93.1;24.82;14.02;71.025;
83075;31/10/2000;0000;40.5;29.616129;17.341935;67.395161;
83075;30/11/2000;0000;228;27.89;17.36;72.4;
83075;31/12/2000;0000;326.7;28.725806;17.970968;72.564516;
83075;31/01/2001;0000;176.7;30.935484;19.53871;68.516129;
83075;28/02/2001;0000;236;30.332143;20.010714;73.169643;
83075;31/03/2001;0000;183.4;30.403226;19.067742;71.201613;
83075;30/04/2001;0000;69.8;28.693333;17.726667;68.525;
83075;31/05/2001;0000;83.6;23.448387;14.580645;73.467742;
83075;30/06/2001;0000;19.3;23.48;13.306667;73.725;
83075;31/07/2001;0000;23.7;23.967742;11.958065;71.806452;
83075;31/08/2001;0000;26;25.793548;13.493548;66.919355;
83075;30/09/2001;0000;67.8;24.89;14.21;71.55;
83075;31/10/2001;0000;180.4;27.516129;15.458065;68.895161;
83075;30/11/2001;0000;151.5;28.016667;17.556667;73.075;
83075;31/12/2001;0000;221.2;27.76129;17.858065;74.717742;
83075;31/01/2002;0000;230.9;28.909677;18.529032;73.217742;
83075;28/02/2002;0000;177.3;27.564286;18.032143;74.446429;
83075;31/03/2002;0000;348.7;31.048387;19.222581;68.677419;
83075;30/04/2002;0000;55.9;29.136667;18.333333;68.675;
83075;31/05/2002;0000;116;25.222581;15.390323;73.66129;
83075;30/06/2002;0000;0.6;25.643333;14.54;69.991667;
83075;31/07/2002;0000;22.4;22.73871;11.680645;73.427419;
83075;31/08/2002;0000;34.9;27.53871;14.874194;64.75;
83075;30/09/2002;0000;67.2;24.893333;13.076667;69.533333;
83075;31/10/2002;0000;139.1;31.1;17.554839;62.822581;
83075;30/11/2002;0000;127.7;28.913333;17.37;68.983333;
83075;31/12/2002;0000;186.1;30.132258;18.603226;70.201613;
83075;31/01/2003;0000;292;28.180645;18.712903;76.645161;
83075;28/02/2003;0000;106.2;32.276923;20.646429;65.221154;
83075;31/03/2003;0000;90.6;28.519355;18.658065;73.83871;
83075;30/04/2003;0000;34.7;27.493333;17.073333;71.575;
83075;31/05/2003;0000;31.4;24.390323;13.635484;69.08871;
83075;30/06/2003;0000;9.2;25.39;14.03;71.858333;
83075;31/07/2003;0000;25.5;24.148387;12.512903;68.129032;
83075;31/08/2003;0000;19.3;22.941935;11.329032;68.408333;
83075;30/09/2003;0000;30.9;25.29;13.986667;69.9;
83075;31/10/2003;0000;112;27.151613;15.887097;70.33871;
83075;30/11/2003;0000;89.9;27.576667;16.9;72.033333;
83075;31/12/2003;0000;175.4;28.841935;18.516129;74.5;
83075;31/01/2004;0000;228;27.032258;18.077419;76.217742;
83075;29/02/2004;0000;284.2;27.296552;17.586207;75.818966;
83075;31/03/2004;0000;120.6;27.193548;17.177419;74.080645;
83075;30/04/2004;0000;113.6;27.233333;17.666667;74.616667;
83075;31/05/2004;0000;66.7;22.493548;13.896774;77.241935;
83075;30/06/2004;0000;72.1;22.71;12.163333;75.841667;
83075;31/07/2004;0000;83;21.793548;12.06129;76.314516;
83075;31/08/2004;0000;1.6;24.796774;12.403226;69.677419;
83075;30/09/2004;0000;11.9;29.026667;15.956667;64.691667;
83075;31/10/2004;0000;119.8;25.454839;15.458065;75.387097;
83075;30/11/2004;0000;199.3;27.326667;17.023333;72.641667;
83075;31/12/2004;0000;227.1;27.725806;17.474194;78.08871;
83075;31/01/2005;0000;293.7;27.612903;19.432258;80.266129;
83075;28/02/2005;0000;138.7;28.803571;18.325;74.508929;
83075;31/03/2005;0000;193.9;28.641935;19.03871;77.080645;
83075;30/04/2005;0000;99;28.086667;18.476667;76.083333;
83075;31/05/2005;0000;144.9;25.854839;15.312903;75.387097;
83075;30/06/2005;0000;29.6;24.833333;14.373333;76.775;
83075;31/07/2005;0000;15.5;22.8;12.625806;75.604839;
83075;31/08/2005;0000;5.9;26.390323;14.132258;69.193548;
83075;30/09/2005;0000;99.1;24.06;14.436667;79.883333;
83075;31/10/2005;0000;201.2;27.341935;17.3;79.451613;
83075;30/11/2005;0000;90.3;27.2;16.49;76.291667;
83075;31/12/2005;0000;211.8;27.983871;17.106452;76.814516;
83075;31/01/2006;0000;204;30.280645;19.63871;74.580645;
83075;28/02/2006;0000;197.8;29.635714;19.889286;76.535714;
83075;31/03/2006;0000;464.6;29.5;19.051613;77.75;
83075;30/04/2006;0000;101.4;26.736667;16.67;75.025;
83075;31/05/2006;0000;15;22.983333;13.233333;76.05;
83075;30/06/2006;0000;18.7;23.623333;12.86;75.183333;
83075;31/07/2006;0000;77.8;24.912903;12.464516;73.862903;
83075;31/08/2006;0000;4.1;25.980645;13.658065;69.362903;
83075;30/09/2006;0000;80.3;25.573333;13.89;72.266667;
83075;31/10/2006;0000;62.8;27.096774;16.280645;76.354839;
83075;30/11/2006;0000;157.3;27.463333;16.883333;75.183333;
83075;31/12/2006;0000;300.3;29.445161;19.022581;78.153226;
83075;31/01/2007;0000;197.3;27.948387;19.525806;79;
83075;28/02/2007;0000;136.3;30.628571;19.564286;73.6875;
83075;31/03/2007;0000;116.8;31.36129;19.287097;72.209677;
83075;30/04/2007;0000;198.9;27.656667;18.23;77.775;
83075;31/05/2007;0000;57.8;23.270968;13.667742;78.83871;
83075;30/06/2007;0000;31.4;24.666667;12.916667;75.9;
83075;31/07/2007;0000;137.8;21.919355;11.519355;77.830645;
83075;31/08/2007;0000;0;25.412903;12.967742;71.717742;
83075;30/09/2007;0000;6;28.41;15.053333;69.625;
83075;31/10/2007;0000;108.2;28.396774;16.787097;74.443548;
83075;30/11/2007;0000;210.9;26.2;16.78;75.983333;
83075;31/12/2007;0000;213.1;28.983871;18.56129;74.330645;
83075;31/01/2008;0000;280.6;27.222581;18.483871;78.604839;
83075;29/02/2008;0000;274.1;28.782759;18.831034;77.586207;
