--------------------
BDMEP - INMET
--------------------
Estação           : JACOBINA - BA (OMM: 83186)
Latitude  (graus) : -11.18
Longitude (graus) : -40.46
Altitude  (metros): 484.74
Estação Operante
Inicio de operação: 01/12/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83186;31/01/2000;0000;130.2;30;20.464516;73.870968;
83186;29/02/2000;0000;124.8;30.644828;20.472414;71.586207;
83186;31/03/2000;0000;94.4;30.196774;20.454839;74.637097;
83186;30/04/2000;0000;119.9;29.263333;20.23;77.158333;
83186;31/05/2000;0000;55;27.632258;18.996774;79.798387;
83186;30/06/2000;0000;49.9;26.21;17.81;80.016667;
83186;31/07/2000;0000;25.1;27.1;17.474194;74.572581;
83186;31/08/2000;0000;27.3;27.754839;18.409677;71.08871;
83186;30/09/2000;0000;38.5;29.066667;19.226667;67.533333;
83186;31/10/2000;0000;2.1;32.241935;20.532258;54.383333;
83186;30/11/2000;0000;172.9;30.206667;20.893333;71.225;
83186;31/12/2000;0000;144;29.709677;20.629032;72.903226;
83186;31/01/2001;0000;34.4;30.841935;20.587097;64.282258;
83186;28/02/2001;0000;1.8;33.753571;21.635714;54.125;
83186;31/03/2001;0000;108.9;31.125806;21.458065;69.25;
83186;30/04/2001;0000;27.9;31.026667;20.826667;66.25;
83186;31/05/2001;0000;42.5;31.264516;21.029032;64.798387;
83186;30/06/2001;0000;75.6;26.193333;18.876667;79.191667;
83186;31/07/2001;0000;44.9;26.525806;18.287097;76.274194;
83186;31/08/2001;0000;46.7;26.032258;17.790323;77.233871;
83186;30/09/2001;0000;46.8;28.703333;19.18;67.625;
83186;31/10/2001;0000;12.5;31.235484;20.596774;61.137097;
83186;30/11/2001;0000;1.4;33.703333;21.426667;50.691667;
83186;31/12/2001;0000;128.6;31.83871;21.870968;65.854839;
83186;31/01/2002;0000;444;29.177419;20.712903;78.241935;
83186;28/02/2002;0000;97.9;30.142857;20.532143;70.026786;
83186;31/03/2002;0000;44;30.729032;21.432258;69.467742;
83186;30/04/2002;0000;25.7;29.993333;21.376667;68.775;
83186;31/05/2002;0000;43;28.916129;19.680645;70.395161;
83186;30/06/2002;0000;44.2;26.65;19.31;75.784483;
83186;31/07/2002;0000;47.8;26.780645;18.541935;74.362903;
83186;31/08/2002;0000;54.3;27.293548;18.429032;69.653226;
83186;30/09/2002;0000;11.1;29.92;19.84;62.375;
83186;31/10/2002;0000;2.4;31.890323;20.635484;52.177419;
83186;30/11/2002;0000;26.6;33.05;21.21;57.333333;
83186;31/12/2002;0000;144.5;32.896774;21.925806;60.137097;
83186;31/01/2003;0000;121.8;33.193548;22.074194;60.709677;
83186;28/02/2003;0000;77.5;31.553571;21.721429;64.071429;
83186;31/03/2003;0000;128.9;31.870968;22.190323;67.564516;
83186;30/04/2003;0000;6.5;31.613333;22.04;64.075;
83186;31/05/2003;0000;51.1;28.045161;20.193548;79.137097;
83186;30/06/2003;0000;57.7;26.353333;19.373333;81.066667;
83186;31/07/2003;0000;71.8;25.222581;18.16129;78.516129;
83186;31/08/2003;0000;21.1;26.819355;18.925806;74.266129;
83186;30/09/2003;0000;18.8;29.11;19.563333;63.825;
83186;31/10/2003;0000;3.7;31.312903;20.512903;56.895161;
83186;30/11/2003;0000;79.6;30.376667;21.196667;66.033333;
83186;31/12/2003;0000;2.1;32.912903;21.874194;54.306452;
83186;31/01/2004;0000;417.7;30.780645;21.841935;73.725806;
83186;29/02/2004;0000;101.1;30.186207;21.703448;74.275862;
83186;31/03/2004;0000;66.2;;21.848387;74.225806;
83186;30/04/2004;0000;6.7;29.293333;21.673333;71.408333;
83186;31/05/2004;0000;27.8;28.203226;20.074194;77.129032;
83186;30/06/2004;0000;26.6;26.606667;19.473333;78.291667;
83186;31/07/2004;0000;13.2;25.996774;18.153333;74.33871;
83186;31/08/2004;0000;2.9;27.754839;18.425806;67.322581;
83186;30/09/2004;0000;7.6;29.623333;19.193333;64.466667;
83186;31/10/2004;0000;2.1;31.512903;20.822581;62.024194;
83186;30/11/2004;0000;103.6;32.083333;21.46;64.325;
83186;31/12/2004;0000;11;31.703226;21.748387;61.935484;
83186;31/01/2005;0000;95.3;32.677419;22.370968;61.612903;
83186;28/02/2005;0000;107.8;30.735714;22.171429;72.491071;
83186;31/03/2005;0000;146.6;30.912903;22.222581;70.983871;
83186;30/04/2005;0000;181.7;28.636667;21.38;79.45;
83186;31/05/2005;0000;42.7;26.774194;20.303226;80.782258;
83186;30/06/2005;0000;34.1;25.81;19.163333;81.958333;
83186;31/07/2005;0000;28.1;25.296774;17.880645;77.895161;
83186;31/08/2005;0000;63.7;26.635484;18.319355;71.596774;
83186;30/09/2005;0000;11.2;29.64;19.72;63.366667;
83186;31/10/2005;0000;1.7;32.370968;20.970968;51.322581;
83186;30/11/2005;0000;100.9;31.876667;21.406667;60.091667;
83186;31/12/2005;0000;10.1;30.832258;21.574194;66.758065;
83186;31/01/2006;0000;3.7;32.748387;21.674194;55.209677;
83186;28/02/2006;0000;53.4;34.221429;22.714815;54.5625;
83186;31/03/2006;0000;342.7;30.993548;22.251613;71.032258;
83186;30/04/2006;0000;233.1;28.503333;21.396667;81.45;
83186;31/05/2006;0000;38.3;26.409677;19.687097;79.33871;
83186;30/06/2006;0000;42.8;24.696667;18.273333;79.975;
83186;31/07/2006;0000;35.5;24.983871;17.096774;76.129032;
83186;31/08/2006;0000;56.6;26.632258;18.367742;72.016667;
83186;30/09/2006;0000;10.3;28.673333;18.89;68.066667;
83186;31/10/2006;0000;87.1;29.535484;20.377419;72.830645;
83186;30/11/2006;0000;81.9;29.563333;20.57;74.043103;
83186;31/12/2006;0000;30.1;31.980645;21.480645;64.927419;
83186;31/01/2007;0000;11.2;34.258065;22.062069;56.080645;
83186;28/02/2007;0000;244.2;30.5;21.225;75.678571;
83186;31/03/2007;0000;90.8;28.703226;20.709677;77.298387;
83186;30/04/2007;0000;85.3;28.583333;20.256667;78.433333;
83186;31/05/2007;0000;13.8;27.203226;19.264516;79.491935;
83186;30/06/2007;0000;32.5;26.75;18.473333;75;
83186;31/07/2007;0000;25.9;26.519355;18.445161;73.943548;
83186;31/08/2007;0000;19.5;27.148387;18.087097;71.290323;
83186;30/09/2007;0000;25.5;28.5;18.313333;66.45;
83186;31/10/2007;0000;5.5;30.696774;19.803333;65.072581;
83186;30/11/2007;0000;96.8;32.496667;20.91;58.133333;
83186;31/12/2007;0000;13;31.658065;20.973333;67.258065;
83186;31/01/2008;0000;3.7;32.874194;21.312903;55.403226;
83186;29/02/2008;0000;99;32.917241;21.657143;62.439655;
83186;31/03/2008;0000;120.9;31.487097;21.441935;71.129032;
83186;30/04/2008;0000;74.7;30.233333;21.47;76.958333;
83186;31/05/2008;0000;97.3;27.990323;19.490323;76.387097;
83186;30/06/2008;0000;46.1;26.32;18.356667;77.958333;
83186;31/07/2008;0000;21.6;25.5;17.667742;76.870968;
83186;31/08/2008;0000;34.7;27.925806;18.432258;68.056452;
83186;30/09/2008;0000;17.8;29.313333;19.38;66.275;
83186;31/10/2008;0000;13.7;31.43871;20.248387;61.451613;
83186;30/11/2008;0000;0;33.523333;21.251724;55.683333;
83186;31/12/2008;0000;49.4;30.393548;21.245161;71.225806;
83186;31/01/2009;0000;33.9;32.26129;21.56129;63.443548;
83186;28/02/2009;0000;132;31.328571;21.525;66.75;
83186;31/03/2009;0000;7.5;34.222581;22.554839;55.709677;
83186;30/04/2009;0000;216.2;29.8;21.163333;77.341667;
83186;31/05/2009;0000;46.1;26.845161;19.980645;79.475806;
83186;30/06/2009;0000;19.7;26.75;19.02;77.725;
83186;31/07/2009;0000;33.5;27.187097;18.786667;70.983871;
83186;31/08/2009;0000;43;27.293548;18.774194;71.048387;
83186;30/09/2009;0000;6;30.956667;22.163333;51.616667;
83186;31/10/2009;0000;69;31.432258;20.458065;64.862903;
83186;30/11/2009;0000;4.8;31.326667;20.472414;58.933333;
83186;31/12/2009;0000;10.4;32.522581;21.216129;60.798387;
83186;31/01/2010;0000;62.4;32.467742;20.870968;63.048387;
83186;28/02/2010;0000;53.1;33.228571;21.378571;56.258929;
83186;31/03/2010;0000;147;31.558065;21.132258;72.83871;
83186;30/04/2010;0000;83.2;29.256667;20.37;78.916667;
83186;31/05/2010;0000;16.7;29.706452;20.154839;70.580645;
83186;30/06/2010;0000;26.6;27.14;18.386667;74.741667;
83186;31/07/2010;0000;94.1;25.045161;17.467742;80.048387;
83186;31/08/2010;0000;22.6;26.33871;16.725806;71.008065;
83186;30/09/2010;0000;20.2;28.963333;17.72;66.408333;
83186;31/10/2010;0000;23.9;32.187097;19.983871;57.596774;
83186;30/11/2010;0000;0;32.34;20.431034;54.65;
83186;31/12/2010;0000;253;31.306452;20.654839;70.774194;
83186;31/01/2011;0000;72.7;30.116129;20.425806;70.403226;
83186;28/02/2011;0000;66.1;31.464286;20.771429;65.160714;
83186;31/03/2011;0000;141.7;31.719355;21.093548;71.83871;
83186;30/04/2011;0000;101.6;29.23;19.973333;76.208333;
83186;31/05/2011;0000;50.9;26.329032;18.66129;79.282258;
83186;30/06/2011;0000;16;26.686667;17.123333;77.608333;
83186;31/07/2011;0000;29.1;26.874194;16.990323;71.290323;
83186;31/08/2011;0000;22.6;28.558065;17.135484;63.298387;
83186;30/09/2011;0000;7.5;28.923333;17.056667;59.916667;
83186;31/10/2011;0000;32;30.619355;19.425806;62.83871;
83186;30/11/2011;0000;58.8;29.226667;19.066667;66.425;
83186;31/12/2011;0000;68.1;31.654839;20.022581;62.879032;
83186;31/01/2012;0000;5.5;32.880645;20.367742;53.08871;
83186;29/02/2012;0000;87.5;31.971429;20.189655;58.37931;
83186;31/03/2012;0000;9.7;33.051613;20.26129;51.282258;
83186;30/04/2012;0000;4.3;31.66;19.933333;55.766667;
83186;31/05/2012;0000;19;29.090323;19.280645;68.306452;
83186;30/06/2012;0000;19.9;28.07;18.543333;68.341667;
83186;31/07/2012;0000;20.4;26.66129;17.4;71.766129;
83186;31/08/2012;0000;41.2;26.635484;16.703226;69.524194;
83186;30/09/2012;0000;3;29.61;18.103333;58.783333;
83186;31/10/2012;0000;0;31.580645;18.796774;53.435484;
83186;30/11/2012;0000;102.1;30.65;20.19;65.666667;
83186;31/12/2012;0000;12.7;33.119355;20.23871;49.419355;
83186;31/01/2013;0000;214.6;32.480645;20.867742;57.814516;
83186;28/02/2013;0000;4;32.342857;20.692857;53.375;
83186;31/03/2013;0000;24.1;33.580645;21.432258;49.201613;
83186;30/04/2013;0000;43.8;30.796667;20.653333;63.483333;
83186;31/05/2013;0000;31;28.864516;19.548387;74.145161;
83186;30/06/2013;0000;36.1;27.383333;18.866667;76.15;
83186;31/07/2013;0000;79.2;26.506452;17.967742;74.491935;
83186;31/08/2013;0000;47.8;26.880645;17.629032;72.991935;
83186;30/09/2013;0000;18.1;30.086667;18.437931;60.975;
83186;31/10/2013;0000;38.4;31.025806;19.274194;58.959677;
83186;30/11/2013;0000;103.1;31.606667;19.42;60.725;
83186;31/12/2013;0000;93;30.541935;20.167742;70.645161;
83186;31/01/2014;0000;8.1;32.054839;19.967742;57.298387;
83186;28/02/2014;0000;40.7;31.610714;20.089286;64.455357;
83186;31/03/2014;0000;29.6;31.63871;20.409677;64.516129;
83186;30/04/2014;0000;131.8;31.116667;20.156667;69.833333;
83186;31/05/2014;0000;100.8;27.654839;18.425806;83.83871;
83186;30/06/2014;0000;25.2;27.203333;17.706667;81.591667;
83186;31/07/2014;0000;57.1;26.587097;17.296774;82.282258;
83186;31/08/2014;0000;32.8;27.725806;16.922581;73.935484;
83186;30/09/2014;0000;14.7;;16.9;69.391667;
83186;31/10/2014;0000;24.9;;18.412903;61.806452;
83186;30/11/2014;0000;112.4;;19.293333;74.308333;
83186;31/12/2014;0000;56.2;;19.309677;86;
83186;31/01/2015;0000;26.8;;19.812903;63.612903;
83186;28/02/2015;0000;168.4;;20.233333;63.8125;
83186;31/03/2015;0000;55.9;;20.390323;68.435484;
83186;30/04/2015;0000;234.7;;19.996667;76.691667;
83186;31/05/2015;0000;44.5;;18.851613;87.298387;
83186;30/06/2015;0000;62.5;;17.740741;90.602273;
83186;31/07/2015;0000;47.4;;17.155172;;
83186;31/08/2015;0000;65.6;;16.567742;;
83186;30/09/2015;0000;5.6;;18.323077;;
83186;31/10/2015;0000;16;;18.993548;61.104839;
83186;30/11/2015;0000;10;;20.576667;54.808333;
83186;31/12/2015;0000;12.8;;20.577419;;
