--------------------
BDMEP - INMET
--------------------
Esta?o           : JANUARIA - MG (OMM: 83386)
Latitude  (graus) : -15.45
Longitude (graus) : -44
Altitude  (metros): 473.71
Esta?o Operante
Inicio de opera?o: 19/06/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83386;31/01/2000;0000;200;30.080645;20.348387;83.879032;
83386;29/02/2000;0000;105.1;30.982759;20.044828;83.163793;
83386;31/03/2000;0000;180.2;30.335484;20.280645;82.451613;
83386;30/04/2000;0000;3;31.523333;18.64;74.541667;
83386;31/05/2000;0000;0;31.522581;15.229032;68.16129;
83386;30/06/2000;0000;0;30.62;13.293333;65.291667;
83386;31/07/2000;0000;0;30.580645;14.154839;63.298387;
83386;31/08/2000;0000;0;32.306667;15.14;54.466667;
83386;30/09/2000;0000;3.8;32.53;18.53;58.116667;
83386;31/10/2000;0000;24.5;35.367742;20.596774;55.846774;
83386;30/11/2000;0000;285.5;30.333333;20.66;79.666667;
83386;31/12/2000;0000;415.8;29.548387;20.825806;83.91129;
83386;31/01/2001;0000;72.6;31.470968;19.577419;74.217742;
83386;28/02/2001;0000;36.2;33.825;19.364286;67.696429;
83386;31/03/2001;0000;81.8;31.322581;19.803226;78.693548;
83386;30/04/2001;0000;7.5;33.026667;18.013333;66.516667;
83386;31/05/2001;0000;1.3;32.445161;17.767742;64.991935;
83386;30/06/2001;0000;0;30.736667;15.2;61.15;
83386;31/07/2001;0000;0;30.964516;14.154839;58.475806;
83386;31/08/2001;0000;0;30.864516;16.174194;53.008065;
83386;30/09/2001;0000;6.3;33.813333;19.01;48.083333;
83386;31/10/2001;0000;76;32.077419;20.232258;63.41129;
83386;30/11/2001;0000;169.8;30.47;20.956667;80.066667;
83386;31/12/2001;0000;253.5;31.409677;20.819355;74.927419;
83386;31/01/2002;0000;351.5;30.580645;20.412903;83.024194;
83386;28/02/2002;0000;72.5;30.996429;20;80.642857;
83386;31/03/2002;0000;34;32.33871;19.748387;73.83871;
83386;30/04/2002;0000;28.8;32.403333;18.936667;68.625;
83386;31/05/2002;0000;0.2;31.773333;16.435484;68.58871;
83386;30/06/2002;0000;0;30.566667;15.116667;66.633333;
83386;31/07/2002;0000;0.2;31.129032;15.535484;63.169355;
83386;31/08/2002;0000;0;32.2;16.732258;55.95;
83386;30/09/2002;0000;4.1;32.98;19.196667;54.325;
83386;31/10/2002;0000;19.5;35.822581;20.245161;49.943548;
83386;30/11/2002;0000;136.7;33.126667;20.36;64.241667;
83386;31/12/2002;0000;480.7;31.393548;21.077419;74.104839;
83386;31/01/2003;0000;299.1;30.358065;21.167742;83.774194;
83386;28/02/2003;0000;17.1;32.267857;20.192857;72.196429;
83386;31/03/2003;0000;65.8;32.822581;20.593548;71.201613;
83386;30/04/2003;0000;5.3;33.31;19.426667;66.208333;
83386;31/05/2003;0000;4;31.670968;17.154839;62.016129;
83386;30/06/2003;0000;0;31.436667;13.776667;56.508333;
83386;31/07/2003;0000;0;30.267742;13.687097;51.741935;
83386;31/08/2003;0000;3.3;31.629032;16.641935;52.137097;
83386;30/09/2003;0000;0;;;;
83386;31/10/2003;0000;34.5;34.348387;20.148387;46.895161;
83386;30/11/2003;0000;78.3;33.043333;21.26;62.566667;
83386;31/12/2003;0000;51.1;34.622581;21.174194;60.233871;
83386;31/01/2004;0000;236.9;30.732258;21.741935;78.604839;
83386;29/02/2004;0000;245.1;29.724138;20.982759;83.431034;
83386;31/03/2004;0000;261.2;29.116129;20.254839;84.725806;
83386;30/04/2004;0000;76.9;30.223333;18.963333;79.766667;
83386;31/05/2004;0000;0;30.558065;17.954839;74.016129;
83386;30/06/2004;0000;0.3;28.856667;14.53;70.483333;
83386;31/07/2004;0000;2.5;29.041935;13.393548;62.975806;
83386;31/08/2004;0000;0;31.587097;14.141935;51.427419;
83386;30/09/2004;0000;0;33.72;16.37;41.15;
83386;31/10/2004;0000;108.4;35.141935;21.090323;49.112903;
83386;30/11/2004;0000;64;32.803333;21.063333;66.416667;
83386;31/12/2004;0000;149.5;31.706452;20.425806;75.209677;
83386;31/01/2005;0000;142.7;31.43871;21.670968;79.266129;
83386;28/02/2005;0000;197.6;31.342857;21.014286;79.303571;
83386;31/03/2005;0000;178.7;31.151613;21.470968;80.395161;
83386;30/04/2005;0000;10.7;32.51;19.44;69.891667;
83386;31/05/2005;0000;71.8;30.687097;17.132258;69.33871;
83386;30/06/2005;0000;0;30.01;15.286667;64.758333;
83386;31/07/2005;0000;0.2;30.422581;13.26129;55.798387;
83386;31/08/2005;0000;0;32.103226;15.187097;49.435484;
83386;30/09/2005;0000;31.2;33.7;19.333333;53.016667;
83386;31/10/2005;0000;7.3;36.770968;20.235484;42.08871;
83386;30/11/2005;0000;276.8;31.246667;21.076667;73.058333;
83386;31/12/2005;0000;235.9;29.519355;20.106452;77.903226;
83386;31/01/2006;0000;2.8;32.648387;19.816129;64.290323;
83386;28/02/2006;0000;41;34.425;21.489286;66.330357;
83386;31/03/2006;0000;355.6;30.777419;21.2;81.274194;
83386;30/04/2006;0000;85.4;30.28;19.493333;77.891667;
83386;31/05/2006;0000;0.2;30.077419;15.606452;70.733871;
83386;30/06/2006;0000;0;29.146667;13.816667;64.225;
83386;31/07/2006;0000;0;29.906452;12.909677;58;
83386;31/08/2006;0000;0.5;32.245161;15.967742;53.306452;
83386;30/09/2006;0000;27.2;33.056667;18.31;53.083333;
83386;31/10/2006;0000;65.2;31.632258;21.067742;66.177419;
83386;30/11/2006;0000;219.4;29.82;20.473333;79.133333;
83386;31/12/2006;0000;217.8;31.064516;20.616129;77.217742;
83386;31/01/2007;0000;105.8;32.083871;21.093548;75.427419;
83386;28/02/2007;0000;527.5;29.557143;20.553571;83.982143;
83386;31/03/2007;0000;8.4;32.251613;19.219355;70.403226;
83386;30/04/2007;0000;4.1;32.54;19.153333;67.258333;
83386;31/05/2007;0000;0;31.954839;16.383871;61.701613;
83386;30/06/2007;0000;0;30.726667;13.8;58.5;
83386;31/07/2007;0000;0;31.36129;13.864516;53.201613;
83386;31/08/2007;0000;0;31.132258;14.006452;48.25;
83386;30/09/2007;0000;0;33.276667;16.51;43.908333;
83386;31/10/2007;0000;9.2;35.748387;19.832258;42.346774;
83386;30/11/2007;0000;108.6;35.193333;21.923333;52.191667;
83386;31/12/2007;0000;124;31.635484;20.632258;71.58871;
83386;31/01/2008;0000;83.6;31.787097;20.651613;67.879032;
83386;29/02/2008;0000;53.9;32.103448;20.451724;71.37931;
83386;31/03/2008;0000;74.2;31.093548;20.296774;76.741935;
83386;30/04/2008;0000;105.3;31.333333;19.573333;76.266667;
83386;31/05/2008;0000;0.3;31.283871;15.764516;64.516129;
83386;30/06/2008;0000;0;30.513333;14.036667;58.116667;
83386;31/07/2008;0000;0;30.067742;12.219355;50.33871;
83386;31/08/2008;0000;0;32.46129;14.412903;45.177419;
83386;30/09/2008;0000;12.6;34.346667;17.47;44.913793;
83386;31/10/2008;0000;0.7;36.73871;20.554839;37.685484;
83386;30/11/2008;0000;177.9;31.426667;21.396667;70.366667;
