--------------------
BDMEP - INMET
--------------------
Esta?o           : JOAO PESSOA - PB (OMM: 82798)
Latitude  (graus) : -7.1
Longitude (graus) : -34.86
Altitude  (metros): 7.43
Esta?o Operante
Inicio de opera?o: 01/01/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82798;31/01/2000;0000;96.4;30.374194;24.496774;75.008065;
82798;29/02/2000;0000;149.4;30.703448;24.492857;76.87931;
82798;31/03/2000;0000;109.2;30.925806;24.832258;75.959677;
82798;30/04/2000;0000;209.2;30.189655;23.910345;83.094828;
82798;31/05/2000;0000;333.9;29.816129;23.432258;82.691667;
82798;30/06/2000;0000;557.7;28.766667;22.753333;85.541667;
82798;31/07/2000;0000;444.4;28.041935;22.070968;87.620968;
82798;31/08/2000;0000;167.9;28.509677;21.94;81.016667;
82798;30/09/2000;0000;228.8;28.94;23.346667;78.616667;
82798;31/10/2000;0000;15.9;29.680645;24.767742;72.533333;
82798;30/11/2000;0000;45.7;30.14;24.88;73.558333;
82798;31/12/2000;0000;81.4;29.6;24.535484;77.094828;
82798;31/01/2001;0000;25.3;30.345161;24.73871;;
82798;28/02/2001;0000;7.1;31.085714;24.75;72.403846;
82798;31/03/2001;0000;197;30.825806;24.129032;76.314516;
82798;30/04/2001;0000;267.2;29.923333;22.923333;80.458333;
82798;31/05/2001;0000;47.8;30.393548;22.709677;75.209677;
82798;30/06/2001;0000;254.9;29.063333;22.1;82.258929;
82798;31/07/2001;0000;184.7;28.496774;22.012903;;
82798;31/08/2001;0000;62.1;28.451613;21.890323;;
82798;30/09/2001;0000;44;29.019048;22.971429;;
82798;31/10/2001;0000;22.3;29.806452;24.845161;;
82798;30/11/2001;0000;16.1;30.3;25.426667;;
82798;31/12/2001;0000;50;30.587097;23.870968;;
82798;31/01/2002;0000;179.4;30.193548;24.932258;;
82798;28/02/2002;0000;133.3;30.635714;24.978571;;
82798;31/03/2002;0000;251;30.56129;24.087097;;
82798;30/04/2002;0000;196.7;30.433333;23.61;79.663793;
82798;31/05/2002;0000;265.5;29.922581;23.845161;82.209677;
82798;30/06/2002;0000;472.3;28.586667;22.453571;86.391667;
82798;31/07/2002;0000;262.4;28.496774;22.467742;81.935484;
82798;31/08/2002;0000;140.1;28.548387;22.416129;77.991935;
82798;30/09/2002;0000;13.4;29.353333;23.773333;72.141667;
82798;31/10/2002;0000;43.1;29.703226;24.612903;74.725806;
82798;30/11/2002;0000;35.9;30.133333;24.83;75.716667;
82798;31/12/2002;0000;10;30.709677;25.758065;76.645161;
82798;31/01/2003;0000;51.3;31.025806;25.083871;76.379032;
82798;28/02/2003;0000;252.9;30.471429;24.142857;77.169643;
82798;31/03/2003;0000;275;30.677419;24.109677;79.137097;
82798;30/04/2003;0000;206.7;30.793333;24.033333;75.875;
82798;31/05/2003;0000;212.6;30.245161;23.603226;77.056452;
82798;30/06/2003;0000;626.2;28.586667;22.03;85.475;
82798;31/07/2003;0000;96.3;28.636364;21.959091;79.795455;
82798;31/08/2003;0000;173;28.771429;22.165;76.940476;
82798;30/09/2003;0000;97.2;29.226667;23.036667;75.575;
82798;31/10/2003;0000;36.3;29.980645;24.464516;71.66129;
82798;30/11/2003;0000;15.4;30.66;25.153333;72.208333;
82798;31/12/2003;0000;65.5;30.741935;25.429032;73.362903;
82798;31/01/2004;0000;303.2;30.116129;24.264516;81.419355;
82798;29/02/2004;0000;128.2;30.641379;24.5;76.681034;
82798;31/03/2004;0000;158.8;30.967742;24.903226;74.758065;
82798;30/04/2004;0000;136.9;30.626667;23.946667;77.716667;
82798;31/05/2004;0000;302;29.873333;22.841935;82.483871;
82798;30/06/2004;0000;483.1;28.69;22.083333;84.533333;
82798;31/07/2004;0000;475.8;28.167742;21.329032;82.677419;
82798;31/08/2004;0000;162.5;28.729032;21.593548;78.193548;
82798;30/09/2004;0000;37.5;29.533333;22.93;72.191667;
82798;31/10/2004;0000;27.4;30.006452;24.735484;71.830645;
82798;30/11/2004;0000;9.1;30.5;25.016667;71.408333;
82798;31/12/2004;0000;5.1;30.793548;25.325806;72.096774;
82798;31/01/2005;0000;37.4;31.145161;25.822581;73.629032;
82798;28/02/2005;0000;56.6;31.635714;26.139286;74.071429;
82798;31/03/2005;0000;107.5;31.845161;26.293333;74.491935;
82798;30/04/2005;0000;125.1;31.323333;24.693333;75.758333;
82798;31/05/2005;0000;549.5;30.348387;23.663333;82.475806;
82798;30/06/2005;0000;573.3;28.58;22.903333;88.033333;
82798;31/07/2005;0000;156.9;28.832258;21.953333;79.616667;
82798;31/08/2005;0000;215.8;28.490323;22.009677;81.508065;
82798;30/09/2005;0000;63.6;29.166667;23.233333;75.225;
82798;31/10/2005;0000;25.3;30.029032;24.786667;74.008065;
82798;30/11/2005;0000;4.1;30.56;26.046667;72.108333;
82798;31/12/2005;0000;25.6;30.735484;25.719355;73.491935;
82798;31/01/2006;0000;7.2;30.922581;26.041935;71.645161;
82798;28/02/2006;0000;14.6;31.117857;26.357143;72.491071;
82798;31/03/2006;0000;85.3;31.467742;25.86129;75.266129;
82798;30/04/2006;0000;197.1;30.763333;25.026667;79.783333;
82798;31/05/2006;0000;187.9;30.283871;24.177419;82.919355;
82798;30/06/2006;0000;271.2;29.083333;23.153333;83.325;
82798;31/07/2006;0000;139.2;28.66129;22.358065;81.959677;
82798;31/08/2006;0000;119;28.596774;22.56129;80.25;
82798;30/09/2006;0000;63.3;29.283333;23.606667;77.433333;
82798;31/10/2006;0000;9.7;30.16129;25.635484;75.145161;
82798;30/11/2006;0000;42;30.4;25.92;75.85;
82798;31/12/2006;0000;41.8;30.56129;25.609677;77.185484;
82798;31/01/2007;0000;33.8;31.132258;25.962069;75.83871;
82798;28/02/2007;0000;166.6;31.125;25.628571;78.991071;
82798;31/03/2007;0000;187.1;30.983871;24.512903;77.854839;
82798;30/04/2007;0000;234.3;30.75;24.3;79.766667;
82798;31/05/2007;0000;240.6;29.890323;23.319355;81.895161;
82798;30/06/2007;0000;573.7;28.636667;22.464286;85.275;
82798;31/07/2007;0000;143.8;28.635484;21.996774;80.959677;
82798;31/08/2007;0000;273.5;28.3;22.245161;79.201613;
82798;30/09/2007;0000;73;28.71;22.734483;77.391667;
82798;31/10/2007;0000;30.9;29.509677;23.84;73.225806;
82798;30/11/2007;0000;34;29.95;24.237931;70.658333;
82798;31/12/2007;0000;12.6;30.583871;24.874194;69.83871;
82798;31/01/2008;0000;80.6;30.787097;24.71;72.080645;
82798;29/02/2008;0000;8.8;31.551724;24.624138;69.431034;
82798;31/03/2008;0000;299.3;31.058065;24.04;74.540323;
82798;30/04/2008;0000;313.5;30.493333;23.173333;77.933333;
82798;31/05/2008;0000;335.9;29.974194;22.763333;81.935484;
82798;30/06/2008;0000;397.4;28.88;21.543333;79.633333;
82798;31/07/2008;0000;294.1;28.193548;21.648387;80.193548;
82798;31/08/2008;0000;326.4;28.529032;20.896667;78.379032;
82798;30/09/2008;0000;86.8;29.49;22.733333;74.483333;
82798;31/10/2008;0000;44.9;30.012903;23.709677;72.583333;
82798;30/11/2008;0000;6.6;30.573333;24.868966;70.091667;
82798;31/12/2008;0000;60.2;30.748387;24.812903;69.975806;
82798;31/01/2009;0000;57.7;31.045161;25.093548;71.08871;
