--------------------
BDMEP - INMET
--------------------
Esta?o           : JOAO PINHEIRO - MG (OMM: 83481)
Latitude  (graus) : -17.73
Longitude (graus) : -46.17
Altitude  (metros): 760.36
Esta?o Operante
Inicio de opera?o: 09/12/1925
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83481;31/01/2000;0000;295.1;29.477419;19.893548;76.653226;
83481;29/02/2000;0000;163.9;29.37931;19.97931;75.784483;
83481;31/03/2000;0000;280.7;29.154839;20.012903;77.25;
83481;30/04/2000;0000;45.5;29.14;18.87;65.208333;
83481;31/05/2000;0000;0;28.4;16.635484;59.225806;
83481;30/06/2000;0000;0;27.833333;15.68;55.125;
83481;31/07/2000;0000;14.8;27.206452;15.322581;57.040323;
83481;31/08/2000;0000;19;29.425806;16.983871;51.403226;
83481;31/10/2000;0000;20.3;32.929032;20.767742;51.814516;
83481;30/11/2000;0000;328.4;28.486667;19.286667;73.866667;
83481;31/12/2000;0000;276.8;29.174194;19.858065;77.443548;
83481;31/01/2001;0000;129;30.477419;20.087097;67.427419;
83481;28/02/2001;0000;38.2;32.435714;22.239286;59.196429;
83481;31/03/2001;0000;140.9;30.277419;20.383871;68.532258;
83481;30/04/2001;0000;4.3;30.906667;20.183333;55.112069;
83481;31/05/2001;0000;91.2;29.090323;17.696774;58.266129;
83481;30/06/2001;0000;0.7;27.926667;16.37;58.791667;
83481;31/07/2001;0000;0;28.445161;16.219355;55.975806;
83481;31/08/2001;0000;64.3;28.051613;16;51;
83481;30/09/2001;0000;34.6;30.2;18.216667;52.583333;
83481;31/10/2001;0000;100.2;29.593548;18.96129;61.540323;
83481;30/11/2001;0000;357.2;29.413333;19.976667;73.683333;
83481;31/12/2001;0000;288.4;29.006452;20.035484;74.177419;
83481;31/01/2002;0000;192.3;30.077419;20.693548;70.41129;
83481;28/02/2002;0000;208.1;28.957143;20.060714;77.267857;
83481;31/03/2002;0000;120.9;30.380645;20.558065;68.451613;
83481;30/04/2002;0000;50.6;30.873333;19.84;59.116667;
83481;31/05/2002;0000;36.4;29.366667;18.148276;62.104839;
83481;30/06/2002;0000;0;28.543333;17.31;58.058333;
83481;31/07/2002;0000;2;28.906452;16.977419;59.629032;
83481;31/08/2002;0000;0.1;30.613793;17.777419;49.146552;
83481;30/09/2002;0000;64.5;30.7;18.613333;51.008333;
83481;31/10/2002;0000;46.5;33.987097;21.222581;41.766129;
83481;30/11/2002;0000;140.7;30.913333;20.436667;64.416667;
83481;31/12/2002;0000;357.9;30.458065;21.093548;74.870968;
83481;31/01/2003;0000;498.6;28.993548;20.403226;80.685484;
83481;28/02/2003;0000;86.4;31.121429;20.732143;63.455357;
83481;31/03/2003;0000;296;29.551613;20.212903;73.540323;
83481;30/04/2003;0000;50.3;30.146667;20.106667;64.258333;
83481;31/05/2003;0000;110.3;27.812903;16.945161;61.370968;
83481;30/06/2003;0000;0;28.553333;17.22;54.508333;
83481;31/07/2003;0000;0;27.432258;15.822581;48.435484;
83481;31/08/2003;0000;17.6;29.858065;17.125806;49.677419;
83481;30/09/2003;0000;18.1;31.006667;18.582759;49.975;
83481;31/10/2003;0000;48;31.793548;19.764516;49.5;
83481;30/11/2003;0000;188.8;29.996552;19.553333;68.84375;
83481;31/12/2003;0000;186.9;31.322581;20.883871;65.266129;
83481;31/01/2004;0000;216.2;28.780645;20.112903;78.693548;
83481;29/02/2004;0000;444.1;28.110345;19.575862;82.5;
83481;31/03/2004;0000;215.5;29.122581;19.512903;73.564516;
83481;30/04/2004;0000;186.2;28.5;19.013333;72.308333;
83481;31/05/2004;0000;1.7;28.225806;18.370968;66.008065;
83481;30/06/2004;0000;0;26.866667;15.973333;59.433333;
83481;31/07/2004;0000;30.5;25.980645;14.927586;58.887097;
83481;31/08/2004;0000;0;29.322581;16.780645;52.322581;
83481;30/09/2004;0000;0;32.753333;18.817241;39.716667;
83481;31/10/2004;0000;53.9;32.722581;20.84;52.903226;
83481;30/11/2004;0000;180;31.12;20.49;62.658333;
83481;31/12/2004;0000;332.2;29.03871;19.609677;75.701613;
83481;31/01/2005;0000;233.8;29.541935;20.406667;78.153226;
83481;28/02/2005;0000;177.6;30.135714;20.064286;70.491071;
83481;31/03/2005;0000;218.7;29.393333;20.75;78.403226;
83481;30/04/2005;0000;3;30.62;20.456667;62.583333;
83481;31/05/2005;0000;35.9;28.43871;17.787097;61.241935;
83481;30/06/2005;0000;0.8;27.456667;16.486667;62.208333;
83481;31/07/2005;0000;3.2;27.703226;15.754839;54.362903;
83481;31/08/2005;0000;5;29.954839;17.364516;46.209677;
83481;30/09/2005;0000;41;31.873333;19.56;50.383333;
83481;31/10/2005;0000;0.4;34.941935;21.9;41.104839;
83481;30/11/2005;0000;434;27.54;19.406667;78.625;
83481;31/12/2005;0000;288.5;27.670968;19.325806;78.5;
83481;31/01/2006;0000;136.8;30.6;20.409677;62.459677;
83481;28/02/2006;0000;93.4;32.007143;21.2;65.185185;
83481;31/03/2006;0000;234.4;29.567742;20.580645;77.709677;
83481;30/04/2006;0000;128.5;28.733333;19.8;72.533333;
83481;31/05/2006;0000;16.3;28.012903;17.13871;59.129032;
83481;30/06/2006;0000;0;26.92;15.753333;56.241667;
83481;31/07/2006;0000;1.4;27.645161;15.977419;52.314516;
83481;31/08/2006;0000;10.3;30.296774;17.958065;54.274194;
83481;30/09/2006;0000;37.9;30.82;18.183333;53.6;
83481;31/10/2006;0000;191.4;28.232258;19.451613;77.16129;
83481;30/11/2006;0000;239.4;29.073333;19.566667;78.133333;
83481;31/12/2006;0000;383;29.303226;20.287097;77.540323;
83481;31/01/2007;0000;259.8;29.716129;20.254839;78.830645;
83481;28/02/2007;0000;376;28.95;20.071429;77.964286;
83481;31/03/2007;0000;39.6;31.425806;20.396774;59.5;
83481;30/04/2007;0000;82.3;30.386667;20.033333;65.05;
83481;31/05/2007;0000;0.2;29.064516;17.583871;57.983871;
83481;30/06/2007;0000;0.6;28.46;16.666667;52.05;
83481;31/07/2007;0000;4.9;28.896774;16.841935;52.379032;
83481;31/08/2007;0000;0;29.458065;16.390323;44.483871;
83481;30/09/2007;0000;17.2;31.906667;18.806667;43.091667;
83481;31/10/2007;0000;22.6;33.541935;20.880645;44.274194;
83481;30/11/2007;0000;198.6;31.653333;20.473333;64.025;
83481;31/12/2007;0000;189.6;29.870968;20.254839;70.467742;
83481;31/01/2008;0000;410.5;29.693333;19.88;72.032258;
83481;29/02/2008;0000;337.8;30.041379;20.437931;71.991379;
83481;31/03/2008;0000;235.5;29.554839;19.66129;74.983871;
83481;30/04/2008;0000;57;30.14;20.026667;67.1;
83481;31/05/2008;0000;6.2;28.387097;17.783871;57.274194;
83481;30/06/2008;0000;0;28.126667;16.826667;56.833333;
83481;31/07/2008;0000;0;27.729032;15.545161;48.096774;
83481;31/08/2008;0000;0.3;30.709677;17.758065;42.056452;
83481;30/09/2008;0000;62;32.046667;19.093333;45.75;
83481;31/10/2008;0000;1.8;33.741935;21.654839;45.25;
83481;30/11/2008;0000;210.6;30.226667;20.273333;68.833333;
83481;31/12/2008;0000;280.1;28.896774;20.093548;76.774194;
83481;31/01/2009;0000;383.1;30.541935;20.345161;72.58871;
83481;28/02/2009;0000;130.9;30.664286;21.05;70.044643;
83481;31/03/2009;0000;219.8;31.051613;21.203226;68.830645;
83481;30/04/2009;0000;94.3;28.82;19.646667;73.1;
83481;31/05/2009;0000;1.1;28.077419;17.86129;64.983871;
83481;30/06/2009;0000;4.8;27.461538;16.738462;61.89;
83481;31/07/2009;0000;0;29.619355;17.229032;51.120968;
83481;31/08/2009;0000;29.8;29.077419;17.390323;52.08871;
83481;30/09/2009;0000;38.5;32.053333;20.816667;53.558333;
83481;31/10/2009;0000;209.2;30.651613;20.267742;67.870968;
83481;30/11/2009;0000;84.5;31.426667;21.016667;65.725;
83481;31/12/2009;0000;412.6;28.890323;19.645161;78.419355;
83481;31/01/2010;0000;125.1;30.974194;21.332258;66.612903;
83481;28/02/2010;0000;82.8;32.128571;21.478571;60.866071;
83481;31/03/2010;0000;180.2;30.322581;20.519355;74.475806;
83481;30/04/2010;0000;76.6;29.465517;18.882759;63.875;
83481;31/05/2010;0000;61.1;29.167742;18.532258;61.822581;
83481;30/06/2010;0000;4.5;27.086667;15.313793;57.825;
83481;31/07/2010;0000;0;28.012903;16.1;52.919355;
83481;31/08/2010;0000;0;29.677419;16.203226;41.314516;
83481;30/09/2010;0000;4.5;31.666667;18.356667;42.658333;
83481;31/10/2010;0000;202;32.6;20.267742;60.524194;
83481;30/11/2010;0000;312.2;28.953333;19.613333;77.541667;
83481;31/12/2010;0000;355.4;30.032258;19.776667;75.685484;
83481;31/01/2011;0000;346.1;29.451613;20.451724;75.516129;
83481;28/02/2011;0000;106.7;31.835714;21.15;63.053571;
83481;31/03/2011;0000;409.7;28.916129;19.958065;80.129032;
83481;30/04/2011;0000;29.4;29.653333;19.586667;71.183333;
83481;31/05/2011;0000;10.7;28.737931;17.72069;62.289474;
83481;30/06/2011;0000;1.8;27.866667;16.126667;63.041667;
83481;31/07/2011;0000;0;28.709677;16.513333;58.048387;
83481;31/08/2011;0000;0;31.677419;17.667742;49.5;
83481;30/09/2011;0000;0;32.18;18.413333;46;
83481;31/10/2011;0000;151.2;29.4;18.996774;72;
83481;30/11/2011;0000;147.7;28.331034;18.534483;72.974138;
83481;31/12/2011;0000;570.8;28.44;19.42;81.209677;
83481;31/01/2012;0000;227.9;28.66;19.4;75.65;
83481;29/02/2012;0000;98.3;30.716667;20.2875;65.322917;
83481;31/03/2012;0000;137.9;30.703226;20.38;68.379032;
83481;30/04/2012;0000;37.6;30.8;20.334483;67.183333;
83481;31/05/2012;0000;12.2;27.794118;17.667742;68.524194;
83481;30/06/2012;0000;15.5;28.773333;18.21;62.766667;
83481;31/07/2012;0000;0;28.180645;17.17931;55.475806;
83481;31/08/2012;0000;0;28.2;16.426667;51.096774;
83481;30/09/2012;0000;13.7;32.3;19.293333;49.591667;
83481;31/10/2012;0000;24.9;33.741935;20.796774;49.758065;
83481;30/11/2012;0000;272.4;29.513333;19.916667;76.791667;
83481;31/12/2012;0000;78;32.529032;21.887097;65.056452;
83481;31/01/2013;0000;335.8;28.616129;20.396774;79.548387;
83481;28/02/2013;0000;62.2;31.507143;21.264286;67.133929;
83481;31/03/2013;0000;299.5;30.167742;20.893548;75.645161;
