--------------------
BDMEP - INMET
--------------------
Esta?o           : JUIZ DE FORA - MG (OMM: 83692)
Latitude  (graus) : -21.76
Longitude (graus) : -43.36
Altitude  (metros): 939.96
Esta?o Operante
Inicio de opera?o: 01/01/1910
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83692;31/01/2000;0000;327;26.396774;17.729032;82.298387;
83692;29/02/2000;0000;102.3;26.844828;17.775862;82.155172;
83692;31/03/2000;0000;165.3;25.116129;;85.056452;
83692;30/04/2000;0000;23.5;24.7;15.246667;80.413793;
83692;31/05/2000;0000;8.1;22.751613;12.877419;78.516129;
83692;30/06/2000;0000;0;23.17;12.356667;74.775;
83692;31/07/2000;0000;9.5;20.732258;10.8;80.4;
83692;31/08/2000;0000;57.2;22.909677;11.670968;72.032258;
83692;31/10/2000;0000;95.2;27.796774;15.893548;71.419355;
83692;30/11/2000;0000;144.4;24.966667;15.51;83.965517;
83692;31/12/2000;0000;267.9;27.116129;16.203226;83.516129;
83692;31/01/2001;0000;136.5;28.03871;16.929032;77.362903;
83692;28/02/2001;0000;235;29.746429;17.239286;77.098214;
83692;31/03/2001;0000;319;28.348387;16.503226;78.653226;
83692;30/04/2001;0000;2.8;27.513333;16.106667;75.141667;
83692;31/05/2001;0000;46.2;23.316129;13.096774;78.854839;
83692;30/06/2001;0000;1.8;22.993333;12.136667;76.491667;
83692;31/07/2001;0000;1;22.856667;11.12;71.943548;
83692;31/08/2001;0000;13.8;24.103226;11.877419;69.966667;
83692;30/09/2001;0000;23;;11.246667;;
83692;31/10/2001;0000;111.9;24.625806;12.503226;76.467742;
83692;30/11/2001;0000;332.4;26.543333;15.1;85.65;
