--------------------
BDMEP - INMET
--------------------
Esta?o           : LABREA - AM (OMM: 82723)
Latitude  (graus) : -7.25
Longitude (graus) : -64.83
Altitude  (metros): 61.00
Esta?o Operante
Inicio de opera?o: 30/11/1972
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82723;31/01/2000;0000;183.9;31.832258;22.229032;88.080645;
82723;29/02/2000;0000;215.3;31.565517;22.013793;89.362069;
82723;31/03/2000;0000;229.1;32.070968;22.212903;88.709677;
82723;30/04/2000;0000;287.5;32.84;22.52;87.35;
82723;31/05/2000;0000;128.4;32.812903;21.445161;87.41129;
82723;30/06/2000;0000;52.7;32.373333;20.316667;85.158333;
82723;31/07/2000;0000;31.8;32.245161;18.577419;82.653226;
82723;31/08/2000;0000;44.4;34.126667;20.66129;82.475806;
82723;30/09/2000;0000;206.9;32.446667;21.4;83.825;
82723;31/10/2000;0000;319.2;32.348387;22.309677;83.846774;
82723;30/11/2000;0000;241.7;31.433333;22.503333;86.533333;
82723;31/12/2000;0000;265.3;31.56;22.686667;87.016667;
82723;31/01/2001;0000;459.2;29.490323;22.367742;90.846774;
82723;28/02/2001;0000;452.9;30.407143;22.471429;88.598214;
82723;31/03/2001;0000;330.4;30.522581;22.393548;89.41129;
82723;30/04/2001;0000;241.1;31.323333;22.766667;87.133333;
82723;31/05/2001;0000;183.5;30.648387;22.312903;88.790323;
82723;30/06/2001;0000;23.1;29.606667;19.663333;85.65;
82723;31/07/2001;0000;111.2;31.451613;20.819355;85.919355;
82723;31/08/2001;0000;29.8;33.825806;20.296774;81.580645;
82723;30/09/2001;0000;130.4;32.813333;21.906667;86.525;
82723;31/10/2001;0000;133.2;33.509677;22.909677;82.951613;
82723;30/11/2001;0000;214.3;33.153333;23.113333;84.083333;
82723;31/12/2001;0000;273.3;31.141935;23.148387;88.112903;
82723;31/01/2002;0000;196;30.703226;23.270968;89.096774;
82723;28/02/2002;0000;510.8;30.564286;22.985714;89.455357;
82723;31/03/2002;0000;440.6;30.56129;22.958065;88.66129;
82723;30/04/2002;0000;204.3;31.58;22.913333;88.05;
82723;31/05/2002;0000;9.6;30.813333;23.073333;86.066667;
