--------------------
BDMEP - INMET
--------------------
Esta?o           : LAGOA VERMELHA - RS (OMM: 83916)
Latitude  (graus) : -28.21
Longitude (graus) : -51.5
Altitude  (metros): 840.00
Esta?o Operante
Inicio de opera?o: 01/06/1914
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83916;31/01/2000;0000;85.7;27.43871;16.025806;74.120968;
83916;29/02/2000;0000;126.3;26.2;15.744828;76.318966;
83916;31/03/2000;0000;122.8;25.006452;14.719355;78.104839;
83916;30/04/2000;0000;101.9;24.166667;13.126667;74.658333;
83916;31/05/2000;0000;97.4;18.703226;8.729032;77.685484;
83916;30/06/2000;0000;139.9;19.046667;10.086667;81.3;
83916;31/07/2000;0000;141;15.870968;4.116129;74.435484;
83916;31/08/2000;0000;79.5;19.980645;7.883871;70.508065;
83916;30/09/2000;0000;225.8;20.19;9.58;77.575;
83916;31/10/2000;0000;307.9;23.880645;13.945161;78.870968;
83916;30/11/2000;0000;56.7;25.473333;13.956667;73.591667;
83916;31/12/2000;0000;148.9;26.806452;15.745161;74.532258;
83916;30/09/2001;0000;121.8;;;;
83916;31/10/2001;0000;277.2;24.253846;13.123333;75.653846;
83916;30/11/2001;0000;164.5;26.796552;15.226667;74.62069;
83916;31/12/2001;0000;80.2;26.607407;14.989286;74.038462;
83916;31/01/2002;0000;135.7;26.916129;16.135484;78.383929;
83916;28/02/2002;0000;53.5;26.428571;15.335714;77.351852;
83916;31/03/2002;0000;104.6;28.883871;18.067742;81.596774;
83916;30/04/2002;0000;101.9;25.013333;15.27;84.258621;
83916;31/05/2002;0000;120.4;21.406452;12.46129;84.612903;
83916;30/06/2002;0000;221.9;17.913333;9.45;86.566667;
83916;31/07/2002;0000;143.8;17.903226;8.16129;82.532258;
83916;31/08/2002;0000;128.3;20.833333;10.812903;79.935484;
83916;30/09/2002;0000;186.7;19.103448;8.48;75.233333;
83916;31/10/2002;0000;252;23.870968;14.554839;81.209677;
83916;30/11/2002;0000;161;25.48;14.606667;72.4;
83916;31/12/2002;0000;189.4;26.283871;16.316129;74.177419;
83916;31/01/2003;0000;170.3;27.529032;17.06129;70.653226;
83916;28/02/2003;0000;248.7;27.589286;17.667857;79.205357;
83916;31/03/2003;0000;68.9;26.164516;15.829032;77.685484;
83916;30/04/2003;0000;94.8;23.34;12.426667;74.741667;
83916;31/05/2003;0000;89.4;20.129032;9.53871;73.056452;
83916;30/06/2003;0000;98.9;19.813333;11.336667;84.575;
83916;31/07/2003;0000;84.3;19.46129;8.464516;74.693548;
83916;31/08/2003;0000;47;18.841935;6.232258;65.975806;
83916;30/09/2003;0000;57;21.753333;9.706667;70.525;
83916;31/10/2003;0000;172;24.080645;12.780645;71.637097;
83916;30/11/2003;0000;162.4;24.983333;13.383333;68.625;
83916;31/12/2003;0000;243.3;25.041935;14.770968;73.282258;
83916;31/01/2004;0000;130;27.103226;15.954839;72.5;
83916;29/02/2004;0000;49.1;26.096552;14.889655;70.405172;
83916;31/03/2004;0000;90.4;26.396774;14.796774;71.241935;
83916;30/04/2004;0000;112.4;25.16;15.086667;75.008333;
83916;31/05/2004;0000;129.5;17.777419;9.529032;83.435484;
83916;30/06/2004;0000;61.9;19.666667;9.846667;78.9;
83916;31/07/2004;0000;89.1;16.745161;7.677419;79.112903;
83916;31/08/2004;0000;60.7;21.183871;8.774194;68.991935;
83916;30/09/2004;0000;255.6;22.866667;12.47;76.491667;
83916;31/10/2004;0000;153.3;22.858065;11.083871;67.25;
83916;30/11/2004;0000;114.3;24.72;13.423333;69.658333;
83916;31/12/2004;0000;60.6;26.670968;15.441935;66.040323;
83916;31/01/2005;0000;119;28.93871;17.274194;67.41129;
83916;28/02/2005;0000;21.8;28.753571;16.571429;66.9375;
83916;31/03/2005;0000;158.8;27.819355;16.083871;67.814516;
83916;30/04/2005;0000;242.6;22.963333;13.463333;82.408333;
83916;31/05/2005;0000;303.4;21.290323;11.835484;79.120968;
83916;30/06/2005;0000;212.3;19.966667;11.973333;84.066667;
83916;31/07/2005;0000;115.3;17.432258;7.483871;77;
83916;31/08/2005;0000;154.9;21.077419;10.212903;74.532258;
83916;30/09/2005;0000;181.2;16.78;8.44;80.166667;
83916;31/10/2005;0000;317;22.522581;13.351613;79.677419;
83916;30/11/2005;0000;104;26.45;14.303333;66.216667;
83916;31/12/2005;0000;75.3;26.793548;14.980645;68.362903;
83916;31/01/2006;0000;123.3;28.76129;17.783871;72.935484;
83916;28/02/2006;0000;185.8;27;16.342857;77.008929;
83916;31/03/2006;0000;138;26.045161;16.016129;75.846774;
83916;30/04/2006;0000;30.1;22.966667;12.003333;72.633333;
83916;31/05/2006;0000;29.7;18.251613;8.054839;77.879032;
83916;30/06/2006;0000;125.1;19.453333;9.93;80.708333;
83916;31/07/2006;0000;123;19.709677;10.209677;80.491935;
83916;31/08/2006;0000;123.3;20.135484;8.925806;71.137097;
83916;30/09/2006;0000;72.2;20.37;9.193333;70.408333;
83916;31/10/2006;0000;38.7;25.76129;13.76129;69.951613;
83916;30/11/2006;0000;305.9;24.6;13.83;70.166667;
83916;31/12/2006;0000;132.4;28.745161;17.287097;;
83916;31/01/2007;0000;137.5;26.964516;17.316129;;
83916;28/02/2007;0000;242.3;26.646429;16.785714;;
83916;31/03/2007;0000;253.9;27.477419;17.545161;;
83916;30/04/2007;0000;99.3;24.126667;14.55;;
83916;31/05/2007;0000;218.6;17.048387;8.390323;;
83916;30/06/2007;0000;53.9;18.353333;9.603333;;
83916;31/08/2007;0000;124.3;19.258065;8.122581;;
83916;30/09/2007;0000;223.1;22.593333;12.59;;
83916;31/10/2007;0000;147.3;22.903226;13.970968;;
83916;30/11/2007;0000;160.9;23.886667;12.813333;;
83916;31/12/2007;0000;143.7;27.709677;15.893548;;
83916;31/01/2008;0000;82.1;25.980645;16.080645;;
83916;29/02/2008;0000;54.3;26.610345;15.486207;;
