--------------------
BDMEP - INMET
--------------------
Esta?o           : LAMBARI - MG (OMM: 83032)
Latitude  (graus) : -21.94
Longitude (graus) : -45.31
Altitude  (metros): 878.45
Esta?o Operante
Inicio de opera?o: 01/06/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83032;31/01/2000;0000;463.6;29.748387;16.883871;85.830645;
83032;29/02/2000;0000;201.6;29.158621;16.993103;86.741379;
83032;31/03/2000;0000;311.2;28.63871;16.367742;87.16129;
83032;30/04/2000;0000;34.4;28.446667;10.933333;86.283333;
83032;31/05/2000;0000;23;26.019355;7.180645;86.556452;
83032;30/06/2000;0000;5.2;25.286667;5.273333;92.75;
83032;31/07/2000;0000;60;24.058065;4.941935;91.169355;
83032;31/08/2000;0000;41.5;26.129032;7.867742;95.169355;
83032;30/09/2000;0000;91.2;26.3;12.64;88.816667;
83032;31/10/2000;0000;70.5;31.606452;14.4;79.314516;
83032;30/11/2000;0000;217;29.92;15.686667;76.116667;
83032;31/12/2000;0000;361.8;30.296774;17.2;81.604839;
83032;31/01/2001;0000;228;31.858065;17.348387;77.580645;
83032;28/02/2001;0000;119.4;32.339286;16.807143;80.098214;
83032;31/03/2001;0000;86.2;31.012903;16.045161;79.959677;
83032;30/04/2001;0000;41.2;30.56;12.966667;82.658333;
83032;31/05/2001;0000;61.6;25.625806;9.212903;86.112903;
83032;30/06/2001;0000;3.2;25.013333;7.033333;87.158333;
83032;31/07/2001;0000;3.4;25.825806;6.458065;89.080645;
83032;31/08/2001;0000;12.6;26.845161;6.432258;83.274194;
83032;30/09/2001;0000;61.6;26.833333;10.06;79.583333;
83032;31/10/2001;0000;158;28.612903;12.832258;77.346774;
83032;30/11/2001;0000;246.6;29.626667;16.343333;80.133333;
83032;31/12/2001;0000;418.8;28.503226;16.851613;81.629032;
83032;31/01/2002;0000;274.4;29.858065;17.580645;80.08871;
83032;28/02/2002;0000;311.6;28.25;17.2;83.053571;
83032;31/03/2002;0000;148.2;30.787097;16.296774;80.75;
83032;30/04/2002;0000;12.6;30.58;12.833333;80.65;
83032;31/05/2002;0000;0;;;;
83032;30/06/2002;0000;0;;;;
83032;31/07/2002;0000;0;;;;
83032;31/08/2002;0000;0;;;;
83032;30/09/2002;0000;0;;;;
83032;31/01/2003;0000;594.8;29.277419;18.374194;84.427419;
83032;28/02/2003;0000;87.2;32.292857;16.907143;75.741071;
83032;31/03/2003;0000;146.8;29.316129;16.267742;82.145161;
83032;30/04/2003;0000;136.6;28.706667;13.353333;82.166667;
83032;31/05/2003;0000;48.9;25.632258;7.225806;86.185484;
83032;30/06/2003;0000;0;27.18;6.973333;86.766667;
83032;31/07/2003;0000;42;25.483871;5.903226;86.572581;
83032;31/08/2003;0000;22;26.251613;7.277419;82.846774;
83032;30/09/2003;0000;65.2;29.26;10.786667;76.75;
83032;31/10/2003;0000;115.2;29.954839;13.225806;75.741935;
83032;30/11/2003;0000;192.8;28.786667;15.333333;79.183333;
83032;31/12/2003;0000;233.8;30.464516;17.274194;79.032258;
83032;31/01/2004;0000;142.5;29.754839;16.664516;79.693548;
83032;29/02/2004;0000;421.8;28.958621;16.6;82.866071;
83032;31/03/2004;0000;176;28.780645;13.96129;82.524194;
83032;30/04/2004;0000;208.4;28.173333;15.113333;83.133333;
83032;31/05/2004;0000;97.4;24.864516;10.103226;86.491935;
83032;30/06/2004;0000;42.8;24.073333;7.52;86.591667;
83032;31/07/2004;0000;43.6;23.412903;6.625806;84.709677;
83032;31/08/2004;0000;9;27.283871;5.780645;79.169355;
83032;30/09/2004;0000;32.2;31.48;10.926667;74.658333;
83032;31/10/2004;0000;136.2;27.206452;13.819355;82.870968;
83032;30/11/2004;0000;122.4;29.693333;14.446667;81.333333;
83032;31/12/2004;0000;367.4;29.116129;16.819355;81.362903;
83032;31/01/2005;0000;468.4;29.832258;17.987097;82.524194;
83032;28/02/2005;0000;137.6;30.478571;15.171429;79.178571;
83032;31/03/2005;0000;295.2;29.890323;17.174194;81.725806;
83032;30/04/2005;0000;71.6;30.246667;14.313333;79.825;
83032;31/05/2005;0000;118;26.819355;9.251613;83.483871;
83032;30/06/2005;0000;20.4;25.22;7.726667;84.475;
83032;31/07/2005;0000;48.2;24.283871;6.774194;86.016129;
83032;31/08/2005;0000;13;28.322581;7.329032;76.580645;
83032;30/09/2005;0000;75.2;27.2;12.573333;79.391667;
83032;31/10/2005;0000;113.2;31.212903;14.787097;76.387097;
83032;30/11/2005;0000;128.8;29.213333;15.533333;80.283333;
83032;31/12/2005;0000;254.6;28.974194;15.567742;81.16129;
83032;31/01/2006;0000;155.2;31.541935;16.4;74.072581;
83032;28/02/2006;0000;184.6;31.392857;17.335714;78.544643;
83032;31/03/2006;0000;155.8;31.309677;16.612903;76.516129;
83032;31/07/2006;0000;28.8;;;;
83032;31/08/2006;0000;43.4;;;;
83032;30/09/2006;0000;84.6;;;;
83032;31/10/2006;0000;161.5;;;;
83032;30/11/2006;0000;364;;;;
83032;31/12/2006;0000;285;;;;
83032;31/01/2007;0000;828.8;28.127273;;;
83032;28/02/2007;0000;92;30.63;;;
83032;31/03/2007;0000;51.4;31.75;;;
83032;30/04/2007;0000;99.6;30.043478;;;
83032;31/05/2007;0000;43.6;26.015385;;;
83032;30/06/2007;0000;11.2;25.965517;;;
83032;31/07/2007;0000;56.2;25.04;;;
83032;31/08/2007;0000;0;28.55;;;
83032;30/09/2007;0000;19.4;30.351724;;;
83032;31/10/2007;0000;183.6;31.325926;;;
83032;30/11/2007;0000;226.8;29.185714;;;
83032;31/12/2007;0000;211.6;30.853846;;;
83032;31/01/2008;0000;144.6;29.068966;;;
83032;29/02/2008;0000;281.8;30.5;;;
83032;31/03/2008;0000;330;29.482759;;;
83032;30/04/2008;0000;181;28.393103;;;
83032;31/05/2008;0000;38.4;25.535484;;;
83032;30/06/2008;0000;25.2;24.886667;;;
83032;31/07/2008;0000;0;25.546667;;;
83032;31/08/2008;0000;50.8;28.245161;;;
83032;30/09/2008;0000;59.6;27.846667;;;
83032;31/10/2008;0000;142;29.633333;;;
83032;30/11/2008;0000;264.2;29.123333;;;
83032;31/12/2008;0000;261;29.393548;;;
83032;31/01/2009;0000;308.4;28.393548;;;
83032;28/02/2009;0000;296;30.3;;;
83032;31/03/2009;0000;205;31.051613;;;
83032;30/04/2009;0000;85.2;28.273333;;;
83032;31/05/2009;0000;40.2;26.793548;;;
83032;30/06/2009;0000;60.4;23.593333;;;
83032;31/07/2009;0000;60.4;25.612903;;;
83032;31/08/2009;0000;67.6;26.96129;;;
83032;30/09/2009;0000;141.2;29;;;
83032;31/10/2009;0000;109.6;29.787097;;;
83032;30/11/2009;0000;131.4;31.946667;;;
83032;31/12/2009;0000;411.6;29.464516;;;
83032;31/01/2010;0000;263;31.4;;;
83032;28/02/2010;0000;99;32.157143;;;
83032;31/03/2010;0000;177.2;30.716129;;;
83032;30/04/2010;0000;53.8;29.106667;;;
83032;31/05/2010;0000;23.6;26.619355;;;
83032;30/06/2010;0000;23.4;24.531034;;;
83032;31/07/2010;0000;14.2;26.051613;;;
83032;31/08/2010;0000;0;27.932258;;;
83032;30/09/2010;0000;71.6;29.893333;;;
83032;31/10/2010;0000;113;29.270968;;;
83032;30/11/2010;0000;231.8;29.493333;;;
83032;31/12/2010;0000;303.4;31.683871;;;
83032;31/01/2011;0000;653.4;29.322581;;;
83032;28/02/2011;0000;55.8;32.992857;;;
83032;31/03/2011;0000;179.6;28.574194;;;
83032;30/04/2011;0000;75.4;29.2;;;
83032;31/05/2011;0000;36.8;26.566667;;;
83032;30/06/2011;0000;24.4;24.153333;;;
