--------------------
BDMEP - INMET
--------------------
Esta?o           : LAVRAS - MG (OMM: 83687)
Latitude  (graus) : -21.75
Longitude (graus) : -45
Altitude  (metros): 918.84
Esta?o Operante
Inicio de opera?o: 18/02/1911
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83687;31/01/2000;0000;459.8;28.370968;18.406452;76.806452;
83687;29/02/2000;0000;156;28.455172;18.103448;78.232759;
83687;31/03/2000;0000;192.6;27.893548;17.690323;78.209677;
83687;30/04/2000;0000;16.4;27.37;15.09;68.85;
83687;31/05/2000;0000;4.1;25.096774;12.190323;69.395161;
83687;30/06/2000;0000;0.4;25.173333;10.58;64.408333;
83687;31/07/2000;0000;9.2;23.964516;10.593548;65.16129;
83687;31/08/2000;0000;13.1;26.6;12.167742;59.33871;
83687;30/09/2000;0000;109.9;25.55;14.58;71.325;
83687;31/10/2000;0000;25.2;30.470968;17.16129;60.580645;
83687;30/11/2000;0000;239.2;26.893333;17.05;76.058333;
83687;31/12/2000;0000;243.8;28.203226;18.048387;77.306452;
83687;31/01/2001;0000;147.5;29.435484;18.335484;72.16129;
83687;28/02/2001;0000;46.8;31.003571;18.378571;67.964286;
83687;31/03/2001;0000;146.4;29.106452;17.822581;74.395161;
83687;30/04/2001;0000;7.4;29.41;16.346667;67.766667;
83687;31/05/2001;0000;48.3;25.370968;13.16129;72.032258;
83687;30/06/2001;0000;0;25.536667;11.86;68.808333;
83687;31/07/2001;0000;0;26.148387;11.654839;63.782258;
83687;31/08/2001;0000;63.2;26.212903;12.383871;59.701613;
83687;30/09/2001;0000;46.1;25.9;13.986667;67.091667;
83687;31/10/2001;0000;108.4;27.167742;15.770968;66.008333;
83687;30/11/2001;0000;234.8;28.563333;17.803333;74.225;
83687;31/12/2001;0000;475.1;26.9;17.7;80.532258;
83687;31/01/2002;0000;132.5;29.163333;18.551613;76.169355;
83687;28/02/2002;0000;368.3;27.317857;18.107143;81.901786;
83687;31/03/2002;0000;122;29.819355;18.012903;75.080645;
83687;30/04/2002;0000;0.4;29.57931;16.55;65.3;
83687;31/05/2002;0000;16.5;26.586667;14.55;74.959677;
83687;30/06/2002;0000;0;26.506667;12.75;68.183333;
83687;31/07/2002;0000;15.2;25.664516;11.53871;70.072581;
83687;31/08/2002;0000;8.4;28.646667;13.909677;59.416667;
83687;30/09/2002;0000;51.2;26.57;14.426667;64.791667;
83687;31/10/2002;0000;49.6;31.832258;17.216129;54.104839;
83687;30/11/2002;0000;174.4;28.756667;17.673333;70.45;
83687;31/12/2002;0000;203.9;29.506452;19.022581;76.16129;
83687;31/01/2003;0000;462.1;27.609677;19.058065;82.895161;
83687;28/02/2003;0000;56;30.607143;18.492857;67.375;
83687;31/03/2003;0000;120.6;27.93871;17.954839;78.508065;
83687;30/04/2003;0000;25.9;27.706667;16.48;72.325;
83687;31/05/2003;0000;58.6;24.522581;12.329032;73.056452;
83687;30/06/2003;0000;0;26.513333;12.27;70.208333;
83687;31/07/2003;0000;14.8;24.603226;10.983871;66.669355;
83687;31/08/2003;0000;8.8;25.932258;12.53871;65.540323;
83687;30/09/2003;0000;13.7;28.38;14.865517;63.408333;
83687;31/10/2003;0000;64.9;28.606452;16.045161;61.258065;
83687;30/11/2003;0000;154.5;28.186667;17.223333;72.975;
83687;31/12/2003;0000;242.1;28.835484;18.564516;76.322581;
83687;31/01/2004;0000;190.5;28.241935;18.090323;74.91129;
83687;29/02/2004;0000;295;27.351724;18.134483;80.517241;
83687;31/03/2004;0000;128.2;27.877419;16.745161;75.701613;
83687;30/04/2004;0000;60.6;27.54;16.606667;78.316667;
83687;31/05/2004;0000;59.2;24.896774;13.706452;78.072581;
83687;30/06/2004;0000;37.5;23.5;11.956667;75.875;
83687;31/07/2004;0000;22.2;22.712903;11.019355;73.370968;
83687;31/08/2004;0000;2.7;26.56129;11.748387;59.056452;
83687;30/09/2004;0000;31.6;30.136667;14.863333;54.45;
83687;31/10/2004;0000;124.6;26.896774;16.2;72.104839;
83687;30/11/2004;0000;257.3;28.153333;17.106667;71.341667;
83687;31/12/2004;0000;279.6;27.719355;17.848387;79.58871;
83687;31/01/2005;0000;310.9;28.612903;18.848387;81.129032;
83687;28/02/2005;0000;161.7;29.067857;17.164286;73.285714;
83687;31/03/2005;0000;132.7;28.609677;18.522581;78.604839;
83687;30/04/2005;0000;60.6;28.83;17.493333;73.15;
83687;31/05/2005;0000;84.6;25.335484;14.245161;74.048387;
83687;30/06/2005;0000;4.7;24.553333;12.673333;75.85;
83687;31/07/2005;0000;40.4;24.170968;11.677419;71.709677;
83687;31/08/2005;0000;4.1;27.536667;12.8;60.091667;
83687;30/09/2005;0000;83;26.466667;15.506667;70.083333;
83687;31/10/2005;0000;102.5;30.374194;17.354839;64.048387;
83687;30/11/2005;0000;191.2;26.653333;17.003333;77.491667;
83687;31/12/2005;0000;257.3;27.483871;16.964516;77.620968;
83687;31/01/2006;0000;149.9;29.454839;18.248387;69.556452;
83687;28/02/2006;0000;284.9;30.428571;18.585714;75.839286;
83687;31/03/2006;0000;281.5;29.280645;17.93871;78.387097;
83687;30/04/2006;0000;17.6;27.796667;15.893333;74.383333;
83687;31/05/2006;0000;34.5;25.348387;12.135484;72.653226;
83687;30/06/2006;0000;11.6;24.566667;11.203333;70.941667;
83687;31/07/2006;0000;1.6;26.335484;10.509677;60.314516;
83687;31/08/2006;0000;17.4;28.3;12.848387;58.056452;
83687;30/09/2006;0000;72.5;27.29;13.76;64.516667;
83687;31/10/2006;0000;107.5;27.33871;16.916129;72.725806;
83687;30/11/2006;0000;262;28.036667;17.436667;75.95;
83687;31/12/2006;0000;220.6;28.516129;18.696774;78.080645;
