--------------------
BDMEP - INMET
--------------------
Esta?o           : LENCOIS - BA (OMM: 83242)
Latitude  (graus) : -12.56
Longitude (graus) : -41.38
Altitude  (metros): 438.74
Esta?o Operante
Inicio de opera?o: 01/09/1931
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83242;31/01/2000;0000;84.3;30.706452;21.216129;74.596774;
83242;29/02/2000;0000;93.9;31.137931;21.375862;72.396552;
83242;31/03/2000;0000;185.7;29.596774;20.96129;79.322581;
83242;30/04/2000;0000;167.7;29.24;20.976667;80.608333;
83242;31/05/2000;0000;76.9;27.86129;19.822581;81.201613;
83242;30/06/2000;0000;79.1;26.783333;18.19375;79.908333;
83242;31/07/2000;0000;66.3;26.532258;17.767742;77.024194;
83242;31/08/2000;0000;20.6;28.203226;18.116129;69.475806;
83242;30/09/2000;0000;28;28.84;19.106667;66.9;
83242;31/10/2000;0000;31.2;32.422581;20.287097;55.645161;
83242;30/11/2000;0000;139.3;30.553333;21.136667;70.241667;
83242;31/12/2000;0000;287.7;29.335484;20.677419;77.975806;
83242;31/01/2001;0000;41.1;30.154839;20.587097;71.104839;
83242;28/02/2001;0000;5.5;33.546429;21.328571;57.321429;
83242;31/03/2001;0000;214.3;30.819355;21.225806;70.467742;
83242;30/04/2001;0000;124;29.99;20.22;72.058333;
83242;31/05/2001;0000;40;30.680645;20.280645;72.572581;
83242;30/06/2001;0000;110.1;27.08;18.3;76.783333;
83242;31/07/2001;0000;17.9;27.948387;17.622581;68.935484;
83242;31/08/2001;0000;67.4;27.074194;17.148387;70.983871;
83242;30/09/2001;0000;72;29.526667;18.85;64.708333;
83242;31/10/2001;0000;103.9;30.819355;19.967742;66.701613;
83242;30/11/2001;0000;17.7;32.51;21.2;58.991667;
83242;31/12/2001;0000;112.5;31.335484;21.267742;69.709677;
83242;31/01/2002;0000;410.1;29.835484;20.729032;77.991935;
83242;28/02/2002;0000;121.4;30.775;20.446429;70.053571;
83242;31/03/2002;0000;38;30.787097;21.216129;70.290323;
83242;30/04/2002;0000;49.2;30.55;20.77;70.791667;
83242;31/05/2002;0000;62;28.177419;18.835484;73.258065;
83242;30/06/2002;0000;69.4;26.676667;18.316667;76.666667;
83242;31/07/2002;0000;28.7;28.177419;18.070968;71.193548;
83242;31/08/2002;0000;34.2;29.103226;17.590323;66.362903;
83242;30/09/2002;0000;92.8;29.986667;18.996667;67.758333;
83242;31/10/2002;0000;1.8;32.122581;19.712903;55.991935;
83242;30/11/2002;0000;183.4;32.54;20.533333;62.516667;
83242;31/12/2002;0000;127.5;32.796774;20.735484;64.806452;
83242;31/01/2003;0000;164.2;32.58;21.113333;70.104839;
83242;28/02/2003;0000;26.2;32.796429;21.146429;64.285714;
83242;31/03/2003;0000;151.3;33.103226;21.496774;64.379032;
83242;30/04/2003;0000;14.6;32.163333;21.116667;63.983333;
83242;31/05/2003;0000;95.7;29.193548;19.783871;73.830645;
83242;30/06/2003;0000;49.9;27.363333;18.133333;77.025;
83242;31/07/2003;0000;48.6;27.216129;16.964516;70.701613;
83242;31/08/2003;0000;49.2;28.332258;18.062069;72.459677;
83242;30/09/2003;0000;35.5;30.043333;18.527586;63.408333;
83242;31/10/2003;0000;14.7;32.809677;20.016129;53.870968;
83242;30/11/2003;0000;118.2;31.826667;20.446667;65.05;
83242;31/12/2003;0000;20.4;34.003226;20.806452;57.846774;
83242;31/01/2004;0000;406.1;31.277419;21.345161;73.25;
83242;29/02/2004;0000;80.7;30.768966;21.065517;73.948276;
83242;31/03/2004;0000;249.4;29.790323;20.383871;79.58871;
