--------------------
BDMEP - INMET
--------------------
Esta?o           : LONDRINA - PR (OMM: 83766)
Latitude  (graus) : -23.31
Longitude (graus) : -51.13
Altitude  (metros): 566.00
Esta?o Operante
Inicio de opera?o: 11/12/1953
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83766;31/01/2000;0000;101.8;31.475;20.096774;72.870968;
83766;29/02/2000;0000;227.6;;19.810345;78.862069;
83766;31/03/2000;0000;158.7;;18.780645;77.491935;
83766;30/04/2000;0000;12.7;;16.246667;67.8;
83766;31/05/2000;0000;46.6;;12.548387;73.895161;
83766;30/06/2000;0000;108.4;;13.113333;77.35;
83766;31/07/2000;0000;63.6;21.293333;8.735484;71.225806;
83766;31/08/2000;0000;93.3;;13.287097;71.717742;
83766;30/09/2000;0000;171;;15.193333;74.741667;
83766;31/10/2000;0000;85.2;;18.580645;63.120968;
83766;30/11/2000;0000;201.2;;18.42;72.608333;
83766;31/12/2000;0000;136.1;30.905263;19.329032;73.725806;
83766;30/09/2001;0000;33.8;;;;
83766;31/10/2001;0000;36;30.548148;17.066667;68.201923;
83766;30/11/2001;0000;122;31.455172;19.26;74.441667;
83766;31/12/2001;0000;142.2;30.125;18.914286;74.509259;
83766;31/01/2002;0000;282.4;30.606452;18.393333;76;
83766;28/02/2002;0000;136.1;30.257143;19.910714;77.425926;
83766;31/03/2002;0000;71.2;33.748387;;72.693548;
83766;30/04/2002;0000;6.2;33.393333;19.5;68.577586;
83766;31/05/2002;0000;254.8;26.174194;15.541935;82.129032;
83766;30/06/2002;0000;1.6;27.713333;14.2;75.516667;
83766;31/07/2002;0000;77.7;24.286667;11.335484;78.443548;
83766;31/08/2002;0000;85.2;28.954839;15.341935;67.629032;
83766;30/09/2002;0000;80.6;27.89;14.686667;65.941667;
83766;31/10/2002;0000;28.5;32.787097;19.632258;63.701613;
83766;30/11/2002;0000;268.7;30.48;18.99;73.558333;
83766;31/12/2002;0000;106.9;31.925806;20.677419;70.903226;
83766;31/01/2003;0000;387.8;30.009677;21.119355;80.725806;
83766;28/02/2003;0000;104.3;31.6;21.192857;77.357143;
83766;31/03/2003;0000;20.2;31.6;19.664516;69.282258;
83766;30/04/2003;0000;109.6;29.843333;17.22;70.516667;
83766;31/05/2003;0000;46.8;25.7;12.596774;73.008065;
83766;30/06/2003;0000;35.8;27.153333;14.086667;76.75;
83766;31/07/2003;0000;82.6;25.69;12.303226;73.645161;
83766;31/08/2003;0000;47.8;25.432258;10.419355;63.75;
83766;30/09/2003;0000;62;28.553333;13.753333;;
83766;31/10/2003;0000;77.9;29.803226;16.151613;66.08871;
83766;30/11/2003;0000;97.5;30.686667;17.726667;65.266667;
83766;31/12/2003;0000;172.3;31.145161;19.593548;73.346774;
83766;31/01/2004;0000;157.4;31.16129;19.358065;72.645161;
83766;29/02/2004;0000;148.1;31.503448;19.006897;69.862069;
83766;31/03/2004;0000;114.5;31.519355;18.341935;69.75;
83766;30/04/2004;0000;75.8;29.426667;18.593333;77.166667;
83766;31/05/2004;0000;242;21.890323;12.677419;85.524194;
83766;30/06/2004;0000;75.5;23.166667;11.826667;83.933333;
83766;31/07/2004;0000;110.9;22.619355;11.787097;81.733871;
83766;31/08/2004;0000;0.2;28.132258;12.193333;63.75;
83766;30/09/2004;0000;29.8;31.613333;16.746667;60.483333;
83766;31/10/2004;0000;250.1;28.458065;15.964516;72.451613;
83766;30/11/2004;0000;139.1;29.54;18.253333;67.55;
83766;31/12/2004;0000;106.1;29.864516;18.716129;71.725806;
83766;31/01/2005;0000;348.4;29.2;20.658065;82.5;
83766;28/02/2005;0000;135.4;32.025;19.664286;66.892857;
83766;31/03/2005;0000;61;32.248387;19.870968;69.419355;
83766;30/04/2005;0000;66.9;30.583333;19.096667;71.5;
83766;31/05/2005;0000;111.2;27.796774;14.883871;73.209677;
83766;30/06/2005;0000;47.3;25.543333;14.54;81.691667;
83766;31/07/2005;0000;42.2;23.845161;11.341935;77.91129;
83766;31/08/2005;0000;37.3;28.332258;13.287097;67.112903;
83766;30/09/2005;0000;123.8;25.803333;14.213333;75.025;
83766;31/10/2005;0000;258.1;29.277419;18.748387;79.016129;
83766;30/11/2005;0000;58.6;30.986667;17.79;68.666667;
83766;31/12/2005;0000;238;30.132258;18.73871;73.258065;
83766;31/01/2006;0000;85.2;31.835484;20.890323;73.346774;
83766;28/02/2006;0000;372.3;30.453571;19.814286;79.348214;
83766;31/03/2006;0000;65.1;31.503226;20.380645;75.580645;
83766;30/04/2006;0000;49.2;29.063333;16.413333;74.375;
83766;31/05/2006;0000;36.2;25.235484;11.670968;72;
83766;30/06/2006;0000;26;25.356667;12.596667;73.941667;
83766;31/07/2006;0000;23.6;26.945161;12.819355;70.16129;
83766;31/08/2006;0000;17;28.829032;13.309677;63.427419;
83766;30/09/2006;0000;144.2;26.56;13.746667;72.416667;
83766;31/10/2006;0000;73.4;30.483871;18.190323;70.959677;
83766;30/11/2006;0000;122.8;31.193333;18.883333;68.366667;
83766;31/12/2006;0000;297;30.954839;20.529032;74.774194;
83766;31/01/2007;0000;458.6;29.725806;20.909677;82.854839;
83766;28/02/2007;0000;176.6;31.110714;20.278571;76.0625;
83766;31/03/2007;0000;159.5;32.46129;19.96129;70.580645;
83766;30/04/2007;0000;42;30.526667;18.713333;74.95;
83766;31/05/2007;0000;92;25.390323;13.593548;76.766129;
83766;30/06/2007;0000;9.4;26.873333;12.486667;73.083333;
83766;31/07/2007;0000;210.2;24.23871;11.16129;74.556452;
83766;31/08/2007;0000;12.8;27.764516;13.535484;66.701613;
83766;30/09/2007;0000;2;31.72;16.746667;59.4;
83766;31/10/2007;0000;92.7;31.909677;18.180645;67.709677;
83766;30/11/2007;0000;187.5;30.833333;17.863333;68.608333;
83766;31/12/2007;0000;316.4;31.306452;19.73871;71.120968;
