--------------------
BDMEP - INMET
--------------------
Esta?o           : LUZILANDIA LAG DO PIAUI  - PI (OMM: 82296)
Latitude  (graus) : -3.41
Longitude (graus) : -42.28
Altitude  (metros): 49.00
Esta?o Operante
Inicio de opera?o: 18/05/1972
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82296;31/01/2000;0000;148.4;33.277419;21.232258;74.717742;
82296;29/02/2000;0000;144.1;31.924138;21.17931;81.698276;
82296;31/03/2000;0000;85.7;31.380645;21.283871;81.306452;
82296;30/04/2000;0000;323;31.856667;21.37;83.266667;
82296;31/05/2000;0000;119.4;32.729032;21.574194;79.306452;
82296;30/06/2000;0000;130.9;32.61;20.606667;75.791667;
82296;31/07/2000;0000;115.4;32.480645;20.845161;75.790323;
82296;31/08/2000;0000;3.5;35.012903;20.845161;63.564516;
82296;30/09/2000;0000;15.4;36.98;21.576667;55.133333;
82296;31/10/2000;0000;0.4;37.783871;21.796667;49.316667;
82296;30/11/2000;0000;0;37.565217;22.304348;49.340909;
82296;31/12/2000;0000;87.9;35.712903;21.93871;59.583333;
82296;31/01/2001;0000;314.5;32.432258;21.893548;74.717742;
82296;28/02/2001;0000;183.4;32.096429;21.757143;81.625;
82296;31/03/2001;0000;333.7;32.248387;21.912903;80.241935;
82296;30/04/2001;0000;352.7;31.143333;22.29;83.666667;
82296;31/05/2001;0000;87.2;33.212903;23.083871;74.048387;
82296;30/06/2001;0000;72.1;32.951724;22.996667;75.566667;
82296;31/07/2001;0000;32.6;34.454839;23.193548;70.451613;
82296;31/08/2001;0000;0;37.258065;24.158621;55.459677;
82296;30/09/2001;0000;0;38.013333;23.365517;55.741667;
82296;31/10/2001;0000;0;38.3;23.309677;52.814516;
82296;30/11/2001;0000;9.3;37.886667;24.403333;53.875;
82296;31/12/2001;0000;48.6;36.790323;24.574194;59.016129;
82296;31/01/2002;0000;225.2;33.467742;23.516129;74.975806;
82296;28/02/2002;0000;0;;;;
82296;31/03/2002;0000;264.5;32.064516;22.932258;79.991935;
82296;30/04/2002;0000;291.2;32.013333;23.176667;82.465517;
82296;31/05/2002;0000;128.2;32.767742;23.029032;79.459677;
82296;30/06/2002;0000;104;32.673333;22.33;79.033333;
82296;31/07/2002;0000;12.5;34.45;22.290323;75.120968;
82296;31/08/2002;0000;3.6;37.258065;22.13871;70.5;
82296;30/09/2002;0000;0;37.976667;23.086667;61.905172;
82296;31/10/2002;0000;0;38.63871;23.425806;61.177419;
82296;30/11/2002;0000;0.3;38.106667;23.883333;58.965517;
82296;31/12/2002;0000;81.1;37.045161;24.029032;62.589286;
82296;31/01/2003;0000;133.7;35.225806;23.609677;67.774194;
82296;28/02/2003;0000;243;31.778571;23.157143;;
82296;31/03/2003;0000;451.8;31.780645;23.348387;84.427419;
82296;30/04/2003;0000;261.4;32.646667;23.476667;82.853448;
82296;31/05/2003;0000;91.9;32.648387;23.403226;81.66129;
82296;30/06/2003;0000;75.5;33.103333;22.86;80.383333;
82296;31/07/2003;0000;7.9;34.954839;22.403226;75.048387;
82296;31/08/2003;0000;35.5;37.087097;22.826667;69.209677;
82296;30/09/2003;0000;11.2;38.31;23.04;65.351852;
82296;31/10/2003;0000;8;39.112903;23.958065;;
82296;30/11/2003;0000;38.2;38.303333;24.23;73.016667;
82296;31/12/2003;0000;83.3;36.983871;24.53871;79.258065;
82296;31/01/2004;0000;231.3;32.983871;24.241935;87.571429;
82296;29/02/2004;0000;269.9;31.555172;23.97931;90.189655;
82296;31/03/2004;0000;179.7;32.6;23.987097;88.333333;
82296;30/04/2004;0000;254.1;32.45;23.596667;89.025862;
82296;31/05/2004;0000;38.9;33.374194;23.822581;87.120968;
82296;30/06/2004;0000;105.4;32.48;22.43;89.146552;
82296;31/07/2004;0000;8.1;33.796774;22.683871;85.293103;
82296;31/08/2004;0000;0.7;35.925806;22.851613;81.709677;
82296;30/09/2004;0000;20.9;38.406897;23.203333;78.15;
82296;31/10/2004;0000;0;39.003333;23.94;74.37931;
82296;30/11/2004;0000;0.6;38.703333;24.176667;73.791667;
82296;31/12/2004;0000;9.2;37.553333;24.487097;73.991935;
82296;31/01/2005;0000;210.8;35.841935;23.974194;79.25;
82296;28/02/2005;0000;185.7;34.375;23.910714;86.375;
82296;31/03/2005;0000;247.5;32.825806;23.351613;88.016129;
82296;30/04/2005;0000;211.3;33.71;23.453333;;
82296;31/05/2005;0000;66.2;33.990323;23.516129;88.558333;
82296;30/06/2005;0000;41;33.876667;23.363333;;
82296;31/07/2005;0000;47.4;35.216129;22.532258;80.435484;
82296;31/08/2005;0000;7.3;37.622581;22.716129;72.298387;
82296;30/09/2005;0000;0;38.243333;23.113333;;
82296;31/10/2005;0000;4.4;38.687097;23.980645;63.693548;
82296;30/11/2005;0000;1.2;39.045455;24.363636;59.545455;
82296;31/01/2006;0000;129.7;34.472414;24.058621;72.112069;
82296;28/02/2006;0000;225;32.282143;23.664286;81.241071;
82296;31/03/2006;0000;281.9;31.545161;23.358065;84.375;
82296;30/04/2006;0000;302.7;30.8;23.483333;86.535714;
82296;31/05/2006;0000;254.8;31.858065;23.316129;82.677419;
82296;30/06/2006;0000;57.9;31.93;22.44;;
82296;31/07/2006;0000;15.2;32.890323;22.790323;73.481481;
82296;31/08/2006;0000;1.4;35.554839;22.651613;63.766667;
82296;30/09/2006;0000;13.2;37.116667;23.57;59.291667;
82296;31/10/2006;0000;0;37.825806;24.016129;52.677419;
82296;30/11/2006;0000;2.3;37.486667;24.306667;58.766667;
82296;31/12/2006;0000;35.9;36.56129;24.370968;71.65;
82296;31/01/2007;0000;79.3;36.348387;24.580645;71.725806;
82296;28/02/2007;0000;334.8;32.485714;23.167857;83.633929;
82296;31/03/2007;0000;341.7;32.364516;23.36129;84.427419;
82296;30/04/2007;0000;251.4;32.266667;23.4;85.591667;
82296;31/05/2007;0000;77.3;33.067742;23.580645;79.645161;
82296;30/06/2007;0000;61.6;32.953333;22.26;78.533333;
82296;31/07/2007;0000;3.2;34.325806;22.658065;77.540323;
82296;31/08/2007;0000;0.2;36.296774;21.670968;71.5;
82296;30/09/2007;0000;0;37.66;22.123333;61.566667;
82296;31/10/2007;0000;2.4;38.403226;23.106452;58.282258;
82296;30/11/2007;0000;26.7;37.816667;23.59;66.5;
82296;31/12/2007;0000;96.2;36.348387;23.606452;77.612903;
82296;31/01/2008;0000;285.8;33.732258;22.880645;79.895161;
82296;29/02/2008;0000;213.7;32.748276;22.735714;82.215517;
82296;31/03/2008;0000;367.8;31.280645;22.225806;87.185484;
82296;30/04/2008;0000;415.9;31.55;22.806667;86.575;
82296;31/05/2008;0000;229.4;31.922581;22.854839;;
82296;30/06/2008;0000;105.9;32.05;22.533333;;
82296;31/07/2008;0000;82.6;33.2;22.025806;;
82296;31/08/2008;0000;26;34.829032;21.706452;;
82296;30/09/2008;0000;0;36.663333;22.126667;68.916667;
82296;31/10/2008;0000;13.3;37.848387;22.693548;65.483871;
82296;30/11/2008;0000;0;37.59;23.24;;
82296;31/12/2008;0000;134.6;36.516129;23.351613;71.032258;
