--------------------
BDMEP - INMET
--------------------
Esta?o           : MANICORE - AM (OMM: 82533)
Latitude  (graus) : -5.81
Longitude (graus) : -61.3
Altitude  (metros): 50.00
Esta?o Operante
Inicio de opera?o: 01/01/1928
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82533;31/01/2000;0000;281.8;31.496774;22.63871;88.685484;
82533;29/02/2000;0000;237.8;30.972414;22.606897;89.310345;
82533;31/03/2000;0000;400.4;31.425806;22.780645;89.83871;
82533;30/04/2000;0000;359.2;32.08;23.026667;89.966667;
82533;31/05/2000;0000;162.2;32.077419;22.964516;88.806452;
82533;30/06/2000;0000;116.7;32.313333;21.93;88.325;
82533;31/07/2000;0000;104;32.058065;21.280645;86.967742;
82533;31/08/2000;0000;103.4;33.496774;21.916129;87.008065;
82533;30/09/2000;0000;209.6;32.703333;22.106667;85.091667;
82533;31/10/2000;0000;170.8;32.574194;22.525806;86.403226;
82533;30/11/2000;0000;267.5;32.523333;22.556667;89.1;
82533;31/12/2000;0000;195.1;31.732258;22.435484;91.943548;
82533;31/01/2001;0000;417.8;30.841935;21.867742;92.564516;
82533;28/02/2001;0000;368.5;31.071429;22.3;92.25;
82533;31/03/2001;0000;234.9;31.883871;22.590323;90.903226;
82533;30/04/2001;0000;232.3;31.746667;22.406667;91.716667;
82533;31/05/2001;0000;217.7;31.448387;22.367742;94.451613;
82533;30/06/2001;0000;170.1;30.246667;20.776667;94.691667;
82533;31/07/2001;0000;87.8;32.554839;21.393548;92.080645;
82533;31/08/2001;0000;12.3;35.177419;21.132258;85.290323;
82533;30/09/2001;0000;60;34.07931;22.348276;88.551724;
82533;31/10/2001;0000;148.3;33.477419;22.412903;90.306452;
82533;30/11/2001;0000;213.7;33.423333;22.84;87.725;
82533;31/12/2001;0000;450.6;31.519355;22.783871;88.274194;
82533;31/01/2002;0000;424.5;32.058065;22.66129;88.645161;
82533;28/02/2002;0000;511.1;31.482143;22.728571;89.0625;
82533;31/03/2002;0000;375.8;32.129032;22.848387;88.104839;
82533;30/04/2002;0000;260;32.24;22.593333;86.841667;
82533;31/05/2002;0000;100.6;31.796774;22.948387;87.008065;
82533;30/06/2002;0000;154;32.3;21.63;84.916667;
82533;31/07/2002;0000;36.2;33.251613;21.945161;77.846774;
82533;31/08/2002;0000;48.5;33.825806;21.890323;76.766129;
82533;30/09/2002;0000;119.6;34.043333;22.71;75.625;
82533;31/10/2002;0000;205.7;33.622581;22.712903;76.451613;
82533;30/11/2002;0000;105.1;33.273333;22.65;79.291667;
82533;31/12/2002;0000;277;32.093548;23.274194;82.16129;
82533;31/01/2003;0000;184.6;32.445161;23.467742;84.979167;
82533;28/02/2003;0000;300;32.217857;23.2;86.589286;
82533;31/03/2003;0000;456.4;31.603226;22.86129;86.959677;
82533;30/04/2003;0000;284.4;31.82;22.786667;87.675;
82533;31/05/2003;0000;184.1;32.658065;22.829032;85.064516;
82533;30/06/2003;0000;117.5;32.5;22.606667;85.083333;
82533;31/07/2003;0000;13.5;33.658065;21.664516;78.185484;
82533;31/08/2003;0000;68.5;33.390323;22.564516;79.41129;
82533;30/09/2003;0000;39.8;33.94;22.506667;78.925;
82533;31/10/2003;0000;176.9;33.06129;23.035484;83.782258;
82533;30/11/2003;0000;213.9;33.203333;23.103333;83.991667;
82533;31/12/2003;0000;120.5;32.996774;23.087097;85.16129;
82533;31/01/2004;0000;203.4;32.546667;23.306452;85.33871;
82533;29/02/2004;0000;206.1;31.851724;22.893103;87.413793;
82533;31/03/2004;0000;270.5;32.480645;23.183871;87.435484;
82533;30/04/2004;0000;177.8;33.266667;23.273333;84.933333;
82533;31/05/2004;0000;97.3;31.370968;22.951613;87.790323;
82533;30/06/2004;0000;93.9;32.74;21.81;83.991667;
82533;31/07/2004;0000;112.4;32.912903;21.377419;83.717742;
82533;31/08/2004;0000;102.2;33.83871;21.841935;81.491935;
82533;30/09/2004;0000;119.3;33.973333;22.306667;82.783333;
82533;31/10/2004;0000;125.2;33.870968;23.26129;82.201613;
82533;30/11/2004;0000;139.9;32.856667;23.313333;82.666667;
82533;31/12/2004;0000;221.7;32.390323;23.125806;83.709677;
82533;31/01/2005;0000;194;33.006452;23.312903;83.032258;
82533;28/02/2005;0000;196;32.842857;23.342857;84.160714;
82533;31/03/2005;0000;303.4;32.519355;23.26129;84.733871;
82533;30/04/2005;0000;138.1;32.61;23.153333;82.966667;
82533;31/05/2005;0000;250.1;33.383871;23.106452;81.677419;
82533;31/07/2005;0000;64.2;34.313333;21.186667;76.62931;
82533;31/08/2005;0000;28.8;34.525806;21.383871;76.508065;
82533;30/09/2005;0000;57.9;34.366667;22.046667;76.558333;
82533;31/10/2005;0000;161.7;33.067742;22.809677;79.895161;
82533;30/11/2005;0000;176.4;33.406667;23.14;81.75;
82533;31/12/2005;0000;226.3;31.783871;22.841935;84.653226;
82533;31/01/2006;0000;321.5;32.416129;22.751613;84.048387;
82533;28/02/2006;0000;271.4;31.925;22.953571;86.25;
82533;31/03/2006;0000;440.8;31.177419;22.751613;87.540323;
82533;30/04/2006;0000;333.4;31.806667;22.74;86.375;
82533;31/05/2006;0000;273.8;;22.345161;86.927419;
82533;30/06/2006;0000;76.4;;21.476667;80.15;
82533;31/07/2006;0000;119.1;;21.848387;79.612903;
82533;31/08/2006;0000;86.8;;21.996774;78.983871;
82533;30/09/2006;0000;36.2;;22.503333;77.8;
82533;31/10/2006;0000;183.2;34.570968;23.154839;80.185484;
82533;30/11/2006;0000;198.2;33.173333;23.563333;83.375;
82533;31/12/2006;0000;289.6;33.029032;23.590323;85.177419;
82533;31/01/2007;0000;243.1;32.832258;23.380645;87.032258;
