--------------------
BDMEP - INMET
--------------------
Esta?o           : MATUPA - MT (OMM: 83214)
Latitude  (graus) : -10.25
Longitude (graus) : -54.91
Altitude  (metros): 285.00
Esta?o Operante
Inicio de opera?o: 15/12/1986
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83214;31/01/2000;0000;289;30.806452;18.254839;83.806452;
83214;29/02/2000;0000;146;30.42069;18.234483;86.146552;
83214;31/03/2000;0000;391;31.096774;19.077419;83.733871;
83214;30/04/2000;0000;220;31.533333;18.803333;86.45;
83214;31/05/2000;0000;0;33.090323;17.303226;73.709677;
83214;30/06/2000;0000;27.2;33.74;15.656667;67.2;
83214;31/07/2000;0000;0;33.587097;15.222581;60.608333;
83214;31/08/2000;0000;68;35.383871;18.990323;63.290323;
83214;30/09/2000;0000;92;33.443333;18.156667;78.75;
83214;31/10/2000;0000;255;33.403226;21.135484;75.967742;
83214;30/11/2000;0000;133;31.8;21.49;82.091667;
83214;31/12/2000;0000;345;31.170968;20.946667;84.209677;
83214;31/01/2001;0000;366;31.206452;20.870968;;
83214;28/02/2001;0000;159;31.292857;20.742857;;
83214;31/03/2001;0000;433;30.951613;20.867742;;
83214;30/04/2001;0000;65;32.283333;20.823333;;
83214;31/05/2001;0000;67;32.554839;20.4;;
83214;30/06/2001;0000;0;31.510345;17.353333;;
83214;31/07/2001;0000;0;34.145161;12.270968;;
83214;31/08/2001;0000;20.1;35.206452;11.758065;;
83214;30/09/2001;0000;176;33.886667;15.423333;;
83214;31/10/2001;0000;54;33.522581;16.519355;77.2875;
83214;30/11/2001;0000;257;31.386667;16.673333;85.801724;
83214;31/12/2001;0000;233;30.696774;16.816129;87.660714;
83214;31/01/2002;0000;285;29.857143;16.785185;89.345238;
83214;28/02/2002;0000;279;31.911538;17.085714;87.846154;
83214;31/03/2002;0000;197;32.096774;16.393548;84.905172;
83214;30/04/2002;0000;62;32.017241;16.339286;82.888889;
83214;31/05/2002;0000;10;32.696667;16.8;78.15;
83214;30/06/2002;0000;0;33.993103;17.810345;68.391667;
83214;31/07/2002;0000;27;34.576667;19.063333;67.208333;
83214;31/08/2002;0000;3;36.126667;18.883871;59.233333;
83214;30/09/2002;0000;108.3;33.227273;20.942857;72.419643;
83214;31/10/2002;0000;185.6;33.46129;21.84;77.66129;
83214;30/11/2002;0000;184.8;33.085714;22.396667;80.044643;
83214;31/12/2002;0000;255.6;31.941935;22.241379;85.540323;
83214;31/01/2003;0000;538.7;31.496774;22.096774;86.435484;
83214;28/02/2003;0000;304.8;31.025;21.539286;87.089286;
