--------------------
BDMEP - INMET
--------------------
Esta?o           : MONTE ALEGRE - PA (OMM: 82181)
Latitude  (graus) : -2
Longitude (graus) : -54.1
Altitude  (metros): 145.85
Esta?o Operante
Inicio de opera?o: 09/03/1974
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82181;31/01/2000;0000;253.8;30.096774;23.077419;65.322581;
82181;29/02/2000;0000;310.6;29.734483;23.089655;63.732759;
82181;31/03/2000;0000;268.1;30.006452;23.045161;66.443548;
82181;30/04/2000;0000;505.8;29.623333;22.8;68.341667;
82181;31/05/2000;0000;121.8;30.203226;23.664516;61.862903;
82181;30/06/2000;0000;200.4;30.263333;23.58;59.075;
82181;31/07/2000;0000;267.6;29.754839;22.758065;60.758065;
82181;31/08/2000;0000;13.9;31.8;23.590323;59.758065;
82181;30/09/2000;0000;37;32.336667;23.796667;73.575;
82181;31/10/2000;0000;9;32.674194;24.167742;72.66129;
82181;30/11/2000;0000;174.5;31.983333;23.986667;73.766667;
82181;31/12/2000;0000;17.5;32.058065;23.887097;72.193548;
82181;31/01/2001;0000;202.4;30.148387;22.770968;80.362903;
82181;28/02/2001;0000;223.4;29.957143;22.517857;82.8125;
82181;31/03/2001;0000;179.6;30.341935;23.512903;82.540323;
82181;30/04/2001;0000;506.6;29.726667;23.236667;86.616667;
82181;31/05/2001;0000;130.8;30.580645;23.848387;84.225806;
82181;30/06/2001;0000;280.1;29.34;22.86;85.108333;
82181;31/07/2001;0000;22.9;31.180645;23.419355;76.314516;
82181;31/08/2001;0000;18.6;32.329032;24.016129;71.645161;
82181;30/09/2001;0000;12.8;32.52;24.02;70.466667;
82181;31/10/2001;0000;0;33.46;24.366667;67.233333;
82181;30/11/2001;0000;0.8;33.416667;24.443333;67.955357;
82181;31/12/2001;0000;0;33.541935;24.46129;67.782258;
82181;31/01/2002;0000;160;31.235484;23.622581;79.491935;
82181;28/02/2002;0000;83.7;31.310714;23.746429;79.339286;
82181;31/03/2002;0000;166.9;30.519355;23.477419;83.177419;
82181;30/04/2002;0000;539.7;30.306667;23.226667;83.566667;
82181;31/05/2002;0000;212.2;30.464286;23.933333;81.959677;
82181;30/06/2002;0000;236.6;30.223333;23.16;81.075;
82181;31/07/2002;0000;99.2;31.212903;23.696774;75.072581;
82181;31/08/2002;0000;23.9;31.993548;23.790323;71.66129;
82181;30/09/2002;0000;0;32.903333;24.246667;67.425;
82181;31/10/2002;0000;36.6;33.03871;24.141935;67.572581;
82181;30/11/2002;0000;36;33.073333;24.13;70.55;
82181;31/12/2002;0000;74.6;32.26129;23.932258;73.145161;
82181;31/01/2003;0000;25.2;32.364516;23.816129;74.991935;
82181;28/02/2003;0000;305.9;30.25;23.139286;86.008929;
82181;31/03/2003;0000;394.4;30.412903;23.23871;83.112903;
82181;30/04/2003;0000;357.1;30.633333;23.473333;84.041667;
82181;31/05/2003;0000;222.9;30.76129;23.548387;83.41129;
82181;30/06/2003;0000;117.6;30.803333;23.54;81.833333;
82181;31/07/2003;0000;117.3;31.351613;23.490323;75.104839;
