--------------------
BDMEP - INMET
--------------------
Esta?o           : MONTE AZUL - MG (OMM: 83388)
Latitude  (graus) : -15.16
Longitude (graus) : -42.86
Altitude  (metros): 625.00
Esta?o Operante
Inicio de opera?o: 01/03/1974
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83388;31/01/2000;0000;121;29.741935;20.422581;75.629032;
83388;29/02/2000;0000;45.9;31.172414;21.034483;68.862069;
83388;31/03/2000;0000;87;30.529032;21.029032;68.459677;
83388;30/04/2000;0000;2;31.09;20.82;58.758333;
83388;31/05/2000;0000;0;30.72;19.586667;55.733871;
83388;30/06/2000;0000;0;28.943333;16.34;67.416667;
83388;31/07/2000;0000;0.2;29.009677;18.958065;54.66129;
83388;31/08/2000;0000;0;30.580645;19.580645;48.709677;
83388;30/09/2000;0000;21.6;30.35;21.006667;52.391667;
83388;31/10/2000;0000;8.6;33.935484;22.654839;43.693548;
83388;30/11/2000;0000;220.3;29.893333;22.49;67.275;
83388;31/12/2000;0000;460.5;28.332258;21.137931;82.717742;
83388;31/01/2001;0000;26.5;30.96129;20.548387;65.274194;
83388;28/02/2001;0000;34.5;33.296429;21.275;57.696429;
83388;31/03/2001;0000;95.5;30.390323;20.858065;70.564516;
83388;30/04/2001;0000;4.9;31.323333;20.77;57.433333;
83388;31/05/2001;0000;3;31.358065;20.080645;59.016129;
83388;30/06/2001;0000;0;28.723333;18.773333;56.591667;
83388;31/07/2001;0000;0.6;29.003226;18.164516;52.879032;
83388;31/08/2001;0000;0.3;29.067742;18.322581;49.120968;
83388;30/09/2001;0000;34.2;31.67;19.953333;46.616667;
83388;31/10/2001;0000;57.5;30.558065;20.703226;57.580645;
83388;30/11/2001;0000;163.5;30.623333;21.073333;70.258333;
83388;31/12/2001;0000;201.2;30.641935;21.3;66.943548;
83388;31/01/2002;0000;362.5;30.153333;20.767742;74.314516;
83388;28/02/2002;0000;198.7;30.721429;20.292857;70.928571;
83388;31/03/2002;0000;26;31.635484;21.509677;62.766129;
